Orthogroup	DHYD.longest_only	DSUP.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC119551980|XP_037717623.1|DSUP, LOC119548573|XP_037711818.1|DSUP
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC119551998|XP_037717650.1|DSUP
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC119549506|XP_037713545.1|DSUP, LOC119549505|XP_037713544.1|DSUP, LOC119551387|XP_037716639.1|DSUP, LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP, LOC119563146|XP_037732330.1|DSUP
OG0000000	LOC111603644|XP_023177090.2|DHYD	LOC119560562|XP_037730007.1|DSUP, LOC119552808|XP_037718574.1|DSUP, LOC119555364|XP_037722629.1|DSUP, LOC119555366|XP_037722632.1|DSUP, LOC119555360|XP_037722626.1|DSUP, LOC119555363|XP_037722628.1|DSUP
OG0000001	LOC111593537|XP_030080394.1|DHYD	LOC119561984|XP_037731306.1|DSUP
OG0000002	LOC111601236|XP_023173500.2|DHYD, LOC111601234|XP_023173498.1|DHYD	LOC119550810|XP_037715678.1|DSUP
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC119551092|XP_037716195.1|DSUP
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC119551091|XP_037716194.1|DSUP
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC119546867|XP_037709399.1|DSUP, LOC119547584|XP_037710417.1|DSUP, LOC119548714|XP_037712115.1|DSUP, LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC119548975|XP_037712493.1|DSUP
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC119549586|XP_037713672.1|DSUP
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC119546510|XP_037708761.1|DSUP
OG0000005	LOC115483257|XP_030080462.1|DHYD	LOC119559204|XP_037728202.1|DSUP, LOC119559203|XP_037728200.1|DSUP, LOC119547991|XP_037710975.1|DSUP, LOC119559202|XP_037728198.1|DSUP, LOC119547992|XP_037710977.1|DSUP, LOC119559198|XP_037728191.1|DSUP, LOC119561464|XP_037731045.1|DSUP, LOC119546625|XP_037708992.1|DSUP, LOC119561418|XP_037731001.1|DSUP, LOC119548248|XP_037711317.1|DSUP, LOC119559195|XP_037728185.1|DSUP, LOC119559194|XP_037728183.1|DSUP, LOC119547945|XP_037710922.1|DSUP, LOC119559201|XP_037728196.1|DSUP, LOC119559197|XP_037728189.1|DSUP, LOC119547944|XP_037710920.1|DSUP, LOC119559200|XP_037728193.1|DSUP, LOC119546493|XP_037708718.1|DSUP, LOC119561417|XP_037730999.1|DSUP, LOC119561470|XP_037731051.1|DSUP, LOC119561465|XP_037731047.1|DSUP, LOC119559196|XP_037728187.1|DSUP, LOC119561467|XP_037731049.1|DSUP, LOC119546624|XP_037708989.1|DSUP, LOC119561415|XP_037730997.1|DSUP, LOC119559588|XP_037728530.1|DSUP
OG0000006	LOC115483249|XP_030080454.1|DHYD	LOC119559186|XP_037728175.1|DSUP
OG0000006	LOC115483251|XP_030080456.1|DHYD	LOC119559189|XP_037728178.1|DSUP, LOC119559257|XP_037728256.1|DSUP
OG0000006	LOC115483266|XP_030080471.1|DHYD	LOC119547989|XP_037710973.1|DSUP
OG0000006	LOC115483281|XP_030080484.1|DHYD	LOC119547943|XP_037710919.1|DSUP
OG0000007	LOC111601093|XP_023173297.2|DHYD	LOC119555653|XP_037723160.1|DSUP
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC119554492|XP_037721353.1|DSUP
OG0000007	LOC111592441|XP_023160393.1|DHYD	LOC119554495|XP_037721355.1|DSUP, LOC119554491|XP_037721352.1|DSUP, LOC119552519|XP_037718065.1|DSUP, LOC119554490|XP_037721351.1|DSUP, LOC119554494|XP_037721354.1|DSUP
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC119550735|XP_037715578.1|DSUP
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC119546891|XP_037709439.1|DSUP
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC119553820|XP_037720375.1|DSUP, LOC119553445|XP_037719763.1|DSUP, LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC119559922|XP_037729053.1|DSUP
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC119554295|XP_037721083.1|DSUP
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC119554293|XP_037721080.1|DSUP
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC119546547|XP_037708827.1|DSUP
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC119560392|XP_037729748.1|DSUP, LOC119560143|XP_037729425.1|DSUP
OG0000008	LOC111600809|XP_023172871.1|DHYD, LOC111600810|XP_023172872.1|DHYD	LOC119560393|XP_037729749.1|DSUP
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC119560395|XP_037729751.1|DSUP
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC119560394|XP_037729750.1|DSUP
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC119560107|XP_037729380.1|DSUP
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC119560146|XP_037729428.1|DSUP
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC119560480|XP_037729870.1|DSUP
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC119560408|XP_037729769.1|DSUP, LOC119560481|XP_037729871.1|DSUP
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	LOC119550480|XP_037715097.1|DSUP
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC119547540|XP_037710365.1|DSUP, LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP
OG0000010	LOC115483264|XP_030080469.1|DHYD	LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP
OG0000010	LOC115483262|XP_030080467.1|DHYD	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP
OG0000010	LOC115483288|XP_030080491.1|DHYD, LOC115483286|XP_030080489.1|DHYD, LOC115482881|XP_030078991.1|DHYD	LOC119548250|XP_037711321.1|DSUP
OG0000011	LOC111599147|XP_023170484.2|DHYD	LOC119554762|XP_037721730.1|DSUP
OG0000012	LOC111603849|XP_023177406.2|DHYD	LOC119550822|XP_037715693.1|DSUP
OG0000012	LOC111603850|XP_023177409.2|DHYD	LOC119550821|XP_037715691.1|DSUP
OG0000012	LOC111603802|XP_023177320.1|DHYD	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP
OG0000012	LOC111603848|XP_023177404.2|DHYD	LOC119551494|XP_037716788.1|DSUP
OG0000012	LOC111592160|XP_023159980.2|DHYD, LOC111592239|XP_023160091.2|DHYD, LOC111603807|XP_023177327.2|DHYD, LOC111604855|XP_030081317.1|DHYD, LOC111604825|XP_023178816.2|DHYD, LOC111597894|XP_023168597.2|DHYD, LOC115483456|XP_030081372.1|DHYD, LOC111597897|XP_030081373.1|DHYD, LOC115483455|XP_030081371.1|DHYD, LOC111597905|XP_030081306.1|DHYD	LOC119550209|XP_037714688.1|DSUP, LOC119551068|XP_037716119.1|DSUP, LOC119551074|XP_037716130.1|DSUP, LOC119551639|XP_037716997.1|DSUP, LOC119550378|XP_037714954.1|DSUP
OG0000012	LOC111597898|XP_023168600.2|DHYD	LOC119549965|XP_037714285.1|DSUP, LOC119551851|XP_037717353.1|DSUP, LOC119551850|XP_037717352.1|DSUP, LOC119550449|XP_037715053.1|DSUP
OG0000012	LOC111597903|XP_023168607.2|DHYD	LOC119551476|XP_037716767.1|DSUP, LOC119551477|XP_037716768.1|DSUP
OG0000013	LOC111593737|XP_023162498.2|DHYD	LOC119549437|XP_037713458.1|DSUP
OG0000013	LOC111605302|XP_030080103.1|DHYD	LOC119558255|XP_037727511.1|DSUP
OG0000013	LOC111603010|XP_023176183.1|DHYD	LOC119563541|XP_037732953.1|DSUP
OG0000013	LOC111604413|XP_023178237.2|DHYD	LOC119555401|XP_037722683.1|DSUP
OG0000013	LOC111594553|XP_023163674.1|DHYD	LOC119556345|XP_037724379.1|DSUP
OG0000013	LOC111596498|XP_023166527.2|DHYD, LOC111604194|XP_030080808.1|DHYD	LOC119545787|XP_037707587.1|DSUP
OG0000013	LOC111593623|XP_023162259.1|DHYD, LOC115482793|XP_030078668.1|DHYD, LOC111601646|XP_030078669.1|DHYD	LOC119561021|XP_037730772.1|DSUP, LOC119561023|XP_037730776.1|DSUP, LOC119559756|XP_037728754.1|DSUP, LOC119561022|XP_037730774.1|DSUP, LOC119545740|XP_037707491.1|DSUP, LOC119545739|XP_037707490.1|DSUP
OG0000015	LOC111592667|XP_023160798.2|DHYD	LOC119548635|XP_037711952.1|DSUP
OG0000016	LOC111605496|XP_023179814.1|DHYD	LOC119560964|XP_037730645.1|DSUP
OG0000016	LOC111602093|XP_023174795.1|DHYD	LOC119551792|XP_037717267.1|DSUP
