Orthogroup	DKIK.longest_only	DSUZ.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ
OG0000000	LOC108077905|XP_017026932.1|DKIK	LOC108019552|XP_036669814.1|DSUZ
OG0000000	LOC108084016|XP_017035518.1|DKIK	LOC108013925|XP_016935418.2|DSUZ
OG0000000	LOC108085530|XP_017037652.1|DKIK	LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC108019563|XP_016942889.1|DSUZ
OG0000000	LOC108078602|XP_017028011.1|DKIK	LOC118877230|XP_036670644.1|DSUZ
OG0000000	LOC108078603|XP_017028013.1|DKIK	LOC108007474|XP_036670349.1|DSUZ
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC108008220|XP_016927499.2|DSUZ
OG0000000	LOC108080866|XP_017031258.1|DKIK	LOC108021133|XP_036668720.1|DSUZ
OG0000000	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK	LOC108014081|XP_036675273.1|DSUZ, LOC118878117|XP_036675454.1|DSUZ
OG0000000	LOC108085312|XP_017037357.1|DKIK	LOC118878125|XP_036675508.1|DSUZ
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC108012145|XP_036675462.1|DSUZ
OG0000000	LOC108080867|XP_017031259.1|DKIK	LOC108016425|XP_016938565.2|DSUZ
OG0000000	LOC108073657|XP_017020873.1|DKIK, LOC108073658|XP_017020874.1|DKIK, LOC108073660|XP_017020875.1|DKIK, LOC108073704|XP_017020929.1|DKIK	LOC108012138|XP_036675463.1|DSUZ
OG0000000	LOC108073703|XP_017020927.1|DKIK	LOC108012139|XP_036675579.1|DSUZ
OG0000000	LOC108080896|XP_017031287.1|DKIK	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC108013429|XP_016934786.2|DSUZ
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC108020157|XP_036673587.1|DSUZ
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK	LOC118878061|XP_036675143.1|DSUZ
OG0000000	LOC108078601|XP_017028010.1|DKIK	LOC108007479|XP_036670397.1|DSUZ, LOC118877197|XP_036670391.1|DSUZ, LOC108007478|XP_016926649.1|DSUZ
OG0000000	LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK, LOC108076854|XP_017025373.1|DKIK, LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK, LOC108074035|XP_017021392.1|DKIK, LOC108074412|XP_017021929.1|DKIK	LOC108012280|XP_036672320.1|DSUZ
OG0000002	LOC108082125|XP_017032915.1|DKIK	LOC108008721|XP_016928110.1|DSUZ
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC108009088|XP_016928634.1|DSUZ
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC108009087|XP_016928633.1|DSUZ
OG0000002	LOC108078189|XP_017027346.1|DKIK	LOC108009933|XP_016930164.1|DSUZ
OG0000002	LOC108080319|XP_017030503.1|DKIK, LOC108079700|XP_017029594.1|DKIK, LOC108073777|XP_017021033.1|DKIK, LOC108073812|XP_017021076.1|DKIK	LOC108016449|XP_016938590.2|DSUZ
OG0000002	LOC108074354|XP_017021869.1|DKIK	LOC108011106|XP_016931667.2|DSUZ
OG0000002	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK	LOC108005613|XP_016924412.2|DSUZ
OG0000002	LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ
OG0000002	LOC108077339|XP_017026117.1|DKIK	LOC108009013|XP_016928477.1|DSUZ
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC108008945|XP_016928345.1|DSUZ
OG0000003	LOC108072446|XP_017019063.1|DKIK	LOC108008943|XP_016928342.1|DSUZ
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC108018006|XP_016940848.1|DSUZ
OG0000003	LOC108072417|XP_017019010.1|DKIK	LOC108008949|XP_016928349.1|DSUZ
OG0000003	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK	LOC108008947|XP_016928347.2|DSUZ
OG0000003	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC108008950|XP_016928350.1|DSUZ
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC108019593|XP_016942923.1|DSUZ
OG0000003	LOC108070791|XP_017016879.1|DKIK	LOC108019592|XP_016942921.1|DSUZ
OG0000003	LOC108070792|XP_017016880.1|DKIK	LOC108019594|XP_016942924.1|DSUZ
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC108007096|XP_016926191.1|DSUZ
OG0000004	LOC108085470|XP_017037578.1|DKIK, LOC108075568|XP_017023576.1|DKIK	LOC118879510|XP_036678268.1|DSUZ, LOC108016323|XP_016938449.2|DSUZ, LOC118877303|XP_036671346.1|DSUZ, LOC118879250|XP_036678028.1|DSUZ, LOC118879509|XP_036678267.1|DSUZ, LOC118879267|XP_036678044.1|DSUZ, LOC118879249|XP_036678027.1|DSUZ, LOC118879639|XP_036678427.1|DSUZ, LOC118877305|XP_036671351.1|DSUZ, LOC118879640|XP_036678428.1|DSUZ
OG0000005	LOC108085749|XP_017037978.1|DKIK	LOC118879271|XP_036678048.1|DSUZ, LOC118879262|XP_036678038.1|DSUZ, LOC118879260|XP_036678036.1|DSUZ, LOC118879641|XP_036678429.1|DSUZ, LOC118877314|XP_036671399.1|DSUZ, LOC118879261|XP_036678037.1|DSUZ, LOC118879270|XP_036678047.1|DSUZ, LOC118879258|XP_036678034.1|DSUZ, LOC108016328|XP_036678434.1|DSUZ, LOC118879259|XP_036678035.1|DSUZ, LOC118879512|XP_036678269.1|DSUZ, LOC118877313|XP_036671386.1|DSUZ, LOC118879647|XP_036678435.1|DSUZ, LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ
OG0000005	LOC108071382|XP_017017614.1|DKIK, LOC108085758|XP_017037990.1|DKIK	LOC108016330|XP_016938455.2|DSUZ
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC118879268|XP_036678045.1|DSUZ, LOC108016326|XP_016938452.2|DSUZ, LOC118879253|XP_036678029.1|DSUZ, LOC118879257|XP_036678033.1|DSUZ, LOC118879256|XP_036678032.1|DSUZ, LOC118879786|XP_036678682.1|DSUZ, LOC118879254|XP_036678030.1|DSUZ, LOC118877310|XP_036671372.1|DSUZ, LOC118879269|XP_036678046.1|DSUZ, LOC118879646|XP_036678433.1|DSUZ, LOC108016327|XP_016938453.2|DSUZ
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	LOC118879645|XP_036678432.1|DSUZ
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC108004804|XP_016923359.1|DSUZ
OG0000007	LOC108071584|XP_017017854.1|DKIK	LOC108013025|XP_016934104.1|DSUZ
OG0000007	LOC108071566|XP_017017836.1|DKIK	LOC108012496|XP_016933394.1|DSUZ
OG0000007	LOC108086265|XP_017038640.1|DKIK	LOC118879795|XP_036678702.1|DSUZ
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC108019834|XP_016943342.1|DSUZ
OG0000007	LOC108073664|XP_017020878.1|DKIK, LOC108073665|XP_017020880.1|DKIK, LOC108077603|XP_017026488.1|DKIK	LOC108015466|XP_016937387.2|DSUZ
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC118876800|XP_036668611.1|DSUZ
OG0000007	LOC108078726|XP_017028216.1|DKIK	LOC108012353|XP_016933194.1|DSUZ
OG0000007	LOC108078727|XP_017028217.1|DKIK	LOC108012354|XP_016933195.2|DSUZ
OG0000007	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ
OG0000007	LOC108071627|XP_017017899.1|DKIK	LOC108013030|XP_016934110.1|DSUZ
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC108014183|XP_016935707.1|DSUZ
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC118877368|XP_036671791.1|DSUZ
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC108007042|XP_016926141.1|DSUZ
OG0000008	LOC108072727|XP_017019476.1|DKIK	LOC108020009|XP_016943583.1|DSUZ
OG0000008	LOC108070862|XP_017016987.1|DKIK	LOC108011129|XP_016931690.1|DSUZ
OG0000008	LOC108080451|XP_017030677.1|DKIK	LOC108014245|XP_016935771.2|DSUZ
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC108006378|XP_036675047.1|DSUZ
OG0000008	LOC108080419|XP_017030641.1|DKIK	LOC108014237|XP_016935761.1|DSUZ
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC118878011|XP_036674950.1|DSUZ
OG0000009	LOC108076150|XP_017024404.1|DKIK	LOC108014185|XP_016935709.1|DSUZ
OG0000009	LOC108076246|XP_017024517.1|DKIK	LOC108014181|XP_016935705.2|DSUZ
OG0000009	LOC108085665|XP_017037844.1|DKIK	LOC108011538|XP_036673111.1|DSUZ
OG0000009	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK	LOC108015574|XP_036672879.1|DSUZ
OG0000009	LOC108075985|XP_017024164.1|DKIK	LOC108014176|XP_016935699.1|DSUZ
OG0000009	LOC108070751|XP_017016837.1|DKIK	LOC108008708|XP_016928093.1|DSUZ
OG0000009	LOC108080446|XP_017030671.1|DKIK	LOC108019245|XP_036673765.1|DSUZ
OG0000009	LOC108082335|XP_017033154.1|DKIK	LOC108008467|XP_016927811.1|DSUZ
OG0000009	LOC108082367|XP_017033197.1|DKIK	LOC108008503|XP_016927857.1|DSUZ
OG0000010	LOC108081051|XP_017031512.1|DKIK	LOC118879650|XP_036678438.1|DSUZ
OG0000010	LOC108072854|XP_017019661.1|DKIK	LOC108014626|XP_016936278.1|DSUZ
OG0000010	LOC108073959|XP_017021281.1|DKIK	LOC118878854|XP_036677774.1|DSUZ, LOC118877836|XP_036673914.1|DSUZ
OG0000010	LOC108084633|XP_017036410.1|DKIK	LOC108006791|XP_016925829.1|DSUZ
OG0000011	LOC108074353|XP_017021868.1|DKIK, LOC108084761|XP_017036565.1|DKIK, LOC108084804|XP_017036651.1|DKIK, LOC108083260|XP_017034457.1|DKIK, LOC108084805|XP_017036652.1|DKIK, LOC108084755|XP_017036555.1|DKIK, LOC108083234|XP_017034430.1|DKIK, LOC108078960|XP_017028605.1|DKIK, LOC108072111|XP_017018626.1|DKIK, LOC108079747|XP_017029651.1|DKIK, LOC108078767|XP_017028297.1|DKIK, LOC108079746|XP_017029649.1|DKIK	LOC108018989|XP_016942085.1|DSUZ
OG0000011	LOC108077100|XP_017025772.1|DKIK	LOC108021665|XP_016945968.1|DSUZ, LOC108006696|XP_016925727.1|DSUZ, LOC108021664|XP_016945967.1|DSUZ, LOC108009075|XP_016928585.1|DSUZ, LOC108010267|XP_016930620.1|DSUZ
OG0000011	LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK	LOC108009077|XP_016928601.2|DSUZ, LOC108007943|XP_016927205.1|DSUZ
OG0000011	LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK	LOC108011057|XP_016931608.2|DSUZ, LOC108017249|XP_016939743.2|DSUZ, LOC108005644|XP_016924447.2|DSUZ, LOC108006711|XP_036671367.1|DSUZ, LOC108020533|XP_016944364.2|DSUZ, LOC108018712|XP_036678677.1|DSUZ
OG0000011	LOC108074515|XP_017022082.1|DKIK	LOC108020156|XP_036668757.1|DSUZ, LOC108014609|XP_016936264.1|DSUZ, LOC108014635|XP_016936289.1|DSUZ, LOC108005222|XP_016923902.1|DSUZ
OG0000011	LOC108075323|XP_017023218.1|DKIK	LOC108015091|XP_036676218.1|DSUZ, LOC108012407|XP_016933256.1|DSUZ
OG0000011	LOC108073175|XP_017020170.1|DKIK	LOC118877899|XP_036674305.1|DSUZ
OG0000011	LOC108074026|XP_017021384.1|DKIK	LOC108019539|XP_036675111.1|DSUZ
OG0000012	LOC108076784|XP_017025279.1|DKIK	LOC108010292|XP_016930652.1|DSUZ
OG0000012	LOC108076783|XP_017025278.1|DKIK	LOC108009919|XP_016930137.1|DSUZ
OG0000012	LOC108076799|XP_017025312.1|DKIK	LOC108009918|XP_016930133.2|DSUZ
OG0000012	LOC108076590|XP_017024991.1|DKIK	LOC108010305|XP_016930677.1|DSUZ
OG0000012	LOC108076575|XP_017024974.1|DKIK	LOC108008112|XP_016927391.1|DSUZ
OG0000012	LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK	LOC108008405|XP_016927739.1|DSUZ
OG0000012	LOC108076609|XP_017025012.1|DKIK	LOC108008893|XP_036669248.1|DSUZ
OG0000012	LOC108082430|XP_017033289.1|DKIK	LOC108008513|XP_016927870.1|DSUZ
OG0000012	LOC108082433|XP_017033293.1|DKIK	LOC108008168|XP_036669662.1|DSUZ
