Orthogroup	DEUG.longest_only	DKIK.longest_only
OG0000000	LOC108114097|XP_017080345.1|DEUG	LOC108078585|XP_017027994.1|DKIK
OG0000000	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG	LOC108084016|XP_017035518.1|DKIK
OG0000000	LOC108108401|XP_017071943.1|DEUG, LOC108108403|XP_017071945.1|DEUG	LOC108085530|XP_017037652.1|DKIK
OG0000000	LOC108112762|XP_017078510.1|DEUG	LOC108077933|XP_017026960.1|DKIK
OG0000000	LOC108113889|XP_017080083.1|DEUG	LOC108078602|XP_017028011.1|DKIK
OG0000000	LOC108114143|XP_017080414.1|DEUG	LOC108078603|XP_017028013.1|DKIK
OG0000000	LOC108107246|XP_017070153.1|DEUG	LOC108072234|XP_017018785.1|DKIK
OG0000000	LOC108113894|XP_017080088.1|DEUG	LOC108084391|XP_017036073.1|DKIK, LOC108084392|XP_017036074.1|DKIK
OG0000000	LOC108104212|XP_017065644.1|DEUG	LOC108085312|XP_017037357.1|DKIK
OG0000000	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK
OG0000000	LOC108112106|XP_017077345.1|DEUG	LOC108080870|XP_017031262.1|DKIK
OG0000000	LOC108113484|XP_017079558.1|DEUG	LOC108073703|XP_017020927.1|DKIK
OG0000000	LOC108113485|XP_017079560.1|DEUG	LOC108080896|XP_017031287.1|DKIK
OG0000000	LOC108115565|XP_017082560.1|DEUG	LOC108075384|XP_017023284.1|DKIK
OG0000000	LOC108103054|XP_017063857.1|DEUG	LOC108076851|XP_017025370.1|DKIK
OG0000000	LOC108105763|XP_017067972.1|DEUG	LOC108070814|XP_017016902.1|DKIK
OG0000000	LOC108115960|XP_017083085.1|DEUG	LOC108070634|XP_017016690.1|DKIK
OG0000000	LOC108114927|XP_017081602.1|DEUG	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK
OG0000000	LOC108114139|XP_017080411.1|DEUG, LOC108113893|XP_017080087.1|DEUG, LOC108114144|XP_017080415.1|DEUG	LOC108078601|XP_017028010.1|DKIK
OG0000000	LOC108104271|XP_017065711.1|DEUG, LOC108104244|XP_017065683.1|DEUG, LOC108104247|XP_017065685.1|DEUG, LOC108104242|XP_017065681.1|DEUG, LOC108104250|XP_017065688.1|DEUG, LOC108116803|XP_017084340.1|DEUG, LOC108104248|XP_017065686.1|DEUG, LOC108104270|XP_017065710.1|DEUG, LOC108104269|XP_017065708.1|DEUG, LOC108104243|XP_017065682.1|DEUG, LOC108104241|XP_017065680.1|DEUG, LOC108104245|XP_017065684.1|DEUG	LOC108070504|XP_017016486.1|DKIK, LOC108070505|XP_017016488.1|DKIK, LOC108070503|XP_017016485.1|DKIK, LOC108076854|XP_017025373.1|DKIK, LOC108074034|XP_017021390.1|DKIK, LOC108074033|XP_017021389.1|DKIK, LOC108074035|XP_017021392.1|DKIK, LOC108074412|XP_017021929.1|DKIK
OG0000002	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG	LOC108082125|XP_017032915.1|DKIK
OG0000002	LOC108112852|XP_017078659.1|DEUG	LOC108085203|XP_017037209.1|DKIK
OG0000002	LOC108112853|XP_017078660.1|DEUG	LOC108085202|XP_017037207.1|DKIK
OG0000002	LOC108108874|XP_017072580.1|DEUG	LOC108082094|XP_017032879.1|DKIK
OG0000002	LOC108114765|XP_017081366.1|DEUG	LOC108080319|XP_017030503.1|DKIK, LOC108079700|XP_017029594.1|DKIK, LOC108073777|XP_017021033.1|DKIK, LOC108073812|XP_017021076.1|DKIK
OG0000002	LOC108105850|XP_017068103.1|DEUG	LOC108074354|XP_017021869.1|DKIK
OG0000002	LOC108113287|XP_017079326.1|DEUG	LOC108077339|XP_017026117.1|DKIK
OG0000002	LOC108110800|XP_017075517.1|DEUG	LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK
OG0000003	LOC108106604|XP_017069284.1|DEUG	LOC108072418|XP_017019012.1|DKIK
OG0000003	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG	LOC108072446|XP_017019063.1|DKIK
OG0000003	LOC108106562|XP_017069219.1|DEUG	LOC108070524|XP_017016527.1|DKIK
OG0000003	LOC108106678|XP_017069398.1|DEUG	LOC108072417|XP_017019010.1|DKIK
OG0000003	LOC108106603|XP_017069283.1|DEUG, LOC108106677|XP_017069397.1|DEUG, LOC108108144|XP_017071563.1|DEUG	LOC108072407|XP_017018998.1|DKIK
OG0000003	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG	LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK
OG0000003	LOC108106224|XP_017068639.1|DEUG	LOC108072419|XP_017019013.1|DKIK
OG0000003	LOC108104525|XP_017066146.1|DEUG	LOC108070794|XP_017016883.1|DKIK
OG0000003	LOC108104523|XP_017066143.1|DEUG	LOC108070791|XP_017016879.1|DKIK
OG0000003	LOC108115149|XP_017081948.1|DEUG	LOC108070793|XP_017016882.1|DKIK
OG0000003	LOC108104524|XP_017066145.1|DEUG	LOC108070792|XP_017016880.1|DKIK
OG0000004	LOC108113823|XP_017080058.1|DEUG	LOC108073963|XP_017021295.1|DKIK
OG0000005	LOC108103412|XP_017064359.1|DEUG	LOC108071382|XP_017017614.1|DKIK, LOC108085758|XP_017037990.1|DKIK
OG0000006	LOC108103399|XP_017064345.1|DEUG	LOC108072846|XP_017019650.1|DKIK
OG0000007	LOC108107527|XP_017070556.1|DEUG	LOC108071566|XP_017017836.1|DKIK
OG0000007	LOC108102687|XP_017063316.1|DEUG	LOC108086265|XP_017038640.1|DKIK
OG0000007	LOC108104447|XP_017065997.1|DEUG	LOC108078491|XP_017027862.1|DKIK
OG0000007	LOC108111280|XP_017076157.1|DEUG, LOC108111281|XP_017076158.1|DEUG, LOC108111392|XP_017076316.1|DEUG, LOC108111282|XP_017076159.1|DEUG, LOC108111279|XP_017076156.1|DEUG	LOC108073664|XP_017020878.1|DKIK, LOC108073665|XP_017020880.1|DKIK, LOC108077603|XP_017026488.1|DKIK
OG0000007	LOC108102523|XP_017063049.1|DEUG, LOC108102695|XP_017063328.1|DEUG	LOC108086266|XP_017038642.1|DKIK
OG0000007	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG	LOC108078727|XP_017028217.1|DKIK
OG0000007	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK
OG0000007	LOC108107529|XP_017070559.1|DEUG	LOC108071626|XP_017017898.1|DKIK
OG0000007	LOC108107925|XP_017071238.1|DEUG	LOC108071627|XP_017017899.1|DKIK
OG0000008	LOC108117090|XP_017084777.1|DEUG	LOC108081759|XP_017032449.1|DKIK
OG0000008	LOC108107843|XP_017071086.1|DEUG	LOC108072724|XP_017019474.1|DKIK
OG0000008	LOC108104027|XP_017065348.1|DEUG	LOC108075890|XP_017023993.1|DKIK
OG0000008	LOC108107848|XP_017071091.1|DEUG	LOC108072727|XP_017019476.1|DKIK
OG0000008	LOC108103232|XP_017064122.1|DEUG	LOC108070862|XP_017016987.1|DKIK
OG0000008	LOC108116557|XP_017083985.1|DEUG	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK
OG0000008	LOC108116118|XP_017083331.1|DEUG	LOC108080451|XP_017030677.1|DKIK
OG0000008	LOC108116121|XP_017083334.1|DEUG	LOC108080456|XP_017030682.1|DKIK
OG0000008	LOC108116120|XP_017083333.1|DEUG	LOC108080419|XP_017030641.1|DKIK
OG0000008	LOC108116119|XP_017083332.1|DEUG	LOC108080455|XP_017030681.1|DKIK
OG0000009	LOC108117308|XP_017085159.1|DEUG	LOC108076150|XP_017024404.1|DKIK
OG0000009	LOC108117290|XP_017085135.1|DEUG	LOC108076246|XP_017024517.1|DKIK
OG0000009	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK
OG0000009	LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG	LOC108075985|XP_017024164.1|DKIK
OG0000009	LOC108107216|XP_017070122.1|DEUG	LOC108070751|XP_017016837.1|DKIK
OG0000009	LOC108111728|XP_017076770.1|DEUG	LOC108080446|XP_017030671.1|DKIK
OG0000009	LOC108106283|XP_017068739.1|DEUG	LOC108082335|XP_017033154.1|DKIK
OG0000009	LOC108110759|XP_017075465.1|DEUG, LOC108110896|XP_017075646.1|DEUG, LOC108110742|XP_017075440.1|DEUG	LOC108082309|XP_017033129.1|DKIK
OG0000009	LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG	LOC108082367|XP_017033197.1|DKIK
OG0000010	LOC108103372|XP_017064308.1|DEUG	LOC108073959|XP_017021281.1|DKIK
OG0000011	LOC108111192|XP_017076075.1|DEUG	LOC108077100|XP_017025772.1|DKIK
OG0000011	LOC108102528|XP_017063054.1|DEUG, LOC108102616|XP_017063214.1|DEUG	LOC108077099|XP_017025771.1|DKIK, LOC108077098|XP_017025769.1|DKIK
OG0000011	LOC108108695|XP_017072289.1|DEUG, LOC108118231|XP_017086302.1|DEUG	LOC108086138|XP_017038482.1|DKIK, LOC108086130|XP_017038471.1|DKIK, LOC108086060|XP_017038366.1|DKIK, LOC108081434|XP_017032105.1|DKIK, LOC108086061|XP_017038367.1|DKIK, LOC108079969|XP_017030022.1|DKIK, LOC108078656|XP_017028076.1|DKIK, LOC108072836|XP_017019617.1|DKIK
OG0000011	LOC108118458|XP_017086666.1|DEUG, LOC108118456|XP_017086662.1|DEUG, LOC108103884|XP_017065103.1|DEUG, LOC108103883|XP_017065101.1|DEUG	LOC108074515|XP_017022082.1|DKIK
OG0000011	LOC108105967|XP_017068260.1|DEUG	LOC108075323|XP_017023218.1|DKIK
OG0000011	LOC108109998|XP_017074326.1|DEUG	LOC108073175|XP_017020170.1|DKIK
OG0000012	LOC108113192|XP_017079208.1|DEUG	LOC108076784|XP_017025279.1|DKIK
OG0000012	LOC108113191|XP_017079207.1|DEUG	LOC108076783|XP_017025278.1|DKIK
OG0000012	LOC108113343|XP_017079393.1|DEUG	LOC108076799|XP_017025312.1|DKIK
OG0000012	LOC108113377|XP_017079435.1|DEUG	LOC108076590|XP_017024991.1|DKIK
OG0000012	LOC108112131|XP_017077370.1|DEUG	LOC108076575|XP_017024974.1|DKIK
OG0000012	LOC108112132|XP_017077371.1|DEUG	LOC108076815|XP_017025335.1|DKIK, LOC108076574|XP_017024973.1|DKIK
OG0000012	LOC108112267|XP_017077578.1|DEUG	LOC108076609|XP_017025012.1|DKIK
OG0000012	LOC108106282|XP_017068738.1|DEUG	LOC108082430|XP_017033289.1|DKIK
OG0000012	LOC108106301|XP_017068761.1|DEUG	LOC108082433|XP_017033293.1|DKIK
OG0000012	LOC108106279|XP_017068735.1|DEUG	LOC108082323|XP_017033142.1|DKIK, LOC108082625|XP_017033594.1|DKIK
OG0000012	LOC108106300|XP_017068760.1|DEUG	LOC108082321|XP_017033140.1|DKIK, LOC108082322|XP_017033141.1|DKIK
OG0000012	LOC108106742|XP_017069468.1|DEUG	LOC108082347|XP_017033172.1|DKIK
OG0000012	LOC108106739|XP_017069464.1|DEUG	LOC108082319|XP_017033138.1|DKIK
OG0000013	LOC108106511|XP_017069094.1|DEUG	LOC108074734|XP_017022389.1|DKIK
OG0000013	LOC108104346|XP_017065833.1|DEUG	LOC108079326|XP_017029113.1|DKIK
OG0000013	LOC108105608|XP_017067774.1|DEUG	LOC108084190|XP_017035777.1|DKIK
OG0000013	LOC108105962|XP_017068250.1|DEUG	LOC108075225|XP_017023059.1|DKIK
OG0000013	LOC108116899|XP_017084498.1|DEUG	LOC108080801|XP_017031181.1|DKIK
OG0000013	LOC108116618|XP_017084081.1|DEUG	LOC108084525|XP_017036250.1|DKIK, LOC108084560|XP_017036304.1|DKIK
OG0000013	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG	LOC108077730|XP_017026675.1|DKIK, LOC108077704|XP_017026632.1|DKIK
OG0000015	LOC108106287|XP_017068742.1|DEUG, LOC108118427|XP_017086598.1|DEUG, LOC108118426|XP_017086597.1|DEUG	LOC108082548|XP_017033482.1|DKIK, LOC108082527|XP_017033449.1|DKIK
OG0000015	LOC108106825|XP_017069551.1|DEUG, LOC108110504|XP_017075072.1|DEUG	LOC108074481|XP_017022042.1|DKIK
OG0000015	LOC108106912|XP_017069652.1|DEUG, LOC108106885|XP_017069622.1|DEUG, LOC108106894|XP_017069633.1|DEUG, LOC108106916|XP_017069656.1|DEUG, LOC108106913|XP_017069653.1|DEUG, LOC108106877|XP_017069613.1|DEUG	LOC108085342|XP_017037387.1|DKIK
OG0000016	LOC108116882|XP_017084468.1|DEUG	LOC108074071|XP_017021434.1|DKIK
OG0000016	LOC108109063|XP_017072885.1|DEUG	LOC108078132|XP_017027246.1|DKIK
OG0000016	LOC108117273|XP_017085115.1|DEUG	LOC108085727|XP_017037944.1|DKIK
OG0000016	LOC108103209|XP_017064088.1|DEUG	LOC108084467|XP_017036167.1|DKIK
OG0000016	LOC108110347|XP_017074869.1|DEUG	LOC108071378|XP_017017603.1|DKIK
