Orthogroup	DYAK.longest_only	DMEL.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	CG33700|NP_001027121.3|DMEL
OG0000000	LOC26536205|XP_015052957.2|DYAK	CG33752|NP_001027409.1|DMEL
OG0000000	LOC6529038|XP_002090069.2|DYAK	CG33679|NP_001027273.1|DMEL
OG0000000	LOC6536475|XP_002097056.2|DYAK	CG33783|NP_001027168.1|DMEL
OG0000000	LOC6530087|XP_002091033.1|DYAK	CG33775|NP_001027410.1|DMEL
OG0000000	LOC6535099|XP_039229818.1|DYAK	CG33687|NP_001027130.2|DMEL
OG0000000	LOC6535097|XP_039229817.1|DYAK	CG33690|NP_001368948.1|DMEL
OG0000000	LOC6535098|XP_002095761.2|DYAK	CG33689|NP_001027132.2|DMEL
OG0000000	LOC6532122|XP_002092898.3|DYAK	CG12849|NP_611969.2|DMEL
OG0000000	LOC6538960|XP_002099463.2|DYAK	CG33920|NP_001027214.1|DMEL
OG0000000	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK	CG33773|NP_001027213.1|DMEL
OG0000000	LOC6527857|XP_002088929.1|DYAK	CG33723|NP_001027235.1|DMEL
OG0000000	LOC26536234|XP_015048941.1|DYAK	CG33658|NP_001027209.1|DMEL
OG0000000	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK	CG33798|NP_001027414.1|DMEL
OG0000000	LOC6531513|XP_002092312.3|DYAK	CG33463|NP_995846.2|DMEL
OG0000000	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK	CG33764|NP_001027107.1|DMEL
OG0000000	LOC6526414|XP_002087533.2|DYAK	CG33923|NP_001027216.2|DMEL, CG33922|NP_001027217.1|DMEL
OG0000000	LOC6532990|XP_039229806.1|DYAK	CG33777|NP_001027108.1|DMEL
OG0000000	LOC6538949|XP_002099452.1|DYAK	CG33483|NP_001189327.1|DMEL
OG0000000	LOC6537714|XP_002098259.2|DYAK	CG33721|NP_001036743.1|DMEL
OG0000000	LOC6529465|XP_002090467.1|DYAK	CG33928|NP_001027276.1|DMEL
OG0000000	LOC6530976|XP_002091814.2|DYAK	CG33453|NP_995888.1|DMEL
OG0000000	LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK	CG13590|NP_611919.1|DMEL
OG0000000	LOC6532049|XP_002092826.1|DYAK	CG13589|NP_611918.2|DMEL
OG0000000	LOC6538114|XP_002098649.1|DYAK	CG14518|NP_651653.2|DMEL
OG0000000	LOC6535316|XP_002095972.1|DYAK	CG33927|NP_001027147.1|DMEL
OG0000000	LOC6539519|XP_002086405.1|DYAK	CG33796|NP_001027128.1|DMEL
OG0000000	LOC6539518|XP_039230304.1|DYAK	CG33795|NP_001027129.2|DMEL
OG0000000	LOC6533890|XP_002094590.1|DYAK	CG33725|NP_001027125.1|DMEL
OG0000002	LOC6531354|XP_002092157.1|DYAK	CG5550|NP_001246376.1|DMEL
OG0000002	LOC6530517|XP_002091432.3|DYAK	CG30281|NP_726164.1|DMEL
OG0000002	LOC6530518|XP_002091433.1|DYAK	CG30280|NP_611641.6|DMEL
OG0000002	LOC6528284|XP_002089337.3|DYAK	CG31832|NP_723894.2|DMEL
OG0000002	LOC26535670|XP_015050876.2|DYAK	CG7668|NP_649170.1|DMEL
OG0000002	LOC6527104|XP_002088197.3|DYAK	CG9500|NP_609018.3|DMEL
OG0000003	LOC6530460|XP_002091376.2|DYAK	Cyp6a9|NP_523748.2|DMEL
OG0000003	LOC6530462|XP_002091378.1|DYAK	Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC6538264|XP_002098791.1|DYAK	Cyp6a18|NP_651563.1|DMEL
OG0000003	LOC6530463|XP_002091379.1|DYAK	Cyp6a8|NP_523749.2|DMEL
OG0000003	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK	Cyp6a2|NP_523628.1|DMEL
OG0000003	LOC6530458|XP_002091374.1|DYAK	Cyp6a23|NP_611000.2|DMEL
OG0000003	LOC6530457|XP_002091373.1|DYAK	Cyp6a17|NP_652018.1|DMEL
OG0000003	LOC6530459|XP_002091375.1|DYAK	Cyp6a19|NP_611001.2|DMEL
OG0000003	LOC6530456|XP_002091372.1|DYAK	Cyp6a22|NP_652075.1|DMEL
OG0000003	LOC6528608|XP_002089651.1|DYAK	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC6528128|XP_002089195.3|DYAK	Cyp6a16|NP_001285631.1|DMEL
