Orthogroup	DPSE.longest_only	DSER.longest_only
OG0000000	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE	LOC110188492|XP_020813881.1|DSER
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC117184977|XP_033240205.1|DPSE	LOC110190735|XP_020817016.1|DSER
OG0000000	LOC6900000|XP_002135366.3|DPSE	LOC110190738|XP_020817019.1|DSER
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC6896672|XP_033232290.1|DPSE	LOC110186264|XP_020811030.1|DSER, LOC110186911|XP_020811890.1|DSER, LOC110186265|XP_020811031.1|DSER
OG0000000	LOC26532949|XP_015039423.1|DPSE	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER
OG0000000	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER
OG0000000	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE	LOC110185901|XP_020810577.1|DSER, LOC110180637|XP_020803993.1|DSER
OG0000000	LOC6897227|XP_002137399.2|DPSE	LOC110187976|XP_020813156.1|DSER
OG0000000	LOC6902907|XP_033236216.1|DPSE	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC110177452|XP_020799845.1|DSER
