Orthogroup	BCOP.longest_only	DERE.longest_only
OG0000000	LOC119067394|XP_037026221.1|BCOP	LOC26526117|XP_026833226.1|DERE, LOC6545981|XP_001972189.2|DERE, LOC6555364|XP_026831619.1|DERE, LOC6546799|XP_001975893.2|DERE, LOC6541982|XP_001968936.1|DERE, LOC6552159|XP_001980711.1|DERE, LOC6544810|XP_026832924.1|DERE, LOC6544813|XP_001973192.2|DERE, LOC6544812|XP_001973191.2|DERE, LOC6548572|XP_026836220.1|DERE, LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE, LOC6554922|XP_001981127.2|DERE, LOC6554923|XP_001981128.1|DERE, LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE, LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE, LOC6541136|XP_001969303.1|DERE, LOC6554482|XP_001981927.3|DERE, LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE, LOC6548870|XP_001975456.3|DERE, LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE, LOC6542210|XP_026835022.1|DERE, LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE, LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE, LOC6544187|XP_026833238.1|DERE, LOC26526690|XP_015009401.1|DERE, LOC6549399|XP_001974447.1|DERE, LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE, LOC26526070|XP_026831673.1|DERE, LOC6551915|XP_001978850.1|DERE, LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE
OG0000002	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP	LOC6540746|XP_001968931.3|DERE, LOC6545786|XP_001973422.2|DERE
OG0000002	LOC119076785|XP_037039644.1|BCOP	LOC6542167|XP_001968638.1|DERE, LOC6541336|XP_001968621.3|DERE, LOC6543212|XP_026834323.1|DERE
OG0000003	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP	LOC6543184|XP_001968830.1|DERE
OG0000005	LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP	LOC6556051|XP_001982911.1|DERE, LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE, LOC6556058|XP_001982915.1|DERE, LOC113564801|XP_026839449.1|DERE, LOC113564800|XP_026839448.1|DERE, LOC6548707|XP_001973996.1|DERE, LOC6556031|XP_001982896.1|DERE, LOC6556046|XP_001982906.1|DERE, LOC6556228|XP_001983059.1|DERE, LOC6556303|XP_001983113.1|DERE
OG0000006	LOC119082428|XP_037047851.1|BCOP	LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE
OG0000006	LOC119077570|XP_037040675.1|BCOP, LOC119082424|XP_037047848.1|BCOP, LOC119077558|XP_037040664.1|BCOP, LOC119075098|XP_037037382.1|BCOP, LOC119075115|XP_037037399.1|BCOP, LOC119075400|XP_037037739.1|BCOP, LOC119075402|XP_037037741.1|BCOP, LOC119075103|XP_037037386.1|BCOP, LOC119078394|XP_037041792.1|BCOP	LOC6548691|XP_001974010.1|DERE
OG0000007	LOC119080766|XP_037045225.1|BCOP	LOC6546441|XP_001972927.1|DERE, LOC6545298|XP_001972056.1|DERE, LOC6545299|XP_001972057.1|DERE, LOC6545296|XP_001972054.1|DERE, LOC6545101|XP_001972052.1|DERE, LOC6545102|XP_001972053.1|DERE, LOC6540938|XP_001968734.1|DERE, LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE, LOC6554433|XP_001981284.1|DERE, LOC6554432|XP_001981283.1|DERE, LOC6540876|XP_001968735.1|DERE, LOC6545660|XP_001971664.1|DERE, LOC6540935|XP_001968733.1|DERE, LOC6545300|XP_001972058.2|DERE, LOC6545301|XP_001972059.1|DERE
OG0000008	LOC119076148|XP_037038725.1|BCOP	LOC6553905|XP_001979522.1|DERE
OG0000008	LOC119067198|XP_037025928.1|BCOP	LOC6543716|XP_001971859.1|DERE
