Orthogroup	DMAU.longest_only	AEAL.longest_only
OG0000001	LOC117139899|XP_033158470.1|DMAU, LOC117139036|XP_033157028.1|DMAU, LOC117149992|XP_033172772.1|DMAU, LOC117139516|XP_033157765.1|DMAU, LOC117136528|XP_033153363.1|DMAU, LOC117142606|XP_033162575.1|DMAU, LOC117137930|XP_033155574.1|DMAU	LOC115266839|XP_029729303.1|AEAL, LOC109406607|XP_019535244.2|AEAL, LOC109400564|XP_019528597.2|AEAL, LOC109404313|XP_029722627.1|AEAL
OG0000002	LOC117136934|XP_033153971.1|DMAU	LOC115263125|XP_029721902.1|AEAL, LOC109430246|XP_019561842.2|AEAL, LOC109416944|XP_019546605.2|AEAL, LOC115265443|XP_029726462.1|AEAL, LOC109426996|XP_019558100.2|AEAL, LOC109411377|XP_019540446.2|AEAL, LOC115266493|XP_029728592.1|AEAL, LOC109403760|XP_019532176.2|AEAL, LOC109416948|XP_019546608.2|AEAL, LOC109400072|XP_019528089.2|AEAL, LOC109621611|XP_019931245.2|AEAL
OG0000007	LOC117141087|XP_033160294.1|DMAU, LOC117142070|XP_033161841.1|DMAU, LOC117140666|XP_033159604.1|DMAU, LOC117139205|XP_033157267.1|DMAU, LOC117140665|XP_033159603.1|DMAU, LOC117150742|XP_033173667.1|DMAU, LOC117136894|XP_033153899.1|DMAU, LOC117143375|XP_033163942.1|DMAU, LOC117144956|XP_033166302.1|DMAU, LOC117143365|XP_033163930.1|DMAU, LOC117143364|XP_033163929.1|DMAU, LOC117139714|XP_033158125.1|DMAU, LOC117139147|XP_033157196.1|DMAU, LOC117139091|XP_033157106.1|DMAU, LOC117142071|XP_033161842.1|DMAU, LOC117142072|XP_033161843.1|DMAU	LOC109417624|XP_019547214.2|AEAL, LOC109417822|XP_019547546.2|AEAL, LOC109417827|XP_019547550.2|AEAL
OG0000008	LOC117142833|XP_033162955.1|DMAU	LOC109400278|XP_019528306.2|AEAL, LOC115264163|XP_029723411.1|AEAL, LOC109411044|XP_019540029.2|AEAL, LOC109400276|XP_029732649.1|AEAL, LOC109411042|XP_029723844.1|AEAL, LOC115269452|XP_029734079.1|AEAL, LOC109398594|XP_019526527.2|AEAL, LOC109411038|XP_019540020.2|AEAL, LOC115268685|XP_029732650.1|AEAL, LOC109398586|XP_029723414.1|AEAL, LOC109398584|XP_029723843.1|AEAL, LOC109411041|XP_019540026.2|AEAL, LOC109411040|XP_029732651.1|AEAL, LOC109411057|XP_019540042.2|AEAL, LOC109411039|XP_019540021.2|AEAL, LOC109398568|XP_019526496.2|AEAL, LOC115264164|XP_029723413.1|AEAL
OG0000008	LOC117140615|XP_033159521.1|DMAU	LOC109409017|XP_019537970.1|AEAL, LOC115261399|XP_029718872.1|AEAL, LOC109429131|XP_029730081.1|AEAL, LOC109429134|XP_019560529.1|AEAL, LOC115261395|XP_029718863.1|AEAL, LOC115261400|XP_029718873.1|AEAL, LOC109409015|XP_029718862.1|AEAL
OG0000008	LOC117140614|XP_033159520.1|DMAU	LOC109409014|XP_019537968.1|AEAL
OG0000008	LOC117150767|XP_033173694.1|DMAU	LOC115258666|XP_029714842.1|AEAL, LOC109418542|XP_029714903.1|AEAL, LOC115258618|XP_029714768.1|AEAL
OG0000009	LOC117145423|XP_033166959.1|DMAU, LOC117143759|XP_033164466.1|DMAU, LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU, LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU, LOC117136735|XP_033153656.1|DMAU, LOC117143616|XP_033164265.1|DMAU, LOC117135792|XP_033152175.1|DMAU, LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU	LOC109421248|XP_029710358.1|AEAL, LOC109410814|XP_019539891.2|AEAL, LOC109421247|XP_019551278.2|AEAL, LOC109421196|XP_019551233.2|AEAL, LOC115256237|XP_029710360.1|AEAL, LOC109421246|XP_029710374.1|AEAL, LOC109410815|XP_029710361.1|AEAL, LOC109410828|XP_029725091.1|AEAL, LOC115268621|XP_029732616.1|AEAL, LOC109621352|XP_019930946.2|AEAL, LOC109410832|XP_019539911.2|AEAL, LOC115265026|XP_029725093.1|AEAL, LOC115266859|XP_029729327.1|AEAL, LOC109621393|XP_029732578.1|AEAL, LOC109427506|XP_019558604.2|AEAL, LOC109432620|XP_019564525.2|AEAL, LOC109405071|XP_019533608.2|AEAL, LOC109405076|XP_019533612.2|AEAL, LOC109397914|XP_019525799.2|AEAL, LOC109406992|XP_019535559.2|AEAL, LOC109406984|XP_029711464.1|AEAL, LOC109406989|XP_019535556.2|AEAL, LOC109397917|XP_019525802.2|AEAL
OG0000010	LOC117142722|XP_033162774.1|DMAU	LOC115261280|XP_029718515.1|AEAL, LOC115261279|XP_029718514.1|AEAL, LOC109431225|XP_019562983.1|AEAL, LOC115261277|XP_029718512.1|AEAL, LOC115261268|XP_029718502.1|AEAL, LOC115264622|XP_029724361.1|AEAL, LOC115261276|XP_029718511.1|AEAL, LOC115264603|XP_029724326.1|AEAL, LOC115261272|XP_029718507.1|AEAL, LOC115261273|XP_029718508.1|AEAL, LOC115261278|XP_029718513.1|AEAL, LOC115261281|XP_029718517.1|AEAL, LOC115261274|XP_029718509.1|AEAL, LOC109401799|XP_029718532.1|AEAL, LOC115261275|XP_029718510.1|AEAL
OG0000012	LOC117136761|XP_033153688.1|DMAU, LOC117136760|XP_033153687.1|DMAU, LOC117136898|XP_033153902.1|DMAU, LOC117137864|XP_033155471.1|DMAU, LOC117137455|XP_033154790.1|DMAU, LOC117136643|XP_033153526.1|DMAU, LOC117136387|XP_033153170.1|DMAU, LOC117136474|XP_033153296.1|DMAU, LOC117136403|XP_033153190.1|DMAU, LOC117138497|XP_033156518.1|DMAU, LOC117137795|XP_033155358.1|DMAU, LOC117137796|XP_033155359.1|DMAU	LOC109423253|XP_029726458.1|AEAL, LOC109423301|XP_019553773.2|AEAL
