Orthogroup	DSUZ.longest_only	CQUI.longest_only
OG0000001	LOC118878795|XP_036677709.1|DSUZ, LOC118879348|XP_036678093.1|DSUZ	LOC119765978|XP_038106214.1|CQUI
OG0000002	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI
OG0000005	LOC108016330|XP_016938455.2|DSUZ	LOC6054619|XP_001870506.1|CQUI, LOC6042909|XP_001853966.2|CQUI, LOC6042917|XP_001854001.1|CQUI, LOC119767402|XP_038111852.1|CQUI, LOC6037816|XP_038107337.1|CQUI
OG0000006	LOC118879254|XP_036678030.1|DSUZ, LOC118877310|XP_036671372.1|DSUZ, LOC118879269|XP_036678046.1|DSUZ, LOC118879646|XP_036678433.1|DSUZ	LOC6045306|XP_001862695.1|CQUI
OG0000006	LOC118879645|XP_036678432.1|DSUZ	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI
OG0000007	LOC108004804|XP_016923359.1|DSUZ, LOC118877416|XP_036672028.1|DSUZ, LOC108013025|XP_016934104.1|DSUZ, LOC108013029|XP_016934109.1|DSUZ, LOC108012496|XP_016933394.1|DSUZ, LOC108012427|XP_016933279.1|DSUZ, LOC108012288|XP_016933078.2|DSUZ, LOC108013028|XP_016934108.1|DSUZ, LOC108013026|XP_016934106.1|DSUZ, LOC118879795|XP_036678702.1|DSUZ, LOC108019834|XP_016943342.1|DSUZ, LOC108017241|XP_036675632.1|DSUZ, LOC108015466|XP_016937387.2|DSUZ, LOC118876800|XP_036668611.1|DSUZ, LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ, LOC108013030|XP_016934110.1|DSUZ	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI
OG0000008	LOC108014183|XP_016935707.1|DSUZ	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI
OG0000008	LOC108020044|XP_016943629.1|DSUZ	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI
OG0000008	LOC118877368|XP_036671791.1|DSUZ	LOC6035807|XP_001845929.1|CQUI
OG0000008	LOC108007042|XP_016926141.1|DSUZ	LOC6041962|XP_038113753.1|CQUI
OG0000008	LOC108020009|XP_016943583.1|DSUZ	LOC6035809|XP_001845931.2|CQUI
OG0000009	LOC108014185|XP_016935709.1|DSUZ, LOC108014181|XP_016935705.2|DSUZ, LOC108011538|XP_036673111.1|DSUZ, LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ, LOC108011415|XP_036670407.1|DSUZ, LOC108008708|XP_016928093.1|DSUZ, LOC108019245|XP_036673765.1|DSUZ, LOC108008467|XP_016927811.1|DSUZ, LOC108008503|XP_016927857.1|DSUZ	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI
OG0000010	LOC118879263|XP_036678039.1|DSUZ, LOC118879266|XP_036678043.1|DSUZ, LOC108016332|XP_016938457.1|DSUZ, LOC118879649|XP_036678437.1|DSUZ, LOC118877307|XP_036671358.1|DSUZ, LOC118879648|XP_036678436.1|DSUZ, LOC118879264|XP_036678040.1|DSUZ, LOC118879265|XP_036678041.1|DSUZ, LOC118879650|XP_036678438.1|DSUZ, LOC118879272|XP_036678049.1|DSUZ, LOC108014626|XP_016936278.1|DSUZ, LOC118879273|XP_036678050.1|DSUZ, LOC118878854|XP_036677774.1|DSUZ, LOC118877836|XP_036673914.1|DSUZ	LOC6054618|XP_038112552.1|CQUI
OG0000010	LOC118877315|XP_036671409.1|DSUZ, LOC118877317|XP_036671430.1|DSUZ	LOC6048215|XP_038112551.1|CQUI
OG0000010	LOC108006791|XP_016925829.1|DSUZ	LOC6048602|XP_038111058.1|CQUI
