Orthogroup	DHYD.longest_only	DGUA.longest_only
OG0000000	LOC111599673|XP_023171145.1|DHYD	LOC117592188|XP_034141680.1|DGUA
OG0000000	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD	LOC117588815|XP_034136215.1|DGUA
OG0000000	LOC111600475|XP_023172354.2|DHYD	LOC117588940|XP_034136409.1|DGUA
OG0000000	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD	LOC117592532|XP_034142283.1|DGUA
OG0000000	LOC111593957|XP_023162816.2|DHYD	LOC117592662|XP_034142498.1|DGUA, LOC117592359|XP_034141946.1|DGUA, LOC117589701|XP_034137755.1|DGUA
OG0000002	LOC115483422|XP_030081192.1|DHYD	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC111597015|XP_023167289.2|DHYD	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD	LOC117584002|XP_034128622.1|DGUA
OG0000003	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD	LOC117578447|XP_034119862.1|DGUA
OG0000003	LOC115483813|XP_030082015.1|DHYD	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC111602383|XP_023175172.2|DHYD	LOC117587981|XP_034134880.1|DGUA
OG0000004	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA
OG0000005	LOC115483257|XP_030080462.1|DHYD	LOC117581361|XP_034124384.1|DGUA
OG0000006	LOC115483251|XP_030080456.1|DHYD	LOC117591658|XP_034140872.1|DGUA
OG0000006	LOC115482888|XP_030078997.1|DHYD, LOC115482872|XP_030078982.1|DHYD, LOC115483253|XP_030080458.1|DHYD, LOC115482869|XP_030078979.1|DHYD, LOC115483254|XP_030080459.1|DHYD, LOC115482902|XP_030079009.1|DHYD, LOC115483281|XP_030080484.1|DHYD, LOC115482889|XP_030078998.1|DHYD	LOC117591645|XP_034140861.1|DGUA
OG0000007	LOC111592429|XP_023160382.1|DHYD	LOC117587429|XP_034133994.1|DGUA
OG0000007	LOC111596952|XP_023167177.2|DHYD	LOC117592308|XP_034141873.1|DGUA
OG0000007	LOC111596951|XP_023167176.2|DHYD	LOC117584026|XP_034128654.1|DGUA
OG0000007	LOC115483711|XP_030081647.1|DHYD, LOC115483712|XP_030081648.1|DHYD, LOC115483714|XP_030081651.1|DHYD, LOC111596955|XP_023167179.2|DHYD, LOC115483713|XP_030081649.1|DHYD	LOC117587067|XP_034133401.1|DGUA, LOC117584025|XP_034128653.1|DGUA
OG0000008	LOC111604267|XP_023178033.1|DHYD	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC111598804|XP_023169992.1|DHYD	LOC117579398|XP_034121168.1|DGUA
OG0000008	LOC111599437|XP_023170859.2|DHYD	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC111603756|XP_023177254.2|DHYD	LOC117581836|XP_034125174.1|DGUA
OG0000008	LOC111600807|XP_023172869.1|DHYD, LOC111599866|XP_023171450.2|DHYD	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA
OG0000008	LOC111600832|XP_023172904.2|DHYD	LOC117586165|XP_034131957.1|DGUA
OG0000008	LOC111600831|XP_023172902.2|DHYD	LOC117586221|XP_034132048.1|DGUA
OG0000008	LOC111600808|XP_023172870.1|DHYD	LOC117586120|XP_034131875.1|DGUA
OG0000008	LOC111600811|XP_023172873.1|DHYD	LOC117586582|XP_034132641.1|DGUA
OG0000009	LOC111604985|XP_023179049.1|DHYD	LOC117586341|XP_034132234.1|DGUA
OG0000009	LOC111604987|XP_023179051.2|DHYD	LOC117586454|XP_034132388.1|DGUA
OG0000009	LOC111605001|XP_030078619.1|DHYD, LOC111604977|XP_023179030.2|DHYD	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA
OG0000009	LOC111603540|XP_030079215.1|DHYD	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA
OG0000009	LOC111592528|XP_023160554.2|DHYD, LOC111594331|XP_023163344.2|DHYD, LOC111602576|XP_023175499.2|DHYD	LOC117587230|XP_034133688.1|DGUA
OG0000009	LOC111593549|XP_023162171.2|DHYD	LOC117588654|XP_034135988.1|DGUA
OG0000009	LOC111592898|XP_030080280.1|DHYD, LOC115483193|XP_030080245.1|DHYD, LOC111592901|XP_030080244.1|DHYD	LOC117588663|XP_034136000.1|DGUA
OG0000010	LOC115483191|XP_030080236.1|DHYD, LOC115483264|XP_030080469.1|DHYD	LOC117583778|XP_034128224.1|DGUA
OG0000010	LOC115483287|XP_030080490.1|DHYD, LOC115483262|XP_030080467.1|DHYD	LOC117591688|XP_034140902.1|DGUA
