Orthogroup	AALB.longest_only	SLEB.longest_only
OG0000001	LOC118468339|XP_035794991.1|AALB	LOC115633656|XP_030386961.1|SLEB
OG0000001	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB
OG0000002	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB
OG0000006	LOC118465125|XP_035788959.1|AALB	LOC115630281|XP_030382677.1|SLEB, LOC115630364|XP_030382757.1|SLEB, LOC115630328|XP_030382725.1|SLEB
OG0000006	LOC118467848|XP_035794647.1|AALB, LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB	LOC115630278|XP_030382673.1|SLEB
OG0000008	LOC118461568|XP_035782948.1|AALB	LOC115623801|XP_030374203.1|SLEB
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	LOC115628395|XP_030380343.1|SLEB
OG0000008	LOC118460618|XP_035780957.1|AALB	LOC115628400|XP_030380349.1|SLEB
OG0000008	LOC118459424|XP_035778662.1|AALB	LOC115631184|XP_030383735.1|SLEB
OG0000008	LOC118460626|XP_035780968.1|AALB	LOC115628403|XP_030380351.1|SLEB
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	LOC115624173|XP_030374629.1|SLEB, LOC115634672|XP_030388391.1|SLEB, LOC115624028|XP_030374465.1|SLEB, LOC115623537|XP_030373779.1|SLEB, LOC115624008|XP_030374440.1|SLEB, LOC115634362|XP_030387883.1|SLEB, LOC115624515|XP_030375093.1|SLEB
OG0000010	LOC118465132|XP_035788964.1|AALB, LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB	LOC115633544|XP_030386861.1|SLEB
OG0000010	LOC118467568|XP_035794088.1|AALB, LOC118465135|XP_035788966.1|AALB	LOC115630140|XP_030382609.1|SLEB
OG0000010	LOC118464060|XP_035787000.1|AALB, LOC118464059|XP_035786999.1|AALB	LOC115625114|XP_030375880.1|SLEB
OG0000012	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB	LOC115626791|XP_030378121.1|SLEB, LOC115634820|XP_030388598.1|SLEB, LOC115624523|XP_030375106.1|SLEB, LOC115632632|XP_030385725.1|SLEB, LOC115625784|XP_030376819.1|SLEB, LOC115630730|XP_030383248.1|SLEB, LOC115634824|XP_030388603.1|SLEB, LOC115632251|XP_030385182.1|SLEB
OG0000013	LOC118467742|XP_035794443.1|AALB	LOC115634441|XP_030388010.1|SLEB
OG0000013	LOC118460642|XP_035780995.1|AALB	LOC115626662|XP_030377938.1|SLEB
OG0000013	LOC118461072|XP_035781858.1|AALB	LOC115625570|XP_030376527.1|SLEB
OG0000013	LOC118467364|XP_035793659.1|AALB	LOC115623047|XP_030373085.1|SLEB
OG0000013	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB	LOC115624312|XP_030374797.1|SLEB, LOC115625055|XP_030375777.1|SLEB, LOC115625061|XP_030375794.1|SLEB, LOC115625049|XP_030375761.1|SLEB, LOC115625209|XP_030376038.1|SLEB
OG0000016	LOC118468980|XP_035796264.1|AALB	LOC115621740|XP_030371332.1|SLEB, LOC115634422|XP_030387989.1|SLEB
OG0000016	LOC118460590|XP_035780903.1|AALB	LOC115620605|XP_030369779.1|SLEB
OG0000016	LOC118460360|XP_035780540.1|AALB	LOC115628929|XP_030381051.1|SLEB
OG0000016	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB	LOC115634447|XP_030388017.1|SLEB
OG0000018	LOC118463128|XP_035785378.1|AALB	LOC115633159|XP_030386430.1|SLEB
OG0000019	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB	LOC115630744|XP_030383257.1|SLEB, LOC115630793|XP_030383311.1|SLEB, LOC115624744|XP_030375433.1|SLEB, LOC115621702|XP_030371269.1|SLEB, LOC115621701|XP_030371268.1|SLEB, LOC115621698|XP_030371264.1|SLEB, LOC115621699|XP_030371266.1|SLEB, LOC115621700|XP_030371267.1|SLEB
OG0000020	LOC118461362|XP_035782490.1|AALB	LOC115620461|XP_030369552.1|SLEB, LOC115634835|XP_030388616.1|SLEB
OG0000020	LOC118467629|XP_035794243.1|AALB	LOC115625139|XP_030375917.1|SLEB, LOC115623558|XP_030373816.1|SLEB, LOC115623561|XP_030373817.1|SLEB, LOC115625796|XP_030376833.1|SLEB
OG0000021	LOC118468558|XP_035795352.1|AALB	LOC115629488|XP_030381818.1|SLEB
OG0000021	LOC118467519|XP_035793970.1|AALB	LOC115625208|XP_030376037.1|SLEB, LOC115620616|XP_030369796.1|SLEB, LOC115629963|XP_030382440.1|SLEB
