Orthogroup	DSAN.longest_only	DYAK.longest_only
OG0000000	LOC120450014|XP_039488671.1|DSAN	LOC6532541|XP_002093287.2|DYAK
OG0000000	LOC120454272|XP_039495370.1|DSAN	LOC120321802|XP_039231662.1|DYAK
OG0000000	LOC120444734|XP_039480595.1|DSAN	LOC26536205|XP_015052957.2|DYAK
OG0000000	LOC120458328|XP_039501883.1|DSAN	LOC6529038|XP_002090069.2|DYAK
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC6530087|XP_002091033.1|DYAK
OG0000000	LOC120447883|XP_039485428.1|DSAN	LOC6535099|XP_039229818.1|DYAK
OG0000000	LOC120447886|XP_039485431.1|DSAN	LOC6535097|XP_039229817.1|DYAK
OG0000000	LOC120447882|XP_039485427.1|DSAN	LOC6535098|XP_002095761.2|DYAK
OG0000000	LOC120444952|XP_039480891.1|DSAN	LOC6532122|XP_002092898.3|DYAK
OG0000000	LOC120453829|XP_039494657.1|DSAN	LOC6538960|XP_002099463.2|DYAK
OG0000000	LOC120453329|XP_039493924.1|DSAN	LOC6538958|XP_002099461.2|DYAK, LOC26534675|XP_015049130.2|DYAK
OG0000000	LOC120443793|XP_039479056.1|DSAN	LOC6527857|XP_002088929.1|DYAK
OG0000000	LOC120454315|XP_039495452.1|DSAN	LOC26536234|XP_015048941.1|DYAK
OG0000000	LOC120446300|XP_039483141.1|DSAN	LOC6530022|XP_002090968.2|DYAK, LOC26534723|XP_015052834.1|DYAK
OG0000000	LOC120444898|XP_039480821.1|DSAN	LOC6531513|XP_002092312.3|DYAK
OG0000000	LOC120449508|XP_039487942.1|DSAN, LOC120449509|XP_039487944.1|DSAN	LOC26536007|XP_015049712.1|DYAK, LOC26534479|XP_015049716.1|DYAK, LOC26536420|XP_015049717.1|DYAK, LOC26536161|XP_015049713.1|DYAK
OG0000000	LOC120455242|XP_039497157.1|DSAN	LOC26534860|XP_015046022.1|DYAK, LOC26535167|XP_015046650.1|DYAK
OG0000000	LOC120458841|XP_039502600.1|DSAN	LOC6526414|XP_002087533.2|DYAK
OG0000000	LOC120447669|XP_039485129.1|DSAN	LOC6532990|XP_039229806.1|DYAK
OG0000000	LOC120454324|XP_039495461.1|DSAN	LOC26535595|XP_015049129.2|DYAK
OG0000000	LOC120453354|XP_039493961.1|DSAN	LOC6538949|XP_002099452.1|DYAK
OG0000000	LOC120453013|XP_039493463.1|DSAN	LOC6537714|XP_002098259.2|DYAK
OG0000000	LOC120444807|XP_039480688.1|DSAN	LOC6529465|XP_002090467.1|DYAK
OG0000000	LOC120446643|XP_039483646.1|DSAN	LOC6530976|XP_002091814.2|DYAK
OG0000000	LOC120444947|XP_039480886.1|DSAN	LOC6532053|XP_002092830.1|DYAK
OG0000000	LOC120444948|XP_039480887.1|DSAN	LOC6532050|XP_002092827.2|DYAK
OG0000000	LOC120444942|XP_039480879.1|DSAN	LOC6532049|XP_002092826.1|DYAK
OG0000000	LOC120454169|XP_039495171.1|DSAN	LOC6538114|XP_002098649.1|DYAK
OG0000000	LOC120453562|XP_039494248.1|DSAN	LOC6535316|XP_002095972.1|DYAK
OG0000000	LOC120447885|XP_039485430.1|DSAN	LOC6539519|XP_002086405.1|DYAK
OG0000000	LOC120447884|XP_039485429.1|DSAN	LOC6539518|XP_039230304.1|DYAK
OG0000000	LOC120448603|XP_039486639.1|DSAN	LOC6533890|XP_002094590.1|DYAK
OG0000001	LOC120457515|XP_039500997.1|DSAN, LOC120444320|XP_039479805.1|DSAN	LOC120322239|XP_039233225.1|DYAK, LOC120321759|XP_039231466.1|DYAK, LOC120320570|XP_039226492.1|DYAK, LOC120322268|XP_039233251.1|DYAK, LOC120321436|XP_039229790.1|DYAK
OG0000001	LOC120445604|XP_039482044.1|DSAN	LOC120321532|XP_039230206.1|DYAK, LOC120321024|XP_039228172.1|DYAK
OG0000001	LOC120450630|XP_039489712.1|DSAN, LOC120453894|XP_039494745.1|DSAN, LOC120448972|XP_039487206.1|DSAN, LOC120452701|XP_039492991.1|DSAN	LOC120321385|XP_039229379.1|DYAK, LOC120321458|XP_039229910.1|DYAK, LOC120320585|XP_039226586.1|DYAK, LOC120320591|XP_039226632.1|DYAK, LOC120321717|XP_039231183.1|DYAK, LOC120321457|XP_039229909.1|DYAK, LOC120320959|XP_039227830.1|DYAK, LOC120321780|XP_039231610.1|DYAK
OG0000002	LOC120446478|XP_039483414.1|DSAN	LOC6531354|XP_002092157.1|DYAK
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC6530517|XP_002091432.3|DYAK
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC6530518|XP_002091433.1|DYAK
OG0000002	LOC120449620|XP_039488138.1|DSAN	LOC26535670|XP_015050876.2|DYAK
OG0000002	LOC120448038|XP_039485719.1|DSAN	LOC6526775|XP_002087878.2|DYAK
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC6527104|XP_002088197.3|DYAK
OG0000003	LOC120446974|XP_039484179.1|DSAN	LOC6530460|XP_002091376.2|DYAK
OG0000003	LOC120446687|XP_039483714.1|DSAN	LOC6530462|XP_002091378.1|DYAK
OG0000003	LOC120452715|XP_039493011.1|DSAN	LOC6538264|XP_002098791.1|DYAK
OG0000003	LOC120446686|XP_039483713.1|DSAN	LOC6530463|XP_002091379.1|DYAK
OG0000003	LOC120451297|XP_039490798.1|DSAN	LOC6527640|XP_039226547.1|DYAK
OG0000003	LOC120458649|XP_039502315.1|DSAN	LOC6528325|XP_002089378.1|DYAK
OG0000003	LOC120446973|XP_039484178.1|DSAN	LOC6530458|XP_002091374.1|DYAK
OG0000003	LOC120446976|XP_039484181.1|DSAN	LOC6530457|XP_002091373.1|DYAK
OG0000003	LOC120446975|XP_039484180.1|DSAN	LOC6530459|XP_002091375.1|DYAK
OG0000003	LOC120446688|XP_039483715.1|DSAN	LOC6530461|XP_002091377.1|DYAK
OG0000003	LOC120446977|XP_039484182.1|DSAN	LOC6530456|XP_002091372.1|DYAK
OG0000003	LOC120458379|XP_039501933.1|DSAN	LOC6528608|XP_002089651.1|DYAK
OG0000003	LOC120458377|XP_039501931.1|DSAN	LOC6528606|XP_002089649.1|DYAK
OG0000003	LOC120458378|XP_039501932.1|DSAN	LOC120320435|XP_002089650.1|DYAK
OG0000003	LOC120458775|XP_039502488.1|DSAN	LOC6528128|XP_002089195.3|DYAK
OG0000004	LOC120457917|XP_039501356.1|DSAN, LOC120457922|XP_039501362.1|DSAN, LOC120457921|XP_039501361.1|DSAN, LOC120457915|XP_039501354.1|DSAN, LOC120457914|XP_039501353.1|DSAN	LOC120322186|XP_039233176.1|DYAK
OG0000004	LOC120457919|XP_039501359.1|DSAN	LOC6539221|XP_002086122.2|DYAK
OG0000004	LOC120446198|XP_039482981.1|DSAN	LOC120322184|XP_039233174.1|DYAK, LOC120322182|XP_039233172.1|DYAK
OG0000004	LOC120457920|XP_039501360.1|DSAN	LOC120322183|XP_039233173.1|DYAK
OG0000004	LOC120457918|XP_039501357.1|DSAN	LOC26535476|XP_015044590.2|DYAK
OG0000004	LOC120457924|XP_039501363.1|DSAN, LOC120457925|XP_039501364.1|DSAN	LOC120322185|XP_039233175.1|DYAK
OG0000005	LOC120457954|XP_039501393.1|DSAN	LOC120322209|XP_039233200.1|DYAK
OG0000005	LOC120457950|XP_039501390.1|DSAN	LOC120322203|XP_039233194.1|DYAK, LOC120321241|XP_039229337.1|DYAK, LOC120321242|XP_039229338.1|DYAK
OG0000005	LOC120457955|XP_039501394.1|DSAN	LOC6539222|XP_002086121.1|DYAK
OG0000005	LOC120457951|XP_039501391.1|DSAN	LOC120322208|XP_039233199.1|DYAK
OG0000005	LOC120457946|XP_039501386.1|DSAN	LOC120321243|XP_039229339.1|DYAK
OG0000006	LOC120457931|XP_039501371.1|DSAN	LOC120322195|XP_039233186.1|DYAK
OG0000006	LOC120457670|XP_039501096.1|DSAN	LOC26535831|XP_015045247.2|DYAK
OG0000006	LOC120457943|XP_039501383.1|DSAN	LOC6540554|XP_002087344.1|DYAK
OG0000007	LOC120450299|XP_039489171.1|DSAN	LOC6534313|XP_002094993.1|DYAK, LOC6534314|XP_002094994.3|DYAK, LOC120321601|XP_039230656.1|DYAK
OG0000007	LOC120449593|XP_039488092.1|DSAN	LOC6533142|XP_002093868.1|DYAK
OG0000007	LOC120449309|XP_039487635.1|DSAN	LOC6533143|XP_002093869.1|DYAK
OG0000007	LOC120449521|XP_039487968.1|DSAN	LOC6533140|XP_002093866.1|DYAK
OG0000007	LOC120448495|XP_039486458.1|DSAN	LOC6533138|XP_002093864.1|DYAK
OG0000007	LOC120448563|XP_039486553.1|DSAN	LOC6533139|XP_002093865.1|DYAK
OG0000007	LOC120458533|XP_039502144.1|DSAN	LOC6527619|XP_002088707.1|DYAK
OG0000007	LOC120455948|XP_039498425.1|DSAN	LOC6528628|XP_002089670.1|DYAK
OG0000007	LOC120453571|XP_039494262.1|DSAN	LOC6538895|XP_002099399.1|DYAK
OG0000007	LOC120453413|XP_039494045.1|DSAN	LOC6538894|XP_002099398.2|DYAK
OG0000007	LOC120453614|XP_039494328.1|DSAN, LOC120453672|XP_039494416.1|DSAN	LOC26535513|XP_015044938.2|DYAK, LOC26535290|XP_015044714.2|DYAK
OG0000007	LOC120458508|XP_039502112.1|DSAN	LOC6527618|XP_002088706.1|DYAK
OG0000007	LOC120448335|XP_039486223.1|DSAN	LOC6532723|XP_002093465.1|DYAK
OG0000007	LOC120448331|XP_039486219.1|DSAN	LOC6532724|XP_002093466.1|DYAK
OG0000007	LOC120450012|XP_039488670.1|DSAN	LOC6527620|XP_002088708.1|DYAK
