Orthogroup	DSUZ.longest_only	DBUS.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC108019552|XP_036669814.1|DSUZ, LOC108013696|XP_016935107.1|DSUZ	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC118877061|XP_036669823.1|DSUZ, LOC108017737|XP_016940334.1|DSUZ, LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ	LOC108599003|XP_033149617.1|DBUS
OG0000002	LOC108009013|XP_016928477.1|DSUZ, LOC108009683|XP_016929720.1|DSUZ, LOC108009469|XP_016929341.1|DSUZ, LOC118876801|XP_036668620.1|DSUZ, LOC108021294|XP_016945474.2|DSUZ	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000003	LOC108008945|XP_016928345.1|DSUZ, LOC108008944|XP_016928343.1|DSUZ	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
