Orthogroup	DMAU.longest_only	DEUG.longest_only
OG0000000	LOC117141546|XP_033160941.1|DMAU	LOC108114097|XP_017080345.1|DEUG
OG0000000	LOC117149958|XP_033172750.1|DMAU	LOC108105829|XP_017068062.1|DEUG
OG0000000	LOC117145797|XP_033167474.1|DMAU	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG
OG0000000	LOC117138309|XP_033156204.1|DMAU	LOC108112762|XP_017078510.1|DEUG
OG0000000	LOC117139148|XP_033157197.1|DMAU	LOC108113889|XP_017080083.1|DEUG
OG0000000	LOC117139149|XP_033157198.1|DMAU	LOC108114143|XP_017080414.1|DEUG
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC117142323|XP_033162125.1|DMAU	LOC108104209|XP_017065641.1|DEUG
OG0000000	LOC117142325|XP_033162128.1|DMAU	LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG
OG0000000	LOC117142327|XP_033162129.1|DMAU	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG
OG0000000	LOC117136304|XP_033153082.1|DMAU	LOC108107968|XP_017071301.1|DEUG, LOC108107978|XP_017071313.1|DEUG
OG0000000	LOC117145451|XP_033167010.1|DMAU	LOC108117463|XP_017085374.1|DEUG
OG0000000	LOC117137412|XP_033154732.1|DMAU	LOC108102547|XP_017063097.1|DEUG, LOC108112104|XP_017077343.1|DEUG, LOC108112115|XP_017077355.1|DEUG, LOC108112105|XP_017077344.1|DEUG, LOC108112113|XP_017077353.1|DEUG, LOC108112112|XP_017077352.1|DEUG, LOC108112109|XP_017077349.1|DEUG, LOC108112114|XP_017077354.1|DEUG, LOC108112107|XP_017077346.1|DEUG, LOC108112117|XP_017077356.1|DEUG, LOC108112111|XP_017077351.1|DEUG, LOC108112108|XP_017077347.1|DEUG, LOC108112110|XP_017077350.1|DEUG, LOC108112103|XP_017077342.1|DEUG, LOC108112106|XP_017077345.1|DEUG
OG0000000	LOC117138341|XP_033156269.1|DMAU	LOC108112677|XP_017078310.1|DEUG
OG0000000	LOC117140233|XP_033158923.1|DMAU, LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU, LOC117136161|XP_033152774.1|DMAU, LOC117139178|XP_033157238.1|DMAU	LOC108108192|XP_017071633.1|DEUG
OG0000000	LOC117145744|XP_033167397.1|DMAU	LOC108113484|XP_017079558.1|DEUG
OG0000000	LOC117145225|XP_033166688.1|DMAU	LOC108113483|XP_017079557.1|DEUG
OG0000000	LOC117145856|XP_033167567.1|DMAU	LOC108115565|XP_017082560.1|DEUG
OG0000000	LOC117150929|XP_033173982.1|DMAU	LOC108103054|XP_017063857.1|DEUG
OG0000000	LOC117138584|XP_033156654.1|DMAU	LOC108111926|XP_017077057.1|DEUG, LOC108111923|XP_017077054.1|DEUG
OG0000000	LOC117138016|XP_033155711.1|DMAU	LOC108105763|XP_017067972.1|DEUG
OG0000000	LOC117146038|XP_033167862.1|DMAU	LOC108115960|XP_017083085.1|DEUG
OG0000000	LOC117145160|XP_033166598.1|DMAU	LOC108114927|XP_017081602.1|DEUG
OG0000000	LOC117140539|XP_033159419.1|DMAU	LOC108114139|XP_017080411.1|DEUG
OG0000000	LOC117140538|XP_033159418.1|DMAU	LOC108113890|XP_017080084.1|DEUG
OG0000001	LOC117140024|XP_033158645.1|DMAU	LOC108111625|XP_017076648.1|DEUG
OG0000002	LOC117138082|XP_033155798.1|DMAU	LOC108113026|XP_017078944.1|DEUG, LOC108113025|XP_017078942.1|DEUG
OG0000002	LOC117135907|XP_033152364.1|DMAU	LOC108112852|XP_017078659.1|DEUG
OG0000002	LOC117135906|XP_033152363.1|DMAU	LOC108112853|XP_017078660.1|DEUG
OG0000002	LOC117136987|XP_033154052.1|DMAU	LOC108108874|XP_017072580.1|DEUG
OG0000002	LOC117149870|XP_033172720.1|DMAU	LOC108105850|XP_017068103.1|DEUG
OG0000002	LOC117140283|XP_033159002.1|DMAU	LOC108111019|XP_017075821.1|DEUG, LOC108114011|XP_017080247.1|DEUG
OG0000003	LOC117136850|XP_033153839.1|DMAU	LOC108106604|XP_017069284.1|DEUG
OG0000003	LOC117137895|XP_033155524.1|DMAU	LOC108106709|XP_017069429.1|DEUG
OG0000003	LOC117145313|XP_033166799.1|DMAU	LOC108115764|XP_017082821.1|DEUG
OG0000003	LOC117137897|XP_033155527.1|DMAU	LOC108106222|XP_017068637.1|DEUG, LOC108106223|XP_017068638.1|DEUG
OG0000003	LOC117136364|XP_033153130.1|DMAU	LOC108106562|XP_017069219.1|DEUG
OG0000003	LOC117137674|XP_033155124.1|DMAU	LOC108106710|XP_017069431.1|DEUG, LOC108106602|XP_017069282.1|DEUG
OG0000003	LOC117136851|XP_033153841.1|DMAU	LOC108106224|XP_017068639.1|DEUG
OG0000003	LOC117137104|XP_033154281.1|DMAU	LOC108104525|XP_017066146.1|DEUG
OG0000003	LOC117137102|XP_033154279.1|DMAU	LOC108104523|XP_017066143.1|DEUG
OG0000003	LOC117137103|XP_033154280.1|DMAU	LOC108104524|XP_017066145.1|DEUG
OG0000007	LOC117140666|XP_033159604.1|DMAU	LOC108107527|XP_017070556.1|DEUG
OG0000007	LOC117140665|XP_033159603.1|DMAU	LOC108107883|XP_017071158.1|DEUG
OG0000007	LOC117150742|XP_033173667.1|DMAU	LOC108102687|XP_017063316.1|DEUG
OG0000007	LOC117136894|XP_033153899.1|DMAU	LOC108104447|XP_017065997.1|DEUG
OG0000007	LOC117139714|XP_033158125.1|DMAU	LOC108102695|XP_017063328.1|DEUG
OG0000007	LOC117139147|XP_033157196.1|DMAU	LOC108109874|XP_017074157.1|DEUG, LOC108109766|XP_017073928.1|DEUG
OG0000007	LOC117139091|XP_033157106.1|DMAU	LOC108102518|XP_017063043.1|DEUG, LOC108102519|XP_017063044.1|DEUG
OG0000007	LOC117142071|XP_033161842.1|DMAU	LOC108107529|XP_017070559.1|DEUG
OG0000007	LOC117142072|XP_033161843.1|DMAU	LOC108107925|XP_017071238.1|DEUG
OG0000008	LOC117142833|XP_033162955.1|DMAU	LOC108117090|XP_017084777.1|DEUG
OG0000008	LOC117140615|XP_033159521.1|DMAU	LOC108107847|XP_017071090.1|DEUG
OG0000008	LOC117140614|XP_033159520.1|DMAU	LOC108107843|XP_017071086.1|DEUG
OG0000008	LOC117150767|XP_033173694.1|DMAU	LOC108104027|XP_017065348.1|DEUG
OG0000008	LOC117140617|XP_033159524.1|DMAU	LOC108107848|XP_017071091.1|DEUG
OG0000008	LOC117147420|XP_033170189.1|DMAU	LOC108103232|XP_017064122.1|DEUG
OG0000008	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU	LOC108116557|XP_017083985.1|DEUG
OG0000008	LOC117144387|XP_033165412.1|DMAU	LOC108116118|XP_017083331.1|DEUG
OG0000008	LOC117143719|XP_033164408.1|DMAU	LOC108116121|XP_017083334.1|DEUG
OG0000008	LOC117144386|XP_033165411.1|DMAU	LOC108116120|XP_017083333.1|DEUG
OG0000008	LOC117143928|XP_033164736.1|DMAU	LOC108116119|XP_017083332.1|DEUG
OG0000009	LOC117145423|XP_033166959.1|DMAU	LOC108117308|XP_017085159.1|DEUG
OG0000009	LOC117143759|XP_033164466.1|DMAU	LOC108117290|XP_017085135.1|DEUG
OG0000009	LOC117145633|XP_033167244.1|DMAU	LOC108117076|XP_017084737.1|DEUG, LOC108117114|XP_017084826.1|DEUG
OG0000009	LOC117145422|XP_033166958.1|DMAU	LOC108117309|XP_017085160.1|DEUG, LOC108117291|XP_017085136.1|DEUG
OG0000009	LOC117141397|XP_033160707.1|DMAU	LOC108107590|XP_017070640.1|DEUG
OG0000009	LOC117141398|XP_033160708.1|DMAU	LOC108107618|XP_017070676.1|DEUG
OG0000009	LOC117136735|XP_033153656.1|DMAU	LOC108107216|XP_017070122.1|DEUG
OG0000009	LOC117143616|XP_033164265.1|DMAU	LOC108111728|XP_017076770.1|DEUG
OG0000009	LOC117135792|XP_033152175.1|DMAU	LOC108106283|XP_017068739.1|DEUG
OG0000009	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU	LOC108106291|XP_017068749.1|DEUG, LOC108106313|XP_017068772.1|DEUG
OG0000010	LOC117142722|XP_033162774.1|DMAU	LOC108105230|XP_017067186.1|DEUG, LOC108103372|XP_017064308.1|DEUG
OG0000011	LOC117148149|XP_033171274.1|DMAU	LOC108111192|XP_017076075.1|DEUG
OG0000011	LOC117138313|XP_033156221.1|DMAU	LOC108102616|XP_017063214.1|DEUG
OG0000011	LOC117140362|XP_033159107.1|DMAU	LOC108108695|XP_017072289.1|DEUG
OG0000011	LOC117142406|XP_033162250.1|DMAU	LOC108102619|XP_017063216.1|DEUG
OG0000011	LOC117150358|XP_033173108.1|DMAU	LOC108118458|XP_017086666.1|DEUG
OG0000011	LOC117148130|XP_033171246.1|DMAU, LOC117148131|XP_033171247.1|DMAU	LOC108103884|XP_017065103.1|DEUG
OG0000011	LOC117141063|XP_033160242.1|DMAU	LOC108105968|XP_017068261.1|DEUG
OG0000011	LOC117141062|XP_033160241.1|DMAU	LOC108105967|XP_017068260.1|DEUG
OG0000011	LOC117143493|XP_033164098.1|DMAU	LOC108109998|XP_017074326.1|DEUG
OG0000012	LOC117136761|XP_033153688.1|DMAU	LOC108113192|XP_017079208.1|DEUG
OG0000012	LOC117136760|XP_033153687.1|DMAU	LOC108113191|XP_017079207.1|DEUG
OG0000012	LOC117136898|XP_033153902.1|DMAU	LOC108113343|XP_017079393.1|DEUG
OG0000012	LOC117137864|XP_033155471.1|DMAU	LOC108113377|XP_017079435.1|DEUG
OG0000012	LOC117137455|XP_033154790.1|DMAU	LOC108112131|XP_017077370.1|DEUG
OG0000012	LOC117136643|XP_033153526.1|DMAU	LOC108112267|XP_017077578.1|DEUG
OG0000012	LOC117136387|XP_033153170.1|DMAU	LOC108106282|XP_017068738.1|DEUG
OG0000012	LOC117136474|XP_033153296.1|DMAU	LOC108106301|XP_017068761.1|DEUG
OG0000012	LOC117136403|XP_033153190.1|DMAU	LOC108106279|XP_017068735.1|DEUG
OG0000012	LOC117138497|XP_033156518.1|DMAU	LOC108106300|XP_017068760.1|DEUG
OG0000012	LOC117137795|XP_033155358.1|DMAU	LOC108106742|XP_017069468.1|DEUG
OG0000012	LOC117137796|XP_033155359.1|DMAU	LOC108106739|XP_017069464.1|DEUG
OG0000013	LOC117136473|XP_033153295.1|DMAU	LOC108106511|XP_017069094.1|DEUG
OG0000013	LOC117148236|XP_033171424.1|DMAU	LOC108104346|XP_017065833.1|DEUG
OG0000013	LOC117142434|XP_033162286.1|DMAU	LOC108105608|XP_017067774.1|DEUG
OG0000013	LOC117141743|XP_033161255.1|DMAU	LOC108105962|XP_017068250.1|DEUG
OG0000013	LOC117143333|XP_033163884.1|DMAU	LOC108116899|XP_017084498.1|DEUG
OG0000013	LOC117142344|XP_033162152.1|DMAU	LOC108116618|XP_017084081.1|DEUG
OG0000013	LOC117145307|XP_033166793.1|DMAU, LOC117143464|XP_033164066.1|DMAU, LOC117142927|XP_033163116.1|DMAU	LOC108111484|XP_017076457.1|DEUG, LOC108111483|XP_017076456.1|DEUG, LOC108111766|XP_017076819.1|DEUG, LOC108111764|XP_017076818.1|DEUG
OG0000014	LOC117141766|XP_033161286.1|DMAU	LOC108111829|XP_017076924.1|DEUG
