Orthogroup	DFIC.longest_only	DELE.longest_only
OG0000000	LOC108096481|XP_017053581.1|DFIC	LOC108148460|XP_017130981.1|DELE
OG0000000	LOC108101733|XP_017061674.1|DFIC	LOC108139044|XP_017117150.1|DELE
OG0000000	LOC108098759|XP_017057380.1|DFIC	LOC108135022|XP_017111043.1|DELE
OG0000000	LOC108089295|XP_017042962.1|DFIC	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	LOC108089296|XP_017042963.1|DFIC	LOC108145787|XP_017126846.1|DELE
OG0000000	LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC	LOC108145637|XP_017126661.1|DELE
OG0000000	LOC108086784|XP_017039313.1|DFIC	LOC108150089|XP_017133542.1|DELE
OG0000000	LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC	LOC108142886|XP_017122451.1|DELE
OG0000000	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC	LOC108141650|XP_017120608.1|DELE, LOC108142885|XP_017122450.1|DELE
OG0000000	LOC108100131|XP_017059373.1|DFIC	LOC108145618|XP_017126643.1|DELE
OG0000000	LOC108093605|XP_017049220.1|DFIC	LOC108141344|XP_017120143.1|DELE
OG0000000	LOC108099241|XP_017058101.1|DFIC	LOC108148604|XP_017131171.1|DELE
OG0000000	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	LOC108144147|XP_017124279.1|DELE
OG0000000	LOC108097696|XP_017055657.1|DFIC	LOC108147230|XP_017129111.1|DELE
OG0000000	LOC108089294|XP_017042961.1|DFIC	LOC108145639|XP_017126664.1|DELE
OG0000000	LOC108091368|XP_017046009.1|DFIC	LOC108135485|XP_017111717.1|DELE
OG0000000	LOC108099733|XP_017058844.1|DFIC, LOC108099770|XP_017058887.1|DFIC, LOC108099727|XP_017058839.1|DFIC, LOC108087404|XP_017040233.1|DFIC, LOC108099732|XP_017058843.1|DFIC, LOC108099720|XP_017058832.1|DFIC, LOC108099731|XP_017058842.1|DFIC, LOC108099965|XP_017059141.1|DFIC, LOC108099726|XP_017058837.1|DFIC	LOC108141030|XP_017119608.1|DELE
OG0000002	LOC108090526|XP_017044733.1|DFIC	LOC108144341|XP_017124554.1|DELE
OG0000002	LOC108090768|XP_017045096.1|DFIC	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC108090769|XP_017045098.1|DFIC	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC108092580|XP_017047713.1|DFIC	LOC108147831|XP_017130074.1|DELE
OG0000002	LOC108092286|XP_017047310.1|DFIC	LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE, LOC108134735|XP_017110639.1|DELE
OG0000003	LOC108087667|XP_017040650.1|DFIC	LOC108144467|XP_017124860.1|DELE
OG0000003	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	LOC108144671|XP_017125217.1|DELE
OG0000003	LOC108087705|XP_017040710.1|DFIC	LOC108144670|XP_017125215.1|DELE
OG0000003	LOC108094289|XP_017050276.1|DFIC	LOC108145092|XP_017125773.1|DELE
OG0000003	LOC108087668|XP_017040651.1|DFIC	LOC108144466|XP_017124858.1|DELE
OG0000003	LOC108099209|XP_017058075.1|DFIC	LOC108144468|XP_017124861.1|DELE
OG0000003	LOC108087749|XP_017040761.1|DFIC	LOC108144801|XP_017125415.1|DELE
OG0000003	LOC108087605|XP_017040533.1|DFIC	LOC108144820|XP_017125440.1|DELE
OG0000003	LOC108090320|XP_017044421.1|DFIC	LOC108145352|XP_017126230.1|DELE
OG0000003	LOC108090319|XP_017044419.1|DFIC	LOC108145367|XP_017126250.1|DELE
OG0000007	LOC108099856|XP_017058991.1|DFIC	LOC108135575|XP_017111853.1|DELE
OG0000007	LOC108093252|XP_017048717.1|DFIC	LOC108142600|XP_017122060.1|DELE
OG0000007	LOC108093253|XP_017048718.1|DFIC	LOC108142393|XP_017121722.1|DELE
OG0000007	LOC108093241|XP_017048705.1|DFIC	LOC108142601|XP_017122061.1|DELE
OG0000007	LOC108093261|XP_017048727.1|DFIC	LOC108142394|XP_017121723.1|DELE
OG0000007	LOC108089978|XP_017043968.1|DFIC	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE
OG0000007	LOC108099497|XP_017058547.1|DFIC	LOC108148444|XP_017130968.1|DELE
OG0000007	LOC108099495|XP_017058545.1|DFIC, LOC108099496|XP_017058546.1|DFIC	LOC108148696|XP_017131333.1|DELE, LOC108148697|XP_017131334.1|DELE, LOC108148759|XP_017131449.1|DELE, LOC108148468|XP_017130989.1|DELE
OG0000007	LOC108089778|XP_017043661.1|DFIC	LOC108138842|XP_017116842.1|DELE
OG0000007	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE
OG0000007	LOC108093152|XP_017048588.1|DFIC	LOC108142395|XP_017121724.1|DELE
OG0000007	LOC108093153|XP_017048589.1|DFIC	LOC108142396|XP_017121725.1|DELE
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC108149642|XP_017132905.1|DELE
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC108145867|XP_017126995.1|DELE
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC108145871|XP_017126998.1|DELE
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
OG0000008	LOC108091746|XP_017046577.1|DFIC	LOC108148323|XP_017130803.1|DELE
OG0000008	LOC108091769|XP_017046605.1|DFIC	LOC108148325|XP_017130805.1|DELE
OG0000008	LOC108091757|XP_017046589.1|DFIC	LOC108148321|XP_017130801.1|DELE
OG0000008	LOC108091754|XP_017046587.1|DFIC	LOC108148322|XP_017130802.1|DELE
OG0000008	LOC108091767|XP_017046601.1|DFIC	LOC108148324|XP_017130804.1|DELE
OG0000009	LOC108101115|XP_017060823.1|DFIC	LOC108137036|XP_017114024.1|DELE
OG0000009	LOC108101125|XP_017060838.1|DFIC	LOC108136709|XP_017113523.1|DELE
OG0000009	LOC108093288|XP_017048753.1|DFIC	LOC108144089|XP_017124230.1|DELE
OG0000009	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC	LOC108136793|XP_017113657.1|DELE
OG0000009	LOC108101116|XP_017060824.1|DFIC	LOC108137037|XP_017114025.1|DELE
OG0000009	LOC108101809|XP_017061774.1|DFIC	LOC108144916|XP_017125568.1|DELE
