Orthogroup	DPSE.longest_only	DERE.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE	LOC6555364|XP_026831619.1|DERE
OG0000000	LOC6898698|XP_015040315.2|DPSE	LOC6541982|XP_001968936.1|DERE
OG0000000	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE	LOC6552159|XP_001980711.1|DERE
OG0000000	LOC117184977|XP_033240205.1|DPSE	LOC6544810|XP_026832924.1|DERE
OG0000000	LOC6900000|XP_002135366.3|DPSE	LOC6544813|XP_001973192.2|DERE
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC6544812|XP_001973191.2|DERE
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC6896672|XP_033232290.1|DPSE	LOC6551988|XP_026839788.1|DERE, LOC6551986|XP_026839789.1|DERE, LOC6554922|XP_001981127.2|DERE, LOC6554923|XP_001981128.1|DERE
OG0000000	LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE
OG0000000	LOC6897227|XP_002137399.2|DPSE	LOC26526690|XP_015009401.1|DERE
OG0000000	LOC6902907|XP_033236216.1|DPSE	LOC6549399|XP_001974447.1|DERE
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC26526070|XP_026831673.1|DERE
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC6548172|XP_001975155.3|DERE
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC6548171|XP_001975154.2|DERE
OG0000002	LOC6903424|XP_002132303.3|DPSE, LOC6903440|XP_033236733.1|DPSE, LOC6903450|XP_002132329.2|DPSE, LOC6902906|XP_002132639.3|DPSE	LOC6540746|XP_001968931.3|DERE
OG0000002	LOC6900542|XP_033238667.1|DPSE	LOC6545786|XP_001973422.2|DERE
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE
OG0000003	LOC4804982|XP_001361456.3|DPSE	LOC6554587|XP_001981543.2|DERE, LOC6548982|XP_001975565.1|DERE
OG0000003	LOC4803409|XP_001360156.1|DPSE	LOC6541170|XP_001970725.1|DERE
OG0000003	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE	LOC26526619|XP_015012824.1|DERE, LOC6549104|XP_001975569.3|DERE
OG0000003	LOC4804980|XP_001361454.1|DPSE	LOC6549102|XP_001975567.1|DERE
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC6549105|XP_001975570.1|DERE
OG0000003	LOC4804978|XP_001361452.2|DPSE	LOC6541262|XP_001970448.1|DERE
OG0000003	LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE	LOC6543237|XP_001970449.1|DERE
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC6543184|XP_001968830.1|DERE
