Orthogroup	DSAN.longest_only	AALB.longest_only
OG0000001	LOC120449510|XP_039487947.1|DSAN	LOC118468339|XP_035794991.1|AALB
OG0000002	LOC120449620|XP_039488138.1|DSAN	LOC118458183|XP_035776304.1|AALB
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB
OG0000006	LOC120457930|XP_039501368.1|DSAN, LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN	LOC118465125|XP_035788959.1|AALB
OG0000006	LOC120457670|XP_039501096.1|DSAN	LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC118461568|XP_035782948.1|AALB
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC118460618|XP_035780957.1|AALB
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC118459424|XP_035778662.1|AALB
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC118460626|XP_035780968.1|AALB
OG0000009	LOC120452846|XP_039493217.1|DSAN, LOC120453968|XP_039494853.1|DSAN, LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN, LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN, LOC120446532|XP_039483479.1|DSAN, LOC120453301|XP_039493868.1|DSAN, LOC120445192|XP_039481349.1|DSAN, LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	LOC120446204|XP_039482989.1|DSAN	LOC118465131|XP_035788963.1|AALB, LOC118464057|XP_035786996.1|AALB, LOC118464063|XP_035787003.1|AALB, LOC118465132|XP_035788964.1|AALB, LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB, LOC118467569|XP_035794089.1|AALB
OG0000010	LOC120457684|XP_039501107.1|DSAN	LOC118465135|XP_035788966.1|AALB
OG0000010	LOC120457962|XP_039501399.1|DSAN	LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB
OG0000012	LOC120445821|XP_039482372.1|DSAN, LOC120445820|XP_039482371.1|DSAN, LOC120446192|XP_039482973.1|DSAN, LOC120446256|XP_039483062.1|DSAN, LOC120444865|XP_039480765.1|DSAN, LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN, LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	LOC120444466|XP_039480072.1|DSAN	LOC118467742|XP_035794443.1|AALB
OG0000013	LOC120456796|XP_039499752.1|DSAN	LOC118460642|XP_035780995.1|AALB
OG0000013	LOC120450753|XP_039489810.1|DSAN	LOC118461072|XP_035781858.1|AALB
OG0000013	LOC120447659|XP_039485107.1|DSAN	LOC118467364|XP_035793659.1|AALB
OG0000013	LOC120452623|XP_039492863.1|DSAN, LOC120450792|XP_039489887.1|DSAN, LOC120451564|XP_039491301.1|DSAN, LOC120454351|XP_039495505.1|DSAN, LOC120451683|XP_039491500.1|DSAN	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000014	LOC120450089|XP_039488815.1|DSAN, LOC120457516|XP_039500998.1|DSAN, LOC120457848|XP_039501301.1|DSAN, LOC120458123|XP_039501592.1|DSAN, LOC120458168|XP_039501658.1|DSAN, LOC120458585|XP_039502218.1|DSAN	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB
OG0000016	LOC120451140|XP_039490495.1|DSAN, LOC120444605|XP_039480314.1|DSAN	LOC118468980|XP_035796264.1|AALB
OG0000016	LOC120454635|XP_039496058.1|DSAN	LOC118460590|XP_035780903.1|AALB
OG0000016	LOC120457379|XP_039500852.1|DSAN	LOC118460360|XP_035780540.1|AALB
OG0000016	LOC120450393|XP_039489322.1|DSAN	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	LOC120448958|XP_039487148.1|DSAN	LOC118463128|XP_035785378.1|AALB
OG0000019	LOC120453199|XP_039493718.1|DSAN, LOC120453201|XP_039493721.1|DSAN, LOC120453202|XP_039493723.1|DSAN, LOC120453194|XP_039493696.1|DSAN, LOC120453200|XP_039493720.1|DSAN, LOC120453203|XP_039493724.1|DSAN, LOC120453198|XP_039493717.1|DSAN	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB
OG0000020	LOC120451285|XP_039490765.1|DSAN, LOC120445014|XP_039481012.1|DSAN	LOC118461362|XP_035782490.1|AALB
OG0000020	LOC120444384|XP_039479923.1|DSAN, LOC120445506|XP_039481897.1|DSAN, LOC120445000|XP_039480984.1|DSAN, LOC120450860|XP_039490007.1|DSAN, LOC120453863|XP_039494701.1|DSAN, LOC120457706|XP_039501135.1|DSAN, LOC120444385|XP_039479926.1|DSAN	LOC118467629|XP_035794243.1|AALB
OG0000021	LOC120456405|XP_039499169.1|DSAN	LOC118468558|XP_035795352.1|AALB
OG0000021	LOC120450748|XP_039489804.1|DSAN, LOC120454061|XP_039495000.1|DSAN, LOC120456471|XP_039499263.1|DSAN	LOC118467519|XP_035793970.1|AALB
OG0000022	LOC120445477|XP_039481858.1|DSAN, LOC120449728|XP_039488291.1|DSAN, LOC120449734|XP_039488299.1|DSAN, LOC120449726|XP_039488289.1|DSAN, LOC120449733|XP_039488298.1|DSAN, LOC120449732|XP_039488295.1|DSAN, LOC120449730|XP_039488293.1|DSAN, LOC120449731|XP_039488294.1|DSAN, LOC120449729|XP_039488292.1|DSAN	LOC118466446|XP_035791660.1|AALB
OG0000023	LOC120454389|XP_039495573.1|DSAN, LOC120453272|XP_039493833.1|DSAN, LOC120454388|XP_039495572.1|DSAN, LOC120444959|XP_039480909.1|DSAN, LOC120453781|XP_039494563.1|DSAN, LOC120453806|XP_039494614.1|DSAN, LOC120450927|XP_039490127.1|DSAN, LOC120453011|XP_039493460.1|DSAN, LOC120450929|XP_039490129.1|DSAN	LOC118465606|XP_035789874.1|AALB, LOC118465607|XP_035789875.1|AALB
OG0000024	LOC120445294|XP_039481531.1|DSAN, LOC120446529|XP_039483475.1|DSAN, LOC120446530|XP_039483476.1|DSAN, LOC120445292|XP_039481529.1|DSAN, LOC120445293|XP_039481530.1|DSAN, LOC120446616|XP_039483595.1|DSAN, LOC120446257|XP_039483064.1|DSAN, LOC120446965|XP_039484167.1|DSAN	LOC118462632|XP_035784369.1|AALB
OG0000025	LOC120453411|XP_039494047.1|DSAN, LOC120456451|XP_039499224.1|DSAN	LOC118461108|XP_035781919.1|AALB
OG0000025	LOC120457929|XP_039501366.1|DSAN	LOC118463807|XP_035786575.1|AALB, LOC118463808|XP_035786577.1|AALB
OG0000026	LOC120456651|XP_039499515.1|DSAN, LOC120453885|XP_039494736.1|DSAN	LOC118464862|XP_035788469.1|AALB, LOC118464861|XP_035788468.1|AALB, LOC118464860|XP_035788466.1|AALB, LOC118467874|XP_035794679.1|AALB, LOC118467875|XP_035794680.1|AALB
OG0000027	LOC120458674|XP_039502344.1|DSAN, LOC120458543|XP_039502157.1|DSAN, LOC120458684|XP_039502355.1|DSAN	LOC118458650|XP_035777233.1|AALB, LOC118456231|XP_035772706.1|AALB, LOC118469008|XP_035796336.1|AALB, LOC118456249|XP_035772738.1|AALB
OG0000028	LOC120447590|XP_039484991.1|DSAN, LOC120447589|XP_039484990.1|DSAN, LOC120447591|XP_039484992.1|DSAN, LOC120447592|XP_039484994.1|DSAN, LOC120447587|XP_039484989.1|DSAN, LOC120447866|XP_039485407.1|DSAN	LOC118464553|XP_035787885.1|AALB, LOC118456178|XP_035772621.1|AALB
OG0000029	LOC120454032|XP_039494960.1|DSAN, LOC120450915|XP_039490111.1|DSAN, LOC120445653|XP_039482132.1|DSAN, LOC120452245|XP_039492306.1|DSAN, LOC120448524|XP_039486496.1|DSAN	LOC118458435|XP_035776786.1|AALB, LOC118458434|XP_035776785.1|AALB, LOC118458436|XP_035776787.1|AALB, LOC118468406|XP_035795062.1|AALB, LOC118458017|XP_035776014.1|AALB, LOC118456865|XP_035773861.1|AALB, LOC118457836|XP_035775605.1|AALB, LOC118459060|XP_035777984.1|AALB
OG0000031	LOC120455351|XP_039497383.1|DSAN, LOC120458683|XP_039502393.1|DSAN, LOC120443942|XP_039479323.1|DSAN, LOC120446453|XP_039483382.1|DSAN, LOC120444733|XP_039480594.1|DSAN, LOC120450501|XP_039489486.1|DSAN, LOC120458846|XP_039502606.1|DSAN, LOC120443941|XP_039479322.1|DSAN	LOC118467279|XP_035793475.1|AALB
OG0000032	LOC120451694|XP_039491522.1|DSAN, LOC120453292|XP_039493855.1|DSAN, LOC120453694|XP_039494449.1|DSAN, LOC120453066|XP_039493525.1|DSAN, LOC120451611|XP_039491379.1|DSAN, LOC120451410|XP_039491015.1|DSAN, LOC120451635|XP_039491427.1|DSAN	LOC118456851|XP_035773843.1|AALB, LOC118457033|XP_035774161.1|AALB, LOC118468924|XP_035796128.1|AALB, LOC118457034|XP_035774162.1|AALB, LOC118457170|XP_035774394.1|AALB, LOC118459702|XP_035779237.1|AALB, LOC118457171|XP_035774395.1|AALB
