Orthogroup	DSER.longest_only	DELE.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC108135022|XP_017111043.1|DELE
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC108144294|XP_017124470.1|DELE
OG0000000	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER	LOC108150089|XP_017133542.1|DELE
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	LOC108143736|XP_017123759.1|DELE
OG0000000	LOC110184021|XP_020808046.1|DSER	LOC108141650|XP_017120608.1|DELE, LOC108142885|XP_017122450.1|DELE
OG0000000	LOC110187976|XP_020813156.1|DSER	LOC108148604|XP_017131171.1|DELE
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC108144147|XP_017124279.1|DELE
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC108147230|XP_017129111.1|DELE
OG0000000	LOC110190479|XP_020816650.1|DSER	LOC108145639|XP_017126664.1|DELE
OG0000000	LOC110185197|XP_020809581.1|DSER	LOC108141030|XP_017119608.1|DELE
OG0000002	LOC110191937|XP_020818616.1|DSER	LOC108144341|XP_017124554.1|DELE
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC108143685|XP_017123691.1|DELE
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC108143683|XP_017123690.1|DELE
OG0000002	LOC110189091|XP_020814726.1|DSER	LOC108142258|XP_017121466.1|DELE
OG0000002	LOC110184909|XP_020809214.1|DSER	LOC108147831|XP_017130074.1|DELE
OG0000002	LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER	LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE
OG0000002	LOC110184848|XP_020809147.1|DSER	LOC108134735|XP_017110639.1|DELE
OG0000003	LOC110177692|XP_020800174.1|DSER	LOC108144467|XP_017124860.1|DELE
OG0000003	LOC110177680|XP_020800160.1|DSER	LOC108144671|XP_017125217.1|DELE
OG0000003	LOC110177747|XP_020800264.1|DSER	LOC108144670|XP_017125215.1|DELE
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC108145092|XP_017125773.1|DELE
OG0000003	LOC110177689|XP_020800171.1|DSER	LOC108144466|XP_017124858.1|DELE
OG0000003	LOC110177694|XP_020800177.1|DSER	LOC108144468|XP_017124861.1|DELE
OG0000003	LOC110177698|XP_020800183.1|DSER	LOC108144801|XP_017125415.1|DELE
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC108144820|XP_017125440.1|DELE
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC108145352|XP_017126230.1|DELE
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER	LOC108145367|XP_017126250.1|DELE
OG0000004	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE
OG0000007	LOC110184727|XP_020809014.1|DSER	LOC108142600|XP_017122060.1|DELE
OG0000007	LOC110184726|XP_020809013.1|DSER	LOC108142393|XP_017121722.1|DELE
OG0000007	LOC110184730|XP_020809017.1|DSER	LOC108142394|XP_017121723.1|DELE
OG0000007	LOC110182363|XP_020806064.1|DSER	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE
OG0000007	LOC110189366|XP_020815075.1|DSER	LOC108148444|XP_017130968.1|DELE
OG0000007	LOC110182364|XP_020806065.1|DSER	LOC108138842|XP_017116842.1|DELE
OG0000007	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE
OG0000007	LOC110184731|XP_020809018.1|DSER	LOC108142395|XP_017121724.1|DELE
OG0000007	LOC110184732|XP_020809019.1|DSER	LOC108142396|XP_017121725.1|DELE
OG0000008	LOC110188534|XP_020813940.1|DSER	LOC108149642|XP_017132905.1|DELE
OG0000008	LOC110183610|XP_020807586.1|DSER	LOC108145869|XP_017126996.1|DELE
OG0000008	LOC110183609|XP_020807585.1|DSER	LOC108145867|XP_017126995.1|DELE
OG0000008	LOC110183997|XP_020808013.1|DSER	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC110183613|XP_020807591.1|DSER	LOC108145871|XP_017126998.1|DELE
OG0000008	LOC110182844|XP_020806635.1|DSER	LOC108149861|XP_017133230.1|DELE
OG0000008	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
OG0000008	LOC110191898|XP_020818543.1|DSER	LOC108148323|XP_017130803.1|DELE
OG0000008	LOC110191819|XP_020818443.1|DSER	LOC108148325|XP_017130805.1|DELE
OG0000008	LOC110191725|XP_020818302.1|DSER	LOC108148321|XP_017130801.1|DELE
OG0000008	LOC110191899|XP_020818544.1|DSER	LOC108148322|XP_017130802.1|DELE
OG0000008	LOC110191820|XP_020818444.1|DSER	LOC108148324|XP_017130804.1|DELE
OG0000009	LOC110188739|XP_020814232.1|DSER	LOC108137036|XP_017114024.1|DELE
OG0000009	LOC110188430|XP_020813815.1|DSER	LOC108136709|XP_017113523.1|DELE
OG0000009	LOC110186309|XP_020811090.1|DSER	LOC108144089|XP_017124230.1|DELE
OG0000009	LOC110188741|XP_020814234.1|DSER	LOC108136793|XP_017113657.1|DELE
OG0000009	LOC110188740|XP_020814233.1|DSER	LOC108137037|XP_017114025.1|DELE
OG0000009	LOC110181065|XP_020804398.1|DSER	LOC108144916|XP_017125568.1|DELE
OG0000009	LOC110176644|XP_020798730.1|DSER	LOC108135151|XP_017111261.1|DELE
OG0000009	LOC110178269|XP_020800994.1|DSER	LOC108137992|XP_017115455.1|DELE
OG0000009	LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER	LOC108137889|XP_017115317.1|DELE
OG0000010	LOC110183810|XP_020807821.1|DSER	LOC108139189|XP_017117303.1|DELE
OG0000011	LOC110178138|XP_020800825.1|DSER, LOC110185094|XP_020809444.1|DSER	LOC108136397|XP_017112996.1|DELE
OG0000011	LOC110183280|XP_020807170.1|DSER	LOC108138672|XP_017116504.1|DELE
