Orthogroup	DERE.longest_only	DNOV.longest_only
OG0000000	LOC6545981|XP_001972189.2|DERE	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC6555364|XP_026831619.1|DERE, LOC6546799|XP_001975893.2|DERE, LOC6541982|XP_001968936.1|DERE	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE, LOC26526070|XP_026831673.1|DERE	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC6551915|XP_001978850.1|DERE, LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE	LOC115762365|XP_030560399.1|DNOV
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC6542167|XP_001968638.1|DERE, LOC6541336|XP_001968621.3|DERE	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000002	LOC6543212|XP_026834323.1|DERE	LOC115759342|XP_030556121.1|DNOV
OG0000003	LOC6549103|XP_001975568.1|DERE, LOC6548983|XP_001975566.1|DERE	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC26526619|XP_015012824.1|DERE, LOC6549104|XP_001975569.3|DERE	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC6541262|XP_001970448.1|DERE	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC6543237|XP_001970449.1|DERE	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC6543184|XP_001968830.1|DERE	LOC115758743|XP_030555359.1|DNOV
OG0000005	LOC6556051|XP_001982911.1|DERE, LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE, LOC6556058|XP_001982915.1|DERE, LOC113564801|XP_026839449.1|DERE, LOC113564800|XP_026839448.1|DERE, LOC6548707|XP_001973996.1|DERE, LOC6556031|XP_001982896.1|DERE, LOC6556046|XP_001982906.1|DERE, LOC6556228|XP_001983059.1|DERE, LOC6556303|XP_001983113.1|DERE	LOC115761952|XP_030559851.1|DNOV
OG0000006	LOC6548669|XP_001974020.1|DERE	LOC115768961|XP_030569544.1|DNOV
