Orthogroup	DNOV.longest_only	AAEG.longest_only
OG0000002	LOC115759342|XP_030556121.1|DNOV	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG
OG0000005	LOC115761952|XP_030559851.1|DNOV	LOC110680974|XP_021712439.1|AAEG, LOC110678228|XP_021706538.1|AAEG, LOC5578778|XP_001657148.1|AAEG, LOC5578788|XP_001657158.1|AAEG, LOC110676734|XP_021701441.1|AAEG, LOC110678246|XP_021706557.1|AAEG
OG0000006	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV	LOC110678836|XP_021708006.1|AAEG
OG0000006	LOC115770611|XP_030571807.1|DNOV	LOC5578787|XP_001657157.1|AAEG, LOC110679791|XP_021711213.1|AAEG, LOC5578779|XP_001657149.1|AAEG, LOC5578782|XP_001657152.1|AAEG, LOC5576406|XP_001662624.1|AAEG
OG0000006	LOC115761841|XP_030559682.1|DNOV	LOC110679787|XP_021711211.1|AAEG
OG0000007	LOC115771065|XP_030572477.1|DNOV, LOC115771063|XP_030572475.1|DNOV, LOC115767673|XP_030567825.1|DNOV, LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV, LOC115760652|XP_030557979.1|DNOV, LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV, LOC115767684|XP_030567836.1|DNOV, LOC115767682|XP_030567834.1|DNOV, LOC115767685|XP_030567839.1|DNOV, LOC115767680|XP_030567833.1|DNOV, LOC115767651|XP_030567798.1|DNOV, LOC115767650|XP_030567797.1|DNOV, LOC115767687|XP_030567841.1|DNOV, LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC5577572|XP_001663444.2|AAEG
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG
OG0000008	LOC115762903|XP_030561140.1|DNOV	LOC110677732|XP_021704637.1|AAEG
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC5578716|XP_001664018.2|AAEG
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG
