Orthogroup	DBIA.longest_only	DANA.longest_only
OG0000000	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA	LOC26513897|XP_014765549.1|DANA
OG0000000	LOC108024306|XP_016949697.1|DBIA, LOC108029324|XP_016957007.1|DBIA	LOC6504204|XP_001965159.2|DANA, LOC116656019|XP_032311028.1|DANA
OG0000000	LOC108029053|XP_016956604.1|DBIA	LOC6496234|XP_001960509.1|DANA
OG0000000	LOC108029341|XP_016957023.1|DBIA	LOC6494335|XP_001960511.2|DANA
OG0000000	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA, LOC108034426|XP_016964799.1|DBIA	LOC6502792|XP_001957229.2|DANA, LOC6502793|XP_014764613.2|DANA
OG0000000	LOC108025270|XP_016951121.1|DBIA	LOC26515012|XP_032305331.1|DANA
OG0000000	LOC108024999|XP_016950744.1|DBIA	LOC6503296|XP_001967564.2|DANA
OG0000000	LOC108031001|XP_016959690.1|DBIA	LOC6502666|XP_032305659.1|DANA
OG0000000	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA, LOC108031000|XP_016959689.1|DBIA, LOC108030080|XP_016958186.1|DBIA	LOC26515259|XP_032311041.1|DANA, LOC6502478|XP_032311040.1|DANA, LOC6502564|XP_001959556.2|DANA
OG0000000	LOC108025165|XP_016950931.1|DBIA	LOC26514259|XP_032305722.1|DANA
OG0000000	LOC108033274|XP_016963030.1|DBIA	LOC6497917|XP_001961708.2|DANA
OG0000000	LOC108033239|XP_016962994.1|DBIA	LOC26514098|XP_032306915.1|DANA
OG0000000	LOC108022409|XP_016946783.1|DBIA, LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA	LOC6494112|XP_001960945.2|DANA
OG0000000	LOC108022120|XP_016946450.1|DBIA	LOC6502509|XP_001960943.2|DANA
OG0000000	LOC108024473|XP_016949882.1|DBIA	LOC6499064|XP_032305682.1|DANA
OG0000000	LOC108032904|XP_016962446.1|DBIA	LOC6498897|XP_032305704.1|DANA
OG0000000	LOC108027980|XP_016955095.1|DBIA, LOC108032244|XP_016961600.1|DBIA	LOC116656570|XP_032312196.1|DANA, LOC26514957|XP_032312192.1|DANA, LOC116654524|XP_032305609.1|DANA
OG0000002	LOC108036386|XP_016967980.1|DBIA	LOC6494276|XP_032306810.1|DANA
OG0000002	LOC108022558|XP_016947041.1|DBIA	LOC6496130|XP_001960293.1|DANA
OG0000002	LOC108022153|XP_016946484.1|DBIA	LOC6502577|XP_001960292.2|DANA
OG0000002	LOC108032347|XP_016961646.1|DBIA	LOC116656048|XP_032311202.1|DANA
OG0000002	LOC108027710|XP_016954748.1|DBIA	LOC116655418|XP_032309202.1|DANA
OG0000003	LOC108030370|XP_016958727.1|DBIA	LOC6495486|XP_001958950.1|DANA
OG0000003	LOC108030025|XP_016958054.1|DBIA	LOC6495485|XP_001958948.1|DANA
OG0000003	LOC108024348|XP_016949739.1|DBIA, LOC108030024|XP_016958053.1|DBIA	LOC6495484|XP_001958947.1|DANA
OG0000003	LOC108030125|XP_016958318.1|DBIA	LOC6496624|XP_001961285.3|DANA
OG0000003	LOC108030172|XP_016958401.1|DBIA, LOC108029856|XP_016957835.1|DBIA	LOC6495152|XP_001958952.1|DANA, LOC6495151|XP_001958953.1|DANA
OG0000003	LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA	LOC6495154|XP_001958949.2|DANA
OG0000003	LOC108030173|XP_016958402.1|DBIA	LOC6495150|XP_014763173.1|DANA
OG0000003	LOC108029368|XP_016957084.1|DBIA	LOC6495217|XP_001958825.1|DANA
OG0000003	LOC108029347|XP_016957028.1|DBIA	LOC6495430|XP_001958829.1|DANA
OG0000003	LOC108029367|XP_016957083.1|DBIA	LOC6495216|XP_001958826.1|DANA
OG0000006	LOC108021907|XP_016946218.1|DBIA	LOC116656005|XP_032310965.1|DANA
OG0000006	LOC108027689|XP_016954729.1|DBIA	LOC116656006|XP_032310966.1|DANA
OG0000007	LOC108028761|XP_016956223.1|DBIA	LOC6493534|XP_001957954.1|DANA
OG0000007	LOC108028547|XP_016955936.1|DBIA	LOC6493532|XP_001957952.1|DANA
OG0000007	LOC108027672|XP_016954706.1|DBIA	LOC6504215|XP_001965139.1|DANA
OG0000007	LOC108029358|XP_016957069.1|DBIA	LOC6495226|XP_001958809.1|DANA, LOC6495225|XP_001958810.1|DANA
OG0000007	LOC108027695|XP_016954733.1|DBIA, LOC108027675|XP_016954708.1|DBIA	LOC6504214|XP_001965140.1|DANA
OG0000007	LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA	LOC6492986|XP_032310804.1|DANA
OG0000007	LOC108034518|XP_016964930.1|DBIA	LOC6507027|XP_001956797.1|DANA
OG0000007	LOC108027854|XP_016954941.1|DBIA	LOC6504218|XP_001965137.3|DANA, LOC6504217|XP_001965138.1|DANA
OG0000007	LOC108028309|XP_016955521.1|DBIA	LOC6493536|XP_001957956.2|DANA
OG0000007	LOC108028310|XP_016955522.1|DBIA	LOC6506391|XP_001957958.1|DANA
OG0000008	LOC108032174|XP_016961516.1|DBIA	LOC6501231|XP_001954812.1|DANA
OG0000008	LOC108034858|XP_016965498.1|DBIA	LOC6506513|XP_001957739.1|DANA
OG0000008	LOC108034855|XP_016965493.1|DBIA	LOC6493433|XP_001957742.1|DANA
OG0000008	LOC108033465|XP_016963291.1|DBIA	LOC6504295|XP_001965067.1|DANA
OG0000008	LOC108034860|XP_016965500.1|DBIA	LOC6506512|XP_001957740.2|DANA
OG0000008	LOC108029542|XP_016957386.1|DBIA	LOC6503895|XP_001963800.1|DANA
OG0000008	LOC108027365|XP_016954278.1|DBIA, LOC108027065|XP_016953763.1|DBIA	LOC6499974|XP_001953515.1|DANA
OG0000008	LOC108027095|XP_016953802.1|DBIA	LOC6500585|XP_001953520.1|DANA
OG0000008	LOC108027071|XP_016953774.1|DBIA	LOC6499972|XP_001953521.2|DANA
OG0000009	LOC108031158|XP_016959863.1|DBIA	LOC6500401|XP_001953140.1|DANA
OG0000009	LOC108032245|XP_016961597.1|DBIA	LOC6500399|XP_001953138.1|DANA
OG0000009	LOC108031475|XP_016960425.1|DBIA	LOC6500144|XP_001953137.1|DANA
OG0000009	LOC108032170|XP_016961513.1|DBIA	LOC6500400|XP_001953139.2|DANA
OG0000009	LOC108028108|XP_016955244.1|DBIA	LOC6506633|XP_001957500.1|DANA
OG0000009	LOC108022184|XP_016946525.1|DBIA	LOC6494113|XP_001960938.1|DANA
OG0000009	LOC108032134|XP_016961458.1|DBIA	LOC6500524|XP_001953390.1|DANA
OG0000009	LOC108023117|XP_016947872.1|DBIA	LOC6494922|XP_001959416.1|DANA
OG0000009	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA	LOC6494925|XP_001959413.1|DANA, LOC6494923|XP_001959415.2|DANA
OG0000009	LOC108022200|XP_016946542.1|DBIA	LOC6494924|XP_001959414.1|DANA
OG0000010	LOC108024778|XP_016950383.1|DBIA	LOC6500231|XP_001952977.1|DANA
OG0000011	LOC108027659|XP_016954664.1|DBIA, LOC108027849|XP_016954932.1|DBIA, LOC108027686|XP_016954724.1|DBIA, LOC108027698|XP_016954736.1|DBIA, LOC108027691|XP_016954727.1|DBIA, LOC108027694|XP_016954732.1|DBIA	LOC6503983|XP_014760411.1|DANA
OG0000011	LOC108030731|XP_016959262.1|DBIA, LOC108030820|XP_016959420.1|DBIA, LOC108030017|XP_016958025.1|DBIA, LOC108025089|XP_016950839.1|DBIA, LOC108027384|XP_016954306.1|DBIA, LOC108035135|XP_016966066.1|DBIA, LOC108027385|XP_016954308.1|DBIA, LOC108028835|XP_016956315.1|DBIA, LOC108027989|XP_016955104.1|DBIA, LOC108030612|XP_016959094.1|DBIA, LOC108033420|XP_016963229.1|DBIA	LOC6502747|XP_014760371.2|DANA
OG0000011	LOC108035648|XP_016966843.1|DBIA	LOC6506691|XP_001957410.1|DANA
OG0000011	LOC108023177|XP_016947908.1|DBIA, LOC108035647|XP_016966842.1|DBIA	LOC6502839|XP_001957409.2|DANA
OG0000011	LOC108024710|XP_016950292.1|DBIA	LOC6499942|XP_001953585.2|DANA
OG0000012	LOC108026825|XP_016953482.1|DBIA	LOC6495461|XP_014763319.1|DANA
OG0000012	LOC108026824|XP_016953480.1|DBIA	LOC6495183|XP_032306435.1|DANA, LOC6495182|XP_001958899.2|DANA
OG0000012	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA	LOC6495181|XP_001958900.1|DANA
OG0000012	LOC108026906|XP_016953604.1|DBIA	LOC6495184|XP_001958896.1|DANA
OG0000012	LOC108026521|XP_016952956.1|DBIA	LOC6495189|XP_001958891.1|DANA
OG0000012	LOC108026886|XP_016953577.1|DBIA	LOC6495188|XP_001958892.1|DANA
OG0000012	LOC108026520|XP_016952955.1|DBIA	LOC6495186|XP_032306195.1|DANA, LOC6495187|XP_001958893.1|DANA
OG0000012	LOC108026941|XP_016953643.1|DBIA	LOC6495185|XP_001958895.2|DANA
OG0000012	LOC108022093|XP_016946425.1|DBIA	LOC6495691|XP_001959390.1|DANA
OG0000012	LOC108022195|XP_016946536.1|DBIA	LOC6495692|XP_001959391.1|DANA
OG0000012	LOC108023104|XP_016947858.1|DBIA	LOC6495693|XP_001959392.1|DANA, LOC6495694|XP_001959393.2|DANA
OG0000012	LOC108022092|XP_016946424.1|DBIA	LOC26514216|XP_014763990.1|DANA
OG0000012	LOC108022979|XP_016947693.1|DBIA	LOC6495695|XP_001959394.1|DANA
OG0000012	LOC108022976|XP_016947689.1|DBIA	LOC6495696|XP_032306537.1|DANA
OG0000013	LOC108036445|XP_016968074.1|DBIA	LOC6494224|XP_001960708.1|DANA
OG0000013	LOC108030851|XP_016959521.1|DBIA	LOC6502959|XP_001963513.1|DANA
OG0000013	LOC108031414|XP_016960303.1|DBIA	LOC6494241|XP_001965950.1|DANA
OG0000013	LOC108034990|XP_016965812.1|DBIA	LOC6506687|XP_032309811.1|DANA
OG0000013	LOC108024443|XP_016949852.1|DBIA	LOC6500356|XP_001953043.1|DANA
OG0000013	LOC108026153|XP_016952377.1|DBIA	LOC6500746|XP_001953834.1|DANA
OG0000013	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA	LOC116655736|XP_032309488.1|DANA, LOC6499424|XP_001954664.1|DANA, LOC6501160|XP_001954666.1|DANA, LOC6501159|XP_001954665.1|DANA, LOC6502045|XP_032309431.1|DANA
OG0000014	LOC108021863|XP_016946143.1|DBIA	LOC116656446|XP_032311954.1|DANA, LOC116655390|XP_032309143.1|DANA
OG0000014	LOC108022025|XP_016946391.1|DBIA	LOC116655771|XP_032309858.1|DANA, LOC116655391|XP_032309144.1|DANA
OG0000014	LOC108027391|XP_016954320.1|DBIA	LOC116654535|XP_032305652.1|DANA, LOC116656408|XP_032311858.1|DANA, LOC116655579|XP_032309422.1|DANA
OG0000015	LOC108032335|XP_016961635.1|DBIA, LOC108032334|XP_016961634.1|DBIA, LOC108034674|XP_016965104.1|DBIA, LOC108033354|XP_016963153.1|DBIA, LOC108028934|XP_016956441.1|DBIA	LOC26514504|XP_014762337.1|DANA, LOC6502479|XP_032311112.1|DANA
