Orthogroup	DSIM.longest_only	DVIR.longest_only
OG0000000	LOC27207327|XP_016031215.1|DSIM, LOC6737447|XP_016031216.1|DSIM	LOC6623450|XP_002047287.1|DVIR
OG0000000	LOC27208741|XP_016036703.2|DSIM, LOC6734181|XP_016027194.1|DSIM, LOC6732391|XP_002079512.1|DSIM	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC6734183|XP_002081212.2|DSIM	LOC6625157|XP_032292502.1|DVIR
OG0000000	LOC6736137|XP_002083037.1|DSIM	LOC6626786|XP_002048872.2|DVIR
OG0000000	LOC6735227|XP_002082200.1|DSIM, LOC6735228|XP_002082201.1|DSIM, LOC6736069|XP_002082970.1|DSIM, LOC6736068|XP_002082969.1|DSIM, LOC6736070|XP_039148852.1|DSIM, LOC6729989|XP_002105283.1|DSIM	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC6738252|XP_002085064.1|DSIM, LOC6738253|XP_039150090.1|DSIM	LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC120284706|XP_039149044.1|DSIM	LOC116650083|XP_032289319.1|DVIR
OG0000002	LOC6734821|XP_002081824.1|DSIM	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC6735666|XP_002082584.2|DSIM	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC6735665|XP_002082583.2|DSIM	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC6731201|XP_002078360.1|DSIM	LOC6628707|XP_002051325.3|DVIR
OG0000003	LOC6734558|XP_002081567.1|DSIM, LOC6734560|XP_016027665.1|DSIM	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC6734556|XP_016027664.2|DSIM	LOC6625082|XP_002050483.2|DVIR
OG0000003	LOC6733557|XP_016026506.1|DSIM	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC6733555|XP_039148197.1|DSIM	LOC6625463|XP_002049667.1|DVIR
OG0000003	LOC6731100|XP_002078257.3|DSIM	LOC6627946|XP_002051419.1|DVIR
OG0000006	LOC120285542|XP_039154132.1|DSIM	LOC6637025|XP_002060454.1|DVIR
OG0000006	LOC120285545|XP_039154135.1|DSIM	LOC6637262|XP_032288828.1|DVIR
OG0000006	LOC120285801|XP_039154351.1|DSIM	LOC6630106|XP_032288838.1|DVIR
OG0000006	LOC120285544|XP_039154134.1|DSIM, LOC27208095|XP_016025859.1|DSIM, LOC120285266|XP_039152652.1|DSIM	LOC6630084|XP_002053094.1|DVIR
OG0000007	LOC6736955|XP_002083802.1|DSIM	LOC6623030|XP_002046517.1|DVIR
