Orthogroup	DMEL.longest_only	DBUS.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	LOC108598118|XP_017840224.1|DBUS
OG0000000	CG33752|NP_001027409.1|DMEL, CG33679|NP_001027273.1|DMEL	LOC108601266|XP_017844655.2|DBUS
OG0000000	CG12849|NP_611969.2|DMEL	LOC108594849|XP_017835476.1|DBUS
OG0000000	CG33454|NP_995887.1|DMEL, CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL	LOC108604182|XP_017849014.1|DBUS
OG0000000	CG14518|NP_651653.2|DMEL	LOC108601273|XP_017844662.1|DBUS
OG0000002	CG5550|NP_001246376.1|DMEL	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	CG30281|NP_726164.1|DMEL	LOC108596934|XP_017839382.1|DBUS
OG0000002	CG30280|NP_611641.6|DMEL	LOC108596935|XP_017838603.1|DBUS
OG0000002	CG7668|NP_649170.1|DMEL	LOC108599003|XP_033149617.1|DBUS
OG0000002	CG9500|NP_609018.3|DMEL	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS
OG0000003	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL	LOC108597513|XP_017838772.1|DBUS
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC117134628|XP_033150902.1|DBUS
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC108594852|XP_033148959.1|DBUS
OG0000003	Cyp6a16|NP_001285631.1|DMEL	LOC108608148|XP_017854884.1|DBUS
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC108598463|XP_017840596.2|DBUS
OG0000007	yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL	LOC117134784|XP_033149441.1|DBUS
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC108602201|XP_017845739.1|DBUS
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC108599783|XP_017842330.1|DBUS
OG0000008	Crys|NP_476906.1|DMEL	LOC108597994|XP_017840102.1|DBUS
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	Ccp84Af|NP_649678.1|DMEL	LOC108601548|XP_017844935.1|DBUS
