Orthogroup	DVIR.longest_only	DSER.longest_only
OG0000000	LOC6625157|XP_032292502.1|DVIR	LOC110181445|XP_020804849.1|DSER
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER, LOC110177452|XP_020799845.1|DSER
OG0000000	LOC6636429|XP_032291674.1|DVIR	LOC110190734|XP_020817015.1|DSER, LOC110190733|XP_020817014.1|DSER, LOC110190479|XP_020816650.1|DSER
OG0000001	LOC116650112|XP_032289334.1|DVIR	LOC110187736|XP_020812852.1|DSER
OG0000002	LOC6625292|XP_002049777.1|DVIR	LOC110191937|XP_020818616.1|DSER, LOC110179128|XP_020802182.1|DSER, LOC110178733|XP_020801621.1|DSER
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC6626597|XP_002049033.2|DVIR	LOC110184909|XP_020809214.1|DSER, LOC110180508|XP_020803846.1|DSER, LOC110187569|XP_020812616.1|DSER, LOC110187570|XP_020812617.1|DSER, LOC110180507|XP_020803842.1|DSER, LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER, LOC110184848|XP_020809147.1|DSER
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER
OG0000003	LOC6625082|XP_002050483.2|DVIR	LOC110177811|XP_020800360.1|DSER
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC110182737|XP_020806498.1|DSER
OG0000004	LOC116649797|XP_032288819.1|DVIR, LOC6636964|XP_002060406.2|DVIR, LOC6630109|XP_002053102.1|DVIR, LOC6637028|XP_032296768.1|DVIR, LOC6630078|XP_032288808.1|DVIR, LOC6630104|XP_002053097.1|DVIR, LOC6630838|XP_002053114.1|DVIR, LOC26531848|XP_015023755.2|DVIR, LOC116651593|XP_032294196.1|DVIR, LOC6627875|XP_002052272.1|DVIR, LOC6627872|XP_002052269.1|DVIR, LOC6627867|XP_002052264.1|DVIR, LOC26530598|XP_015027811.1|DVIR, LOC116649798|XP_032288820.1|DVIR	LOC110183788|XP_020807803.1|DSER, LOC110182151|XP_020805816.1|DSER
OG0000005	LOC26530672|XP_032288850.1|DVIR	LOC110182135|XP_020805804.1|DSER
OG0000005	LOC6636998|XP_002060428.1|DVIR	LOC110182160|XP_020805822.1|DSER
OG0000005	LOC116649816|XP_032288846.1|DVIR	LOC110180687|XP_020804031.1|DSER
OG0000006	LOC6637262|XP_032288828.1|DVIR	LOC110185948|XP_020810624.1|DSER
OG0000006	LOC6630106|XP_032288838.1|DVIR	LOC110182132|XP_020805800.1|DSER
OG0000006	LOC6630084|XP_002053094.1|DVIR	LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER
OG0000006	LOC6630840|XP_032288832.1|DVIR	LOC110182435|XP_020806129.1|DSER
