Orthogroup	DNOV.longest_only	BCOP.longest_only
OG0000000	LOC115762358|XP_030560387.1|DNOV, LOC115762357|XP_030560386.1|DNOV, LOC115769480|XP_030570157.1|DNOV, LOC115758064|XP_030554438.1|DNOV, LOC115760506|XP_030557727.1|DNOV, LOC115769481|XP_030570158.1|DNOV, LOC115762880|XP_030561115.1|DNOV, LOC115762364|XP_030560398.1|DNOV, LOC115762366|XP_030560401.1|DNOV, LOC115762368|XP_030560403.1|DNOV, LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV, LOC115764637|XP_030563666.1|DNOV, LOC115764832|XP_030563940.1|DNOV, LOC115762365|XP_030560399.1|DNOV, LOC115762361|XP_030560396.1|DNOV	LOC119067394|XP_037026221.1|BCOP
OG0000001	LOC115768652|XP_030569188.1|DNOV	LOC119073001|XP_037034220.1|BCOP, LOC119082906|XP_037048457.1|BCOP, LOC119083547|XP_037049161.1|BCOP
OG0000002	LOC115763088|XP_030561386.1|DNOV	LOC119082547|XP_037047953.1|BCOP, LOC119084136|XP_037049882.1|BCOP, LOC119085280|XP_037051529.1|BCOP, LOC119085276|XP_037051525.1|BCOP, LOC119071002|XP_037031495.1|BCOP, LOC119085524|XP_037051835.1|BCOP, LOC119081710|XP_037046714.1|BCOP, LOC119081805|XP_037046930.1|BCOP, LOC119075137|XP_037037417.1|BCOP, LOC119083558|XP_037049172.1|BCOP
OG0000002	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV, LOC115759342|XP_030556121.1|DNOV	LOC119076785|XP_037039644.1|BCOP
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC119083675|XP_037049353.1|BCOP, LOC119081620|XP_037046564.1|BCOP, LOC119076002|XP_037038470.1|BCOP, LOC119076068|XP_037038606.1|BCOP
OG0000004	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV	LOC119077551|XP_037040656.1|BCOP, LOC119082422|XP_037047846.1|BCOP, LOC119077556|XP_037040662.1|BCOP
OG0000005	LOC115761952|XP_030559851.1|DNOV	LOC119075113|XP_037037397.1|BCOP, LOC119082434|XP_037047858.1|BCOP, LOC119075516|XP_037037882.1|BCOP, LOC119075101|XP_037037384.1|BCOP, LOC119075515|XP_037037881.1|BCOP, LOC119077571|XP_037040676.1|BCOP, LOC119070769|XP_037031147.1|BCOP, LOC119077548|XP_037040652.1|BCOP, LOC119078391|XP_037041788.1|BCOP, LOC119082421|XP_037047845.1|BCOP, LOC119077561|XP_037040667.1|BCOP, LOC119075104|XP_037037387.1|BCOP, LOC119078397|XP_037041795.1|BCOP, LOC119075116|XP_037037400.1|BCOP, LOC119077552|XP_037040657.1|BCOP, LOC119082429|XP_037047852.1|BCOP, LOC119075405|XP_037037743.1|BCOP, LOC119082423|XP_037047847.1|BCOP, LOC119077560|XP_037040666.1|BCOP, LOC119075403|XP_037037742.1|BCOP, LOC119082441|XP_037047863.1|BCOP, LOC119075506|XP_037037868.1|BCOP, LOC119075097|XP_037037381.1|BCOP, LOC119082499|XP_037047909.1|BCOP, LOC119070781|XP_037031155.1|BCOP
OG0000006	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV	LOC119082428|XP_037047851.1|BCOP
OG0000006	LOC115770605|XP_030571802.1|DNOV	LOC119077557|XP_037040663.1|BCOP
OG0000006	LOC115770611|XP_030571807.1|DNOV	LOC119075400|XP_037037739.1|BCOP
OG0000006	LOC115770816|XP_030572098.1|DNOV	LOC119078394|XP_037041792.1|BCOP
OG0000007	LOC115771065|XP_030572477.1|DNOV, LOC115771063|XP_030572475.1|DNOV, LOC115767673|XP_030567825.1|DNOV, LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV, LOC115760652|XP_030557979.1|DNOV, LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV, LOC115767684|XP_030567836.1|DNOV, LOC115767682|XP_030567834.1|DNOV, LOC115767685|XP_030567839.1|DNOV, LOC115767680|XP_030567833.1|DNOV, LOC115767651|XP_030567798.1|DNOV, LOC115767650|XP_030567797.1|DNOV, LOC115767687|XP_030567841.1|DNOV, LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV	LOC119080766|XP_037045225.1|BCOP
OG0000008	LOC115759663|XP_030556519.1|DNOV	LOC119076148|XP_037038725.1|BCOP
OG0000008	LOC115762862|XP_030561098.1|DNOV	LOC119067198|XP_037025928.1|BCOP
OG0000008	LOC115759949|XP_030556951.1|DNOV	LOC119077089|XP_037040143.1|BCOP
OG0000008	LOC115762865|XP_030561099.1|DNOV	LOC119067264|XP_037026041.1|BCOP
OG0000009	LOC115763759|XP_030562333.1|DNOV, LOC115763738|XP_030562299.1|DNOV, LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV, LOC115765543|XP_030565028.1|DNOV, LOC115760864|XP_030558278.1|DNOV, LOC115758060|XP_030554434.1|DNOV, LOC115762417|XP_030560473.1|DNOV, LOC115760674|XP_030558001.1|DNOV, LOC115760799|XP_030558155.1|DNOV, LOC115760927|XP_030558362.1|DNOV, LOC115760928|XP_030558363.1|DNOV, LOC115759272|XP_030556034.1|DNOV	LOC119076827|XP_037039720.1|BCOP, LOC119077958|XP_037041229.1|BCOP, LOC119072921|XP_037034136.1|BCOP, LOC119066504|XP_037024908.1|BCOP, LOC119066761|XP_037025291.1|BCOP, LOC119072070|XP_037033100.1|BCOP, LOC119069140|XP_037028941.1|BCOP, LOC119069092|XP_037028878.1|BCOP, LOC119076746|XP_037039586.1|BCOP, LOC119077754|XP_037040991.1|BCOP, LOC119072526|XP_037033669.1|BCOP
OG0000010	LOC115759841|XP_030556795.1|DNOV, LOC115770598|XP_030571795.1|DNOV, LOC115770894|XP_030572189.1|DNOV, LOC115761849|XP_030559691.1|DNOV	LOC119082501|XP_037047912.1|BCOP, LOC119082436|XP_037047859.1|BCOP
OG0000010	LOC115770618|XP_030571814.1|DNOV	LOC119075118|XP_037037401.1|BCOP
OG0000010	LOC115761953|XP_030559852.1|DNOV	LOC119077564|XP_037040669.1|BCOP
OG0000010	LOC115770584|XP_030571769.1|DNOV	LOC119082442|XP_037047864.1|BCOP
OG0000012	LOC115760603|XP_030557904.1|DNOV, LOC115760694|XP_030558018.1|DNOV, LOC115760695|XP_030558019.1|DNOV, LOC115760604|XP_030557906.1|DNOV, LOC115758175|XP_030554576.1|DNOV, LOC115758176|XP_030554577.1|DNOV, LOC115760687|XP_030558014.1|DNOV, LOC115760690|XP_030558016.1|DNOV, LOC115760693|XP_030558017.1|DNOV, LOC115760901|XP_030558328.1|DNOV, LOC115761042|XP_030558517.1|DNOV, LOC115760685|XP_030558012.1|DNOV, LOC115761057|XP_030558532.1|DNOV	LOC119073382|XP_037034703.1|BCOP, LOC119073829|XP_037035529.1|BCOP, LOC119073831|XP_037035534.1|BCOP, LOC119073833|XP_037035539.1|BCOP, LOC119073832|XP_037035537.1|BCOP
OG0000013	LOC115761021|XP_030558495.1|DNOV	LOC119078237|XP_037041593.1|BCOP
OG0000013	LOC115766810|XP_030566705.1|DNOV	LOC119071389|XP_037032165.1|BCOP
OG0000013	LOC115766254|XP_030565974.1|DNOV, LOC115766196|XP_030565905.1|DNOV	LOC119072742|XP_037033921.1|BCOP
OG0000013	LOC115761668|XP_030559377.1|DNOV	LOC119068977|XP_037028742.1|BCOP
OG0000013	LOC115764083|XP_030562793.1|DNOV, LOC115764084|XP_030562794.1|DNOV, LOC115763707|XP_030562258.1|DNOV, LOC115763850|XP_030562479.1|DNOV, LOC115763708|XP_030562260.1|DNOV, LOC115763909|XP_030562575.1|DNOV, LOC115763733|XP_030562292.1|DNOV	LOC119070754|XP_037031123.1|BCOP, LOC119070753|XP_037031122.1|BCOP, LOC119072554|XP_037033686.1|BCOP
OG0000016	LOC115761678|XP_030559394.1|DNOV, LOC115762276|XP_030560298.1|DNOV	LOC119069122|XP_037028916.1|BCOP
OG0000016	LOC115761707|XP_030559439.1|DNOV	LOC119071771|XP_037032720.1|BCOP
OG0000016	LOC115768679|XP_030569221.1|DNOV	LOC119070068|XP_037030257.1|BCOP
OG0000016	LOC115770022|XP_030570941.1|DNOV	LOC119072263|XP_037033347.1|BCOP
OG0000018	LOC115762746|XP_030560944.1|DNOV	LOC119080549|XP_037044859.1|BCOP, LOC119080555|XP_037044865.1|BCOP, LOC119082559|XP_037047981.1|BCOP, LOC119080553|XP_037044862.1|BCOP, LOC119080552|XP_037044861.1|BCOP, LOC119080554|XP_037044863.1|BCOP
OG0000018	LOC115762718|XP_030560904.1|DNOV, LOC115762873|XP_030561108.1|DNOV, LOC115762704|XP_030560888.1|DNOV, LOC115762687|XP_030560868.1|DNOV, LOC115762735|XP_030560928.1|DNOV, LOC115762719|XP_030560905.1|DNOV, LOC115762728|XP_030560922.1|DNOV	LOC119080537|XP_037044845.1|BCOP, LOC119080550|XP_037044860.1|BCOP
OG0000019	LOC115771723|XP_030573407.1|DNOV, LOC115771721|XP_030573404.1|DNOV, LOC115771722|XP_030573406.1|DNOV, LOC115771978|XP_030573757.1|DNOV, LOC115771639|XP_030573299.1|DNOV, LOC115771840|XP_030573582.1|DNOV, LOC115771914|XP_030573663.1|DNOV	LOC119084786|XP_037050745.1|BCOP, LOC119080761|XP_037045217.1|BCOP, LOC119084726|XP_037050695.1|BCOP, LOC119075121|XP_037037402.1|BCOP, LOC119083579|XP_037049219.1|BCOP, LOC119077737|XP_037040913.1|BCOP, LOC119071643|XP_037032501.1|BCOP, LOC119076581|XP_037039318.1|BCOP, LOC119082882|XP_037048433.1|BCOP, LOC119072316|XP_037033399.1|BCOP, LOC119066283|XP_037024546.1|BCOP, LOC119072668|XP_037033820.1|BCOP, LOC119080954|XP_037045478.1|BCOP, LOC119073098|XP_037034307.1|BCOP, LOC119073124|XP_037034319.1|BCOP, LOC119066050|XP_037024169.1|BCOP, LOC119083794|XP_037049497.1|BCOP, LOC119067362|XP_037026172.1|BCOP, LOC119070994|XP_037031482.1|BCOP, LOC119074454|XP_037036483.1|BCOP, LOC119082874|XP_037048430.1|BCOP, LOC119066385|XP_037024712.1|BCOP, LOC119069028|XP_037028793.1|BCOP, LOC119069029|XP_037028794.1|BCOP, LOC119082044|XP_037047265.1|BCOP
OG0000020	LOC115764021|XP_030562712.1|DNOV, LOC115762420|XP_030560475.1|DNOV	LOC119070433|XP_037030670.1|BCOP, LOC119070434|XP_037030671.1|BCOP, LOC119075868|XP_037038321.1|BCOP, LOC119084787|XP_037050746.1|BCOP
OG0000020	LOC115758764|XP_030555385.1|DNOV, LOC115763800|XP_030562404.1|DNOV, LOC115763804|XP_030562407.1|DNOV, LOC115763801|XP_030562405.1|DNOV, LOC115767924|XP_030568152.1|DNOV, LOC115767925|XP_030568154.1|DNOV, LOC115758337|XP_030554771.1|DNOV	LOC119077634|XP_037040747.1|BCOP
OG0000021	LOC115768613|XP_030569130.1|DNOV	LOC119076102|XP_037038654.1|BCOP
OG0000021	LOC115770843|XP_030572140.1|DNOV	LOC119074653|XP_037036827.1|BCOP
OG0000023	LOC115761260|XP_030558833.1|DNOV, LOC115761261|XP_030558835.1|DNOV, LOC115761508|XP_030559136.1|DNOV, LOC115761509|XP_030559137.1|DNOV, LOC115761267|XP_030558841.1|DNOV, LOC115761263|XP_030558837.1|DNOV, LOC115761778|XP_030559575.1|DNOV, LOC115761266|XP_030558840.1|DNOV, LOC115761265|XP_030558839.1|DNOV, LOC115761264|XP_030558838.1|DNOV, LOC115761262|XP_030558836.1|DNOV, LOC115761326|XP_030558919.1|DNOV, LOC115761659|XP_030559359.1|DNOV, LOC115761434|XP_030559060.1|DNOV	LOC119069090|XP_037028874.1|BCOP, LOC119076492|XP_037039176.1|BCOP, LOC119072506|XP_037033640.1|BCOP, LOC119080922|XP_037045436.1|BCOP, LOC119075660|XP_037038064.1|BCOP, LOC119070314|XP_037030479.1|BCOP
OG0000024	LOC115758279|XP_030554701.1|DNOV, LOC115758277|XP_030554700.1|DNOV, LOC115758204|XP_030554612.1|DNOV, LOC115758193|XP_030554595.1|DNOV, LOC115758184|XP_030554584.1|DNOV, LOC115763072|XP_030561360.1|DNOV, LOC115758183|XP_030554583.1|DNOV, LOC115764549|XP_030563528.1|DNOV, LOC115758109|XP_030554493.1|DNOV, LOC115758108|XP_030554492.1|DNOV, LOC115758107|XP_030554491.1|DNOV, LOC115759954|XP_030556957.1|DNOV	LOC119070658|XP_037030984.1|BCOP, LOC119082311|XP_037047708.1|BCOP, LOC119077506|XP_037040630.1|BCOP, LOC119069534|XP_037029505.1|BCOP, LOC119077421|XP_037040530.1|BCOP, LOC119081808|XP_037046934.1|BCOP, LOC119075019|XP_037037323.1|BCOP, LOC119074665|XP_037036841.1|BCOP, LOC119079676|XP_037043629.1|BCOP, LOC119069566|XP_037029541.1|BCOP, LOC119069565|XP_037029540.1|BCOP
OG0000025	LOC115768054|XP_030568354.1|DNOV, LOC115758436|XP_030554952.1|DNOV	LOC119074493|XP_037036540.1|BCOP
OG0000025	LOC115770696|XP_030571951.1|DNOV	LOC119078392|XP_037041789.1|BCOP, LOC119075511|XP_037037876.1|BCOP, LOC119070773|XP_037031151.1|BCOP
