Orthogroup	DERE.longest_only	DSER.longest_only
OG0000000	LOC26526117|XP_026833226.1|DERE	LOC110190761|XP_020817050.1|DSER
OG0000000	LOC6552159|XP_001980711.1|DERE	LOC110188492|XP_020813881.1|DSER
OG0000000	LOC6544810|XP_026832924.1|DERE	LOC110190735|XP_020817016.1|DSER
OG0000000	LOC6544813|XP_001973192.2|DERE	LOC110190738|XP_020817019.1|DSER
OG0000000	LOC6544812|XP_001973191.2|DERE	LOC110190736|XP_020817017.1|DSER
OG0000000	LOC6548572|XP_026836220.1|DERE	LOC110184046|XP_020808080.1|DSER
OG0000000	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER
OG0000000	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER
OG0000000	LOC6541136|XP_001969303.1|DERE, LOC6554482|XP_001981927.3|DERE	LOC110184021|XP_020808046.1|DSER
OG0000000	LOC6544187|XP_026833238.1|DERE	LOC110176723|XP_020798824.1|DSER, LOC110178370|XP_020801166.1|DSER
OG0000000	LOC26526690|XP_015009401.1|DERE	LOC110187976|XP_020813156.1|DSER
OG0000000	LOC6549399|XP_001974447.1|DERE	LOC110184825|XP_020809128.1|DSER
OG0000000	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER
OG0000000	LOC26526070|XP_026831673.1|DERE	LOC110177452|XP_020799845.1|DSER
OG0000000	LOC6551915|XP_001978850.1|DERE	LOC110187957|XP_020813134.1|DSER
OG0000000	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE	LOC110190733|XP_020817014.1|DSER
OG0000002	LOC6548491|XP_001975304.1|DERE	LOC110191937|XP_020818616.1|DSER
OG0000002	LOC6548172|XP_001975155.3|DERE	LOC110177829|XP_020800431.1|DSER
OG0000002	LOC6548171|XP_001975154.2|DERE	LOC110177830|XP_020800433.1|DSER
OG0000002	LOC6540746|XP_001968931.3|DERE	LOC110189677|XP_020815494.1|DSER
OG0000002	LOC6545786|XP_001973422.2|DERE	LOC110189091|XP_020814726.1|DSER
OG0000002	LOC6542167|XP_001968638.1|DERE	LOC110179772|XP_020803049.1|DSER, LOC110179791|XP_020803062.1|DSER, LOC110179771|XP_020803048.1|DSER, LOC110184842|XP_020809143.1|DSER, LOC110179770|XP_020803046.1|DSER, LOC110184843|XP_020809144.1|DSER, LOC110184841|XP_020809142.1|DSER, LOC110179768|XP_020803044.1|DSER, LOC110179788|XP_020803061.1|DSER, LOC110184840|XP_020809141.1|DSER, LOC110179792|XP_020803063.1|DSER
OG0000002	LOC6541336|XP_001968621.3|DERE	LOC110184848|XP_020809147.1|DSER
OG0000002	LOC6543212|XP_026834323.1|DERE	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER
OG0000003	LOC6549103|XP_001975568.1|DERE	LOC110177692|XP_020800174.1|DSER
OG0000003	LOC6548983|XP_001975566.1|DERE	LOC110177680|XP_020800160.1|DSER
OG0000003	LOC6548982|XP_001975565.1|DERE	LOC110177747|XP_020800264.1|DSER
OG0000003	LOC6541170|XP_001970725.1|DERE	LOC110189782|XP_020815670.1|DSER
OG0000003	LOC26526619|XP_015012824.1|DERE	LOC110177689|XP_020800171.1|DSER
OG0000003	LOC6549102|XP_001975567.1|DERE	LOC110177698|XP_020800183.1|DSER
OG0000003	LOC6549105|XP_001975570.1|DERE	LOC110177690|XP_020800172.1|DSER
OG0000003	LOC6541262|XP_001970448.1|DERE	LOC110188514|XP_020813952.1|DSER
OG0000003	LOC6543237|XP_001970449.1|DERE	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER
OG0000003	LOC6543184|XP_001968830.1|DERE	LOC110182737|XP_020806498.1|DSER
OG0000004	LOC113564789|XP_026839439.1|DERE, LOC113564794|XP_026839442.1|DERE, LOC113564793|XP_026839441.1|DERE, LOC113564762|XP_026839397.1|DERE, LOC113564780|XP_026839412.1|DERE, LOC113564788|XP_026839438.1|DERE, LOC113564798|XP_026839446.1|DERE, LOC113564782|XP_026839414.1|DERE, LOC113564781|XP_026839413.1|DERE	LOC110181335|XP_020804713.1|DSER, LOC110183807|XP_020807818.1|DSER, LOC110180697|XP_020804038.1|DSER
OG0000006	LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE	LOC110185948|XP_020810624.1|DSER
OG0000006	LOC6548691|XP_001974010.1|DERE	LOC110180689|XP_020804033.1|DSER, LOC110182434|XP_020806128.1|DSER, LOC110182140|XP_020805810.1|DSER, LOC110181333|XP_020804710.1|DSER, LOC110182413|XP_020806109.1|DSER, LOC110182153|XP_020805818.1|DSER, LOC110181334|XP_020804711.1|DSER
OG0000007	LOC6545298|XP_001972056.1|DERE	LOC110184727|XP_020809014.1|DSER
OG0000007	LOC6545299|XP_001972057.1|DERE	LOC110184726|XP_020809013.1|DSER
OG0000007	LOC6545101|XP_001972052.1|DERE	LOC110184693|XP_020808964.1|DSER
OG0000007	LOC6540938|XP_001968734.1|DERE	LOC110182363|XP_020806064.1|DSER
OG0000007	LOC6555344|XP_001981194.1|DERE, LOC6555345|XP_001981195.1|DERE	LOC110189366|XP_020815075.1|DSER
OG0000007	LOC6554433|XP_001981284.1|DERE, LOC6554432|XP_001981283.1|DERE	LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER
OG0000007	LOC6540876|XP_001968735.1|DERE	LOC110182364|XP_020806065.1|DSER
