Orthogroup	DSUB.longest_only	DEUG.longest_only
OG0000000	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB	LOC108108372|XP_017071909.1|DEUG, LOC108108373|XP_017071910.1|DEUG
OG0000000	LOC117898485|XP_034663813.1|DSUB	LOC108108401|XP_017071943.1|DEUG, LOC108108403|XP_017071945.1|DEUG
OG0000000	LOC117889909|XP_034650326.1|DSUB	LOC108112762|XP_017078510.1|DEUG
OG0000000	LOC117893407|XP_034655897.1|DSUB	LOC108113889|XP_017080083.1|DEUG
OG0000000	LOC117893701|XP_034656280.1|DSUB	LOC108114143|XP_017080414.1|DEUG
OG0000000	LOC117893403|XP_034655894.1|DSUB	LOC108114140|XP_017080412.1|DEUG, LOC108113888|XP_017080082.1|DEUG, LOC108114141|XP_017080413.1|DEUG, LOC108113886|XP_017080081.1|DEUG
OG0000000	LOC117892287|XP_034654298.1|DSUB	LOC108107246|XP_017070153.1|DEUG
OG0000000	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB	LOC108104209|XP_017065641.1|DEUG, LOC108104204|XP_017065637.1|DEUG, LOC108104205|XP_017065638.1|DEUG, LOC108104206|XP_017065639.1|DEUG, LOC108104229|XP_017065668.1|DEUG, LOC108104203|XP_017065636.1|DEUG
OG0000000	LOC117892705|XP_034655010.1|DSUB	LOC108113894|XP_017080088.1|DEUG
OG0000000	LOC117899325|XP_034665150.1|DSUB	LOC108104212|XP_017065644.1|DEUG
OG0000000	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB	LOC108104211|XP_017065643.1|DEUG, LOC108104210|XP_017065642.1|DEUG
OG0000000	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB	LOC108113485|XP_017079560.1|DEUG
OG0000000	LOC117896020|XP_034659918.1|DSUB	LOC108115565|XP_017082560.1|DEUG
OG0000000	LOC117901385|XP_034668002.1|DSUB	LOC108103054|XP_017063857.1|DEUG
