Orthogroup	DNOV.longest_only	DPSE.longest_only
OG0000000	LOC115758064|XP_030554438.1|DNOV	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE, LOC6898698|XP_015040315.2|DPSE
OG0000000	LOC115760506|XP_030557727.1|DNOV	LOC6898695|XP_002138700.2|DPSE
OG0000000	LOC115762880|XP_030561115.1|DNOV	LOC6899999|XP_033240207.1|DPSE
OG0000000	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE, LOC6896813|XP_033232366.1|DPSE, LOC4801605|XP_001358672.2|DPSE
OG0000001	LOC115768652|XP_030569188.1|DNOV	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE, LOC117184038|XP_033235938.1|DPSE
OG0000002	LOC115759079|XP_030555811.1|DNOV	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC115762794|XP_030561011.1|DNOV	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV	LOC6902531|XP_002133071.3|DPSE
OG0000003	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC115771231|XP_030572696.1|DNOV	LOC6898736|XP_002138723.1|DPSE, LOC6898737|XP_002138724.1|DPSE
OG0000003	LOC115762286|XP_030560313.1|DNOV	LOC4804978|XP_001361452.2|DPSE
OG0000003	LOC115771912|XP_030573666.1|DNOV	LOC26533075|XP_033237686.1|DPSE, LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000003	LOC115758743|XP_030555359.1|DNOV	LOC6902590|XP_002133118.2|DPSE
