Orthogroup	DMAU.longest_only	DERE.longest_only
OG0000000	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU	LOC6545981|XP_001972189.2|DERE
OG0000000	LOC117145695|XP_033167327.1|DMAU	LOC6555364|XP_026831619.1|DERE
OG0000000	LOC117138434|XP_033156436.1|DMAU	LOC6546799|XP_001975893.2|DERE
OG0000000	LOC117149958|XP_033172750.1|DMAU	LOC6541982|XP_001968936.1|DERE
OG0000000	LOC117145797|XP_033167474.1|DMAU	LOC6552159|XP_001980711.1|DERE
OG0000000	LOC117139148|XP_033157197.1|DMAU	LOC6544810|XP_026832924.1|DERE
OG0000000	LOC117139149|XP_033157198.1|DMAU	LOC6544813|XP_001973192.2|DERE
OG0000000	LOC117140540|XP_033159421.1|DMAU	LOC6544812|XP_001973191.2|DERE
OG0000000	LOC117138648|XP_033156758.1|DMAU	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC117144786|XP_033166045.1|DMAU	LOC6551988|XP_026839788.1|DERE
OG0000000	LOC117142323|XP_033162125.1|DMAU	LOC6554922|XP_001981127.2|DERE
OG0000000	LOC117142325|XP_033162128.1|DMAU	LOC6554923|XP_001981128.1|DERE
OG0000000	LOC117142327|XP_033162129.1|DMAU	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE
OG0000000	LOC117136304|XP_033153082.1|DMAU	LOC6541136|XP_001969303.1|DERE
OG0000000	LOC117145451|XP_033167010.1|DMAU	LOC6554482|XP_001981927.3|DERE
OG0000000	LOC117137412|XP_033154732.1|DMAU	LOC6546610|XP_001975826.1|DERE, LOC26527016|XP_015012898.1|DERE
OG0000000	LOC117138341|XP_033156269.1|DMAU	LOC6548870|XP_001975456.3|DERE
OG0000000	LOC117140233|XP_033158923.1|DMAU	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE
OG0000000	LOC117140128|XP_033158783.1|DMAU, LOC117141642|XP_033161098.1|DMAU	LOC6542210|XP_026835022.1|DERE
OG0000000	LOC117150663|XP_033173544.1|DMAU	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE
OG0000000	LOC117139179|XP_033157239.1|DMAU	LOC6544187|XP_026833238.1|DERE
OG0000000	LOC117145856|XP_033167567.1|DMAU	LOC26526690|XP_015009401.1|DERE
OG0000000	LOC117150929|XP_033173982.1|DMAU	LOC6549399|XP_001974447.1|DERE
OG0000000	LOC117138016|XP_033155711.1|DMAU	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE
OG0000000	LOC117146038|XP_033167862.1|DMAU	LOC26526070|XP_026831673.1|DERE
OG0000000	LOC117145160|XP_033166598.1|DMAU	LOC6551915|XP_001978850.1|DERE
OG0000000	LOC117140539|XP_033159419.1|DMAU	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE
OG0000002	LOC117138082|XP_033155798.1|DMAU	LOC6548491|XP_001975304.1|DERE
