Orthogroup	DSUB.longest_only	AAEG.longest_only
OG0000002	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB	LOC5574240|XP_001661293.1|AAEG, LOC5569832|XP_001658732.2|AAEG, LOC110677006|XP_021703013.1|AAEG, LOC5574239|XP_001661294.1|AAEG, LOC5577410|XP_021711700.1|AAEG
OG0000005	LOC117901442|XP_034668076.1|DSUB	LOC110680974|XP_021712439.1|AAEG, LOC110678228|XP_021706538.1|AAEG, LOC5578778|XP_001657148.1|AAEG, LOC5578788|XP_001657158.1|AAEG, LOC110676734|XP_021701441.1|AAEG, LOC110678246|XP_021706557.1|AAEG
OG0000006	LOC117901441|XP_034668075.1|DSUB	LOC110678308|XP_021706672.1|AAEG, LOC110678836|XP_021708006.1|AAEG
OG0000007	LOC117894702|XP_034657776.1|DSUB, LOC117894589|XP_034657628.1|DSUB, LOC117900834|XP_034667236.1|DSUB, LOC117890133|XP_034650711.1|DSUB, LOC117897873|XP_034662839.1|DSUB, LOC117897862|XP_034662826.1|DSUB, LOC117897982|XP_034662985.1|DSUB, LOC117900835|XP_034667237.1|DSUB, LOC117894709|XP_034657781.1|DSUB, LOC117901609|XP_034668319.1|DSUB, LOC117894591|XP_034657631.1|DSUB, LOC117894593|XP_034657634.1|DSUB	LOC5577572|XP_001663444.2|AAEG
OG0000008	LOC117896362|XP_034660529.1|DSUB	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG
OG0000008	LOC117895169|XP_034658523.1|DSUB	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG
OG0000008	LOC117895168|XP_034658522.1|DSUB	LOC110677732|XP_021704637.1|AAEG
OG0000008	LOC117902083|XP_034669067.1|DSUB	LOC5578716|XP_001664018.2|AAEG
OG0000008	LOC117895171|XP_034658525.1|DSUB	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG
OG0000009	LOC117896628|XP_034660961.1|DSUB, LOC117898287|XP_034663434.1|DSUB, LOC117899151|XP_034664850.1|DSUB, LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB, LOC117898279|XP_034663425.1|DSUB, LOC117898336|XP_034663551.1|DSUB, LOC117898367|XP_034663595.1|DSUB, LOC117896642|XP_034660979.1|DSUB, LOC117898857|XP_034664425.1|DSUB, LOC117890282|XP_034650935.1|DSUB, LOC117896426|XP_034660636.1|DSUB, LOC117892376|XP_034654476.1|DSUB, LOC117892374|XP_034654475.1|DSUB	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG
OG0000010	LOC117899454|XP_034665355.1|DSUB	LOC110679801|XP_021711224.1|AAEG, LOC110679806|XP_021711230.1|AAEG
OG0000011	LOC117900245|XP_034666432.1|DSUB	LOC5570988|XP_001659449.2|AAEG
OG0000012	LOC117892204|XP_034654190.1|DSUB, LOC117892205|XP_034654193.1|DSUB, LOC117892198|XP_034654182.1|DSUB, LOC117892199|XP_034654185.1|DSUB, LOC117892202|XP_034654189.1|DSUB, LOC117892201|XP_034654188.1|DSUB, LOC117892200|XP_034654187.1|DSUB, LOC117891062|XP_034652125.1|DSUB, LOC117891063|XP_034652127.1|DSUB, LOC117891061|XP_034652124.1|DSUB, LOC117891058|XP_034652122.1|DSUB, LOC117891064|XP_034652128.1|DSUB	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG
OG0000013	LOC117890717|XP_034651649.1|DSUB	LOC110679353|XP_021709456.1|AAEG
OG0000013	LOC117896187|XP_034660170.1|DSUB	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG
OG0000013	LOC117896516|XP_034660775.1|DSUB	LOC110678734|XP_021707697.1|AAEG
OG0000013	LOC117895334|XP_034658799.1|DSUB	LOC110676139|XP_021698547.1|AAEG
OG0000013	LOC117898536|XP_034663901.1|DSUB	LOC110679299|XP_021709332.1|AAEG
OG0000013	LOC117897025|XP_034661493.1|DSUB, LOC117897026|XP_034661494.1|DSUB, LOC117898008|XP_034663028.1|DSUB, LOC117898009|XP_034663029.1|DSUB	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG
OG0000016	LOC117899529|XP_034665488.1|DSUB, LOC117889984|XP_034650458.1|DSUB	LOC5565155|XP_001649530.1|AAEG
OG0000016	LOC117898309|XP_034663475.1|DSUB	LOC5577991|XP_001656729.1|AAEG
OG0000016	LOC117903845|XP_034672195.1|DSUB	LOC5574526|XP_001655175.1|AAEG
OG0000016	LOC117893424|XP_034655932.1|DSUB	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG
OG0000018	LOC117895264|XP_034658678.1|DSUB	LOC5578131|XP_001663702.2|AAEG
OG0000018	LOC117895272|XP_034658688.1|DSUB	LOC5577643|XP_001656641.1|AAEG
OG0000019	LOC117899362|XP_034665232.1|DSUB, LOC117899360|XP_034665227.1|DSUB, LOC117899339|XP_034665171.1|DSUB, LOC117899361|XP_034665230.1|DSUB, LOC117899358|XP_034665223.1|DSUB, LOC117899359|XP_034665224.1|DSUB	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG
OG0000020	LOC117897785|XP_034662725.1|DSUB, LOC117897786|XP_034662726.1|DSUB, LOC117892172|XP_034654141.1|DSUB	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG
OG0000020	LOC117902343|XP_034669534.1|DSUB, LOC117898500|XP_034663833.1|DSUB, LOC117898411|XP_034663671.1|DSUB, LOC117901489|XP_034668148.1|DSUB, LOC117901231|XP_034667794.1|DSUB	LOC5578230|XP_021697387.1|AAEG
OG0000021	LOC117903672|XP_034671893.1|DSUB	LOC5577439|XP_021709141.1|AAEG
OG0000021	LOC117896843|XP_034661258.1|DSUB, LOC117898591|XP_034664027.1|DSUB	LOC5571745|XP_021708635.1|AAEG
OG0000023	LOC117896148|XP_034660114.1|DSUB, LOC117896153|XP_034660122.1|DSUB, LOC117896151|XP_034660118.1|DSUB, LOC117896150|XP_034660117.1|DSUB, LOC117891805|XP_034653377.1|DSUB, LOC117896149|XP_034660116.1|DSUB, LOC117898724|XP_034664233.1|DSUB, LOC117898725|XP_034664234.1|DSUB	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG
OG0000024	LOC117889935|XP_034650357.1|DSUB, LOC117889932|XP_034650354.1|DSUB, LOC117889933|XP_034650355.1|DSUB, LOC117889934|XP_034650356.1|DSUB, LOC117901020|XP_034667512.1|DSUB, LOC117889812|XP_034650181.1|DSUB, LOC117891118|XP_034652213.1|DSUB	LOC5574946|XP_001655419.1|AAEG
OG0000025	LOC117890855|XP_034651836.1|DSUB	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG
OG0000026	LOC117903905|XP_034672302.1|DSUB, LOC117899765|XP_034665914.1|DSUB, LOC117899768|XP_034665918.1|DSUB, LOC117899766|XP_034665915.1|DSUB, LOC117899767|XP_034665916.1|DSUB, LOC117899507|XP_034665449.1|DSUB	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG
OG0000027	LOC117902555|XP_034669887.1|DSUB, LOC117902556|XP_034669889.1|DSUB, LOC117902554|XP_034669886.1|DSUB	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG
OG0000028	LOC117894268|XP_034657114.1|DSUB, LOC117894267|XP_034657113.1|DSUB, LOC117894270|XP_034657116.1|DSUB, LOC117894269|XP_034657115.1|DSUB, LOC117894266|XP_034657112.1|DSUB, LOC117894265|XP_034657110.1|DSUB, LOC117894530|XP_034657538.1|DSUB	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG
OG0000029	LOC117890176|XP_034650765.1|DSUB, LOC117889740|XP_034650054.1|DSUB, LOC117898949|XP_034664564.1|DSUB, LOC117893783|XP_034656418.1|DSUB	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG
OG0000032	LOC117898600|XP_034664039.1|DSUB, LOC117898601|XP_034664041.1|DSUB, LOC117898606|XP_034664047.1|DSUB, LOC117898607|XP_034664048.1|DSUB, LOC117899193|XP_034664947.1|DSUB, LOC117898595|XP_034664033.1|DSUB, LOC117898599|XP_034664038.1|DSUB, LOC117898598|XP_034664036.1|DSUB, LOC117898597|XP_034664035.1|DSUB	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG
OG0000034	LOC117902583|XP_034669972.1|DSUB, LOC117902581|XP_034669969.1|DSUB, LOC117902582|XP_034669970.1|DSUB, LOC117902354|XP_034669556.1|DSUB, LOC117902355|XP_034669558.1|DSUB, LOC117902353|XP_034669555.1|DSUB	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG
OG0000036	LOC117898005|XP_034663024.1|DSUB	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG
OG0000036	LOC117896918|XP_034661349.1|DSUB	LOC5565959|XP_001650301.1|AAEG
OG0000037	LOC117890311|XP_034650989.1|DSUB, LOC117897238|XP_034661848.1|DSUB, LOC117897237|XP_034661847.1|DSUB, LOC117897239|XP_034661849.1|DSUB, LOC117897236|XP_034661846.1|DSUB	LOC5573113|XP_021703204.1|AAEG, LOC5573117|XP_001660726.1|AAEG, LOC5568413|XP_001658065.2|AAEG, LOC5573116|XP_021703205.1|AAEG
OG0000038	LOC117894264|XP_034657109.1|DSUB	LOC5571376|XP_001659658.1|AAEG
OG0000039	LOC117897419|XP_034662142.1|DSUB	LOC5575658|XP_001662117.1|AAEG, LOC5568094|XP_021703967.1|AAEG, LOC5575657|XP_001662120.1|AAEG, LOC5574822|XP_021705274.1|AAEG, LOC5566624|XP_001651000.1|AAEG, LOC5571707|XP_001659852.1|AAEG, LOC5575399|XP_001661919.1|AAEG, LOC5575393|XP_001661917.1|AAEG, LOC5575400|XP_001661920.1|AAEG, LOC5575401|XP_001661921.1|AAEG
