Orthogroup	DSAN.longest_only	ASTE.longest_only
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC118516451|XP_035918240.1|ASTE, LOC118511890|XP_035911410.1|ASTE, LOC118511889|XP_035911409.1|ASTE, LOC118516454|XP_035918243.1|ASTE, LOC118511888|XP_035911408.1|ASTE, LOC118516449|XP_035918238.1|ASTE, LOC118514626|XP_035917517.1|ASTE, LOC118511460|XP_035910455.1|ASTE, LOC118509013|XP_035904926.1|ASTE, LOC118509867|XP_035906983.1|ASTE
OG0000006	LOC120457930|XP_039501368.1|DSAN, LOC120457681|XP_039501104.1|DSAN, LOC120457931|XP_039501371.1|DSAN	LOC118517636|XP_035919841.1|ASTE
OG0000006	LOC120457670|XP_039501096.1|DSAN	LOC118508036|XP_035903331.1|ASTE
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC118505246|XP_035896690.1|ASTE, LOC118505247|XP_035896691.1|ASTE
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC118506768|XP_035900257.1|ASTE, LOC118506767|XP_035900256.1|ASTE, LOC118506770|XP_035900259.1|ASTE, LOC118506769|XP_035900258.1|ASTE, LOC118506766|XP_035900255.1|ASTE
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC118509007|XP_035904915.1|ASTE
OG0000008	LOC120449658|XP_039488188.1|DSAN	LOC118506772|XP_035900260.1|ASTE
OG0000009	LOC120452846|XP_039493217.1|DSAN, LOC120453968|XP_039494853.1|DSAN, LOC120454581|XP_039495924.1|DSAN, LOC120452847|XP_039493218.1|DSAN, LOC120447920|XP_039485510.1|DSAN, LOC120447921|XP_039485511.1|DSAN, LOC120446532|XP_039483479.1|DSAN, LOC120453301|XP_039493868.1|DSAN, LOC120445192|XP_039481349.1|DSAN, LOC120445195|XP_039481352.1|DSAN, LOC120445193|XP_039481350.1|DSAN	LOC118514549|XP_035917433.1|ASTE, LOC118512522|XP_035912957.1|ASTE, LOC118512523|XP_035912958.1|ASTE, LOC118513525|XP_035915292.1|ASTE, LOC118510358|XP_035907960.1|ASTE, LOC118503659|XP_035893081.1|ASTE
OG0000010	LOC120446204|XP_039482989.1|DSAN	LOC118503730|XP_035893236.1|ASTE
OG0000012	LOC120445821|XP_039482372.1|DSAN, LOC120445820|XP_039482371.1|DSAN, LOC120446192|XP_039482973.1|DSAN, LOC120446256|XP_039483062.1|DSAN, LOC120444865|XP_039480765.1|DSAN, LOC120445730|XP_039482234.1|DSAN, LOC120446629|XP_039483624.1|DSAN, LOC120446410|XP_039483290.1|DSAN, LOC120445226|XP_039481417.1|DSAN, LOC120446006|XP_039482689.1|DSAN, LOC120446007|XP_039482691.1|DSAN	LOC118508901|XP_035904653.1|ASTE, LOC118508903|XP_035904655.1|ASTE
OG0000013	LOC120444466|XP_039480072.1|DSAN	LOC118507210|XP_035901192.1|ASTE
OG0000013	LOC120456796|XP_039499752.1|DSAN	LOC118503015|XP_035891731.1|ASTE
