Orthogroup	DSEC.longest_only	DBIA.longest_only
OG0000000	LOC116801307|XP_032576000.1|DSEC	LOC108029860|XP_016957839.1|DBIA
OG0000000	LOC6605054|XP_032575159.1|DSEC	LOC108034778|XP_016965225.1|DBIA, LOC108034464|XP_016964837.1|DBIA
OG0000000	LOC6612593|XP_002037098.2|DSEC	LOC108024306|XP_016949697.1|DBIA
OG0000000	LOC6611330|XP_002035877.1|DSEC	LOC108029053|XP_016956604.1|DBIA
OG0000000	LOC6608865|XP_002033579.1|DSEC	LOC108029341|XP_016957023.1|DBIA
OG0000000	LOC6605884|XP_032575999.1|DSEC	LOC108034429|XP_016964803.1|DBIA
OG0000000	LOC6605885|XP_032575997.1|DSEC	LOC108034424|XP_016964798.1|DBIA
OG0000000	LOC116800964|XP_032573791.1|DSEC	LOC108034427|XP_016964800.1|DBIA, LOC108034428|XP_016964801.1|DBIA
OG0000000	LOC116801306|XP_032575998.1|DSEC	LOC108034426|XP_016964799.1|DBIA
OG0000000	LOC6618886|XP_002043134.2|DSEC	LOC108022107|XP_016946439.1|DBIA
OG0000000	LOC6613111|XP_032569894.1|DSEC	LOC108024997|XP_016950742.1|DBIA
OG0000000	LOC6612936|XP_002037428.1|DSEC	LOC108024999|XP_016950744.1|DBIA
OG0000000	LOC6611813|XP_002036335.1|DSEC	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA
OG0000000	LOC6607813|XP_032578052.1|DSEC	LOC108031000|XP_016959689.1|DBIA
OG0000000	LOC6609340|XP_032572102.1|DSEC	LOC108030080|XP_016958186.1|DBIA
OG0000000	LOC116803586|XP_032583371.1|DSEC	LOC108033578|XP_016963412.1|DBIA
OG0000000	LOC6612926|XP_032578042.1|DSEC	LOC108025165|XP_016950931.1|DBIA
OG0000000	LOC6612925|XP_002037417.1|DSEC	LOC108025419|XP_016951390.1|DBIA
OG0000000	LOC6611281|XP_032582965.1|DSEC	LOC108032345|XP_016961644.1|DBIA
OG0000000	LOC6614481|XP_002038914.1|DSEC	LOC108033274|XP_016963030.1|DBIA
OG0000000	LOC6618816|XP_002043065.1|DSEC, LOC6618815|XP_002043064.1|DSEC	LOC108022121|XP_016946451.1|DBIA, LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA, LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA, LOC108028921|XP_016956428.1|DBIA
OG0000000	LOC6612634|XP_002037138.2|DSEC	LOC108024473|XP_016949882.1|DBIA
OG0000000	LOC6613854|XP_002038323.1|DSEC	LOC108032904|XP_016962446.1|DBIA
OG0000000	LOC6605446|XP_002030279.1|DSEC	LOC108032244|XP_016961600.1|DBIA
OG0000001	LOC116801168|XP_032575066.1|DSEC	LOC108021927|XP_016946239.1|DBIA
OG0000002	LOC6609498|XP_002034183.1|DSEC	LOC108036386|XP_016967980.1|DBIA
OG0000002	LOC6615482|XP_002039862.2|DSEC	LOC108022558|XP_016947041.1|DBIA
OG0000002	LOC6615481|XP_002039861.2|DSEC	LOC108022153|XP_016946484.1|DBIA
OG0000002	LOC6611325|XP_002035872.2|DSEC	LOC108028911|XP_016956419.1|DBIA
OG0000002	LOC6619439|XP_032575015.1|DSEC	LOC108029010|XP_016956543.1|DBIA, LOC108028819|XP_016956295.1|DBIA, LOC108027026|XP_016953710.1|DBIA, LOC108028092|XP_016955225.1|DBIA
OG0000003	LOC6609226|XP_032570279.1|DSEC	LOC108030370|XP_016958727.1|DBIA
OG0000003	LOC6609227|XP_002033918.2|DSEC	LOC108030025|XP_016958054.1|DBIA
OG0000003	LOC6617182|XP_002041509.2|DSEC	LOC108024348|XP_016949739.1|DBIA
OG0000003	LOC6609229|XP_032570278.1|DSEC	LOC108030024|XP_016958053.1|DBIA
OG0000003	LOC6607893|XP_002032647.1|DSEC	LOC108030125|XP_016958318.1|DBIA
OG0000003	LOC6609222|XP_002033913.1|DSEC	LOC108029856|XP_016957835.1|DBIA
OG0000003	LOC116800691|XP_032572969.1|DSEC	LOC108030023|XP_016958052.1|DBIA, LOC108029857|XP_016957836.1|DBIA, LOC108029859|XP_016957838.1|DBIA
OG0000003	LOC6609221|XP_002033912.1|DSEC	LOC108030173|XP_016958402.1|DBIA
OG0000003	LOC6608196|XP_002032941.1|DSEC	LOC108029368|XP_016957084.1|DBIA
OG0000003	LOC6608194|XP_002032939.1|DSEC	LOC108029347|XP_016957028.1|DBIA
OG0000003	LOC6613508|XP_002037976.1|DSEC	LOC108034204|XP_016964524.1|DBIA
OG0000007	LOC116800972|XP_032573823.1|DSEC	LOC108028761|XP_016956223.1|DBIA
OG0000007	LOC6610954|XP_002035511.1|DSEC	LOC108028706|XP_016956144.1|DBIA
OG0000007	LOC6610952|XP_032575303.1|DSEC	LOC108028547|XP_016955936.1|DBIA
OG0000007	LOC6610951|XP_002035508.1|DSEC	LOC108028546|XP_016955935.1|DBIA
OG0000007	LOC6613406|XP_032583270.1|DSEC	LOC108027672|XP_016954706.1|DBIA
OG0000007	LOC6608215|XP_032572281.1|DSEC	LOC108029358|XP_016957069.1|DBIA
OG0000007	LOC6612871|XP_002037363.1|DSEC	LOC108025402|XP_016951367.1|DBIA
OG0000007	LOC6613407|XP_032570241.1|DSEC	LOC108027675|XP_016954708.1|DBIA
OG0000007	LOC6604871|XP_002029716.1|DSEC	LOC108034652|XP_016965080.1|DBIA, LOC108034514|XP_016964927.1|DBIA
OG0000007	LOC6604870|XP_002029715.1|DSEC	LOC108034518|XP_016964930.1|DBIA
OG0000007	LOC6613405|XP_032574637.1|DSEC	LOC108027854|XP_016954941.1|DBIA
OG0000007	LOC6610955|XP_032575304.1|DSEC	LOC108028309|XP_016955521.1|DBIA
OG0000007	LOC6610956|XP_002035513.1|DSEC	LOC108028310|XP_016955522.1|DBIA
OG0000008	LOC6619063|XP_002043304.1|DSEC	LOC108032174|XP_016961516.1|DBIA
OG0000008	LOC6610740|XP_002035306.1|DSEC	LOC108034858|XP_016965498.1|DBIA
OG0000008	LOC6610743|XP_002035309.1|DSEC	LOC108034855|XP_016965493.1|DBIA
OG0000008	LOC6617678|XP_002041991.1|DSEC	LOC108033465|XP_016963291.1|DBIA
OG0000008	LOC6610741|XP_002035307.2|DSEC	LOC108034860|XP_016965500.1|DBIA
OG0000008	LOC6612353|XP_002036862.1|DSEC	LOC108029542|XP_016957386.1|DBIA
OG0000008	LOC6614150|XP_002038603.2|DSEC	LOC108027365|XP_016954278.1|DBIA
OG0000008	LOC116801478|XP_032577234.1|DSEC	LOC108027095|XP_016953802.1|DBIA
OG0000008	LOC116801721|XP_032578777.1|DSEC	LOC108027071|XP_016953774.1|DBIA
OG0000009	LOC6621079|XP_032578529.1|DSEC, LOC6607851|XP_002032601.2|DSEC	LOC108031158|XP_016959863.1|DBIA
OG0000009	LOC116802673|XP_032582931.1|DSEC, LOC6607846|XP_032576484.1|DSEC	LOC108032245|XP_016961597.1|DBIA
OG0000009	LOC116802676|XP_032582933.1|DSEC, LOC6619044|XP_002043286.1|DSEC	LOC108031475|XP_016960425.1|DBIA
OG0000009	LOC6619042|XP_032576485.1|DSEC	LOC108032170|XP_016961513.1|DBIA
OG0000009	LOC6610926|XP_032574591.1|DSEC	LOC108028108|XP_016955244.1|DBIA
OG0000009	LOC6618810|XP_002043059.1|DSEC	LOC108022184|XP_016946525.1|DBIA
OG0000009	LOC6606719|XP_002031518.1|DSEC	LOC108032134|XP_016961458.1|DBIA
OG0000009	LOC6608841|XP_002033555.1|DSEC	LOC108023117|XP_016947872.1|DBIA
OG0000009	LOC6608840|XP_002033554.1|DSEC	LOC108023077|XP_016947817.1|DBIA, LOC108023079|XP_016947818.1|DBIA
OG0000011	LOC6613215|XP_002037694.2|DSEC	LOC108027659|XP_016954664.1|DBIA, LOC108027849|XP_016954932.1|DBIA, LOC108027686|XP_016954724.1|DBIA
OG0000011	LOC6613356|XP_002037830.1|DSEC	LOC108027694|XP_016954732.1|DBIA
OG0000011	LOC6616450|XP_032574488.1|DSEC	LOC108030820|XP_016959420.1|DBIA, LOC108030017|XP_016958025.1|DBIA
OG0000011	LOC6614408|XP_032583172.1|DSEC	LOC108033517|XP_016963352.1|DBIA
OG0000011	LOC6614413|XP_032577346.1|DSEC	LOC108035164|XP_016966113.1|DBIA
OG0000011	LOC6618632|XP_032581615.1|DSEC, LOC6618634|XP_002042893.2|DSEC	LOC108024287|XP_016949675.1|DBIA
OG0000011	LOC6605626|XP_002030444.2|DSEC	LOC108035648|XP_016966843.1|DBIA
OG0000011	LOC6605627|XP_002030445.2|DSEC	LOC108035647|XP_016966842.1|DBIA
OG0000011	LOC6607077|XP_002031865.1|DSEC	LOC108024710|XP_016950292.1|DBIA
OG0000012	LOC6609925|XP_002034575.2|DSEC	LOC108026825|XP_016953482.1|DBIA
OG0000012	LOC6609924|XP_002034574.2|DSEC	LOC108026824|XP_016953480.1|DBIA
OG0000012	LOC6609923|XP_032571611.1|DSEC	LOC108026519|XP_016952952.1|DBIA, LOC108026518|XP_016952951.1|DBIA
OG0000012	LOC6609926|XP_002034576.1|DSEC	LOC108026906|XP_016953604.1|DBIA
OG0000012	LOC6609929|XP_032571342.1|DSEC	LOC108026886|XP_016953577.1|DBIA
OG0000012	LOC6609927|XP_002034577.1|DSEC	LOC108026941|XP_016953643.1|DBIA
OG0000012	LOC6608817|XP_032571423.1|DSEC	LOC108022093|XP_016946425.1|DBIA
OG0000012	LOC6608818|XP_032571424.1|DSEC	LOC108022195|XP_016946536.1|DBIA
OG0000012	LOC6608819|XP_002033533.2|DSEC	LOC108023104|XP_016947858.1|DBIA
OG0000012	LOC6608820|XP_032571616.1|DSEC	LOC108022092|XP_016946424.1|DBIA
OG0000012	LOC6608821|XP_032571618.1|DSEC	LOC108022979|XP_016947693.1|DBIA
OG0000012	LOC6608822|XP_032571615.1|DSEC	LOC108022976|XP_016947689.1|DBIA
OG0000013	LOC6609116|XP_002033818.1|DSEC	LOC108036445|XP_016968074.1|DBIA
OG0000013	LOC6619913|XP_032582274.1|DSEC	LOC108030851|XP_016959521.1|DBIA
OG0000013	LOC6606301|XP_002031106.1|DSEC	LOC108031414|XP_016960303.1|DBIA
OG0000013	LOC6605619|XP_032575697.1|DSEC	LOC108034990|XP_016965812.1|DBIA
OG0000013	LOC6606578|XP_002031379.1|DSEC	LOC108024443|XP_016949852.1|DBIA
OG0000013	LOC6607674|XP_002032439.2|DSEC	LOC108026153|XP_016952377.1|DBIA
OG0000013	LOC116801751|XP_032578918.1|DSEC, LOC6606753|XP_002031550.1|DSEC, LOC6606754|XP_002031551.1|DSEC	LOC108031653|XP_016960776.1|DBIA, LOC108022928|XP_016947668.1|DBIA, LOC108024680|XP_016950243.1|DBIA, LOC108024686|XP_016950255.1|DBIA, LOC108031441|XP_016960362.1|DBIA
OG0000014	LOC116802439|XP_032582809.1|DSEC	LOC108035861|XP_016967096.1|DBIA
OG0000014	LOC116802438|XP_032582808.1|DSEC	LOC108022025|XP_016946391.1|DBIA
OG0000015	LOC6614679|XP_002039106.1|DSEC	LOC108033679|XP_016963624.1|DBIA
OG0000015	LOC6613280|XP_002037757.1|DSEC	LOC108029004|XP_016956536.1|DBIA
OG0000015	LOC116803534|XP_032583120.1|DSEC	LOC108032335|XP_016961635.1|DBIA
OG0000015	LOC6617420|XP_032571737.1|DSEC	LOC108032334|XP_016961634.1|DBIA
OG0000015	LOC6611526|XP_002036067.1|DSEC	LOC108033354|XP_016963153.1|DBIA
OG0000015	LOC6608675|XP_002033404.2|DSEC	LOC108030294|XP_016958615.1|DBIA
OG0000015	LOC116801741|XP_032578887.1|DSEC	LOC108033676|XP_016963619.1|DBIA, LOC108033509|XP_016963341.1|DBIA
OG0000016	LOC6606525|XP_002031326.2|DSEC	LOC108031488|XP_016960465.1|DBIA
OG0000016	LOC6615268|XP_002039673.2|DSEC	LOC108022510|XP_016946968.1|DBIA
OG0000016	LOC6606623|XP_002031424.1|DSEC	LOC108032049|XP_016961350.1|DBIA
OG0000016	LOC6609492|XP_032572820.1|DSEC	LOC108036535|XP_016968248.1|DBIA
OG0000016	LOC6612339|XP_002036849.1|DSEC	LOC108031387|XP_016960277.1|DBIA
OG0000016	LOC6619144|XP_002043384.1|DSEC	LOC108024269|XP_016949648.1|DBIA
OG0000016	LOC6606248|XP_002031056.2|DSEC	LOC108026160|XP_016952383.1|DBIA
OG0000016	LOC6616531|XP_002040890.1|DSEC	LOC108030823|XP_016959429.1|DBIA
OG0000017	LOC6620183|XP_002044394.1|DSEC	LOC108032967|XP_016962527.1|DBIA
OG0000017	LOC6608076|XP_002032824.1|DSEC	LOC108036348|XP_016967909.1|DBIA
OG0000017	LOC6619131|XP_002043371.1|DSEC	LOC108036878|XP_016968743.1|DBIA
OG0000017	LOC6607277|XP_002032056.1|DSEC	LOC108031941|XP_016961211.1|DBIA
OG0000017	LOC6618718|XP_002042977.1|DSEC	LOC108026055|XP_016952238.1|DBIA
OG0000017	LOC6615716|XP_032571357.1|DSEC	LOC108022955|XP_016947661.1|DBIA
OG0000017	LOC6619133|XP_002043373.1|DSEC	LOC108024069|XP_016949327.1|DBIA
OG0000017	LOC6615717|XP_002040088.1|DSEC	LOC108022064|XP_016946398.1|DBIA
OG0000017	LOC6617387|XP_032577559.1|DSEC	LOC108027769|XP_016954820.1|DBIA
OG0000018	LOC6610980|XP_002035537.1|DSEC	LOC108028400|XP_016955704.1|DBIA
OG0000018	LOC6610983|XP_002035540.1|DSEC	LOC108028081|XP_016955212.1|DBIA
OG0000018	LOC6621634|XP_002045742.2|DSEC	LOC108028402|XP_016955706.1|DBIA
OG0000019	LOC6617118|XP_002041445.1|DSEC	LOC108025227|XP_016951062.1|DBIA
OG0000019	LOC6617116|XP_002041443.2|DSEC	LOC108025229|XP_016951064.1|DBIA
OG0000019	LOC6617117|XP_002041444.1|DSEC	LOC108025230|XP_016951066.1|DBIA
OG0000019	LOC6617113|XP_002041440.2|DSEC	LOC108025224|XP_016951060.1|DBIA
OG0000019	LOC6617114|XP_002041441.1|DSEC	LOC108025228|XP_016951063.1|DBIA
OG0000019	LOC6617119|XP_002041446.1|DSEC	LOC108025225|XP_016951061.1|DBIA
OG0000019	LOC6617120|XP_032579359.1|DSEC	LOC108025231|XP_016951067.1|DBIA
OG0000020	LOC116801805|XP_032579403.1|DSEC	LOC108026305|XP_016952678.1|DBIA
OG0000020	LOC6615344|XP_002039742.1|DSEC	LOC108026784|XP_016953432.1|DBIA
OG0000020	LOC6614620|XP_002039048.1|DSEC	LOC108033312|XP_016963077.1|DBIA, LOC108032062|XP_016961369.1|DBIA
OG0000020	LOC6608343|XP_032571142.1|DSEC	LOC108034320|XP_016964679.1|DBIA, LOC108036239|XP_016967737.1|DBIA
OG0000020	LOC6611665|XP_032583373.1|DSEC	LOC108036110|XP_016967573.1|DBIA
