Orthogroup	AALB.longest_only	DSUZ.longest_only
OG0000001	LOC118468339|XP_035794991.1|AALB	LOC118879778|XP_036678653.1|DSUZ, LOC118878795|XP_036677709.1|DSUZ, LOC118879348|XP_036678093.1|DSUZ
OG0000001	LOC118464503|XP_035787831.1|AALB, LOC118468171|XP_035794888.1|AALB, LOC118460574|XP_035780876.1|AALB, LOC118468338|XP_035794990.1|AALB	LOC118879529|XP_036678279.1|DSUZ, LOC118879060|XP_036677938.1|DSUZ, LOC118878459|XP_036677349.1|DSUZ
OG0000002	LOC118458183|XP_035776304.1|AALB	LOC108005613|XP_016924412.2|DSUZ, LOC108007472|XP_016926646.1|DSUZ, LOC108006207|XP_036671750.1|DSUZ, LOC108005528|XP_016924310.2|DSUZ, LOC108006739|XP_016925771.1|DSUZ, LOC108005537|XP_016924320.2|DSUZ
OG0000006	LOC118465125|XP_035788959.1|AALB	LOC118879269|XP_036678046.1|DSUZ, LOC118879646|XP_036678433.1|DSUZ
OG0000006	LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB	LOC118879645|XP_036678432.1|DSUZ
OG0000008	LOC118461568|XP_035782948.1|AALB	LOC108014183|XP_016935707.1|DSUZ
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	LOC108020044|XP_016943629.1|DSUZ
OG0000008	LOC118460618|XP_035780957.1|AALB	LOC118877368|XP_036671791.1|DSUZ
OG0000008	LOC118459424|XP_035778662.1|AALB	LOC108007042|XP_016926141.1|DSUZ
OG0000008	LOC118460626|XP_035780968.1|AALB	LOC108020009|XP_016943583.1|DSUZ
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	LOC108014185|XP_016935709.1|DSUZ, LOC108014181|XP_016935705.2|DSUZ, LOC108011538|XP_036673111.1|DSUZ, LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ, LOC108011415|XP_036670407.1|DSUZ, LOC108008708|XP_016928093.1|DSUZ, LOC108019245|XP_036673765.1|DSUZ, LOC108008467|XP_016927811.1|DSUZ, LOC108008503|XP_016927857.1|DSUZ
OG0000010	LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB	LOC118879264|XP_036678040.1|DSUZ
OG0000010	LOC118465135|XP_035788966.1|AALB	LOC108014626|XP_016936278.1|DSUZ
OG0000010	LOC118464059|XP_035786999.1|AALB	LOC118877317|XP_036671430.1|DSUZ
OG0000010	LOC118465137|XP_035788967.1|AALB	LOC108006791|XP_016925829.1|DSUZ
OG0000012	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB	LOC108010292|XP_016930652.1|DSUZ, LOC108009919|XP_016930137.1|DSUZ, LOC108009918|XP_016930133.2|DSUZ, LOC108010305|XP_016930677.1|DSUZ, LOC108008915|XP_016928309.1|DSUZ, LOC108008111|XP_016927389.1|DSUZ, LOC108008112|XP_016927391.1|DSUZ, LOC108008405|XP_016927739.1|DSUZ, LOC108008893|XP_036669248.1|DSUZ, LOC108008513|XP_016927870.1|DSUZ, LOC108008168|XP_036669662.1|DSUZ, LOC108009570|XP_016929524.1|DSUZ, LOC108009572|XP_016929528.1|DSUZ, LOC108009569|XP_016929521.1|DSUZ, LOC108009571|XP_016929527.1|DSUZ
OG0000013	LOC118467742|XP_035794443.1|AALB	LOC108009479|XP_016929350.1|DSUZ
OG0000013	LOC118460642|XP_035780995.1|AALB	LOC108005296|XP_016923987.1|DSUZ
OG0000013	LOC118461072|XP_035781858.1|AALB	LOC108004911|XP_016923486.2|DSUZ
OG0000013	LOC118467364|XP_035793659.1|AALB	LOC108012921|XP_016933934.1|DSUZ
OG0000013	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB	LOC108015759|XP_036673283.1|DSUZ, LOC108007391|XP_016926534.2|DSUZ
OG0000014	LOC118464509|XP_035787838.1|AALB, LOC118462783|XP_035784663.1|AALB, LOC118464534|XP_035787864.1|AALB, LOC118456893|XP_035773911.1|AALB	LOC118878921|XP_036677800.1|DSUZ, LOC118879013|XP_036677866.1|DSUZ, LOC118879735|XP_036678526.1|DSUZ, LOC118879094|XP_036677971.1|DSUZ, LOC118879246|XP_036678025.1|DSUZ, LOC118878839|XP_036677760.1|DSUZ, LOC118878508|XP_036677404.1|DSUZ, LOC118878474|XP_036677365.1|DSUZ, LOC118878368|XP_036677001.1|DSUZ, LOC118878106|XP_036675365.1|DSUZ, LOC118879593|XP_036678396.1|DSUZ, LOC118878521|XP_036677419.1|DSUZ, LOC118877177|XP_036670313.1|DSUZ, LOC118879093|XP_036677970.1|DSUZ, LOC118878475|XP_036677366.1|DSUZ, LOC118879451|XP_036678220.1|DSUZ, LOC108005664|XP_016924475.1|DSUZ
OG0000014	LOC118462714|XP_035784546.1|AALB	LOC118879539|XP_036678287.1|DSUZ
OG0000014	LOC118456248|XP_035772743.1|AALB, LOC118458874|XP_035777754.1|AALB	LOC118879719|XP_036678520.1|DSUZ, LOC108007594|XP_036678380.1|DSUZ
OG0000014	LOC118457066|XP_035774267.1|AALB	LOC118878733|XP_036677645.1|DSUZ, LOC118878702|XP_036677612.1|DSUZ, LOC118878312|XP_036676373.1|DSUZ, LOC118879579|XP_036678375.1|DSUZ, LOC118879580|XP_036678377.1|DSUZ, LOC118879083|XP_036677955.1|DSUZ
OG0000016	LOC118468980|XP_035796264.1|AALB	LOC118877550|XP_036672553.1|DSUZ, LOC108019413|XP_016942724.1|DSUZ, LOC108009286|XP_016929004.1|DSUZ
OG0000016	LOC118460590|XP_035780903.1|AALB	LOC108008079|XP_016927358.2|DSUZ
