Orthogroup	DKIK.longest_only	DNOV.longest_only
OG0000000	LOC108078585|XP_017027994.1|DKIK	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC108077905|XP_017026932.1|DKIK	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC108070814|XP_017016902.1|DKIK, LOC108070634|XP_017016690.1|DKIK	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC108080749|XP_017031092.1|DKIK, LOC108080773|XP_017031125.1|DKIK, LOC108078600|XP_017028009.1|DKIK, LOC108078601|XP_017028010.1|DKIK	LOC115762365|XP_030560399.1|DNOV
OG0000002	LOC108082125|XP_017032915.1|DKIK, LOC108076145|XP_017024362.1|DKIK	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC108077339|XP_017026117.1|DKIK, LOC108086114|XP_017038438.1|DKIK, LOC108086113|XP_017038437.1|DKIK, LOC108086115|XP_017038439.1|DKIK, LOC108086110|XP_017038435.1|DKIK, LOC108086111|XP_017038436.1|DKIK, LOC108076940|XP_017025477.1|DKIK, LOC108076949|XP_017025488.1|DKIK	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000002	LOC108082669|XP_017033655.1|DKIK	LOC115759342|XP_030556121.1|DNOV
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC108072417|XP_017019010.1|DKIK	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC108072406|XP_017018997.1|DKIK, LOC108072404|XP_017018996.1|DKIK	LOC115762126|XP_030560095.1|DNOV
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC115758743|XP_030555359.1|DNOV
OG0000004	LOC108073963|XP_017021295.1|DKIK	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV
OG0000005	LOC108085749|XP_017037978.1|DKIK	LOC115761952|XP_030559851.1|DNOV
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC115770896|XP_030572191.1|DNOV, LOC115761951|XP_030559850.1|DNOV, LOC115770811|XP_030572093.1|DNOV, LOC115761879|XP_030559740.1|DNOV, LOC115761846|XP_030559688.1|DNOV, LOC115761994|XP_030559922.1|DNOV, LOC115770582|XP_030571767.1|DNOV, LOC115761996|XP_030559923.1|DNOV, LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV, LOC115770605|XP_030571802.1|DNOV, LOC115770815|XP_030572096.1|DNOV
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	LOC115770611|XP_030571807.1|DNOV
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC115771063|XP_030572475.1|DNOV
OG0000007	LOC108071623|XP_017017894.1|DKIK, LOC108071566|XP_017017836.1|DKIK	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC115767684|XP_030567836.1|DNOV
OG0000007	LOC108078726|XP_017028216.1|DKIK, LOC108078727|XP_017028217.1|DKIK, LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC108072727|XP_017019476.1|DKIK	LOC115762865|XP_030561099.1|DNOV
