Orthogroup	DFIC.longest_only	DMAU.longest_only
OG0000000	LOC108101733|XP_017061674.1|DFIC	LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC108098759|XP_017057380.1|DFIC	LOC117145817|XP_033167509.1|DMAU, LOC117145797|XP_033167474.1|DMAU
OG0000000	LOC108089295|XP_017042962.1|DFIC	LOC117139148|XP_033157197.1|DMAU
OG0000000	LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC	LOC117140540|XP_033159421.1|DMAU
OG0000000	LOC108097817|XP_017055826.1|DFIC, LOC108097816|XP_017055825.1|DFIC	LOC117136304|XP_033153082.1|DMAU, LOC117145451|XP_033167010.1|DMAU
OG0000000	LOC108100131|XP_017059373.1|DFIC	LOC117137412|XP_033154732.1|DMAU
OG0000000	LOC108093605|XP_017049220.1|DFIC, LOC108093703|XP_017049382.1|DFIC, LOC108093704|XP_017049385.1|DFIC	LOC117138341|XP_033156269.1|DMAU
OG0000000	LOC108086787|XP_017039316.1|DFIC	LOC117145744|XP_033167397.1|DMAU, LOC117145225|XP_033166688.1|DMAU
OG0000000	LOC108099241|XP_017058101.1|DFIC	LOC117145856|XP_033167567.1|DMAU
OG0000000	LOC108090590|XP_017044830.1|DFIC	LOC117150929|XP_033173982.1|DMAU
OG0000000	LOC108095110|XP_017051537.1|DFIC	LOC117138584|XP_033156654.1|DMAU
OG0000000	LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	LOC117138016|XP_033155711.1|DMAU
OG0000000	LOC108097696|XP_017055657.1|DFIC	LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC108089293|XP_017042959.1|DFIC	LOC117140539|XP_033159419.1|DMAU
OG0000000	LOC108089294|XP_017042961.1|DFIC	LOC117140538|XP_033159418.1|DMAU
OG0000001	LOC108094352|XP_017050381.1|DFIC	LOC117149766|XP_033172711.1|DMAU, LOC117136660|XP_033153552.1|DMAU
OG0000002	LOC108090526|XP_017044733.1|DFIC	LOC117138082|XP_033155798.1|DMAU
OG0000002	LOC108090768|XP_017045096.1|DFIC	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC108090769|XP_017045098.1|DFIC	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC108094815|XP_017051075.1|DFIC	LOC117136987|XP_033154052.1|DMAU
OG0000003	LOC108087667|XP_017040650.1|DFIC	LOC117136850|XP_033153839.1|DMAU
OG0000003	LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC108087705|XP_017040710.1|DFIC	LOC117137897|XP_033155527.1|DMAU
OG0000003	LOC108094289|XP_017050276.1|DFIC	LOC117136364|XP_033153130.1|DMAU
OG0000003	LOC108087668|XP_017040651.1|DFIC	LOC117136849|XP_033153838.1|DMAU
OG0000003	LOC108087749|XP_017040761.1|DFIC	LOC117137674|XP_033155124.1|DMAU
OG0000003	LOC108087605|XP_017040533.1|DFIC	LOC117136851|XP_033153841.1|DMAU
OG0000003	LOC108090320|XP_017044421.1|DFIC	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC108090319|XP_017044419.1|DFIC	LOC117137102|XP_033154279.1|DMAU
OG0000003	LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC	LOC117137103|XP_033154280.1|DMAU
OG0000007	LOC108099856|XP_017058991.1|DFIC	LOC117141087|XP_033160294.1|DMAU
OG0000007	LOC108093253|XP_017048718.1|DFIC	LOC117142070|XP_033161841.1|DMAU
OG0000007	LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC	LOC117140666|XP_033159604.1|DMAU
OG0000007	LOC108093261|XP_017048727.1|DFIC	LOC117140665|XP_033159603.1|DMAU
OG0000007	LOC108089978|XP_017043968.1|DFIC	LOC117150742|XP_033173667.1|DMAU
OG0000007	LOC108090582|XP_017044820.1|DFIC	LOC117136894|XP_033153899.1|DMAU
OG0000007	LOC108099497|XP_017058547.1|DFIC	LOC117143375|XP_033163942.1|DMAU, LOC117144956|XP_033166302.1|DMAU
OG0000007	LOC108089778|XP_017043661.1|DFIC	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC108088950|XP_017042460.1|DFIC	LOC117139147|XP_033157196.1|DMAU
OG0000007	LOC108089918|XP_017043889.1|DFIC, LOC108089772|XP_017043652.1|DFIC	LOC117139091|XP_033157106.1|DMAU
OG0000007	LOC108093152|XP_017048588.1|DFIC	LOC117142071|XP_033161842.1|DMAU
OG0000007	LOC108093153|XP_017048589.1|DFIC	LOC117142072|XP_033161843.1|DMAU
OG0000008	LOC108101034|XP_017060691.1|DFIC	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC108100331|XP_017059630.1|DFIC	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC108093477|XP_017049051.1|DFIC	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC108100333|XP_017059632.1|DFIC	LOC117140617|XP_033159524.1|DMAU
OG0000008	LOC108091741|XP_017046574.1|DFIC, LOC108091742|XP_017046575.1|DFIC	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU
OG0000008	LOC108091746|XP_017046577.1|DFIC	LOC117144387|XP_033165412.1|DMAU
OG0000008	LOC108091769|XP_017046605.1|DFIC	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC108091754|XP_017046587.1|DFIC	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC108091767|XP_017046601.1|DFIC	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC108101115|XP_017060823.1|DFIC	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC108101125|XP_017060838.1|DFIC	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC108101126|XP_017060839.1|DFIC, LOC108101038|XP_017060695.1|DFIC, LOC108101022|XP_017060677.1|DFIC, LOC108101074|XP_017060756.1|DFIC	LOC117145633|XP_033167244.1|DMAU
OG0000009	LOC108101116|XP_017060824.1|DFIC	LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC108101809|XP_017061774.1|DFIC	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC108088079|XP_017041220.1|DFIC	LOC117143616|XP_033164265.1|DMAU
OG0000009	LOC108086769|XP_017039304.1|DFIC	LOC117135792|XP_033152175.1|DMAU
OG0000009	LOC108086655|XP_017039128.1|DFIC	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
OG0000010	LOC108091986|XP_017046887.1|DFIC, LOC108098255|XP_017056544.1|DFIC, LOC108086289|XP_017038672.1|DFIC	LOC117142722|XP_033162774.1|DMAU
OG0000011	LOC108101289|XP_017061078.1|DFIC	LOC117138313|XP_033156221.1|DMAU
OG0000011	LOC108100104|XP_017059339.1|DFIC	LOC117140362|XP_033159107.1|DMAU
OG0000011	LOC108098171|XP_017056393.1|DFIC	LOC117135201|XP_033151176.1|DMAU
OG0000011	LOC108095556|XP_017052180.1|DFIC	LOC117148130|XP_033171246.1|DMAU, LOC117148131|XP_033171247.1|DMAU
OG0000011	LOC108086883|XP_017039433.1|DFIC	LOC117141063|XP_033160242.1|DMAU
OG0000011	LOC108086913|XP_017039476.1|DFIC	LOC117141062|XP_033160241.1|DMAU
OG0000011	LOC108098799|XP_017057429.1|DFIC	LOC117143493|XP_033164098.1|DMAU
OG0000012	LOC108096904|XP_017054341.1|DFIC	LOC117136761|XP_033153688.1|DMAU
OG0000012	LOC108096903|XP_017054340.1|DFIC	LOC117136760|XP_033153687.1|DMAU
OG0000012	LOC108096929|XP_017054370.1|DFIC	LOC117136898|XP_033153902.1|DMAU
OG0000012	LOC108096943|XP_017054393.1|DFIC	LOC117137864|XP_033155471.1|DMAU
OG0000012	LOC108096563|XP_017053746.1|DFIC	LOC117137455|XP_033154790.1|DMAU
OG0000012	LOC108096571|XP_017053756.1|DFIC	LOC117136643|XP_033153526.1|DMAU
