Orthogroup	DVIR.longest_only	DMEL.longest_only
OG0000000	LOC6623450|XP_002047287.1|DVIR	CG33700|NP_001027121.3|DMEL
OG0000000	LOC6627198|XP_032293006.1|DVIR	CG33752|NP_001027409.1|DMEL, CG33679|NP_001027273.1|DMEL
OG0000000	LOC6625157|XP_032292502.1|DVIR	CG33775|NP_001027410.1|DMEL
OG0000000	LOC6626786|XP_002048872.2|DVIR	CG12849|NP_611969.2|DMEL
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	CG33454|NP_995887.1|DMEL, CG33453|NP_995888.1|DMEL, CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL, CG14518|NP_651653.2|DMEL
OG0000000	LOC6636429|XP_032291674.1|DVIR	CG33796|NP_001027128.1|DMEL, CG33795|NP_001027129.2|DMEL
OG0000002	LOC6625292|XP_002049777.1|DVIR	CG5550|NP_001246376.1|DMEL
OG0000002	LOC6627081|XP_002049906.2|DVIR	CG30281|NP_726164.1|DMEL
OG0000002	LOC6627080|XP_002049905.2|DVIR	CG30280|NP_611641.6|DMEL
OG0000002	LOC6628707|XP_002051325.3|DVIR	CG9500|NP_609018.3|DMEL
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	Cyp6a9|NP_523748.2|DMEL, Cyp6a21|NP_611003.2|DMEL
OG0000003	LOC6625464|XP_002049668.1|DVIR	Cyp6a13|NP_610390.1|DMEL
OG0000003	LOC6627946|XP_002051419.1|DVIR	Cyp6a16|NP_001285631.1|DMEL
OG0000006	LOC6637262|XP_032288828.1|DVIR	His2A_CG33850|NP_001027361.1|DMEL
OG0000006	LOC116649810|XP_032288837.1|DVIR	His2A_CG31618|NP_724343.1|DMEL
OG0000006	LOC6630106|XP_032288838.1|DVIR	His2A_CG33832|NP_001027331.1|DMEL
OG0000006	LOC6630084|XP_002053094.1|DVIR	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL
OG0000007	LOC6623030|XP_002046517.1|DVIR	Jon65Aiv|NP_648012.1|DMEL
OG0000007	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR	yip7|NP_523944.1|DMEL, CG10477|NP_648010.1|DMEL
OG0000007	LOC116650729|XP_032291101.1|DVIR	Jon44E|NP_724699.1|DMEL
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	Jon25Bi|NP_001033873.1|DMEL
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	Jon66Cii|NP_648217.1|DMEL, Jon66Ci|NP_729372.1|DMEL, Jon25Biii|NP_608881.1|DMEL
OG0000008	LOC6629514|XP_002054585.2|DVIR	Cpr92A|NP_650813.2|DMEL
OG0000008	LOC6623720|XP_002046325.3|DVIR	Cpr64Aa|NP_647872.1|DMEL
OG0000008	LOC6622211|XP_002046327.1|DVIR	Cpr64Ad|NP_647875.1|DMEL
OG0000008	LOC6627554|XP_002052288.1|DVIR	Crys|NP_476906.1|DMEL
OG0000008	LOC26531283|XP_015031719.1|DVIR	Cpr64Ab|NP_647873.2|DMEL
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL
OG0000008	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR	Ccp84Ad|NP_649680.1|DMEL
OG0000008	LOC6631289|XP_002053528.2|DVIR	Ccp84Af|NP_649678.1|DMEL
OG0000008	LOC6631285|XP_002053524.1|DVIR	Ccp84Ac|NP_649681.1|DMEL
OG0000008	LOC6631288|XP_002053527.1|DVIR	Ccp84Ae|NP_649679.1|DMEL
OG0000008	LOC6631290|XP_002053529.1|DVIR	Ccp84Ag|NP_649677.1|DMEL
OG0000009	LOC6632445|XP_002056511.1|DVIR	CG11453|NP_650832.1|DMEL
OG0000009	LOC6632323|XP_002056506.1|DVIR	CG11391|NP_650830.1|DMEL
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL
OG0000009	LOC6635767|XP_032294717.1|DVIR	CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR	CG4563|NP_611913.1|DMEL
OG0000009	LOC6626542|XP_002050752.1|DVIR	CG8834|NP_610779.1|DMEL
OG0000010	LOC116649828|XP_032288865.1|DVIR	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL
OG0000010	LOC116649829|XP_032288866.1|DVIR	His4_CG33873|NP_001027372.1|DMEL
OG0000010	LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR	His4_CG33885|NP_001027342.1|DMEL
OG0000010	LOC116649824|XP_032288860.1|DVIR	His4_CG33883|NP_001027347.1|DMEL
OG0000011	LOC6623065|XP_002048503.2|DVIR	CG17359|NP_648679.1|DMEL
OG0000011	LOC6635697|XP_002059270.2|DVIR	CG8319|NP_649920.2|DMEL
OG0000012	LOC6624922|XP_002050777.1|DVIR	CG9416|NP_611415.2|DMEL
OG0000012	LOC6625019|XP_002050778.1|DVIR	CG10051|NP_611414.1|DMEL
OG0000012	LOC6625021|XP_002050780.1|DVIR	CG11961|NP_725876.1|DMEL
OG0000012	LOC6624921|XP_015029085.1|DVIR	CG10062|NP_001261089.1|DMEL
