Orthogroup	SLEB.longest_only	DALB.longest_only
OG0000000	LOC115634489|XP_030388106.1|SLEB	LOC117572321|XP_034110946.1|DALB
OG0000000	LOC115634408|XP_030387964.1|SLEB	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB, LOC117572310|XP_034110931.1|DALB, LOC117572315|XP_034110937.1|DALB, LOC117569868|XP_034107093.1|DALB
OG0000000	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB
OG0000000	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB	LOC117566676|XP_034102114.1|DALB
OG0000000	LOC115625399|XP_030376298.1|SLEB	LOC117567230|XP_034102951.1|DALB
OG0000000	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB	LOC117576780|XP_034117723.1|DALB
OG0000000	LOC115623741|XP_030374114.1|SLEB	LOC117574149|XP_034113717.1|DALB, LOC117574151|XP_034113720.1|DALB, LOC117574150|XP_034113719.1|DALB, LOC117574458|XP_034114187.1|DALB
OG0000001	LOC115624586|XP_030375184.1|SLEB, LOC115630185|XP_030382615.1|SLEB, LOC115626197|XP_030377337.1|SLEB	LOC117577421|XP_034118225.1|DALB, LOC117563691|XP_034098027.1|DALB, LOC117577317|XP_034118173.1|DALB
OG0000002	LOC115626572|XP_030377811.1|SLEB	LOC117572767|XP_034111746.1|DALB
OG0000002	LOC115631135|XP_030383663.1|SLEB	LOC117565123|XP_034099981.1|DALB
OG0000002	LOC115633967|XP_030387348.1|SLEB	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000003	LOC115620029|XP_030368994.1|SLEB	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	LOC115634646|XP_030388364.1|SLEB	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	LOC115625548|XP_030376490.1|SLEB, LOC115625503|XP_030376424.1|SLEB	LOC117572391|XP_034111057.1|DALB
OG0000003	LOC115619981|XP_030368881.1|SLEB	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000003	LOC115628616|XP_030380660.1|SLEB	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB
OG0000005	LOC115633453|XP_030386768.1|SLEB, LOC115633454|XP_030386769.1|SLEB	LOC117564296|XP_034098886.1|DALB
OG0000005	LOC115630321|XP_030382720.1|SLEB	LOC117564295|XP_034098885.1|DALB
OG0000005	LOC115630367|XP_030382760.1|SLEB, LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB	LOC117564270|XP_034098864.1|DALB
OG0000006	LOC115630364|XP_030382757.1|SLEB	LOC117564284|XP_034098874.1|DALB, LOC117563579|XP_034097856.1|DALB
OG0000006	LOC115630278|XP_030382673.1|SLEB	LOC117564279|XP_034098869.1|DALB, LOC117566016|XP_034101337.1|DALB, LOC117564281|XP_034098870.1|DALB
OG0000006	LOC115633465|XP_030386780.1|SLEB	LOC117566088|XP_034101456.1|DALB
OG0000006	LOC115630363|XP_030382756.1|SLEB	LOC117564286|XP_034098876.1|DALB
OG0000007	LOC115629771|XP_030382185.1|SLEB	LOC117570587|XP_034108222.1|DALB
OG0000007	LOC115633152|XP_030386421.1|SLEB	LOC117572105|XP_034110613.1|DALB
OG0000007	LOC115633153|XP_030386422.1|SLEB	LOC117571630|XP_034109745.1|DALB
OG0000007	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB	LOC117571629|XP_034109744.1|DALB, LOC117571628|XP_034109743.1|DALB
OG0000007	LOC115633111|XP_030386356.1|SLEB	LOC117569226|XP_034106192.1|DALB, LOC117569228|XP_034106194.1|DALB
OG0000007	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB	LOC117569237|XP_034106201.1|DALB, LOC117569236|XP_034106200.1|DALB, LOC117571197|XP_034109131.1|DALB, LOC117569240|XP_034106204.1|DALB, LOC117569239|XP_034106203.1|DALB, LOC117569233|XP_034106198.1|DALB, LOC117568549|XP_034105159.1|DALB
