Orthogroup	CQUI.longest_only	DSIM.longest_only
OG0000001	LOC119766017|XP_038106276.1|CQUI	LOC120285442|XP_039154112.1|DSIM, LOC120285440|XP_039154108.1|DSIM
OG0000001	LOC119770898|XP_038122395.1|CQUI, LOC119769341|XP_038117296.1|CQUI	LOC120284706|XP_039149044.1|DSIM
OG0000002	LOC6051752|XP_038114241.1|CQUI, LOC6048495|XP_038106961.1|CQUI, LOC6043552|XP_038106320.1|CQUI, LOC119767575|XP_038112403.1|CQUI, LOC6049145|XP_001865939.2|CQUI, LOC6038327|XP_038110332.1|CQUI	LOC6738777|XP_016032596.1|DSIM
OG0000002	LOC6031922|XP_001842608.2|CQUI, LOC6031925|XP_001842607.2|CQUI, LOC119766720|XP_038108058.1|CQUI, LOC6048198|XP_038107103.1|CQUI, LOC6038015|XP_001847862.2|CQUI, LOC6046322|XP_001863540.2|CQUI, LOC6046323|XP_038109183.1|CQUI, LOC6046317|XP_038114051.1|CQUI, LOC6046319|XP_038111161.1|CQUI, LOC6040857|XP_038109269.1|CQUI, LOC119766893|XP_038109184.1|CQUI, LOC6047132|XP_038111728.1|CQUI, LOC6046318|XP_001863538.2|CQUI, LOC119766435|XP_038106911.1|CQUI, LOC119766900|XP_038109270.1|CQUI, LOC119765945|XP_038106151.1|CQUI, LOC6031282|XP_038106913.1|CQUI, LOC119771147|XP_038122498.1|CQUI, LOC6031923|XP_038114632.1|CQUI, LOC119768597|XP_038114634.1|CQUI, LOC6038017|XP_038110782.1|CQUI	LOC6731201|XP_002078360.1|DSIM
OG0000006	LOC6045306|XP_001862695.1|CQUI	LOC120285800|XP_039154350.1|DSIM, LOC120285260|XP_039152620.1|DSIM, LOC120285545|XP_039154135.1|DSIM, LOC120285803|XP_039154353.1|DSIM
OG0000006	LOC6048605|XP_001865495.2|CQUI, LOC6048600|XP_001865501.1|CQUI, LOC6042916|XP_038112547.1|CQUI, LOC6048214|XP_001865167.1|CQUI, LOC119765356|XP_038105022.1|CQUI, LOC6042911|XP_001853961.1|CQUI, LOC6037824|XP_038114258.1|CQUI, LOC6054617|XP_001870507.2|CQUI, LOC6054467|XP_038113044.1|CQUI	LOC27208095|XP_016025859.1|DSIM
OG0000007	LOC6036595|XP_001846627.2|CQUI, LOC6036598|XP_001846630.2|CQUI, LOC6036593|XP_001846625.2|CQUI, LOC6036599|XP_001846631.2|CQUI	LOC6738477|XP_016032322.1|DSIM, LOC6736955|XP_002083802.1|DSIM, LOC6736956|XP_002083803.1|DSIM, LOC6736953|XP_002083800.1|DSIM, LOC6736951|XP_016030595.1|DSIM, LOC6736948|XP_039149135.1|DSIM, LOC120284722|XP_039149134.1|DSIM, LOC6736949|XP_002083796.1|DSIM, LOC6736952|XP_002083799.1|DSIM, LOC6736950|XP_039149136.1|DSIM, LOC120284734|XP_039149214.1|DSIM, LOC6731020|XP_002078181.1|DSIM, LOC6733581|XP_002080635.1|DSIM, LOC6730230|XP_002105513.1|DSIM, LOC6740467|XP_002077312.3|DSIM, LOC6730231|XP_002105514.2|DSIM, LOC120284928|XP_039150400.1|DSIM, LOC6730135|XP_039150399.1|DSIM, LOC6731021|XP_002078182.1|DSIM, LOC6737273|XP_039149649.1|DSIM, LOC27206286|XP_016030986.1|DSIM, LOC6731019|XP_002078180.2|DSIM, LOC6736957|XP_016030597.1|DSIM, LOC27207276|XP_016030598.2|DSIM
OG0000008	LOC6033003|XP_001843514.1|CQUI, LOC6033002|XP_001843513.2|CQUI, LOC6033001|XP_001843512.2|CQUI, LOC6032998|XP_038104448.1|CQUI, LOC6032996|XP_001843507.1|CQUI, LOC6032993|XP_001843504.2|CQUI, LOC6032999|XP_001843510.2|CQUI	LOC6727443|XP_016034017.1|DSIM
OG0000008	LOC6035810|XP_038119144.1|CQUI, LOC6035812|XP_001845934.1|CQUI, LOC6035811|XP_038119146.1|CQUI, LOC6035813|XP_038119147.1|CQUI	LOC6736741|XP_002083597.1|DSIM
OG0000008	LOC6035807|XP_001845929.1|CQUI	LOC6736744|XP_016030372.1|DSIM
OG0000008	LOC6041962|XP_038113753.1|CQUI	LOC6732025|XP_039148682.1|DSIM
OG0000008	LOC6035809|XP_001845931.2|CQUI	LOC6736742|XP_002083598.1|DSIM
OG0000009	LOC6048808|XP_001865675.2|CQUI, LOC6049524|XP_001866266.2|CQUI, LOC6049522|XP_001866265.2|CQUI, LOC6048791|XP_001865658.2|CQUI, LOC6048792|XP_001865659.2|CQUI, LOC6048789|XP_001865656.2|CQUI, LOC6048790|XP_038113934.1|CQUI, LOC6045661|XP_001862982.2|CQUI, LOC6045662|XP_038113440.1|CQUI, LOC6052277|XP_001868564.2|CQUI, LOC6041283|XP_038104984.1|CQUI, LOC6041282|XP_001850569.2|CQUI, LOC6053772|XP_001869801.2|CQUI, LOC6050120|XP_001866773.2|CQUI, LOC6051133|XP_001867617.2|CQUI, LOC6051132|XP_001867616.2|CQUI, LOC6051131|XP_038105415.1|CQUI	LOC6727419|XP_002102801.1|DSIM, LOC6727422|XP_002102804.2|DSIM, LOC6727423|XP_016033975.1|DSIM, LOC6727420|XP_002102802.1|DSIM, LOC6736925|XP_002083772.1|DSIM, LOC6736926|XP_002083773.1|DSIM, LOC6736062|XP_002082963.1|DSIM, LOC6728414|XP_016035007.1|DSIM, LOC6734157|XP_002081186.1|DSIM, LOC6734155|XP_002081184.1|DSIM, LOC6734156|XP_002081185.1|DSIM
