Orthogroup	DBIA.longest_only	DSUZ.longest_only
OG0000000	LOC108034778|XP_016965225.1|DBIA	LOC108012249|XP_016933037.1|DSUZ
OG0000000	LOC108034464|XP_016964837.1|DBIA	LOC108012248|XP_016933036.1|DSUZ
OG0000000	LOC108029324|XP_016957007.1|DBIA	LOC108019552|XP_036669814.1|DSUZ
OG0000000	LOC108029053|XP_016956604.1|DBIA	LOC108013696|XP_016935107.1|DSUZ
OG0000000	LOC108031338|XP_016960091.1|DBIA	LOC108013925|XP_016935418.2|DSUZ
OG0000000	LOC108029341|XP_016957023.1|DBIA	LOC108019563|XP_016942889.1|DSUZ
OG0000000	LOC108034429|XP_016964803.1|DBIA	LOC118877230|XP_036670644.1|DSUZ
OG0000000	LOC108034424|XP_016964798.1|DBIA	LOC108007474|XP_036670349.1|DSUZ
OG0000000	LOC108034427|XP_016964800.1|DBIA	LOC108018332|XP_016941362.2|DSUZ
OG0000000	LOC108034428|XP_016964801.1|DBIA	LOC108007476|XP_036670350.1|DSUZ
OG0000000	LOC108034426|XP_016964799.1|DBIA	LOC108007475|XP_016926645.1|DSUZ
OG0000000	LOC108022107|XP_016946439.1|DBIA	LOC108008220|XP_016927499.2|DSUZ
OG0000000	LOC108024280|XP_016949667.1|DBIA	LOC108014040|XP_016935546.2|DSUZ
OG0000000	LOC108024997|XP_016950742.1|DBIA	LOC108014081|XP_036675273.1|DSUZ
OG0000000	LOC108025002|XP_016950746.1|DBIA, LOC108025001|XP_016950745.1|DBIA	LOC118878125|XP_036675508.1|DSUZ
OG0000000	LOC108024999|XP_016950744.1|DBIA	LOC108012145|XP_036675462.1|DSUZ
OG0000000	LOC108031001|XP_016959690.1|DBIA	LOC108017281|XP_036674029.1|DSUZ, LOC108011502|XP_036674012.1|DSUZ
OG0000000	LOC108032360|XP_016961661.1|DBIA, LOC108032361|XP_016961662.1|DBIA	LOC108016521|XP_036671132.1|DSUZ
OG0000000	LOC108030080|XP_016958186.1|DBIA	LOC108017700|XP_016940298.1|DSUZ
OG0000000	LOC108033578|XP_016963412.1|DBIA	LOC108011960|XP_036678587.1|DSUZ
OG0000000	LOC108025172|XP_016950938.1|DBIA	LOC108012138|XP_036675463.1|DSUZ
OG0000000	LOC108025165|XP_016950931.1|DBIA	LOC108012139|XP_036675579.1|DSUZ
OG0000000	LOC108025419|XP_016951390.1|DBIA	LOC108012154|XP_036675464.1|DSUZ
OG0000000	LOC108032345|XP_016961644.1|DBIA	LOC108011715|XP_016932464.1|DSUZ, LOC108011630|XP_016932347.1|DSUZ, LOC108013366|XP_036668607.1|DSUZ
OG0000000	LOC108023058|XP_016947798.1|DBIA	LOC108011579|XP_036673946.1|DSUZ
OG0000000	LOC108033274|XP_016963030.1|DBIA	LOC108013429|XP_016934786.2|DSUZ
OG0000000	LOC108022119|XP_016946449.1|DBIA, LOC108022117|XP_016946447.1|DBIA	LOC108008212|XP_016927490.1|DSUZ
OG0000000	LOC108022118|XP_016946448.1|DBIA, LOC108022116|XP_016946446.1|DBIA	LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ
