Orthogroup	CCAP.longest_only	DALB.longest_only
OG0000000	CCAP1982_LOCUS22474|CAD7014476.1|CCAP	LOC117568019|XP_034104238.1|DALB, LOC117566662|XP_034102098.1|DALB
OG0000000	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP	LOC117572321|XP_034110946.1|DALB
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC117570380|XP_034107866.1|DALB, LOC117566600|XP_034102032.1|DALB, LOC117566557|XP_034101990.1|DALB, LOC117572310|XP_034110931.1|DALB, LOC117572315|XP_034110937.1|DALB, LOC117569868|XP_034107093.1|DALB
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC117566739|XP_034102173.1|DALB, LOC117566740|XP_034102174.1|DALB, LOC117566676|XP_034102114.1|DALB, LOC117567230|XP_034102951.1|DALB
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC117573357|XP_034112375.1|DALB, LOC117573356|XP_034112374.1|DALB, LOC117566670|XP_034102107.1|DALB, LOC117566669|XP_034102106.1|DALB, LOC117576780|XP_034117723.1|DALB, LOC117574149|XP_034113717.1|DALB, LOC117574151|XP_034113720.1|DALB, LOC117574150|XP_034113719.1|DALB, LOC117574458|XP_034114187.1|DALB, LOC117566658|XP_034102093.1|DALB, LOC117566668|XP_034102105.1|DALB, LOC117566667|XP_034102103.1|DALB, LOC117566666|XP_034102102.1|DALB, LOC117566665|XP_034102101.1|DALB, LOC117566664|XP_034102100.1|DALB, LOC117570300|XP_034107716.1|DALB, LOC117563836|XP_034098256.1|DALB, LOC117572040|XP_034110494.1|DALB, LOC117572054|XP_034110521.1|DALB, LOC117570317|XP_034107750.1|DALB
OG0000001	CCAP1982_LOCUS10232|CAD7001742.1|CCAP, CCAP1982_LOCUS9443|CAD7000970.1|CCAP	LOC117573170|XP_034112033.1|DALB
OG0000002	CCAP1982_LOCUS12389|CAD7003966.1|CCAP, CCAP1982_LOCUS4991|CAD6996312.1|CCAP	LOC117565641|XP_034100743.1|DALB
OG0000002	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP	LOC117571106|XP_034108978.1|DALB, LOC117571107|XP_034108980.1|DALB, LOC117564360|XP_034098965.1|DALB, LOC117565222|XP_034100121.1|DALB, LOC117565220|XP_034100119.1|DALB, LOC117564889|XP_034099728.1|DALB, LOC117564559|XP_034099283.1|DALB
OG0000002	CCAP1982_LOCUS1975|CAD6993149.1|CCAP	LOC117563399|XP_034097624.1|DALB, LOC117563790|XP_034098211.1|DALB
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC117570013|XP_034107320.1|DALB, LOC117566349|XP_034101726.1|DALB
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC117572199|XP_034110745.1|DALB, LOC117572196|XP_034110742.1|DALB, LOC117572200|XP_034110747.1|DALB, LOC117572197|XP_034110743.1|DALB, LOC117572198|XP_034110744.1|DALB
OG0000003	CCAP1982_LOCUS20942|CAD7012842.1|CCAP, CCAP1982_LOCUS20940|CAD7012840.1|CCAP	LOC117566351|XP_034101728.1|DALB
OG0000003	CCAP1982_LOCUS20941|CAD7012841.1|CCAP	LOC117569608|XP_034106735.1|DALB, LOC117569606|XP_034106733.1|DALB, LOC117569607|XP_034106734.1|DALB, LOC117569605|XP_034106730.1|DALB
OG0000003	CCAP1982_LOCUS7775|CAD6999243.1|CCAP	LOC117564506|XP_034099214.1|DALB, LOC117563737|XP_034098107.1|DALB, LOC117564505|XP_034099213.1|DALB
OG0000004	CCAP1982_LOCUS6238|CAD6997602.1|CCAP, CCAP1982_LOCUS6250|CAD6997614.1|CCAP, CCAP1982_LOCUS6245|CAD6997609.1|CCAP	LOC117566082|XP_034101454.1|DALB, LOC117566081|XP_034101452.1|DALB, LOC117565593|XP_034100683.1|DALB, LOC117566015|XP_034101336.1|DALB, LOC117564273|XP_034098866.1|DALB, LOC117566148|XP_034101526.1|DALB, LOC117564274|XP_034098867.1|DALB
OG0000006	CCAP1982_LOCUS6254|CAD6997618.1|CCAP, CCAP1982_LOCUS9540|CAD7001068.1|CCAP	LOC117563579|XP_034097856.1|DALB
