Orthogroup	DPSE.longest_only	HILL.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE, LOC6898698|XP_015040315.2|DPSE, LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE, LOC6896908|XP_033233090.1|DPSE, LOC6898695|XP_002138700.2|DPSE, LOC117184977|XP_033240205.1|DPSE, LOC6900000|XP_002135366.3|DPSE, LOC6899999|XP_033240207.1|DPSE, LOC4804691|XP_001361210.2|DPSE, LOC6896672|XP_033232290.1|DPSE, LOC26532949|XP_015039423.1|DPSE, LOC6896676|XP_033241757.1|DPSE, LOC6896675|XP_033232980.1|DPSE, LOC13036386|XP_033232979.1|DPSE, LOC117183963|XP_033235597.1|DPSE, LOC6898794|XP_033234286.1|DPSE, LOC117183537|XP_033233520.1|DPSE, LOC117183751|XP_033234658.1|DPSE, LOC6898801|XP_033234867.1|DPSE, LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE, LOC6896683|XP_002136898.3|DPSE, LOC6897227|XP_002137399.2|DPSE, LOC6902907|XP_033236216.1|DPSE, LOC6898538|XP_033233460.1|DPSE, LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE, LOC6896813|XP_033232366.1|DPSE, LOC4801605|XP_001358672.2|DPSE, LOC13036336|XP_033233031.1|DPSE, LOC117183386|XP_033233030.1|DPSE, LOC117183385|XP_033233027.1|DPSE, LOC13036529|XP_033233038.1|DPSE, LOC6897761|XP_002137866.2|DPSE, LOC6897749|XP_033232309.1|DPSE, LOC6899372|XP_033233116.1|DPSE, LOC6896993|XP_033241798.1|DPSE, LOC26533415|XP_033234557.1|DPSE, LOC117183599|XP_033233927.1|DPSE, LOC6896992|XP_002137178.3|DPSE, LOC117183671|XP_033234253.1|DPSE, LOC117183249|XP_033232383.1|DPSE, LOC6898266|XP_002138332.3|DPSE, LOC6898641|XP_002138646.2|DPSE, LOC6898500|XP_002138541.2|DPSE, LOC13036393|XP_003736798.3|DPSE, LOC6897759|XP_002137864.4|DPSE, LOC6898293|XP_033233430.1|DPSE, LOC13036490|XP_003736302.2|DPSE	LOC119652011|XP_037911873.1|HILL, LOC119652012|XP_037911875.1|HILL, LOC119653139|XP_037913599.1|HILL
OG0000001	LOC117183655|XP_033234152.1|DPSE, LOC117185141|XP_033240984.1|DPSE, LOC117184744|XP_033239458.1|DPSE, LOC117185672|XP_033241852.1|DPSE, LOC117184861|XP_033239816.1|DPSE	LOC119648870|XP_037906726.1|HILL, LOC119652195|XP_037912066.1|HILL
OG0000001	LOC117184646|XP_033239083.1|DPSE, LOC117183632|XP_033234091.1|DPSE, LOC117184885|XP_033239875.1|DPSE, LOC117185599|XP_033241627.1|DPSE, LOC117184570|XP_033238730.1|DPSE, LOC117184630|XP_033239023.1|DPSE, LOC117183489|XP_033233200.1|DPSE, LOC117183635|XP_033234095.1|DPSE, LOC117185173|XP_033241307.1|DPSE, LOC117184661|XP_033239137.1|DPSE, LOC117184561|XP_033238671.1|DPSE, LOC117184560|XP_033238670.1|DPSE	LOC119650838|XP_037909906.1|HILL, LOC119661228|XP_037926386.1|HILL, LOC119652186|XP_037912058.1|HILL, LOC119650920|XP_037910072.1|HILL, LOC119654001|XP_037915090.1|HILL, LOC119659082|XP_037922922.1|HILL, LOC119653957|XP_037915045.1|HILL
OG0000001	LOC117184985|XP_033240229.1|DPSE	LOC119661654|XP_037927016.1|HILL, LOC119660048|XP_037924354.1|HILL, LOC119647693|XP_037904704.1|HILL
OG0000001	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE, LOC117184038|XP_033235938.1|DPSE	LOC119654039|XP_037915129.1|HILL, LOC119660013|XP_037924320.1|HILL, LOC119653947|XP_037915036.1|HILL, LOC119654018|XP_037915108.1|HILL, LOC119658214|XP_037921408.1|HILL, LOC119647230|XP_037904000.1|HILL, LOC119652059|XP_037911925.1|HILL
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC119646552|XP_037902958.1|HILL, LOC119646761|XP_037903268.1|HILL, LOC119651394|XP_037910909.1|HILL, LOC119651410|XP_037910934.1|HILL, LOC119651341|XP_037910836.1|HILL, LOC119651361|XP_037910862.1|HILL, LOC119651402|XP_037910921.1|HILL, LOC119646704|XP_037903212.1|HILL, LOC119646686|XP_037903176.1|HILL
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC119658042|XP_037921211.1|HILL, LOC119661480|XP_037926772.1|HILL, LOC119647016|XP_037903683.1|HILL, LOC119646679|XP_037903148.1|HILL, LOC119648664|XP_037906375.1|HILL, LOC119647324|XP_037904183.1|HILL, LOC119646798|XP_037903319.1|HILL, LOC119646783|XP_037903295.1|HILL, LOC119646792|XP_037903309.1|HILL, LOC119659506|XP_037923565.1|HILL
OG0000004	LOC117183568|XP_033233728.1|DPSE, LOC117185607|XP_033241635.1|DPSE, LOC117185606|XP_033241634.1|DPSE, LOC26532116|XP_015035138.1|DPSE, LOC117185600|XP_033241628.1|DPSE, LOC26534267|XP_015035134.1|DPSE, LOC117185633|XP_033241719.1|DPSE, LOC117185634|XP_033241720.1|DPSE, LOC26533245|XP_033241636.1|DPSE, LOC117185608|XP_033241637.1|DPSE, LOC117185631|XP_033241718.1|DPSE, LOC117185630|XP_033241717.1|DPSE, LOC26532398|XP_015035141.1|DPSE, LOC117183574|XP_033233756.1|DPSE, LOC117183621|XP_033234074.1|DPSE	LOC119655289|XP_037917033.1|HILL, LOC119655294|XP_037917042.1|HILL, LOC119655352|XP_037917132.1|HILL, LOC119655385|XP_037917184.1|HILL, LOC119655384|XP_037917183.1|HILL, LOC119655334|XP_037917106.1|HILL, LOC119655976|XP_037918138.1|HILL, LOC119655977|XP_037918139.1|HILL, LOC119655668|XP_037917584.1|HILL, LOC119655298|XP_037917051.1|HILL, LOC119655206|XP_037916906.1|HILL, LOC119655430|XP_037917248.1|HILL, LOC119655427|XP_037917246.1|HILL, LOC119653477|XP_037914027.1|HILL, LOC119654828|XP_037916324.1|HILL, LOC119655484|XP_037917314.1|HILL, LOC119653469|XP_037914014.1|HILL, LOC119654937|XP_037916518.1|HILL, LOC119655324|XP_037917091.1|HILL, LOC119655296|XP_037917049.1|HILL
OG0000005	LOC6901707|XP_002134375.1|DPSE, LOC6901701|XP_015042049.1|DPSE	LOC119651767|XP_037911435.1|HILL
OG0000006	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE	LOC119657871|XP_037920927.1|HILL, LOC119656837|XP_037919414.1|HILL, LOC119657991|XP_037921137.1|HILL, LOC119657007|XP_037919677.1|HILL, LOC119656838|XP_037919415.1|HILL, LOC119656769|XP_037919278.1|HILL, LOC119657047|XP_037919729.1|HILL, LOC119656780|XP_037919291.1|HILL, LOC119658074|XP_037921262.1|HILL, LOC119656839|XP_037919416.1|HILL, LOC119656767|XP_037919276.1|HILL, LOC119656768|XP_037919277.1|HILL, LOC119657238|XP_037919981.1|HILL
