Orthogroup	HILL.longest_only	AEAL.longest_only
OG0000001	LOC119656898|XP_037919508.1|HILL	LOC115258813|XP_029715105.1|AEAL
OG0000001	LOC119650838|XP_037909906.1|HILL, LOC119661228|XP_037926386.1|HILL, LOC119652186|XP_037912058.1|HILL, LOC119650920|XP_037910072.1|HILL, LOC119654001|XP_037915090.1|HILL, LOC119659082|XP_037922922.1|HILL, LOC119653957|XP_037915045.1|HILL	LOC115268193|XP_029732105.1|AEAL
OG0000001	LOC119648636|XP_037906334.1|HILL	LOC115266839|XP_029729303.1|AEAL, LOC109406607|XP_019535244.2|AEAL, LOC109400564|XP_019528597.2|AEAL, LOC109404313|XP_029722627.1|AEAL
OG0000001	LOC119661654|XP_037927016.1|HILL, LOC119660048|XP_037924354.1|HILL	LOC115261991|XP_029719785.1|AEAL
OG0000001	LOC119647693|XP_037904704.1|HILL	LOC115255519|XP_029709507.1|AEAL, LOC115268963|XP_029733077.1|AEAL
OG0000001	LOC119661083|XP_037926201.1|HILL, LOC119659107|XP_037922958.1|HILL, LOC119660022|XP_037924328.1|HILL, LOC119659079|XP_037922920.1|HILL, LOC119646359|XP_037902724.1|HILL, LOC119648631|XP_037906328.1|HILL, LOC119653988|XP_037915077.1|HILL, LOC119659083|XP_037922924.1|HILL, LOC119661419|XP_037926691.1|HILL, LOC119646789|XP_037903302.1|HILL, LOC119648508|XP_037906205.1|HILL, LOC119650839|XP_037909907.1|HILL, LOC119646145|XP_037902435.1|HILL, LOC119661666|XP_037927033.1|HILL, LOC119650916|XP_037910069.1|HILL, LOC119659121|XP_037922974.1|HILL, LOC119658148|XP_037921344.1|HILL, LOC119652789|XP_037913066.1|HILL, LOC119654156|XP_037915247.1|HILL, LOC119648499|XP_037906194.1|HILL, LOC119661543|XP_037926858.1|HILL, LOC119648467|XP_037906155.1|HILL, LOC119650835|XP_037909904.1|HILL	LOC115256725|XP_029711525.1|AEAL, LOC115268205|XP_029732120.1|AEAL, LOC115262799|XP_029721549.1|AEAL, LOC115263370|XP_029722527.1|AEAL, LOC115254876|XP_029708423.1|AEAL, LOC115257801|XP_029713614.1|AEAL, LOC115268197|XP_029732110.1|AEAL, LOC115261516|XP_029719137.1|AEAL, LOC115271064|XP_029736362.1|AEAL
OG0000003	LOC119652775|XP_037913011.1|HILL	LOC109409211|XP_019538182.2|AEAL, LOC109421551|XP_019551616.2|AEAL, LOC109409210|XP_019538181.2|AEAL, LOC115255001|XP_029708566.1|AEAL, LOC109398259|XP_019526126.2|AEAL
OG0000003	LOC119659352|XP_037923328.1|HILL	LOC109421556|XP_019551620.2|AEAL, LOC109425972|XP_029731864.1|AEAL
OG0000003	LOC119650643|XP_037909500.1|HILL	LOC109421550|XP_019551615.2|AEAL
OG0000003	LOC119646885|XP_037903446.1|HILL, LOC119646723|XP_037903233.1|HILL, LOC119660833|XP_037925635.1|HILL, LOC119646759|XP_037903266.1|HILL, LOC119646698|XP_037903192.1|HILL, LOC119646557|XP_037902962.1|HILL, LOC119661111|XP_037926234.1|HILL, LOC119646760|XP_037903267.1|HILL, LOC119646334|XP_037902688.1|HILL, LOC119661489|XP_037926782.1|HILL, LOC119661229|XP_037926382.1|HILL, LOC119646530|XP_037902923.1|HILL, LOC119646755|XP_037903262.1|HILL, LOC119646754|XP_037903261.1|HILL, LOC119651369|XP_037910874.1|HILL, LOC119647078|XP_037903763.1|HILL, LOC119646756|XP_037903263.1|HILL, LOC119646752|XP_037903258.1|HILL, LOC119646529|XP_037902921.1|HILL, LOC119646751|XP_037903257.1|HILL, LOC119647124|XP_037903838.1|HILL, LOC119646420|XP_037902794.1|HILL, LOC119646733|XP_037903242.1|HILL, LOC119646750|XP_037903256.1|HILL, LOC119661403|XP_037926660.1|HILL, LOC119646757|XP_037903265.1|HILL, LOC119646850|XP_037903399.1|HILL, LOC119646628|XP_037903064.1|HILL, LOC119661009|XP_037926085.1|HILL, LOC119661683|XP_037927054.1|HILL, LOC119646442|XP_037902820.1|HILL, LOC119646753|XP_037903264.1|HILL	LOC115269310|XP_029733775.1|AEAL, LOC109623204|XP_019933243.2|AEAL, LOC109415289|XP_019544713.2|AEAL, LOC109623205|XP_019933244.2|AEAL
OG0000004	LOC119648056|XP_037905449.1|HILL	LOC109413299|XP_019542561.2|AEAL, LOC115270066|XP_029734897.1|AEAL, LOC109407180|XP_019535709.1|AEAL, LOC109397477|XP_029709004.1|AEAL, LOC115255221|XP_029709025.1|AEAL, LOC115270070|XP_029734902.1|AEAL, LOC109397473|XP_029708972.1|AEAL, LOC115255201|XP_029709003.1|AEAL, LOC109397491|XP_029709023.1|AEAL, LOC109397475|XP_019525313.1|AEAL, LOC115255206|XP_029709009.1|AEAL, LOC115266976|XP_029729559.1|AEAL, LOC115270056|XP_029734885.1|AEAL, LOC115270082|XP_029734908.1|AEAL, LOC109407175|XP_019535705.2|AEAL, LOC109413175|XP_029734887.1|AEAL, LOC115270083|XP_029734909.1|AEAL, LOC109404569|XP_019533012.1|AEAL, LOC109404523|XP_019532967.1|AEAL, LOC115270053|XP_029734878.1|AEAL, LOC115270063|XP_029734895.1|AEAL, LOC109404546|XP_019931555.2|AEAL, LOC115266975|XP_029729558.1|AEAL, LOC109413197|XP_019542447.1|AEAL, LOC115270059|XP_029734890.1|AEAL, LOC115255472|XP_029709456.1|AEAL
OG0000005	LOC119656770|XP_037919279.1|HILL, LOC119657008|XP_037919678.1|HILL, LOC119656842|XP_037919419.1|HILL, LOC119656773|XP_037919281.1|HILL, LOC119656841|XP_037919418.1|HILL, LOC119656840|XP_037919417.1|HILL, LOC119657049|XP_037919731.1|HILL, LOC119656774|XP_037919282.1|HILL, LOC119657048|XP_037919730.1|HILL, LOC119656844|XP_037919420.1|HILL, LOC119656772|XP_037919280.1|HILL, LOC119657239|XP_037919982.1|HILL, LOC119657872|XP_037920928.1|HILL	LOC115255223|XP_029709026.1|AEAL
