Orthogroup	DVIR.longest_only	DMAU.longest_only
OG0000000	LOC6623450|XP_002047287.1|DVIR	LOC117142025|XP_033161779.1|DMAU, LOC117141546|XP_033160941.1|DMAU
OG0000000	LOC6627198|XP_032293006.1|DVIR	LOC117145695|XP_033167327.1|DMAU, LOC117138434|XP_033156436.1|DMAU, LOC117149958|XP_033172750.1|DMAU
OG0000000	LOC6625157|XP_032292502.1|DVIR	LOC117138309|XP_033156204.1|DMAU
OG0000000	LOC6626786|XP_002048872.2|DVIR	LOC117138648|XP_033156758.1|DMAU
OG0000000	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR	LOC117137329|XP_033154610.1|DMAU, LOC117137328|XP_033154609.1|DMAU, LOC117138584|XP_033156654.1|DMAU, LOC117138016|XP_033155711.1|DMAU, LOC117146038|XP_033167862.1|DMAU
OG0000000	LOC6636429|XP_032291674.1|DVIR	LOC117140539|XP_033159419.1|DMAU, LOC117140538|XP_033159418.1|DMAU
OG0000001	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR	LOC117149766|XP_033172711.1|DMAU, LOC117136660|XP_033153552.1|DMAU
OG0000002	LOC6625292|XP_002049777.1|DVIR	LOC117138082|XP_033155798.1|DMAU
OG0000002	LOC6627081|XP_002049906.2|DVIR	LOC117135907|XP_033152364.1|DMAU
OG0000002	LOC6627080|XP_002049905.2|DVIR	LOC117135906|XP_033152363.1|DMAU
OG0000002	LOC6628707|XP_002051325.3|DVIR	LOC117136934|XP_033153971.1|DMAU
OG0000003	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR	LOC117136850|XP_033153839.1|DMAU, LOC117137895|XP_033155524.1|DMAU
OG0000003	LOC6625082|XP_002050483.2|DVIR	LOC117138513|XP_033156538.1|DMAU
OG0000003	LOC6625464|XP_002049668.1|DVIR	LOC117137104|XP_033154281.1|DMAU
OG0000003	LOC6625463|XP_002049667.1|DVIR	LOC117137102|XP_033154279.1|DMAU, LOC117137103|XP_033154280.1|DMAU
OG0000003	LOC6627946|XP_002051419.1|DVIR	LOC117138777|XP_033156858.1|DMAU
OG0000007	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR	LOC117140666|XP_033159604.1|DMAU, LOC117139205|XP_033157267.1|DMAU, LOC117140665|XP_033159603.1|DMAU
OG0000007	LOC116650729|XP_032291101.1|DVIR	LOC117136894|XP_033153899.1|DMAU
OG0000007	LOC6624626|XP_002046524.3|DVIR, LOC6637091|XP_002060502.3|DVIR, LOC6637042|XP_032290173.1|DVIR	LOC117139714|XP_033158125.1|DMAU
OG0000007	LOC6623051|XP_032290850.1|DVIR, LOC6623055|XP_002046521.1|DVIR, LOC6637041|XP_002060466.1|DVIR, LOC26531170|XP_032291103.1|DVIR, LOC6623833|XP_002046522.1|DVIR, LOC26531906|XP_032291104.1|DVIR, LOC116650731|XP_032291105.1|DVIR, LOC6624525|XP_002046523.1|DVIR	LOC117139147|XP_033157196.1|DMAU, LOC117139091|XP_033157106.1|DMAU
OG0000008	LOC6629514|XP_002054585.2|DVIR	LOC117142833|XP_033162955.1|DMAU
OG0000008	LOC6623720|XP_002046325.3|DVIR	LOC117140615|XP_033159521.1|DMAU
OG0000008	LOC6622211|XP_002046327.1|DVIR	LOC117140614|XP_033159520.1|DMAU
OG0000008	LOC6627554|XP_002052288.1|DVIR	LOC117150767|XP_033173694.1|DMAU
OG0000008	LOC26531283|XP_015031719.1|DVIR	LOC117140617|XP_033159524.1|DMAU
OG0000008	LOC6631283|XP_002053522.1|DVIR, LOC6631284|XP_002053523.1|DVIR	LOC117145079|XP_033166487.1|DMAU, LOC117144385|XP_033165410.1|DMAU
OG0000008	LOC6631286|XP_002053525.1|DVIR, LOC6631287|XP_002053526.1|DVIR	LOC117144387|XP_033165412.1|DMAU
OG0000008	LOC6631289|XP_002053528.2|DVIR	LOC117143719|XP_033164408.1|DMAU
OG0000008	LOC6631288|XP_002053527.1|DVIR	LOC117144386|XP_033165411.1|DMAU
OG0000008	LOC6631290|XP_002053529.1|DVIR	LOC117143928|XP_033164736.1|DMAU
OG0000009	LOC6632445|XP_002056511.1|DVIR	LOC117145423|XP_033166959.1|DMAU
OG0000009	LOC6632323|XP_002056506.1|DVIR	LOC117143759|XP_033164466.1|DMAU
OG0000009	LOC6632476|XP_002056177.1|DVIR, LOC6632444|XP_002056510.1|DVIR, LOC6632443|XP_002056509.1|DVIR, LOC116649755|XP_032289498.1|DVIR, LOC6632442|XP_002056508.1|DVIR	LOC117145633|XP_033167244.1|DMAU, LOC117145422|XP_033166958.1|DMAU
OG0000009	LOC6635767|XP_032294717.1|DVIR	LOC117141397|XP_033160707.1|DMAU, LOC117141398|XP_033160708.1|DMAU
OG0000009	LOC6626762|XP_032292470.1|DVIR, LOC6626659|XP_002049470.1|DVIR, LOC6626487|XP_002049686.1|DVIR	LOC117136735|XP_033153656.1|DMAU
OG0000009	LOC6626542|XP_002050752.1|DVIR	LOC117135792|XP_033152175.1|DMAU
OG0000009	LOC6628883|XP_002051663.1|DVIR	LOC117138502|XP_033156525.1|DMAU, LOC117138499|XP_033156519.1|DMAU
OG0000010	LOC116649831|XP_032288870.1|DVIR, LOC6630845|XP_002053121.1|DVIR, LOC116649729|XP_002053109.1|DVIR, LOC116649830|XP_032288867.1|DVIR, LOC116649827|XP_032288864.1|DVIR, LOC6637103|XP_015023611.2|DVIR, LOC6637180|XP_002060526.1|DVIR, LOC6630081|XP_032288871.1|DVIR, LOC116649833|XP_032288875.1|DVIR, LOC6630085|XP_002053095.1|DVIR, LOC116649822|XP_032288857.1|DVIR, LOC6637070|XP_002060485.1|DVIR, LOC116649828|XP_032288865.1|DVIR, LOC116649829|XP_032288866.1|DVIR, LOC6630837|XP_002053113.1|DVIR, LOC6637215|XP_002060533.1|DVIR, LOC116649823|XP_032288859.1|DVIR, LOC6636962|XP_002060409.1|DVIR, LOC116649826|XP_032288863.1|DVIR	LOC117142722|XP_033162774.1|DMAU
OG0000011	LOC6623065|XP_002048503.2|DVIR	LOC117141062|XP_033160241.1|DMAU
