Orthogroup	AAEG.longest_only	DELE.longest_only
OG0000007	LOC5577572|XP_001663444.2|AAEG	LOC108135575|XP_017111853.1|DELE, LOC108142600|XP_017122060.1|DELE, LOC108142393|XP_017121722.1|DELE, LOC108142601|XP_017122061.1|DELE, LOC108142394|XP_017121723.1|DELE, LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE, LOC108148444|XP_017130968.1|DELE, LOC108148696|XP_017131333.1|DELE, LOC108148697|XP_017131334.1|DELE, LOC108148759|XP_017131449.1|DELE, LOC108148468|XP_017130989.1|DELE, LOC108138842|XP_017116842.1|DELE, LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE, LOC108142395|XP_017121724.1|DELE, LOC108142396|XP_017121725.1|DELE
OG0000008	LOC5566417|XP_001650809.1|AAEG, LOC5572412|XP_001660357.1|AAEG, LOC5572421|XP_021693574.1|AAEG, LOC5572420|XP_001660349.1|AAEG, LOC110674133|XP_021693570.1|AAEG, LOC5572411|XP_001660358.1|AAEG, LOC5567555|XP_001657546.2|AAEG, LOC5572416|XP_001660353.1|AAEG, LOC5572418|XP_021693576.1|AAEG, LOC5572417|XP_021693581.1|AAEG, LOC5572419|XP_021693572.1|AAEG, LOC5572414|XP_001660355.2|AAEG, LOC5572415|XP_001660354.2|AAEG, LOC5572413|XP_001660356.1|AAEG, LOC5572410|XP_001660359.1|AAEG	LOC108149642|XP_017132905.1|DELE
OG0000008	LOC110677733|XP_021704638.1|AAEG, LOC110681275|XP_021712736.1|AAEG, LOC110680197|XP_021711708.1|AAEG, LOC5573587|XP_001654721.1|AAEG, LOC5573609|XP_001654720.1|AAEG	LOC108145869|XP_017126996.1|DELE
OG0000008	LOC110677732|XP_021704637.1|AAEG	LOC108145867|XP_017126995.1|DELE
OG0000008	LOC5578716|XP_001664018.2|AAEG	LOC108138029|XP_017115491.1|DELE
OG0000008	LOC5573586|XP_021712735.1|AAEG, LOC110677734|XP_021704641.1|AAEG	LOC108145871|XP_017126998.1|DELE
OG0000009	LOC5575590|XP_001662046.1|AAEG, LOC5575570|XP_001662045.1|AAEG, LOC5575571|XP_021703480.1|AAEG, LOC5575580|XP_001662060.1|AAEG, LOC5575581|XP_001662059.1|AAEG, LOC5575578|XP_001662062.1|AAEG, LOC5568406|XP_001658054.1|AAEG, LOC5578292|XP_001663820.1|AAEG, LOC5576604|XP_001656167.2|AAEG, LOC5576588|XP_001656165.1|AAEG, LOC5576275|XP_001662564.2|AAEG, LOC110680468|XP_021711965.1|AAEG, LOC5574006|XP_021698494.1|AAEG, LOC5574009|XP_001661092.2|AAEG, LOC5576277|XP_001662566.2|AAEG	LOC108137036|XP_017114024.1|DELE, LOC108136709|XP_017113523.1|DELE, LOC108144089|XP_017124230.1|DELE, LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE, LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE, LOC108144916|XP_017125568.1|DELE, LOC108135151|XP_017111261.1|DELE, LOC108137992|XP_017115455.1|DELE, LOC108137889|XP_017115317.1|DELE
OG0000010	LOC110679751|XP_021711173.1|AAEG	LOC108139189|XP_017117303.1|DELE
OG0000012	LOC5575907|XP_021696041.1|AAEG, LOC5575913|XP_001662283.2|AAEG	LOC108145523|XP_017126497.1|DELE, LOC108145522|XP_017126496.1|DELE, LOC108145538|XP_017126526.1|DELE, LOC108145542|XP_017126531.1|DELE, LOC108147065|XP_017128845.1|DELE, LOC108145377|XP_017126261.1|DELE, LOC108145375|XP_017126259.1|DELE, LOC108145552|XP_017126542.1|DELE, LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE, LOC108137877|XP_017115304.1|DELE, LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE, LOC108137950|XP_017115398.1|DELE, LOC108137951|XP_017115399.1|DELE
OG0000013	LOC110679353|XP_021709456.1|AAEG	LOC108149749|XP_017133029.1|DELE
OG0000013	LOC23687769|XP_021707218.1|AAEG, LOC110680223|XP_021711729.1|AAEG, LOC110678530|XP_021707216.1|AAEG, LOC110680222|XP_021711727.1|AAEG	LOC108137631|XP_017114906.1|DELE
OG0000013	LOC110678734|XP_021707697.1|AAEG	LOC108134833|XP_017110785.1|DELE
OG0000013	LOC110676139|XP_021698547.1|AAEG	LOC108146660|XP_017128198.1|DELE
OG0000013	LOC110679299|XP_021709332.1|AAEG	LOC108135085|XP_017111146.1|DELE
OG0000013	LOC110674153|XP_021693655.1|AAEG, LOC110681562|XP_021713333.1|AAEG, LOC110674150|XP_021693651.1|AAEG, LOC110674148|XP_021693649.1|AAEG, LOC110674151|XP_021693653.1|AAEG, LOC110674152|XP_021693654.1|AAEG	LOC108136687|XP_017113497.1|DELE, LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE
OG0000016	LOC5565155|XP_001649530.1|AAEG	LOC108139227|XP_017117379.1|DELE, LOC108145428|XP_017126326.1|DELE
OG0000016	LOC5577991|XP_001656729.1|AAEG	LOC108135797|XP_017112156.1|DELE
OG0000016	LOC5574526|XP_001655175.1|AAEG	LOC108140881|XP_017119405.1|DELE
OG0000016	LOC5567310|XP_001651745.1|AAEG, LOC5572986|XP_001654313.1|AAEG	LOC108143220|XP_017123005.1|DELE
OG0000018	LOC5578131|XP_001663702.2|AAEG	LOC108142474|XP_017121847.1|DELE
OG0000019	LOC23687711|XP_021707253.1|AAEG, LOC5568699|XP_001652523.2|AAEG, LOC5568700|XP_001652524.1|AAEG, LOC5568692|XP_021707252.1|AAEG, LOC5568702|XP_001652526.1|AAEG, LOC5568701|XP_001652525.1|AAEG, LOC5568703|XP_001652527.2|AAEG, LOC5568704|XP_001652528.2|AAEG, LOC5568697|XP_001652520.1|AAEG, LOC5570298|XP_021708318.1|AAEG, LOC110679382|XP_021709531.1|AAEG, LOC5576804|XP_001662930.2|AAEG	LOC108148666|XP_017131288.1|DELE, LOC108148669|XP_017131292.1|DELE, LOC108148668|XP_017131291.1|DELE, LOC108148661|XP_017131282.1|DELE, LOC108148667|XP_017131289.1|DELE, LOC108148663|XP_017131286.1|DELE, LOC108148665|XP_017131287.1|DELE
OG0000020	LOC5576192|XP_021693721.1|AAEG, LOC5575949|XP_021693723.1|AAEG	LOC108148802|XP_017131514.1|DELE, LOC108145240|XP_017125995.1|DELE
OG0000020	LOC5578230|XP_021697387.1|AAEG	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE, LOC108136813|XP_017113705.1|DELE, LOC108140627|XP_017119032.1|DELE, LOC108142115|XP_017121302.1|DELE, LOC108138888|XP_017116909.1|DELE
OG0000021	LOC5577439|XP_021709141.1|AAEG	LOC108140888|XP_017119410.1|DELE
OG0000021	LOC5571745|XP_021708635.1|AAEG	LOC108139148|XP_017117255.1|DELE, LOC108134787|XP_017110724.1|DELE, LOC108137723|XP_017115107.1|DELE
OG0000023	LOC23687491|XP_011493543.2|AAEG, LOC5573293|XP_001654509.1|AAEG	LOC108140988|XP_017119550.1|DELE, LOC108140990|XP_017119554.1|DELE, LOC108140983|XP_017119545.1|DELE, LOC108140984|XP_017119546.1|DELE, LOC108137536|XP_017114748.1|DELE, LOC108140985|XP_017119548.1|DELE, LOC108140949|XP_017119506.1|DELE, LOC108141054|XP_017119691.1|DELE, LOC108141157|XP_017119872.1|DELE, LOC108141055|XP_017119693.1|DELE
OG0000024	LOC5574946|XP_001655419.1|AAEG	LOC108144322|XP_017124512.1|DELE, LOC108144853|XP_017125489.1|DELE, LOC108144323|XP_017124513.1|DELE, LOC108144321|XP_017124511.1|DELE, LOC108144317|XP_017124507.1|DELE, LOC108134565|XP_017110407.1|DELE, LOC108149067|XP_017131913.1|DELE
OG0000025	LOC5574772|XP_001655332.2|AAEG, LOC5567559|XP_001657554.1|AAEG	LOC108136491|XP_017113196.1|DELE
OG0000026	LOC23687599|XP_011493633.2|AAEG, LOC110674007|XP_021708437.1|AAEG, LOC23687740|XP_011492953.2|AAEG, LOC23687722|XP_011492954.2|AAEG, LOC5570715|XP_001659308.2|AAEG, LOC23687872|XP_011492952.2|AAEG, LOC5573680|XP_001661002.2|AAEG, LOC5573679|XP_001661001.2|AAEG, LOC110680302|XP_021711830.1|AAEG, LOC5572855|XP_001660615.1|AAEG	LOC108137717|XP_017115091.1|DELE, LOC108148316|XP_017130795.1|DELE, LOC108140970|XP_017119526.1|DELE
OG0000027	LOC110677060|XP_021703346.1|AAEG, LOC23687822|XP_011493565.1|AAEG, LOC110677062|XP_021703350.1|AAEG, LOC110677063|XP_021703351.1|AAEG, LOC5573904|XP_021698223.1|AAEG	LOC108138066|XP_017115531.1|DELE, LOC108138053|XP_017115518.1|DELE, LOC108138043|XP_017115505.1|DELE
OG0000028	LOC110675725|XP_021697126.1|AAEG, LOC110675724|XP_021697125.1|AAEG, LOC110675728|XP_021697129.1|AAEG, LOC110677266|XP_021704094.1|AAEG, LOC110677263|XP_021704092.1|AAEG, LOC110677264|XP_021704093.1|AAEG, LOC110675722|XP_021697123.1|AAEG, LOC110675102|XP_021695179.1|AAEG, LOC110676609|XP_021700847.1|AAEG	LOC108146071|XP_017127374.1|DELE, LOC108146072|XP_017127376.1|DELE, LOC108146069|XP_017127372.1|DELE, LOC108146070|XP_017127373.1|DELE, LOC108146073|XP_017127378.1|DELE, LOC108145772|XP_017126831.1|DELE
OG0000029	LOC5575791|XP_001662213.2|AAEG, LOC5569555|XP_001658613.2|AAEG, LOC5565113|XP_001649460.2|AAEG, LOC5565691|XP_001650048.2|AAEG, LOC5572841|XP_001660601.1|AAEG	LOC108141306|XP_017120062.1|DELE, LOC108143743|XP_017123764.1|DELE, LOC108143811|XP_017123822.1|DELE, LOC108135556|XP_017111792.1|DELE
OG0000031	LOC5574171|XP_001661226.1|AAEG, LOC5574170|XP_001661225.1|AAEG	LOC108138004|XP_017115462.1|DELE, LOC108138214|XP_017115823.1|DELE, LOC108138259|XP_017115893.1|DELE, LOC108138165|XP_017115746.1|DELE, LOC108138948|XP_017117015.1|DELE, LOC108150405|XP_017134051.1|DELE, LOC108138949|XP_017117016.1|DELE, LOC108150412|XP_017134059.1|DELE, LOC108148078|XP_017130421.1|DELE, LOC108147853|XP_017130100.1|DELE, LOC108148083|XP_017130428.1|DELE, LOC108138166|XP_017115747.1|DELE
OG0000032	LOC5573538|XP_001654674.2|AAEG, LOC5568353|XP_001658007.2|AAEG, LOC5568354|XP_021693938.1|AAEG, LOC5568355|XP_001658009.2|AAEG	LOC108141556|XP_017120489.1|DELE, LOC108134794|XP_017110732.1|DELE, LOC108134793|XP_017110731.1|DELE, LOC108141568|XP_017120503.1|DELE, LOC108134776|XP_017110712.1|DELE, LOC108141567|XP_017120502.1|DELE
OG0000034	LOC5571297|XP_021695840.1|AAEG, LOC5571109|XP_001659549.2|AAEG	LOC108150425|XP_017134072.1|DELE, LOC108150530|XP_017134248.1|DELE, LOC108137009|XP_017113996.1|DELE, LOC108136700|XP_017113513.1|DELE, LOC108134580|XP_017110423.1|DELE
OG0000036	LOC5578693|XP_021711058.1|AAEG, LOC5578694|XP_021711004.1|AAEG, LOC110679707|XP_021711014.1|AAEG	LOC108141221|XP_017119962.1|DELE
OG0000036	LOC5565959|XP_001650301.1|AAEG	LOC108141229|XP_017119974.1|DELE
