Orthogroup	DELE.longest_only	DGUA.longest_only
OG0000000	LOC108148460|XP_017130981.1|DELE	LOC117592188|XP_034141680.1|DGUA
OG0000000	LOC108135022|XP_017111043.1|DELE	LOC117583189|XP_034127284.1|DGUA
OG0000000	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE	LOC117589025|XP_034136545.1|DGUA
OG0000000	LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE	LOC117588940|XP_034136409.1|DGUA
OG0000000	LOC108144294|XP_017124470.1|DELE	LOC117592532|XP_034142283.1|DGUA
OG0000000	LOC108143736|XP_017123759.1|DELE	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA
OG0000000	LOC108141344|XP_017120143.1|DELE	LOC117583194|XP_034127289.1|DGUA
OG0000000	LOC108148604|XP_017131171.1|DELE	LOC117583318|XP_034127468.1|DGUA
OG0000000	LOC108144150|XP_017124283.1|DELE, LOC108144147|XP_017124279.1|DELE, LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE	LOC117592359|XP_034141946.1|DGUA
OG0000000	LOC108147230|XP_017129111.1|DELE	LOC117589701|XP_034137755.1|DGUA
OG0000000	LOC108135485|XP_017111717.1|DELE	LOC117585432|XP_034130797.1|DGUA
OG0000000	LOC108141030|XP_017119608.1|DELE	LOC117592344|XP_034141927.1|DGUA
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC108138226|XP_017115837.1|DELE	LOC117587542|XP_034134239.1|DGUA
OG0000002	LOC108147831|XP_017130074.1|DELE	LOC117584002|XP_034128622.1|DGUA
OG0000003	LOC108144467|XP_017124860.1|DELE, LOC108144671|XP_017125217.1|DELE	LOC117592331|XP_034141917.1|DGUA
OG0000003	LOC108144670|XP_017125215.1|DELE	LOC117592350|XP_034141940.1|DGUA
OG0000003	LOC108145092|XP_017125773.1|DELE	LOC117578447|XP_034119862.1|DGUA
OG0000003	LOC108144466|XP_017124858.1|DELE	LOC117583299|XP_034127435.1|DGUA
OG0000003	LOC108144468|XP_017124861.1|DELE, LOC108144801|XP_017125415.1|DELE	LOC117592340|XP_034141928.1|DGUA
OG0000003	LOC108144820|XP_017125440.1|DELE	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC108145352|XP_017126230.1|DELE	LOC117583990|XP_034128606.1|DGUA
OG0000003	LOC108145367|XP_017126250.1|DELE	LOC117583987|XP_034128590.1|DGUA
OG0000004	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE	LOC117591772|XP_034140973.1|DGUA, LOC117591686|XP_034140901.1|DGUA, LOC117591643|XP_034140858.1|DGUA, LOC117591660|XP_034140874.1|DGUA
OG0000007	LOC108142600|XP_017122060.1|DELE	LOC117587429|XP_034133994.1|DGUA
OG0000007	LOC108142393|XP_017121722.1|DELE	LOC117587428|XP_034133991.1|DGUA
OG0000007	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE	LOC117584024|XP_034128652.1|DGUA
OG0000007	LOC108148444|XP_017130968.1|DELE	LOC117583201|XP_034127296.1|DGUA
OG0000007	LOC108138842|XP_017116842.1|DELE	LOC117584026|XP_034128654.1|DGUA
OG0000007	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE	LOC117584025|XP_034128653.1|DGUA
OG0000007	LOC108142395|XP_017121724.1|DELE	LOC117587430|XP_034133997.1|DGUA
OG0000007	LOC108142396|XP_017121725.1|DELE	LOC117587431|XP_034133998.1|DGUA
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC108145869|XP_017126996.1|DELE	LOC117579398|XP_034121168.1|DGUA
OG0000008	LOC108145867|XP_017126995.1|DELE	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC108138029|XP_017115491.1|DELE	LOC117581836|XP_034125174.1|DGUA
OG0000008	LOC108145871|XP_017126998.1|DELE	LOC117579400|XP_034121171.1|DGUA
OG0000008	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA
OG0000008	LOC108148325|XP_017130805.1|DELE	LOC117586165|XP_034131957.1|DGUA
OG0000008	LOC108148321|XP_017130801.1|DELE	LOC117586221|XP_034132048.1|DGUA
OG0000008	LOC108148322|XP_017130802.1|DELE	LOC117586120|XP_034131875.1|DGUA
OG0000008	LOC108148324|XP_017130804.1|DELE	LOC117586582|XP_034132641.1|DGUA
OG0000009	LOC108137036|XP_017114024.1|DELE	LOC117586341|XP_034132234.1|DGUA
OG0000009	LOC108136709|XP_017113523.1|DELE	LOC117586454|XP_034132388.1|DGUA
OG0000009	LOC108144089|XP_017124230.1|DELE	LOC117585408|XP_034130767.1|DGUA
OG0000009	LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA
OG0000009	LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA
OG0000009	LOC108144916|XP_017125568.1|DELE	LOC117587230|XP_034133688.1|DGUA
OG0000009	LOC108135151|XP_017111261.1|DELE	LOC117586357|XP_034132268.1|DGUA
OG0000009	LOC108137992|XP_017115455.1|DELE	LOC117588654|XP_034135988.1|DGUA
OG0000009	LOC108137889|XP_017115317.1|DELE	LOC117588663|XP_034136000.1|DGUA
OG0000010	LOC108139189|XP_017117303.1|DELE	LOC117591688|XP_034140902.1|DGUA
OG0000011	LOC108139056|XP_017117164.1|DELE, LOC108136397|XP_017112996.1|DELE, LOC108146665|XP_017128206.1|DELE, LOC108139057|XP_017117165.1|DELE, LOC108138672|XP_017116504.1|DELE, LOC108146131|XP_017127468.1|DELE, LOC108146591|XP_017128102.1|DELE, LOC108143859|XP_017123910.1|DELE, LOC108137357|XP_017114480.1|DELE, LOC108134970|XP_017110989.1|DELE, LOC108138785|XP_017116749.1|DELE, LOC108150498|XP_017134198.1|DELE, LOC108150409|XP_017134056.1|DELE, LOC108138422|XP_017116107.1|DELE	LOC117587656|XP_034134438.1|DGUA, LOC117584846|XP_034129875.1|DGUA, LOC117582569|XP_034126300.1|DGUA, LOC117582570|XP_034126301.1|DGUA, LOC117584825|XP_034129842.1|DGUA, LOC117584102|XP_034128742.1|DGUA, LOC117584843|XP_034129873.1|DGUA, LOC117584847|XP_034129876.1|DGUA, LOC117584842|XP_034129871.1|DGUA, LOC117584844|XP_034129874.1|DGUA, LOC117582571|XP_034126303.1|DGUA, LOC117582572|XP_034126307.1|DGUA, LOC117582573|XP_034126310.1|DGUA
OG0000011	LOC108146667|XP_017128209.1|DELE	LOC117579965|XP_034122030.1|DGUA
OG0000011	LOC108146666|XP_017128208.1|DELE	LOC117579216|XP_034120874.1|DGUA
OG0000011	LOC108139281|XP_017117466.1|DELE	LOC117585951|XP_034131639.1|DGUA
OG0000012	LOC108145523|XP_017126497.1|DELE	LOC117578829|XP_034120480.1|DGUA
OG0000012	LOC108145522|XP_017126496.1|DELE	LOC117578830|XP_034120484.1|DGUA
OG0000012	LOC108145538|XP_017126526.1|DELE	LOC117578828|XP_034120477.1|DGUA
OG0000012	LOC108145542|XP_017126531.1|DELE	LOC117578831|XP_034120485.1|DGUA
OG0000012	LOC108147065|XP_017128845.1|DELE, LOC108145377|XP_017126261.1|DELE	LOC117585419|XP_034130787.1|DGUA, LOC117585430|XP_034130799.1|DGUA
OG0000012	LOC108145375|XP_017126259.1|DELE, LOC108145552|XP_017126542.1|DELE	LOC117585406|XP_034130769.1|DGUA
OG0000012	LOC108137876|XP_017115303.1|DELE, LOC108137991|XP_017115454.1|DELE	LOC117592596|XP_034142370.1|DGUA
OG0000012	LOC108137877|XP_017115304.1|DELE	LOC117592593|XP_034142368.1|DGUA
OG0000012	LOC108137996|XP_017115460.1|DELE, LOC108137901|XP_017115330.1|DELE	LOC117592595|XP_034142369.1|DGUA
OG0000012	LOC108137950|XP_017115398.1|DELE	LOC117592597|XP_034142371.1|DGUA
OG0000012	LOC108137951|XP_017115399.1|DELE	LOC117592598|XP_034142372.1|DGUA
OG0000013	LOC108149749|XP_017133029.1|DELE	LOC117592555|XP_034142321.1|DGUA
OG0000013	LOC108137631|XP_017114906.1|DELE	LOC117590521|XP_034139126.1|DGUA
OG0000013	LOC108134833|XP_017110785.1|DELE	LOC117585977|XP_034131683.1|DGUA
OG0000013	LOC108146660|XP_017128198.1|DELE	LOC117580093|XP_034122238.1|DGUA
OG0000013	LOC108135085|XP_017111146.1|DELE	LOC117589807|XP_034137915.1|DGUA
OG0000013	LOC108136687|XP_017113497.1|DELE	LOC117585592|XP_034131028.1|DGUA, LOC117585591|XP_034131024.1|DGUA
OG0000013	LOC108135067|XP_017111099.1|DELE, LOC108135806|XP_017112171.1|DELE, LOC108135068|XP_017111100.1|DELE	LOC117583601|XP_034127885.1|DGUA
OG0000015	LOC108144693|XP_017125256.1|DELE	LOC117588212|XP_034135242.1|DGUA
OG0000016	LOC108139227|XP_017117379.1|DELE	LOC117589945|XP_034138127.1|DGUA
OG0000016	LOC108145428|XP_017126326.1|DELE	LOC117587659|XP_034134479.1|DGUA
OG0000016	LOC108135797|XP_017112156.1|DELE	LOC117583582|XP_034127854.1|DGUA
OG0000016	LOC108144651|XP_017125185.1|DELE	LOC117592229|XP_034141753.1|DGUA
OG0000016	LOC108140881|XP_017119405.1|DELE	LOC117581434|XP_034124497.1|DGUA
OG0000016	LOC108134657|XP_017110539.1|DELE	LOC117588507|XP_034135722.1|DGUA
OG0000016	LOC108140478|XP_017118708.1|DELE	LOC117585750|XP_034131294.1|DGUA
OG0000016	LOC108143220|XP_017123005.1|DELE	LOC117579173|XP_034120827.1|DGUA
OG0000017	LOC108149934|XP_017133339.1|DELE	LOC117582389|XP_034125960.1|DGUA
OG0000017	LOC108134991|XP_017111013.1|DELE	LOC117592695|XP_034142550.1|DGUA, LOC117584523|XP_034129364.1|DGUA
OG0000017	LOC108137351|XP_017114475.1|DELE	LOC117583173|XP_034127261.1|DGUA
OG0000017	LOC108143462|XP_017123388.1|DELE	LOC117580469|XP_034122942.1|DGUA
OG0000017	LOC108141554|XP_017120482.1|DELE	LOC117583419|XP_034127607.1|DGUA
OG0000017	LOC108143281|XP_017123085.1|DELE	LOC117592152|XP_034141609.1|DGUA
OG0000017	LOC108147936|XP_017130210.1|DELE, LOC108147886|XP_017130134.1|DELE	LOC117582253|XP_034125754.1|DGUA, LOC117582249|XP_034125751.1|DGUA
OG0000018	LOC108142474|XP_017121847.1|DELE	LOC117587357|XP_034133889.1|DGUA
OG0000018	LOC108142172|XP_017121346.1|DELE	LOC117587358|XP_034133890.1|DGUA
OG0000018	LOC108142475|XP_017121848.1|DELE	LOC117587351|XP_034133882.1|DGUA
OG0000018	LOC108142476|XP_017121849.1|DELE, LOC108142480|XP_017121852.1|DELE, LOC108142478|XP_017121851.1|DELE, LOC108142483|XP_017121857.1|DELE	LOC117587361|XP_034133894.1|DGUA
OG0000019	LOC108148666|XP_017131288.1|DELE	LOC117583725|XP_034128132.1|DGUA, LOC117583724|XP_034128131.1|DGUA
OG0000019	LOC108148661|XP_017131282.1|DELE	LOC117583705|XP_034128081.1|DGUA
OG0000019	LOC108148667|XP_017131289.1|DELE	LOC117583723|XP_034128130.1|DGUA
OG0000019	LOC108148663|XP_017131286.1|DELE, LOC108148665|XP_017131287.1|DELE	LOC117583722|XP_034128122.1|DGUA
OG0000020	LOC108148802|XP_017131514.1|DELE	LOC117583658|XP_034128012.1|DGUA
OG0000020	LOC108145240|XP_017125995.1|DELE	LOC117578526|XP_034119977.1|DGUA
OG0000020	LOC108139069|XP_017117181.1|DELE, LOC108149435|XP_017132505.1|DELE	LOC117587736|XP_034134545.1|DGUA
OG0000020	LOC108136813|XP_017113705.1|DELE	LOC117586337|XP_034132223.1|DGUA
OG0000020	LOC108140627|XP_017119032.1|DELE	LOC117590165|XP_034138451.1|DGUA
OG0000020	LOC108142115|XP_017121302.1|DELE	LOC117584402|XP_034129156.1|DGUA
OG0000021	LOC108143679|XP_017123678.1|DELE	LOC117580314|XP_034122704.1|DGUA
OG0000021	LOC108143658|XP_017123658.1|DELE	LOC117580733|XP_034123298.1|DGUA
OG0000021	LOC108140888|XP_017119410.1|DELE	LOC117590869|XP_034139782.1|DGUA
OG0000021	LOC108139148|XP_017117255.1|DELE	LOC117585696|XP_034131203.1|DGUA
OG0000021	LOC108134787|XP_017110724.1|DELE	LOC117582802|XP_034126721.1|DGUA
OG0000022	LOC108144256|XP_017124426.1|DELE	LOC117585826|XP_034131453.1|DGUA
OG0000022	LOC108145706|XP_017126756.1|DELE	LOC117587283|XP_034133760.1|DGUA
OG0000022	LOC108145945|XP_017127141.1|DELE	LOC117587284|XP_034133762.1|DGUA
OG0000022	LOC108145941|XP_017127138.1|DELE	LOC117587282|XP_034133759.1|DGUA
OG0000023	LOC108140988|XP_017119550.1|DELE	LOC117586396|XP_034132318.1|DGUA
OG0000023	LOC108140990|XP_017119554.1|DELE	LOC117586009|XP_034131729.1|DGUA
