Orthogroup	DSUZ.longest_only	DGUA.longest_only
OG0000000	LOC108019552|XP_036669814.1|DSUZ	LOC117592188|XP_034141680.1|DGUA
OG0000000	LOC108013925|XP_016935418.2|DSUZ	LOC117583189|XP_034127284.1|DGUA
OG0000000	LOC108011771|XP_036670496.1|DSUZ, LOC118877506|XP_036672430.1|DSUZ	LOC117583148|XP_034127229.1|DGUA
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC117588815|XP_034136215.1|DGUA
OG0000000	LOC118877230|XP_036670644.1|DSUZ	LOC117589025|XP_034136545.1|DGUA
OG0000000	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ	LOC117588940|XP_034136409.1|DGUA
OG0000000	LOC108008220|XP_016927499.2|DSUZ	LOC117592532|XP_034142283.1|DGUA
OG0000000	LOC118878125|XP_036675508.1|DSUZ	LOC117583198|XP_034127292.1|DGUA
OG0000000	LOC108012145|XP_036675462.1|DSUZ	LOC117583197|XP_034127291.1|DGUA, LOC117583196|XP_034127290.1|DGUA
OG0000000	LOC108017700|XP_016940298.1|DSUZ	LOC117583194|XP_034127289.1|DGUA
OG0000000	LOC108013429|XP_016934786.2|DSUZ	LOC117582218|XP_034125717.1|DGUA
OG0000000	LOC118877061|XP_036669823.1|DSUZ	LOC117592662|XP_034142498.1|DGUA
OG0000000	LOC108017737|XP_016940334.1|DSUZ, LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ	LOC117592359|XP_034141946.1|DGUA
OG0000000	LOC108020157|XP_036673587.1|DSUZ	LOC117589701|XP_034137755.1|DGUA
OG0000000	LOC108007738|XP_016926982.2|DSUZ, LOC108021799|XP_036676928.1|DSUZ, LOC108012280|XP_036672320.1|DSUZ	LOC117592344|XP_034141927.1|DGUA
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC117579099|XP_034120716.1|DGUA
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC117579108|XP_034120728.1|DGUA
OG0000002	LOC108009933|XP_016930164.1|DSUZ	LOC117578777|XP_034120374.1|DGUA
OG0000002	LOC108009013|XP_016928477.1|DSUZ	LOC117584002|XP_034128622.1|DGUA
OG0000003	LOC108008945|XP_016928345.1|DSUZ, LOC108008944|XP_016928343.1|DSUZ	LOC117592331|XP_034141917.1|DGUA
OG0000003	LOC118877697|XP_036673424.1|DSUZ, LOC108008943|XP_016928342.1|DSUZ	LOC117592350|XP_034141940.1|DGUA
OG0000003	LOC108018006|XP_016940848.1|DSUZ	LOC117578447|XP_034119862.1|DGUA
OG0000003	LOC108008949|XP_016928349.1|DSUZ, LOC108008948|XP_016928348.1|DSUZ	LOC117583299|XP_034127435.1|DGUA
OG0000003	LOC108008946|XP_016928346.1|DSUZ, LOC108008150|XP_016927428.2|DSUZ	LOC117592340|XP_034141928.1|DGUA
OG0000003	LOC108008950|XP_016928350.1|DSUZ	LOC117583309|XP_034127448.1|DGUA
OG0000003	LOC108019593|XP_016942923.1|DSUZ	LOC117583990|XP_034128606.1|DGUA
OG0000003	LOC108019592|XP_016942921.1|DSUZ, LOC108019594|XP_016942924.1|DSUZ	LOC117583987|XP_034128590.1|DGUA
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC117587981|XP_034134880.1|DGUA
OG0000004	LOC118879510|XP_036678268.1|DSUZ, LOC108016323|XP_016938449.2|DSUZ, LOC118877303|XP_036671346.1|DSUZ, LOC118879250|XP_036678028.1|DSUZ, LOC118879509|XP_036678267.1|DSUZ, LOC118879267|XP_036678044.1|DSUZ, LOC118879249|XP_036678027.1|DSUZ, LOC118879639|XP_036678427.1|DSUZ, LOC118877305|XP_036671351.1|DSUZ, LOC118879640|XP_036678428.1|DSUZ	LOC117591774|XP_034140974.1|DGUA
OG0000005	LOC118879647|XP_036678435.1|DSUZ, LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ	LOC117581361|XP_034124384.1|DGUA
OG0000005	LOC108016330|XP_016938455.2|DSUZ	LOC117591790|XP_034140985.1|DGUA
OG0000006	LOC118879646|XP_036678433.1|DSUZ	LOC117591658|XP_034140872.1|DGUA
OG0000006	LOC118877308|XP_036671366.1|DSUZ, LOC118879645|XP_036678432.1|DSUZ, LOC118877312|XP_036671383.1|DSUZ, LOC118879255|XP_036678031.1|DSUZ	LOC117591645|XP_034140861.1|DGUA
OG0000007	LOC118877416|XP_036672028.1|DSUZ	LOC117587429|XP_034133994.1|DGUA
OG0000007	LOC108013025|XP_016934104.1|DSUZ	LOC117587428|XP_034133991.1|DGUA
OG0000007	LOC118879795|XP_036678702.1|DSUZ	LOC117584024|XP_034128652.1|DGUA
OG0000007	LOC108019834|XP_016943342.1|DSUZ	LOC117592308|XP_034141873.1|DGUA
OG0000007	LOC108017241|XP_036675632.1|DSUZ	LOC117583201|XP_034127296.1|DGUA
OG0000007	LOC118876800|XP_036668611.1|DSUZ	LOC117584026|XP_034128654.1|DGUA
OG0000007	LOC108012354|XP_016933195.2|DSUZ	LOC117587067|XP_034133401.1|DGUA
OG0000007	LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ	LOC117584025|XP_034128653.1|DGUA
OG0000007	LOC108013030|XP_016934110.1|DSUZ	LOC117587431|XP_034133998.1|DGUA
OG0000008	LOC108014183|XP_016935707.1|DSUZ	LOC117586140|XP_034131924.1|DGUA
OG0000008	LOC108020044|XP_016943629.1|DSUZ	LOC117579398|XP_034121168.1|DGUA
OG0000008	LOC118877368|XP_036671791.1|DSUZ	LOC117579397|XP_034121167.1|DGUA
OG0000008	LOC108007042|XP_016926141.1|DSUZ	LOC117581836|XP_034125174.1|DGUA
OG0000008	LOC108020009|XP_016943583.1|DSUZ	LOC117579400|XP_034121171.1|DGUA
OG0000008	LOC108014243|XP_036675108.1|DSUZ, LOC108014242|XP_016935768.1|DSUZ	LOC117586224|XP_034132052.1|DGUA, LOC117586223|XP_034132051.1|DGUA
OG0000008	LOC108006378|XP_036675047.1|DSUZ	LOC117586165|XP_034131957.1|DGUA
OG0000008	LOC108014235|XP_016935760.2|DSUZ	LOC117586221|XP_034132048.1|DGUA
OG0000008	LOC108014237|XP_016935761.1|DSUZ	LOC117586120|XP_034131875.1|DGUA
OG0000008	LOC118878011|XP_036674950.1|DSUZ	LOC117586582|XP_034132641.1|DGUA
OG0000009	LOC108014185|XP_016935709.1|DSUZ	LOC117586341|XP_034132234.1|DGUA
OG0000009	LOC108014181|XP_016935705.2|DSUZ	LOC117586454|XP_034132388.1|DGUA
OG0000009	LOC108011538|XP_036673111.1|DSUZ	LOC117585408|XP_034130767.1|DGUA
OG0000009	LOC108015574|XP_036672879.1|DSUZ, LOC108014176|XP_016935699.1|DSUZ	LOC117586340|XP_034132233.1|DGUA, LOC117585972|XP_034131672.1|DGUA
OG0000009	LOC108011415|XP_036670407.1|DSUZ	LOC117585026|XP_034130159.1|DGUA, LOC117585051|XP_034130200.1|DGUA
OG0000009	LOC108008708|XP_016928093.1|DSUZ	LOC117587230|XP_034133688.1|DGUA
OG0000009	LOC108019245|XP_036673765.1|DSUZ	LOC117586357|XP_034132268.1|DGUA
OG0000009	LOC108008467|XP_016927811.1|DSUZ	LOC117588654|XP_034135988.1|DGUA
OG0000009	LOC108008503|XP_016927857.1|DSUZ	LOC117588663|XP_034136000.1|DGUA
OG0000010	LOC118879264|XP_036678040.1|DSUZ	LOC117583778|XP_034128224.1|DGUA
OG0000010	LOC118879272|XP_036678049.1|DSUZ, LOC108014626|XP_016936278.1|DSUZ	LOC117591688|XP_034140902.1|DGUA
OG0000010	LOC118877316|XP_036671422.1|DSUZ, LOC118877315|XP_036671409.1|DSUZ, LOC118877317|XP_036671430.1|DSUZ, LOC118879513|XP_036678270.1|DSUZ, LOC108006791|XP_016925829.1|DSUZ, LOC108016333|XP_036678042.1|DSUZ	LOC117591679|XP_034140894.1|DGUA
