Orthogroup	DSAN.longest_only	DNOV.longest_only
OG0000000	LOC120450014|XP_039488671.1|DSAN	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC120454272|XP_039495370.1|DSAN, LOC120444734|XP_039480595.1|DSAN, LOC120458328|XP_039501883.1|DSAN	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC120444836|XP_039480727.1|DSAN	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC120447820|XP_039485331.1|DSAN, LOC120447882|XP_039485427.1|DSAN	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC120446643|XP_039483646.1|DSAN, LOC120444947|XP_039480886.1|DSAN, LOC120444948|XP_039480887.1|DSAN, LOC120444942|XP_039480879.1|DSAN, LOC120444949|XP_039480888.1|DSAN, LOC120454169|XP_039495171.1|DSAN	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC120453562|XP_039494248.1|DSAN, LOC120447885|XP_039485430.1|DSAN, LOC120447884|XP_039485429.1|DSAN	LOC115762365|XP_030560399.1|DNOV
OG0000002	LOC120446478|XP_039483414.1|DSAN	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC120444309|XP_039479784.1|DSAN	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC120444310|XP_039479789.1|DSAN	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC120448038|XP_039485719.1|DSAN	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000002	LOC120443706|XP_039478879.1|DSAN	LOC115759342|XP_030556121.1|DNOV
OG0000003	LOC120446974|XP_039484179.1|DSAN, LOC120446687|XP_039483714.1|DSAN	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC120446973|XP_039484178.1|DSAN, LOC120446976|XP_039484181.1|DSAN	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC120458379|XP_039501933.1|DSAN	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC120458377|XP_039501931.1|DSAN, LOC120458378|XP_039501932.1|DSAN	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC120458775|XP_039502488.1|DSAN	LOC115758743|XP_030555359.1|DNOV
OG0000005	LOC120457954|XP_039501393.1|DSAN, LOC120445992|XP_039482658.1|DSAN, LOC120446202|XP_039482985.1|DSAN, LOC120457948|XP_039501388.1|DSAN, LOC120457682|XP_039501106.1|DSAN, LOC120457956|XP_039501395.1|DSAN, LOC120457950|XP_039501390.1|DSAN, LOC120457673|XP_039501099.1|DSAN, LOC120457947|XP_039501387.1|DSAN, LOC120457955|XP_039501394.1|DSAN, LOC120457951|XP_039501391.1|DSAN, LOC120457946|XP_039501386.1|DSAN, LOC120457671|XP_039501098.1|DSAN, LOC120457952|XP_039501392.1|DSAN, LOC120457949|XP_039501389.1|DSAN, LOC120457958|XP_039501397.1|DSAN, LOC120457959|XP_039501398.1|DSAN	LOC115761952|XP_030559851.1|DNOV
OG0000006	LOC120457931|XP_039501371.1|DSAN	LOC115761966|XP_030559868.1|DNOV, LOC115768961|XP_030569544.1|DNOV
OG0000006	LOC120457680|XP_039501103.1|DSAN	LOC115770815|XP_030572096.1|DNOV
OG0000006	LOC120457670|XP_039501096.1|DSAN	LOC115770611|XP_030571807.1|DNOV, LOC115770813|XP_030572094.1|DNOV
OG0000006	LOC120457674|XP_039501100.1|DSAN	LOC115761841|XP_030559682.1|DNOV
OG0000007	LOC120450299|XP_039489171.1|DSAN	LOC115771063|XP_030572475.1|DNOV
OG0000007	LOC120449593|XP_039488092.1|DSAN	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC120449521|XP_039487968.1|DSAN, LOC120448495|XP_039486458.1|DSAN, LOC120448563|XP_039486553.1|DSAN	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	LOC120455948|XP_039498425.1|DSAN	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	LOC120458508|XP_039502112.1|DSAN	LOC115767684|XP_030567836.1|DNOV
OG0000007	LOC120448335|XP_039486223.1|DSAN, LOC120448331|XP_039486219.1|DSAN, LOC120450012|XP_039488670.1|DSAN	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC120451092|XP_039490416.1|DSAN	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC120449655|XP_039488186.1|DSAN	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC120449654|XP_039488185.1|DSAN	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC120458586|XP_039502222.1|DSAN	LOC115759949|XP_030556951.1|DNOV
