Orthogroup	DPSE.longest_only	DMIR.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR
OG0000000	LOC6898696|XP_002138701.1|DPSE	LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR
OG0000000	LOC6898697|XP_033233391.1|DPSE	LOC108158411|XP_017146169.2|DMIR
OG0000000	LOC6898698|XP_015040315.2|DPSE	LOC108158045|XP_017145679.2|DMIR
OG0000000	LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR
OG0000000	LOC117183375|XP_033233001.1|DPSE	LOC108154666|XP_017140492.1|DMIR
OG0000000	LOC6896910|XP_033232943.1|DPSE	LOC108154647|XP_017140467.1|DMIR
OG0000000	LOC117184977|XP_033240205.1|DPSE	LOC117185812|XP_033243800.1|DMIR
OG0000000	LOC6900000|XP_002135366.3|DPSE	LOC108165373|XP_017156898.2|DMIR
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC108151290|XP_017135310.1|DMIR
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC117188468|XP_033248271.1|DMIR, LOC108158021|XP_033253629.1|DMIR
OG0000000	LOC6896672|XP_033232290.1|DPSE	LOC108153842|XP_033245237.1|DMIR
OG0000000	LOC6896676|XP_033241757.1|DPSE	LOC108156429|XP_017143371.1|DMIR
OG0000000	LOC6896675|XP_033232980.1|DPSE	LOC108154067|XP_033246013.1|DMIR, LOC108154066|XP_033246011.1|DMIR
OG0000000	LOC13036386|XP_033232979.1|DPSE	LOC117187438|XP_033246010.1|DMIR
OG0000000	LOC6898794|XP_033234286.1|DPSE	LOC117187703|XP_033246307.1|DMIR
OG0000000	LOC117183537|XP_033233520.1|DPSE	LOC108158063|XP_017145701.1|DMIR
OG0000000	LOC117183751|XP_033234658.1|DPSE	LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR
OG0000000	LOC6898801|XP_033234867.1|DPSE	LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR
OG0000000	LOC6896684|XP_002136899.2|DPSE, LOC13036467|XP_033232978.1|DPSE	LOC108154065|XP_033245991.1|DMIR
OG0000000	LOC6896683|XP_002136898.3|DPSE	LOC117187434|XP_033245992.1|DMIR
OG0000000	LOC6897227|XP_002137399.2|DPSE	LOC108153951|XP_017139538.1|DMIR
OG0000000	LOC6902907|XP_033236216.1|DPSE	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR
OG0000000	LOC6898538|XP_033233460.1|DPSE	LOC117192382|XP_033252940.1|DMIR, LOC117192383|XP_033252942.1|DMIR, LOC108158670|XP_033246362.1|DMIR
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR
OG0000000	LOC4805597|XP_033233553.1|DPSE	LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC108154608|XP_017140414.2|DMIR
OG0000000	LOC117183386|XP_033233030.1|DPSE	LOC108154051|XP_017139631.2|DMIR
OG0000000	LOC117183385|XP_033233027.1|DPSE, LOC13036529|XP_033233038.1|DPSE	LOC108154052|XP_017139633.1|DMIR
OG0000000	LOC6897761|XP_002137866.2|DPSE	LOC108153871|XP_033244797.1|DMIR, LOC108153866|XP_017139453.1|DMIR
OG0000000	LOC6899372|XP_033233116.1|DPSE	LOC108154586|XP_017140379.1|DMIR, LOC108153991|XP_033246108.1|DMIR
OG0000000	LOC13036393|XP_003736798.3|DPSE, LOC6897759|XP_002137864.4|DPSE	LOC108153868|XP_017139455.1|DMIR
OG0000000	LOC6898293|XP_033233430.1|DPSE, LOC13036490|XP_003736302.2|DPSE	LOC108154010|XP_033246058.1|DMIR
OG0000001	LOC117183652|XP_033234147.1|DPSE	LOC117191840|XP_033252499.1|DMIR
OG0000001	LOC117183653|XP_033234148.1|DPSE	LOC117190823|XP_033251752.1|DMIR
OG0000001	LOC117184855|XP_033239804.1|DPSE	LOC117192642|XP_033253256.1|DMIR, LOC117188305|XP_033247831.1|DMIR, LOC117186228|XP_033242549.1|DMIR, LOC117193366|XP_033253976.1|DMIR, LOC117190168|XP_033251121.1|DMIR, LOC117188399|XP_033248125.1|DMIR
OG0000001	LOC117184464|XP_033238070.1|DPSE	LOC117192640|XP_033253257.1|DMIR
OG0000001	LOC117184939|XP_033240070.1|DPSE	LOC117186450|XP_033243174.1|DMIR, LOC117186708|XP_033243711.1|DMIR
OG0000001	LOC117184985|XP_033240229.1|DPSE	LOC117187188|XP_033245213.1|DMIR, LOC117187189|XP_033245214.1|DMIR, LOC117192881|XP_033253519.1|DMIR
OG0000001	LOC117184685|XP_033239190.1|DPSE, LOC117184639|XP_033239061.1|DPSE	LOC117186040|XP_033241993.1|DMIR
OG0000001	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE, LOC117184038|XP_033235938.1|DPSE	LOC117190783|XP_033251735.1|DMIR
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC108159521|XP_017148375.1|DMIR
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR
OG0000002	LOC6903440|XP_033236733.1|DPSE	LOC108163440|XP_017154213.2|DMIR
OG0000002	LOC6903450|XP_002132329.2|DPSE	LOC117188921|XP_033249395.1|DMIR
OG0000002	LOC6900542|XP_033238667.1|DPSE	LOC108152350|XP_017137109.1|DMIR
OG0000002	LOC6902531|XP_002133071.3|DPSE	LOC108161412|XP_017151153.2|DMIR
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC108160528|XP_017150077.1|DMIR
OG0000003	LOC4804982|XP_001361456.3|DPSE	LOC108160529|XP_017150078.1|DMIR
OG0000003	LOC4803409|XP_001360156.1|DPSE	LOC108160375|XP_017149841.1|DMIR
OG0000003	LOC6898736|XP_002138723.1|DPSE	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR
OG0000003	LOC6898737|XP_002138724.1|DPSE	LOC108158057|XP_033247543.1|DMIR
OG0000003	LOC4804980|XP_001361454.1|DPSE	LOC108160818|XP_017150534.1|DMIR
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC108160275|XP_017149646.1|DMIR
