Orthogroup	CCAP.longest_only	SLEB.longest_only
OG0000000	CCAP1982_LOCUS14600|CAD7006277.1|CCAP, CCAP1982_LOCUS14781|CAD7006463.1|CCAP, CCAP1982_LOCUS14780|CAD7006462.1|CCAP	LOC115634489|XP_030388106.1|SLEB
OG0000000	CCAP1982_LOCUS14598|CAD7006275.1|CCAP, CCAP1982_LOCUS14597|CAD7006274.1|CCAP, CCAP1982_LOCUS14599|CAD7006276.1|CCAP, CCAP1982_LOCUS14601|CAD7006278.1|CCAP	LOC115634408|XP_030387964.1|SLEB
OG0000000	CCAP1982_LOCUS23082|CAD7015132.1|CCAP, CCAP1982_LOCUS6846|CAD6998236.1|CCAP, CCAP1982_LOCUS22420|CAD7014424.1|CCAP	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB, LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB, LOC115625399|XP_030376298.1|SLEB
OG0000000	CCAP1982_LOCUS11001|CAD7002512.1|CCAP	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB, LOC115632651|XP_030385741.1|SLEB, LOC115623741|XP_030374114.1|SLEB
OG0000001	CCAP1982_LOCUS10053|CAD7001559.1|CCAP, CCAP1982_LOCUS9335|CAD7000861.1|CCAP, CCAP1982_LOCUS10394|CAD7001907.1|CCAP, CCAP1982_LOCUS19569|CAD7011469.1|CCAP	LOC115633656|XP_030386961.1|SLEB
OG0000001	CCAP1982_LOCUS9694|CAD7001196.1|CCAP, CCAP1982_LOCUS9894|CAD7001397.1|CCAP, CCAP1982_LOCUS9398|CAD7000923.1|CCAP, CCAP1982_LOCUS9782|CAD7001285.1|CCAP, CCAP1982_LOCUS9733|CAD7001235.1|CCAP, CCAP1982_LOCUS5945|CAD6997312.1|CCAP, CCAP1982_LOCUS9129|CAD7000655.1|CCAP, CCAP1982_LOCUS10167|CAD7001676.1|CCAP, CCAP1982_LOCUS14199|CAD7005857.1|CCAP, CCAP1982_LOCUS3923|CAD6995204.1|CCAP, CCAP1982_LOCUS6598|CAD6997982.1|CCAP, CCAP1982_LOCUS2222|CAD6993407.1|CCAP, CCAP1982_LOCUS7260|CAD6998703.1|CCAP	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB
OG0000002	CCAP1982_LOCUS7391|CAD6998842.1|CCAP, CCAP1982_LOCUS7392|CAD6998843.1|CCAP, CCAP1982_LOCUS427|CAD6991503.1|CCAP	LOC115633967|XP_030387348.1|SLEB
OG0000002	CCAP1982_LOCUS1975|CAD6993149.1|CCAP	LOC115626113|XP_030377229.1|SLEB, LOC115624495|XP_030375058.1|SLEB
OG0000003	CCAP1982_LOCUS20936|CAD7012836.1|CCAP, CCAP1982_LOCUS20929|CAD7012829.1|CCAP	LOC115620029|XP_030368994.1|SLEB
OG0000003	CCAP1982_LOCUS20935|CAD7012835.1|CCAP, CCAP1982_LOCUS20928|CAD7012828.1|CCAP, CCAP1982_LOCUS20931|CAD7012831.1|CCAP	LOC115620049|XP_030369030.1|SLEB, LOC115634646|XP_030388364.1|SLEB
