Orthogroup	DMEL.longest_only	AALB.longest_only
OG0000002	CG7668|NP_649170.1|DMEL	LOC118458183|XP_035776304.1|AALB
OG0000002	CG9500|NP_609018.3|DMEL	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB
OG0000006	His2A_CG33850|NP_001027361.1|DMEL, His2A_CG31618|NP_724343.1|DMEL, His2A_CG33847|NP_001027356.1|DMEL	LOC118465125|XP_035788959.1|AALB
OG0000006	His2A_CG33814|NP_001027301.1|DMEL	LOC118465118|XP_035788957.1|AALB
OG0000006	His2A_CG33853|NP_001027366.1|DMEL, His2A_CG33856|NP_001027371.1|DMEL, His2A_CG33859|NP_001027376.1|DMEL	LOC118465084|XP_035788881.1|AALB
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC118461568|XP_035782948.1|AALB
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC118460618|XP_035780957.1|AALB
OG0000008	Crys|NP_476906.1|DMEL	LOC118459424|XP_035778662.1|AALB
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC118460626|XP_035780968.1|AALB
OG0000009	CG11453|NP_650832.1|DMEL, CG11391|NP_650830.1|DMEL, CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL, CG11407|NP_650831.1|DMEL, CG5568|NP_647992.1|DMEL, CG18586|NP_647993.2|DMEL, CG4563|NP_611913.1|DMEL, CG4830|NP_650160.1|DMEL, CG8834|NP_610779.1|DMEL	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB
OG0000010	His4_CG33881|NP_001027352.1|DMEL, His4_CG33877|NP_001027362.1|DMEL, His4_CG33869|NP_001027382.1|DMEL, His4_CG33879|NP_001027357.1|DMEL	LOC118464061|XP_035787001.1|AALB
OG0000010	His4_CG33887|NP_001027337.1|DMEL	LOC118467569|XP_035794089.1|AALB
OG0000010	His4_CG33885|NP_001027342.1|DMEL	LOC118465135|XP_035788966.1|AALB
OG0000010	His4_CG33883|NP_001027347.1|DMEL	LOC118464060|XP_035787000.1|AALB, LOC118464059|XP_035786999.1|AALB
OG0000012	CG9416|NP_611415.2|DMEL, CG10051|NP_611414.1|DMEL, CG11961|NP_725876.1|DMEL, CG10062|NP_001261089.1|DMEL, CG10081|NP_611418.1|DMEL, CG10073|NP_001261090.1|DMEL, CG30047|NP_725141.1|DMEL, CG30049|NP_725142.3|DMEL, CG30043|NP_725143.1|DMEL, CG33012|NP_788335.2|DMEL, CG13160|NP_001260918.1|DMEL	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB
OG0000013	Hsc70-5|NP_523741.2|DMEL	LOC118467742|XP_035794443.1|AALB
OG0000013	Hsc70-3|NP_727563.1|DMEL	LOC118460642|XP_035780995.1|AALB
OG0000013	Hsc70-4|NP_524356.1|DMEL	LOC118461072|XP_035781858.1|AALB
OG0000013	Hsc70-1|NP_524063.1|DMEL	LOC118467364|XP_035793659.1|AALB
OG0000013	Hsp68|NP_524474.1|DMEL, Hsp70Bb|NP_524927.2|DMEL, Hsp70Bc|NP_650209.1|DMEL, Hsp70Ba|NP_731716.1|DMEL, Hsp70Bbb|NP_788663.1|DMEL, Hsp70Ab|NP_524798.2|DMEL, Hsp70Aa|NP_731651.1|DMEL	LOC118460879|XP_035781511.1|AALB, LOC118456300|XP_035772832.1|AALB, LOC118468925|XP_035796129.1|AALB
OG0000016	Act87E|NP_477091.1|DMEL, Act57B|NP_523800.1|DMEL	LOC118468980|XP_035796264.1|AALB
OG0000016	Arp1|NP_524331.2|DMEL	LOC118460590|XP_035780903.1|AALB
OG0000016	Act5C|NP_511052.1|DMEL	LOC118460360|XP_035780540.1|AALB
OG0000016	Act79B|NP_524210.1|DMEL	LOC118464140|XP_035787136.1|AALB, LOC118463980|XP_035786885.1|AALB
OG0000018	Cpr65Av|NP_729146.1|DMEL	LOC118463128|XP_035785378.1|AALB
OG0000019	CG6283|NP_651524.1|DMEL, CG17192|NP_651522.1|DMEL, CG17191|NP_651523.1|DMEL, CG6296|NP_651520.1|DMEL, CG6295|NP_651521.1|DMEL, CG6277|NP_651525.1|DMEL, CG6271|NP_651526.1|DMEL	LOC118467547|XP_035794039.1|AALB, LOC118456435|XP_035773086.1|AALB, LOC118467701|XP_035794377.1|AALB, LOC118457590|XP_035775173.1|AALB, LOC118460669|XP_035781036.1|AALB
OG0000020	rdog|NP_651678.1|DMEL, CG10505|NP_611571.2|DMEL	LOC118461362|XP_035782490.1|AALB
OG0000020	CG31792|NP_724148.2|DMEL, l_2_03659|NP_001260823.1|DMEL, CG7627|NP_001245943.1|DMEL, CG4562|NP_001262747.1|DMEL, Mrp4|NP_650086.2|DMEL, CG9270|NP_995741.2|DMEL, CG31793|NP_609930.4|DMEL	LOC118467629|XP_035794243.1|AALB
OG0000021	flw|NP_727418.1|DMEL	LOC118468558|XP_035795352.1|AALB
OG0000021	Pp1alpha-96A|NP_524484.1|DMEL, Pp1-87B|NP_524937.1|DMEL, Pp1-13C|NP_524921.1|DMEL	LOC118467519|XP_035793970.1|AALB
