Orthogroup	DSER.longest_only	DSUB.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC117889909|XP_034650326.1|DSUB
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC117893407|XP_034655897.1|DSUB
OG0000000	LOC110190738|XP_020817019.1|DSER	LOC117893701|XP_034656280.1|DSUB
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC117892287|XP_034654298.1|DSUB
OG0000000	LOC110186264|XP_020811030.1|DSER, LOC110186911|XP_020811890.1|DSER, LOC110186265|XP_020811031.1|DSER	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER	LOC117892705|XP_034655010.1|DSUB
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	LOC117899310|XP_034665127.1|DSUB, LOC117899320|XP_034665142.1|DSUB, LOC117899311|XP_034665128.1|DSUB
OG0000000	LOC110185901|XP_020810577.1|DSER, LOC110180637|XP_020803993.1|DSER	LOC117899382|XP_034665255.1|DSUB, LOC117899333|XP_034665160.1|DSUB, LOC117899381|XP_034665253.1|DSUB, LOC117899380|XP_034665252.1|DSUB
OG0000000	LOC110187976|XP_020813156.1|DSER	LOC117896020|XP_034659918.1|DSUB
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC117901385|XP_034668002.1|DSUB
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC117897324|XP_034661985.1|DSUB
OG0000000	LOC110177976|XP_020800628.1|DSER	LOC117898839|XP_034664405.1|DSUB
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC110179248|XP_020802366.1|DSER	LOC117891710|XP_034653195.1|DSUB
OG0000002	LOC110189677|XP_020815494.1|DSER	LOC117899951|XP_034665996.1|DSUB
OG0000002	LOC110184909|XP_020809214.1|DSER	LOC117900215|XP_034666390.1|DSUB
OG0000002	LOC110183312|XP_020807219.1|DSER, LOC110185879|XP_020810550.1|DSER	LOC117901078|XP_034667581.1|DSUB, LOC117900033|XP_034666112.1|DSUB, LOC117900034|XP_034666113.1|DSUB, LOC117901574|XP_034668263.1|DSUB
OG0000003	LOC110177692|XP_020800174.1|DSER, LOC110177680|XP_020800160.1|DSER	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC110177747|XP_020800264.1|DSER, LOC110177709|XP_020800207.1|DSER	LOC117890985|XP_034652025.1|DSUB
OG0000003	LOC110189782|XP_020815670.1|DSER	LOC117890142|XP_034650721.1|DSUB
OG0000003	LOC110177689|XP_020800171.1|DSER	LOC117890987|XP_034652029.1|DSUB
OG0000003	LOC110177694|XP_020800177.1|DSER, LOC110177698|XP_020800183.1|DSER	LOC117890986|XP_034652027.1|DSUB
OG0000003	LOC110177690|XP_020800172.1|DSER	LOC117890988|XP_034652030.1|DSUB
OG0000003	LOC110188514|XP_020813952.1|DSER	LOC117890991|XP_034652033.1|DSUB
OG0000003	LOC110176211|XP_020798142.1|DSER, LOC110176884|XP_020799030.1|DSER, LOC110176203|XP_020798127.1|DSER	LOC117890982|XP_034652022.1|DSUB
OG0000003	LOC110182737|XP_020806498.1|DSER	LOC117900241|XP_034666421.1|DSUB
OG0000005	LOC110182158|XP_020805820.1|DSER, LOC110182436|XP_020806130.1|DSER, LOC110182414|XP_020806110.1|DSER, LOC110180682|XP_020804025.1|DSER, LOC110180705|XP_020804044.1|DSER, LOC110181332|XP_020804709.1|DSER, LOC110180664|XP_020804014.1|DSER, LOC110182134|XP_020805803.1|DSER, LOC110180672|XP_020804018.1|DSER, LOC110182438|XP_020806132.1|DSER, LOC110182143|XP_020805813.1|DSER, LOC110180686|XP_020804030.1|DSER, LOC110182160|XP_020805822.1|DSER, LOC110182156|XP_020805819.1|DSER, LOC110180660|XP_020804010.1|DSER, LOC110182425|XP_020806120.1|DSER, LOC110182142|XP_020805812.1|DSER, LOC110180704|XP_020804042.1|DSER, LOC110180687|XP_020804031.1|DSER, LOC110180706|XP_020804045.1|DSER, LOC110180683|XP_020804027.1|DSER, LOC110182159|XP_020805821.1|DSER, LOC110182412|XP_020806108.1|DSER, LOC110182419|XP_020806115.1|DSER	LOC117901442|XP_034668076.1|DSUB
OG0000005	LOC110182167|XP_020805828.1|DSER	LOC117900068|XP_034666166.1|DSUB
OG0000006	LOC110182161|XP_020805824.1|DSER, LOC110185948|XP_020810624.1|DSER	LOC117901441|XP_034668075.1|DSUB
OG0000006	LOC110182132|XP_020805800.1|DSER	LOC117902681|XP_034670104.1|DSUB
OG0000007	LOC110184726|XP_020809013.1|DSER	LOC117894589|XP_034657628.1|DSUB
OG0000007	LOC110182363|XP_020806064.1|DSER	LOC117900834|XP_034667236.1|DSUB
OG0000007	LOC110189366|XP_020815075.1|DSER, LOC110186676|XP_020811602.1|DSER, LOC110186433|XP_020811275.1|DSER	LOC117897982|XP_034662985.1|DSUB
OG0000007	LOC110182364|XP_020806065.1|DSER	LOC117900835|XP_034667237.1|DSUB
OG0000007	LOC110190669|XP_020816933.1|DSER	LOC117894709|XP_034657781.1|DSUB
OG0000007	LOC110182358|XP_020806056.1|DSER, LOC110182357|XP_020806055.1|DSER, LOC110182316|XP_020806004.1|DSER	LOC117901609|XP_034668319.1|DSUB
OG0000007	LOC110184731|XP_020809018.1|DSER	LOC117894591|XP_034657631.1|DSUB
OG0000007	LOC110184732|XP_020809019.1|DSER	LOC117894593|XP_034657634.1|DSUB
OG0000008	LOC110188534|XP_020813940.1|DSER	LOC117896362|XP_034660529.1|DSUB
OG0000008	LOC110183610|XP_020807586.1|DSER	LOC117895169|XP_034658523.1|DSUB
OG0000008	LOC110183609|XP_020807585.1|DSER	LOC117895168|XP_034658522.1|DSUB
OG0000008	LOC110183997|XP_020808013.1|DSER	LOC117902083|XP_034669067.1|DSUB
OG0000008	LOC110183613|XP_020807591.1|DSER	LOC117895171|XP_034658525.1|DSUB
OG0000008	LOC110191723|XP_020818300.1|DSER, LOC110191724|XP_020818301.1|DSER	LOC117898633|XP_034664086.1|DSUB, LOC117898632|XP_034664084.1|DSUB
OG0000008	LOC110191819|XP_020818443.1|DSER	LOC117898640|XP_034664094.1|DSUB
OG0000008	LOC110191725|XP_020818302.1|DSER	LOC117898631|XP_034664083.1|DSUB
OG0000008	LOC110191899|XP_020818544.1|DSER	LOC117898634|XP_034664087.1|DSUB
OG0000008	LOC110191820|XP_020818444.1|DSER	LOC117898636|XP_034664090.1|DSUB
OG0000009	LOC110188739|XP_020814232.1|DSER	LOC117896628|XP_034660961.1|DSUB
OG0000009	LOC110188430|XP_020813815.1|DSER	LOC117898287|XP_034663434.1|DSUB
OG0000009	LOC110186309|XP_020811090.1|DSER	LOC117899151|XP_034664850.1|DSUB
OG0000009	LOC110188741|XP_020814234.1|DSER, LOC110188740|XP_020814233.1|DSER	LOC117896627|XP_034660960.1|DSUB, LOC117896377|XP_034660546.1|DSUB
OG0000009	LOC110181065|XP_020804398.1|DSER	LOC117890282|XP_034650935.1|DSUB
OG0000009	LOC110176644|XP_020798730.1|DSER	LOC117896426|XP_034660636.1|DSUB
OG0000009	LOC110178269|XP_020800994.1|DSER	LOC117892376|XP_034654476.1|DSUB
OG0000009	LOC110189524|XP_020815309.1|DSER, LOC110189486|XP_020815231.1|DSER, LOC110178372|XP_020801168.1|DSER, LOC110178373|XP_020801169.1|DSER, LOC110178375|XP_020801170.1|DSER, LOC110189711|XP_020815559.1|DSER, LOC110178304|XP_020801053.1|DSER, LOC110178309|XP_020801061.1|DSER, LOC110178386|XP_020801181.1|DSER	LOC117892374|XP_034654475.1|DSUB
