Orthogroup	AALB.longest_only	DERE.longest_only
OG0000002	LOC118458183|XP_035776304.1|AALB	LOC6545786|XP_001973422.2|DERE
OG0000002	LOC118464239|XP_035787322.1|AALB, LOC118464498|XP_035787822.1|AALB, LOC118464237|XP_035787319.1|AALB, LOC118464238|XP_035787321.1|AALB, LOC118464651|XP_035788010.1|AALB, LOC118464903|XP_035788558.1|AALB, LOC118462019|XP_035783868.1|AALB	LOC6543212|XP_026834323.1|DERE
OG0000006	LOC118465125|XP_035788959.1|AALB	LOC113564783|XP_026839415.1|DERE, LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE
OG0000006	LOC118464039|XP_035786989.1|AALB, LOC118467848|XP_035794647.1|AALB, LOC118464042|XP_035786991.1|AALB, LOC118465084|XP_035788881.1|AALB	LOC6548691|XP_001974010.1|DERE
OG0000008	LOC118461568|XP_035782948.1|AALB	LOC6553905|XP_001979522.1|DERE
OG0000008	LOC118460625|XP_035780966.1|AALB, LOC118460624|XP_035780965.1|AALB, LOC118460620|XP_035780962.1|AALB, LOC118460621|XP_035780963.1|AALB, LOC118460619|XP_035780959.1|AALB	LOC6543716|XP_001971859.1|DERE
OG0000008	LOC118460618|XP_035780957.1|AALB	LOC6543719|XP_001971862.1|DERE
OG0000008	LOC118459424|XP_035778662.1|AALB	LOC6541660|XP_001969797.3|DERE
OG0000008	LOC118460626|XP_035780968.1|AALB	LOC6543717|XP_001971860.3|DERE
OG0000009	LOC118457984|XP_035775939.1|AALB, LOC118459109|XP_035778066.1|AALB, LOC118464365|XP_035787590.1|AALB, LOC118463211|XP_035785546.1|AALB, LOC118460748|XP_035781232.1|AALB	LOC6554105|XP_001979501.1|DERE, LOC6554107|XP_001979503.1|DERE, LOC6554108|XP_001979504.1|DERE, LOC6554106|XP_001979502.1|DERE, LOC6548094|XP_001976600.1|DERE, LOC6553884|XP_001980458.1|DERE, LOC6546804|XP_001975914.1|DERE, LOC6546805|XP_001975915.1|DERE
OG0000010	LOC118465130|XP_035788962.1|AALB, LOC118464061|XP_035787001.1|AALB	LOC6556039|XP_015008608.2|DERE
OG0000010	LOC118464062|XP_035787002.1|AALB, LOC118467568|XP_035794088.1|AALB, LOC118465135|XP_035788966.1|AALB	LOC113564802|XP_026839451.1|DERE
OG0000010	LOC118464059|XP_035786999.1|AALB	LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE
OG0000010	LOC118465133|XP_035788965.1|AALB, LOC118465137|XP_035788967.1|AALB	LOC6556049|XP_001982909.3|DERE
OG0000012	LOC118463566|XP_035786097.1|AALB, LOC118462971|XP_035785031.1|AALB	LOC6547483|XP_015011854.1|DERE, LOC6547482|XP_001974798.1|DERE, LOC6547337|XP_015012184.1|DERE, LOC6547484|XP_026836781.1|DERE, LOC6547486|XP_001974802.1|DERE, LOC6547485|XP_015012185.1|DERE, LOC6546830|XP_026836193.1|DERE, LOC6546691|XP_001975936.3|DERE, LOC6546690|XP_001975935.1|DERE, LOC26526953|XP_026835974.1|DERE, LOC6546689|XP_001975934.2|DERE, LOC6546688|XP_001975933.1|DERE
OG0000013	LOC118467742|XP_035794443.1|AALB	LOC6549620|XP_001975657.1|DERE
OG0000013	LOC118460642|XP_035780995.1|AALB	LOC6551261|XP_026838843.1|DERE
OG0000013	LOC118461072|XP_035781858.1|AALB	LOC6553110|XP_001980016.1|DERE
