Orthogroup	DYAK.longest_only	DBUS.longest_only
OG0000000	LOC6532541|XP_002093287.2|DYAK	LOC108598118|XP_017840224.1|DBUS
OG0000000	LOC120321802|XP_039231662.1|DYAK, LOC26536205|XP_015052957.2|DYAK, LOC6529038|XP_002090069.2|DYAK	LOC108601266|XP_017844655.2|DBUS
OG0000000	LOC6532122|XP_002092898.3|DYAK	LOC108594849|XP_017835476.1|DBUS
OG0000000	LOC6532052|XP_039228287.1|DYAK, LOC6532051|XP_039228285.1|DYAK, LOC6532054|XP_039228543.1|DYAK, LOC6530976|XP_002091814.2|DYAK, LOC6532053|XP_002092830.1|DYAK, LOC6532050|XP_002092827.2|DYAK, LOC6532049|XP_002092826.1|DYAK	LOC108604182|XP_017849014.1|DBUS
OG0000000	LOC6538114|XP_002098649.1|DYAK	LOC108601273|XP_017844662.1|DBUS
OG0000002	LOC6531354|XP_002092157.1|DYAK	LOC108595842|XP_033149063.1|DBUS, LOC108595765|XP_017836544.1|DBUS, LOC108594872|XP_033150920.1|DBUS, LOC108595434|XP_017836154.1|DBUS, LOC108595433|XP_017836153.1|DBUS, LOC108594873|XP_017835500.1|DBUS
OG0000002	LOC6530517|XP_002091432.3|DYAK	LOC108596934|XP_017839382.1|DBUS
OG0000002	LOC6530518|XP_002091433.1|DYAK	LOC108596935|XP_017838603.1|DBUS
OG0000002	LOC26535670|XP_015050876.2|DYAK	LOC108599003|XP_033149617.1|DBUS
OG0000002	LOC6526775|XP_002087878.2|DYAK	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS
OG0000002	LOC6527104|XP_002088197.3|DYAK	LOC108596077|XP_017836984.1|DBUS, LOC108594890|XP_017835517.1|DBUS, LOC108601590|XP_017844978.1|DBUS, LOC108608150|XP_017854886.2|DBUS, LOC108605447|XP_017850658.1|DBUS, LOC108606977|XP_017853039.2|DBUS, LOC108608497|XP_017855382.1|DBUS, LOC108604221|XP_017849078.1|DBUS, LOC108596085|XP_017836995.1|DBUS
OG0000003	LOC6530460|XP_002091376.2|DYAK, LOC6530462|XP_002091378.1|DYAK	LOC108597513|XP_017838772.1|DBUS
OG0000003	LOC6527640|XP_039226547.1|DYAK, LOC6528325|XP_002089378.1|DYAK	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS
OG0000003	LOC6530456|XP_002091372.1|DYAK	LOC117134628|XP_033150902.1|DBUS
OG0000003	LOC6528608|XP_002089651.1|DYAK	LOC108594852|XP_033148959.1|DBUS
OG0000003	LOC6528606|XP_002089649.1|DYAK, LOC120320435|XP_002089650.1|DYAK	LOC108597142|XP_017839023.1|DBUS
OG0000003	LOC6528128|XP_002089195.3|DYAK	LOC108608148|XP_017854884.1|DBUS
OG0000007	LOC6533142|XP_002093868.1|DYAK	LOC108598463|XP_017840596.2|DBUS
OG0000007	LOC6533140|XP_002093866.1|DYAK, LOC6533138|XP_002093864.1|DYAK, LOC6533139|XP_002093865.1|DYAK	LOC108598398|XP_017840509.2|DBUS, LOC108598382|XP_017840491.1|DBUS
OG0000007	LOC6532723|XP_002093465.1|DYAK, LOC6532724|XP_002093466.1|DYAK, LOC6527620|XP_002088708.1|DYAK	LOC117134784|XP_033149441.1|DBUS
OG0000008	LOC26536044|XP_039231154.1|DYAK	LOC108602201|XP_017845739.1|DBUS
OG0000008	LOC6532930|XP_002093666.1|DYAK	LOC108599783|XP_017842330.1|DBUS
OG0000008	LOC6527319|XP_002088412.1|DYAK	LOC108597994|XP_017840102.1|DBUS
OG0000008	LOC6536139|XP_015047584.1|DYAK, LOC6536138|XP_039231652.1|DYAK	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS
OG0000008	LOC6536143|XP_002096744.1|DYAK	LOC108601548|XP_017844935.1|DBUS
OG0000008	LOC6536140|XP_002096741.1|DYAK	LOC108604418|XP_033150077.1|DBUS
OG0000008	LOC6536142|XP_002096743.1|DYAK	LOC108602531|XP_017846153.1|DBUS
OG0000008	LOC6536144|XP_002096745.1|DYAK	LOC108602012|XP_017845504.1|DBUS
OG0000009	LOC6535723|XP_002096349.3|DYAK	LOC108604020|XP_017848755.1|DBUS
OG0000009	LOC6535721|XP_002096347.1|DYAK	LOC108601959|XP_017845435.1|DBUS
OG0000009	LOC6535720|XP_002096346.1|DYAK, LOC6535722|XP_002096348.1|DYAK	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS
OG0000009	LOC6533117|XP_002093843.1|DYAK, LOC6533118|XP_002093844.1|DYAK	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS
OG0000009	LOC6532044|XP_002092821.1|DYAK	LOC108595579|XP_017836330.1|DBUS
OG0000009	LOC6530109|XP_002091055.1|DYAK	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS
OG0000010	LOC120322215|XP_039233206.1|DYAK, LOC120321202|XP_039229121.1|DYAK, LOC120321245|XP_039229342.1|DYAK, LOC120322219|XP_039233209.1|DYAK	LOC108603408|XP_017847686.1|DBUS
OG0000010	LOC6537287|XP_002097845.1|DYAK, LOC6539220|XP_002086120.1|DYAK, LOC120322213|XP_039233204.1|DYAK, LOC120322214|XP_039233205.1|DYAK, LOC120322218|XP_039233208.1|DYAK	LOC117134729|XP_033149263.1|DBUS
OG0000011	LOC6536394|XP_002096976.1|DYAK	LOC108599014|XP_017841282.1|DBUS
OG0000012	LOC6530957|XP_002091795.1|DYAK	LOC108595899|XP_017836677.1|DBUS
OG0000012	LOC6530958|XP_002091796.1|DYAK	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS
OG0000012	LOC6530959|XP_015051811.1|DYAK	LOC108595898|XP_017836676.1|DBUS
OG0000012	LOC6530956|XP_002091794.1|DYAK	LOC108595900|XP_017836679.1|DBUS
OG0000012	LOC6530954|XP_002091792.1|DYAK, LOC6530955|XP_002091793.1|DYAK	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS
OG0000012	LOC6530135|XP_002091081.1|DYAK, LOC6530133|XP_002091079.2|DYAK, LOC6530132|XP_002091078.1|DYAK, LOC6530131|XP_002091077.2|DYAK	LOC108597255|XP_017839199.1|DBUS
OG0000012	LOC6530130|XP_002091076.1|DYAK, LOC6530129|XP_002091075.1|DYAK	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS
OG0000013	LOC6530359|XP_002091285.1|DYAK	LOC108596692|XP_017838201.1|DBUS
OG0000013	LOC6525539|XP_002101374.1|DYAK	LOC108606235|XP_017851657.1|DBUS
OG0000013	LOC6537221|XP_002097779.1|DYAK	LOC108603181|XP_017847228.1|DBUS
OG0000013	LOC6534055|XP_002094741.1|DYAK	LOC108599948|XP_017842685.1|DBUS
OG0000013	LOC6536907|XP_002097476.1|DYAK	LOC108603387|XP_017847647.1|DBUS
OG0000013	LOC6536836|XP_039232142.1|DYAK, LOC6536837|XP_039232350.1|DYAK, LOC6536733|XP_039231378.1|DYAK, LOC26536199|XP_039231379.1|DYAK, LOC26535865|XP_039231377.1|DYAK	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS
OG0000014	LOC120321092|XP_039228481.1|DYAK	LOC117134672|XP_033148999.1|DBUS, LOC117134669|XP_033148968.1|DBUS
