Orthogroup	DBUS.longest_only	DPSE.longest_only
OG0000000	LOC108601266|XP_017844655.2|DBUS	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE, LOC6898698|XP_015040315.2|DPSE
OG0000000	LOC108594849|XP_017835476.1|DBUS	LOC4804691|XP_001361210.2|DPSE
OG0000000	LOC108604182|XP_017849014.1|DBUS	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE, LOC6896813|XP_033232366.1|DPSE
OG0000000	LOC108601273|XP_017844662.1|DBUS	LOC4801605|XP_001358672.2|DPSE
OG0000001	LOC108603731|XP_033150745.1|DBUS	LOC117184646|XP_033239083.1|DPSE, LOC117183632|XP_033234091.1|DPSE, LOC117184885|XP_033239875.1|DPSE, LOC117185599|XP_033241627.1|DPSE, LOC117184570|XP_033238730.1|DPSE, LOC117184630|XP_033239023.1|DPSE, LOC117183489|XP_033233200.1|DPSE, LOC117183635|XP_033234095.1|DPSE, LOC117185173|XP_033241307.1|DPSE, LOC117184661|XP_033239137.1|DPSE, LOC117184561|XP_033238671.1|DPSE, LOC117184560|XP_033238670.1|DPSE
OG0000002	LOC108596934|XP_017839382.1|DBUS	LOC6899110|XP_033234698.1|DPSE
OG0000002	LOC108596935|XP_017838603.1|DBUS	LOC6899111|XP_002139028.1|DPSE
OG0000002	LOC108599003|XP_033149617.1|DBUS	LOC6900542|XP_033238667.1|DPSE
OG0000002	LOC108594693|XP_017835323.1|DBUS, LOC108595763|XP_017836542.1|DBUS, LOC108597008|XP_017838774.1|DBUS, LOC108594696|XP_017835326.1|DBUS	LOC6902531|XP_002133071.3|DPSE
OG0000003	LOC108597513|XP_017838772.1|DBUS	LOC4804983|XP_001361457.3|DPSE
OG0000003	LOC108594616|XP_033149091.1|DBUS, LOC117134638|XP_033149093.1|DBUS	LOC4803409|XP_001360156.1|DPSE
OG0000003	LOC117134628|XP_033150902.1|DBUS	LOC4804975|XP_001361450.3|DPSE
OG0000003	LOC108594852|XP_033148959.1|DBUS	LOC4804978|XP_001361452.2|DPSE
OG0000003	LOC108597142|XP_017839023.1|DBUS	LOC26533075|XP_033237686.1|DPSE, LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE
OG0000003	LOC108608148|XP_017854884.1|DBUS	LOC6902590|XP_002133118.2|DPSE
OG0000007	LOC108598463|XP_017840596.2|DBUS	LOC5495512|XP_001353851.2|DPSE
OG0000007	LOC117134784|XP_033149441.1|DBUS	LOC4813941|XP_001354103.1|DPSE, LOC4816998|XP_001356721.3|DPSE
OG0000008	LOC108602201|XP_017845739.1|DBUS	LOC4803265|XP_001360036.3|DPSE
OG0000008	LOC108599783|XP_017842330.1|DBUS	LOC6900304|XP_002135626.2|DPSE
OG0000008	LOC108597994|XP_017840102.1|DBUS	LOC6903158|XP_002132860.2|DPSE
OG0000008	LOC108604415|XP_017849370.2|DBUS, LOC108604417|XP_017849372.2|DBUS	LOC6897538|XP_002137683.2|DPSE, LOC4802264|XP_001359219.2|DPSE
OG0000008	LOC108601548|XP_017844935.1|DBUS	LOC4802270|XP_033239768.1|DPSE
OG0000008	LOC108601547|XP_017844934.2|DBUS, LOC108602371|XP_017845962.1|DBUS	LOC4802265|XP_001359220.2|DPSE
OG0000008	LOC108604418|XP_033150077.1|DBUS	LOC4802267|XP_001359221.4|DPSE
OG0000008	LOC108602531|XP_017846153.1|DBUS	LOC117184116|XP_033236234.1|DPSE
OG0000008	LOC108602012|XP_017845504.1|DBUS	LOC4802269|XP_001359223.2|DPSE
OG0000009	LOC108604020|XP_017848755.1|DBUS	LOC6897995|XP_002138092.2|DPSE
OG0000009	LOC108601959|XP_017845435.1|DBUS	LOC4803283|XP_001360048.3|DPSE
OG0000009	LOC117134845|XP_033149872.1|DBUS, LOC108601840|XP_017845277.2|DBUS, LOC108600305|XP_017843283.1|DBUS	LOC6897994|XP_002138091.2|DPSE, LOC4803281|XP_001360047.2|DPSE
OG0000009	LOC108595303|XP_033149763.1|DBUS, LOC108595272|XP_017835977.1|DBUS, LOC108595263|XP_033149771.1|DBUS	LOC6897633|XP_002137776.2|DPSE, LOC6897632|XP_002137775.2|DPSE, LOC6897630|XP_002137773.2|DPSE, LOC6897583|XP_002137728.2|DPSE
OG0000009	LOC108595579|XP_017836330.1|DBUS	LOC4805603|XP_001361980.2|DPSE
OG0000009	LOC108605315|XP_017850474.2|DBUS, LOC108605314|XP_017850472.1|DBUS, LOC108595103|XP_017835752.1|DBUS	LOC4804281|XP_001360862.1|DPSE
OG0000010	LOC108603408|XP_017847686.1|DBUS	LOC117185617|XP_033241647.1|DPSE, LOC117185619|XP_033241650.1|DPSE, LOC117183603|XP_033233990.1|DPSE
OG0000010	LOC117134729|XP_033149263.1|DBUS	LOC117185618|XP_033241648.1|DPSE, LOC117185640|XP_033241727.1|DPSE
OG0000011	LOC108599014|XP_017841282.1|DBUS	LOC6897605|XP_002137750.2|DPSE
OG0000012	LOC108595899|XP_017836677.1|DBUS	LOC4804261|XP_015039777.2|DPSE
OG0000012	LOC108594927|XP_017835552.1|DBUS, LOC108594926|XP_017835551.1|DBUS	LOC4804255|XP_001360842.2|DPSE
OG0000012	LOC108595898|XP_017836676.1|DBUS	LOC4804254|XP_015039772.2|DPSE
OG0000012	LOC108595900|XP_017836679.1|DBUS	LOC6898436|XP_033233736.1|DPSE
OG0000012	LOC108594923|XP_033149125.1|DBUS, LOC108594922|XP_033149124.1|DBUS, LOC108594925|XP_033149126.1|DBUS, LOC108594924|XP_017835549.1|DBUS, LOC108595907|XP_033149147.1|DBUS	LOC26534343|XP_015039779.2|DPSE, LOC4804257|XP_033234499.1|DPSE, LOC6898437|XP_015039781.2|DPSE, LOC4804256|XP_015039778.2|DPSE
OG0000012	LOC108597255|XP_017839199.1|DBUS	LOC4804263|XP_001360847.3|DPSE, LOC6898438|XP_002138480.2|DPSE, LOC4804265|XP_001360848.3|DPSE
OG0000012	LOC108595402|XP_017836117.1|DBUS, LOC108597254|XP_017839197.1|DBUS	LOC6898439|XP_002138481.3|DPSE, LOC4804266|XP_033235099.1|DPSE
OG0000013	LOC108596692|XP_017838201.1|DBUS	LOC4805483|XP_001361878.1|DPSE
OG0000013	LOC108606235|XP_017851657.1|DBUS	LOC4815139|XP_001354758.1|DPSE
OG0000013	LOC108603181|XP_017847228.1|DBUS	LOC6897906|XP_002138008.2|DPSE, LOC4803092|XP_001359891.1|DPSE
OG0000013	LOC108599948|XP_017842685.1|DBUS	LOC6900589|XP_002134962.1|DPSE
OG0000013	LOC108603387|XP_017847647.1|DBUS	LOC4801399|XP_001358499.2|DPSE
OG0000013	LOC108602825|XP_017846548.1|DBUS, LOC108603356|XP_033149948.1|DBUS, LOC108602826|XP_017846549.2|DBUS	LOC6896929|XP_033238114.1|DPSE, LOC4800844|XP_033238105.1|DPSE
