Orthogroup	DFIC.longest_only	DSUB.longest_only
OG0000000	LOC108096481|XP_017053581.1|DFIC	LOC117892442|XP_034654575.1|DSUB, LOC117892443|XP_034654576.1|DSUB
OG0000000	LOC108098759|XP_017057380.1|DFIC	LOC117899172|XP_034664922.1|DSUB, LOC117897680|XP_034662581.1|DSUB
OG0000000	LOC108089295|XP_017042962.1|DFIC	LOC117893407|XP_034655897.1|DSUB
OG0000000	LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC	LOC117893403|XP_034655894.1|DSUB
OG0000000	LOC108086783|XP_017039312.1|DFIC, LOC108098802|XP_017057433.1|DFIC	LOC117898546|XP_034663915.1|DSUB, LOC117898534|XP_034663895.1|DSUB
OG0000000	LOC108086784|XP_017039313.1|DFIC	LOC117892705|XP_034655010.1|DSUB
OG0000000	LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC	LOC117892569|XP_034654782.1|DSUB
OG0000000	LOC108093605|XP_017049220.1|DFIC	LOC117899299|XP_034665108.1|DSUB
OG0000000	LOC108099241|XP_017058101.1|DFIC	LOC117896020|XP_034659918.1|DSUB
OG0000000	LOC108090590|XP_017044830.1|DFIC	LOC117901385|XP_034668002.1|DSUB
OG0000000	LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC	LOC117889755|XP_034650092.1|DSUB, LOC117891648|XP_034653088.1|DSUB, LOC117892559|XP_034654769.1|DSUB
OG0000000	LOC108097696|XP_017055657.1|DFIC	LOC117897324|XP_034661985.1|DSUB
OG0000000	LOC108091368|XP_017046009.1|DFIC	LOC117898800|XP_034664334.1|DSUB, LOC117898812|XP_034664357.1|DSUB
OG0000001	LOC108094352|XP_017050381.1|DFIC, LOC108098394|XP_017056755.1|DFIC	LOC117902179|XP_034669231.1|DSUB
OG0000002	LOC108090768|XP_017045096.1|DFIC	LOC117891991|XP_034653760.1|DSUB
OG0000002	LOC108090769|XP_017045098.1|DFIC	LOC117891990|XP_034653758.1|DSUB
OG0000002	LOC108092580|XP_017047713.1|DFIC	LOC117900215|XP_034666390.1|DSUB
OG0000003	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	LOC117890983|XP_034652023.1|DSUB
OG0000003	LOC108087705|XP_017040710.1|DFIC	LOC117890985|XP_034652025.1|DSUB
OG0000003	LOC108094289|XP_017050276.1|DFIC	LOC117890142|XP_034650721.1|DSUB
