Orthogroup	DMEL.longest_only	DELE.longest_only
OG0000000	CG33700|NP_001027121.3|DMEL	LOC108150093|XP_017133546.1|DELE
OG0000000	CG33752|NP_001027409.1|DMEL	LOC108143366|XP_017123177.1|DELE
OG0000000	CG33679|NP_001027273.1|DMEL	LOC108139044|XP_017117150.1|DELE
OG0000000	CG33784|NP_001027169.1|DMEL, CG33783|NP_001027168.1|DMEL	LOC108135022|XP_017111043.1|DELE
OG0000000	CG33687|NP_001027130.2|DMEL	LOC108145339|XP_017126217.1|DELE, LOC108145638|XP_017126662.1|DELE
OG0000000	CG33688|NP_001027131.1|DMEL	LOC108145787|XP_017126846.1|DELE
OG0000000	CG33689|NP_001027132.2|DMEL	LOC108145637|XP_017126661.1|DELE
OG0000000	CG12849|NP_611969.2|DMEL	LOC108144294|XP_017124470.1|DELE
OG0000000	CG33654|NP_001027165.1|DMEL	LOC108134556|XP_017110398.1|DELE
OG0000000	CG33920|NP_001027214.1|DMEL	LOC108136678|XP_017113490.1|DELE
OG0000000	CG33773|NP_001027213.1|DMEL	LOC108143736|XP_017123759.1|DELE
OG0000000	CG33723|NP_001027235.1|DMEL	LOC108141650|XP_017120608.1|DELE
OG0000000	CG33658|NP_001027209.1|DMEL	LOC108142885|XP_017122450.1|DELE
OG0000000	CG33798|NP_001027414.1|DMEL	LOC108145618|XP_017126643.1|DELE
OG0000000	CG33463|NP_995846.2|DMEL	LOC108141344|XP_017120143.1|DELE
OG0000000	CG33721|NP_001036743.1|DMEL	LOC108148604|XP_017131171.1|DELE
OG0000000	CG33454|NP_995887.1|DMEL	LOC108143648|XP_017123649.1|DELE
OG0000000	CG13590|NP_611919.1|DMEL, CG13589|NP_611918.2|DMEL	LOC108144147|XP_017124279.1|DELE
OG0000000	CG14518|NP_651653.2|DMEL	LOC108147230|XP_017129111.1|DELE
OG0000000	CG33795|NP_001027129.2|DMEL	LOC108145639|XP_017126664.1|DELE
OG0000000	CG33725|NP_001027125.1|DMEL	LOC108141030|XP_017119608.1|DELE
OG0000002	CG5550|NP_001246376.1|DMEL	LOC108144341|XP_017124554.1|DELE
OG0000002	CG30281|NP_726164.1|DMEL	LOC108143685|XP_017123691.1|DELE
OG0000002	CG30280|NP_611641.6|DMEL	LOC108143683|XP_017123690.1|DELE
OG0000002	CG7668|NP_649170.1|DMEL	LOC108147339|XP_017129256.1|DELE, LOC108142258|XP_017121466.1|DELE
OG0000003	Cyp6a9|NP_523748.2|DMEL	LOC108144467|XP_017124860.1|DELE
OG0000003	Cyp6a21|NP_611003.2|DMEL	LOC108144671|XP_017125217.1|DELE
OG0000003	Cyp6a8|NP_523749.2|DMEL	LOC108144670|XP_017125215.1|DELE
OG0000003	Cyp6a2|NP_523628.1|DMEL	LOC108145092|XP_017125773.1|DELE
OG0000003	Cyp6a23|NP_611000.2|DMEL, Cyp6a17|NP_652018.1|DMEL	LOC108144466|XP_017124858.1|DELE
OG0000003	Cyp6a19|NP_611001.2|DMEL	LOC108144468|XP_017124861.1|DELE
OG0000003	Cyp6a22|NP_652075.1|DMEL	LOC108144820|XP_017125440.1|DELE
OG0000003	Cyp6a13|NP_610390.1|DMEL	LOC108145352|XP_017126230.1|DELE
OG0000007	Jon65Aiv|NP_648012.1|DMEL	LOC108142600|XP_017122060.1|DELE
OG0000007	Jon65Aiii|NP_648013.1|DMEL	LOC108142393|XP_017121722.1|DELE
OG0000007	yip7|NP_523944.1|DMEL	LOC108142601|XP_017122061.1|DELE
OG0000007	CG10477|NP_648010.1|DMEL	LOC108142394|XP_017121723.1|DELE
OG0000007	Jon25Bii|NP_608882.1|DMEL	LOC108138840|XP_017116840.1|DELE, LOC108138841|XP_017116841.1|DELE
OG0000007	Jon99Fi|NP_651800.2|DMEL, Jon99Fii|NP_651799.1|DMEL	LOC108148444|XP_017130968.1|DELE
OG0000007	Jon25Bi|NP_001033873.1|DMEL	LOC108138842|XP_017116842.1|DELE
OG0000007	Jon25Biii|NP_608881.1|DMEL	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE
OG0000007	Jon65Aii|NP_648014.1|DMEL	LOC108142395|XP_017121724.1|DELE
OG0000007	Jon65Ai|NP_648015.1|DMEL	LOC108142396|XP_017121725.1|DELE
OG0000008	Cpr92A|NP_650813.2|DMEL	LOC108149642|XP_017132905.1|DELE
OG0000008	Cpr64Aa|NP_647872.1|DMEL	LOC108145869|XP_017126996.1|DELE
OG0000008	Cpr64Ad|NP_647875.1|DMEL	LOC108145867|XP_017126995.1|DELE
OG0000008	Crys|NP_476906.1|DMEL	LOC108138029|XP_017115491.1|DELE
OG0000008	Cpr64Ab|NP_647873.2|DMEL	LOC108145871|XP_017126998.1|DELE
OG0000008	Cpr5C|NP_572266.1|DMEL	LOC108149861|XP_017133230.1|DELE
OG0000008	Ccp84Aa|NP_649683.1|DMEL, Ccp84Ab|NP_649682.1|DMEL	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE
OG0000008	Ccp84Ad|NP_649680.1|DMEL	LOC108148323|XP_017130803.1|DELE
OG0000008	Ccp84Af|NP_649678.1|DMEL	LOC108148325|XP_017130805.1|DELE
OG0000008	Ccp84Ac|NP_649681.1|DMEL	LOC108148321|XP_017130801.1|DELE
OG0000008	Ccp84Ae|NP_649679.1|DMEL	LOC108148322|XP_017130802.1|DELE
OG0000008	Ccp84Ag|NP_649677.1|DMEL	LOC108148324|XP_017130804.1|DELE
OG0000009	CG11453|NP_650832.1|DMEL	LOC108137036|XP_017114024.1|DELE
OG0000009	CG11391|NP_650830.1|DMEL	LOC108136709|XP_017113523.1|DELE
OG0000009	CG11659|NP_650829.1|DMEL, CG6300|NP_650828.1|DMEL	LOC108136793|XP_017113657.1|DELE
OG0000009	CG11407|NP_650831.1|DMEL	LOC108137037|XP_017114025.1|DELE
OG0000009	CG5568|NP_647992.1|DMEL	LOC108147392|XP_017129317.1|DELE
OG0000009	CG18586|NP_647993.2|DMEL	LOC108147550|XP_017129624.1|DELE
OG0000009	CG4563|NP_611913.1|DMEL	LOC108144916|XP_017125568.1|DELE
OG0000009	CG4830|NP_650160.1|DMEL	LOC108135151|XP_017111261.1|DELE
