Orthogroup	DPSE.longest_only	SLEB.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE, LOC6898698|XP_015040315.2|DPSE, LOC117183397|XP_033233111.1|DPSE, LOC6896911|XP_033233104.1|DPSE, LOC6903758|XP_033233103.1|DPSE, LOC6896909|XP_033233091.1|DPSE, LOC117183375|XP_033233001.1|DPSE, LOC6896910|XP_033232943.1|DPSE, LOC117183356|XP_033232942.1|DPSE, LOC6896908|XP_033233090.1|DPSE, LOC6898695|XP_002138700.2|DPSE	LOC115634408|XP_030387964.1|SLEB
OG0000000	LOC117184977|XP_033240205.1|DPSE, LOC6900000|XP_002135366.3|DPSE, LOC6899999|XP_033240207.1|DPSE	LOC115633020|XP_030386204.1|SLEB, LOC115632610|XP_030385698.1|SLEB
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC115633303|XP_030386619.1|SLEB, LOC115622235|XP_030371992.1|SLEB
OG0000000	LOC6896672|XP_033232290.1|DPSE	LOC115625399|XP_030376298.1|SLEB
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE, LOC6896813|XP_033232366.1|DPSE	LOC115634371|XP_030387908.1|SLEB, LOC115634799|XP_030388567.1|SLEB
OG0000000	LOC4801605|XP_001358672.2|DPSE	LOC115632651|XP_030385741.1|SLEB
OG0000001	LOC117183762|XP_033234766.1|DPSE, LOC117184464|XP_033238070.1|DPSE, LOC117184939|XP_033240070.1|DPSE, LOC117183710|XP_033234454.1|DPSE	LOC115624586|XP_030375184.1|SLEB, LOC115630185|XP_030382615.1|SLEB, LOC115626197|XP_030377337.1|SLEB
OG0000001	LOC117184985|XP_033240229.1|DPSE	LOC115633656|XP_030386961.1|SLEB
OG0000001	LOC6899689|XP_015044449.2|DPSE, LOC117184831|XP_033239700.1|DPSE, LOC117185157|XP_033241160.1|DPSE, LOC117183639|XP_033234125.1|DPSE, LOC117184075|XP_033236063.1|DPSE, LOC6899580|XP_033235226.1|DPSE, LOC117184644|XP_033239077.1|DPSE, LOC117184038|XP_033235938.1|DPSE	LOC115629498|XP_030381837.1|SLEB, LOC115629967|XP_030382445.1|SLEB, LOC115626877|XP_030378247.1|SLEB, LOC115624479|XP_030375042.1|SLEB, LOC115627092|XP_030378504.1|SLEB, LOC115621673|XP_030371244.1|SLEB, LOC115628198|XP_030380053.1|SLEB
OG0000002	LOC6902531|XP_002133071.3|DPSE	LOC115633967|XP_030387348.1|SLEB
OG0000003	LOC4804983|XP_001361457.3|DPSE	LOC115620029|XP_030368994.1|SLEB
OG0000003	LOC4804982|XP_001361456.3|DPSE	LOC115620049|XP_030369030.1|SLEB
OG0000003	LOC4803409|XP_001360156.1|DPSE	LOC115634646|XP_030388364.1|SLEB
OG0000003	LOC26533075|XP_033237686.1|DPSE, LOC117183541|XP_033233567.1|DPSE, LOC4804974|XP_001361449.3|DPSE	LOC115619981|XP_030368881.1|SLEB
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC115628616|XP_030380660.1|SLEB
OG0000005	LOC117183560|XP_033233682.1|DPSE	LOC115630321|XP_030382720.1|SLEB
OG0000005	LOC6901707|XP_002134375.1|DPSE, LOC6901701|XP_015042049.1|DPSE	LOC115630139|XP_030382607.1|SLEB, LOC115633501|XP_030386823.1|SLEB
OG0000005	LOC117183562|XP_033233689.1|DPSE	LOC115630284|XP_030382680.1|SLEB
OG0000006	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE	LOC115630364|XP_030382757.1|SLEB
OG0000006	LOC117183581|XP_033233838.1|DPSE	LOC115630304|XP_030382702.1|SLEB, LOC115630265|XP_030382658.1|SLEB, LOC115630313|XP_030382711.1|SLEB, LOC115630278|XP_030382673.1|SLEB, LOC115633465|XP_030386780.1|SLEB, LOC115630135|XP_030382603.1|SLEB, LOC115630314|XP_030382712.1|SLEB, LOC115630280|XP_030382676.1|SLEB
OG0000006	LOC117185601|XP_033241629.1|DPSE	LOC115630267|XP_030382661.1|SLEB
OG0000007	LOC6900428|XP_002134819.1|DPSE	LOC115633152|XP_030386421.1|SLEB
OG0000007	LOC5495512|XP_001353851.2|DPSE	LOC115633153|XP_030386422.1|SLEB
OG0000007	LOC5495507|XP_001353849.1|DPSE	LOC115632100|XP_030384941.1|SLEB, LOC115633104|XP_030386347.1|SLEB
OG0000007	LOC4805058|XP_001361522.1|DPSE	LOC115633111|XP_030386356.1|SLEB
OG0000007	LOC4816610|XP_001355938.2|DPSE	LOC115632110|XP_030384963.1|SLEB, LOC115633112|XP_030386357.1|SLEB, LOC115632102|XP_030384943.1|SLEB
OG0000007	LOC4813941|XP_001354103.1|DPSE, LOC4816998|XP_001356721.3|DPSE	LOC115633114|XP_030386359.1|SLEB, LOC115632178|XP_030385072.1|SLEB
OG0000007	LOC4813497|XP_001353852.2|DPSE, LOC4813468|XP_001353840.2|DPSE	LOC115630750|XP_030383265.1|SLEB
