Orthogroup	DSUP.longest_only	DERE.longest_only
OG0000000	LOC119555218|XP_037722409.1|DSUP, LOC119555236|XP_037722444.1|DSUP	LOC6545981|XP_001972189.2|DERE
OG0000000	LOC119548573|XP_037711818.1|DSUP	LOC6541982|XP_001968936.1|DERE
OG0000000	LOC119560985|XP_037730690.1|DSUP	LOC6552159|XP_001980711.1|DERE
OG0000000	LOC119555358|XP_037722624.1|DSUP	LOC6544810|XP_026832924.1|DERE
OG0000000	LOC119555354|XP_037722619.1|DSUP	LOC6544813|XP_001973192.2|DERE
OG0000000	LOC119552809|XP_037718575.1|DSUP	LOC6544812|XP_001973191.2|DERE
OG0000000	LOC119549854|XP_037714077.1|DSUP	LOC6548572|XP_026836220.1|DERE
OG0000000	LOC119551506|XP_037716808.1|DSUP	LOC113564053|XP_026834217.1|DERE, LOC6542575|XP_001970850.2|DERE
OG0000000	LOC119554400|XP_037721217.1|DSUP	LOC6554924|XP_001981129.1|DERE, LOC26526170|XP_015009367.1|DERE, LOC26526272|XP_015009372.1|DERE
OG0000000	LOC119546175|XP_037708225.1|DSUP	LOC6541136|XP_001969303.1|DERE
OG0000000	LOC119549570|XP_037713651.1|DSUP	LOC6548870|XP_001975456.3|DERE
OG0000000	LOC119555097|XP_037722243.1|DSUP	LOC6543824|XP_001971874.2|DERE, LOC6543825|XP_015013308.1|DERE, LOC6542210|XP_026835022.1|DERE, LOC6550545|XP_001977977.2|DERE, LOC6550544|XP_001977976.1|DERE
OG0000000	LOC119548144|XP_037711170.1|DSUP	LOC6542275|XP_001968276.1|DERE, LOC6541255|XP_001968278.2|DERE
OG0000000	LOC119546339|XP_037708468.1|DSUP	LOC6549399|XP_001974447.1|DERE
OG0000000	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP	LOC6548101|XP_026836632.1|DERE, LOC6548067|XP_026836488.1|DERE, LOC6548068|XP_026836489.1|DERE, LOC6548100|XP_026836607.1|DERE, LOC26526996|XP_026836515.1|DERE, LOC6548099|XP_001976605.1|DERE
OG0000000	LOC119563146|XP_037732330.1|DSUP	LOC26526070|XP_026831673.1|DERE
OG0000000	LOC119560562|XP_037730007.1|DSUP	LOC6551915|XP_001978850.1|DERE
OG0000000	LOC119552808|XP_037718574.1|DSUP	LOC6545319|XP_001973245.1|DERE, LOC6544808|XP_001973187.1|DERE
OG0000002	LOC119550810|XP_037715678.1|DSUP	LOC6548491|XP_001975304.1|DERE
OG0000002	LOC119551092|XP_037716195.1|DSUP	LOC6548172|XP_001975155.3|DERE
OG0000002	LOC119551091|XP_037716194.1|DSUP	LOC6548171|XP_001975154.2|DERE
OG0000002	LOC119555504|XP_037722850.1|DSUP, LOC119554594|XP_037721506.1|DSUP, LOC119550921|XP_037715861.1|DSUP, LOC119546721|XP_037709135.1|DSUP, LOC119554631|XP_037721554.1|DSUP, LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP	LOC6545786|XP_001973422.2|DERE
OG0000002	LOC119548338|XP_037711471.1|DSUP, LOC119547562|XP_037710391.1|DSUP	LOC6541336|XP_001968621.3|DERE
OG0000003	LOC119549193|XP_037712950.1|DSUP	LOC6549103|XP_001975568.1|DERE
OG0000003	LOC119549691|XP_037713842.1|DSUP	LOC6548983|XP_001975566.1|DERE
OG0000003	LOC119553060|XP_037719113.1|DSUP	LOC6554587|XP_001981543.2|DERE
OG0000003	LOC119549692|XP_037713843.1|DSUP	LOC6548982|XP_001975565.1|DERE
OG0000003	LOC119548975|XP_037712493.1|DSUP	LOC6541170|XP_001970725.1|DERE
OG0000003	LOC119549192|XP_037712949.1|DSUP	LOC26526619|XP_015012824.1|DERE
OG0000003	LOC119549585|XP_037713671.1|DSUP	LOC6549104|XP_001975569.3|DERE
OG0000003	LOC119550953|XP_037715907.1|DSUP	LOC6549102|XP_001975567.1|DERE
OG0000003	LOC119549586|XP_037713672.1|DSUP	LOC6549105|XP_001975570.1|DERE
OG0000003	LOC119551761|XP_037717216.1|DSUP	LOC6541262|XP_001970448.1|DERE
OG0000003	LOC119551759|XP_037717214.1|DSUP	LOC6543237|XP_001970449.1|DERE
OG0000003	LOC119546510|XP_037708761.1|DSUP	LOC6543184|XP_001968830.1|DERE
OG0000004	LOC119559172|XP_037728161.1|DSUP, LOC119561436|XP_037731018.1|DSUP, LOC119561507|XP_037731086.1|DSUP, LOC119547987|XP_037710970.1|DSUP, LOC119547988|XP_037710972.1|DSUP, LOC119546069|XP_037708068.1|DSUP, LOC119561521|XP_037731100.1|DSUP, LOC119561518|XP_037731097.1|DSUP, LOC119546076|XP_037708081.1|DSUP, LOC119561441|XP_037731022.1|DSUP, LOC119559251|XP_037728250.1|DSUP, LOC119561442|XP_037731023.1|DSUP, LOC119561429|XP_037731011.1|DSUP, LOC119559242|XP_037728241.1|DSUP, LOC119559173|XP_037728162.1|DSUP, LOC119559174|XP_037728163.1|DSUP, LOC119561440|XP_037731020.1|DSUP, LOC119559179|XP_037728167.1|DSUP, LOC119546618|XP_037708984.1|DSUP, LOC119561433|XP_037731015.1|DSUP, LOC119559178|XP_037728166.1|DSUP, LOC119547940|XP_037710915.1|DSUP, LOC119561511|XP_037731090.1|DSUP, LOC119548245|XP_037711313.1|DSUP, LOC119559232|XP_037728231.1|DSUP, LOC119561428|XP_037731010.1|DSUP, LOC119561434|XP_037731016.1|DSUP, LOC119559226|XP_037728224.1|DSUP, LOC119561431|XP_037731013.1|DSUP, LOC119561435|XP_037731017.1|DSUP, LOC119559225|XP_037728223.1|DSUP, LOC119559219|XP_037728218.1|DSUP, LOC119561432|XP_037731014.1|DSUP, LOC119559218|XP_037728217.1|DSUP, LOC119547941|XP_037710916.1|DSUP, LOC119561427|XP_037731009.1|DSUP, LOC119559175|XP_037728164.1|DSUP, LOC119559177|XP_037728165.1|DSUP, LOC119561512|XP_037731091.1|DSUP, LOC119559231|XP_037728230.1|DSUP, LOC119546960|XP_037709531.1|DSUP, LOC119559171|XP_037728160.1|DSUP, LOC119561438|XP_037731019.1|DSUP, LOC119561510|XP_037731089.1|DSUP	LOC113564789|XP_026839439.1|DERE, LOC113564794|XP_026839442.1|DERE, LOC113564793|XP_026839441.1|DERE, LOC113564762|XP_026839397.1|DERE, LOC113564780|XP_026839412.1|DERE, LOC113564788|XP_026839438.1|DERE, LOC113564798|XP_026839446.1|DERE, LOC113564782|XP_026839414.1|DERE, LOC113564781|XP_026839413.1|DERE
OG0000005	LOC119561464|XP_037731045.1|DSUP	LOC6548712|XP_001974001.2|DERE, LOC6556359|XP_001983142.2|DERE
OG0000005	LOC119546625|XP_037708992.1|DSUP	LOC6556058|XP_001982915.1|DERE
OG0000005	LOC119547945|XP_037710922.1|DSUP, LOC119559201|XP_037728196.1|DSUP	LOC113564801|XP_026839449.1|DERE
OG0000005	LOC119546624|XP_037708989.1|DSUP	LOC6556228|XP_001983059.1|DERE
OG0000006	LOC119559257|XP_037728256.1|DSUP	LOC6548706|XP_026839400.1|DERE, LOC113564766|XP_026839401.1|DERE, LOC6548669|XP_001974020.1|DERE
OG0000006	LOC119559187|XP_037728176.1|DSUP	LOC113564784|XP_026839416.1|DERE
OG0000006	LOC119559185|XP_037728174.1|DSUP, LOC119559256|XP_037728254.1|DSUP, LOC119548247|XP_037711316.1|DSUP, LOC119559259|XP_037728258.1|DSUP, LOC119547943|XP_037710919.1|DSUP	LOC6548691|XP_001974010.1|DERE
OG0000007	LOC119555653|XP_037723160.1|DSUP	LOC6546441|XP_001972927.1|DERE
OG0000007	LOC119554492|XP_037721353.1|DSUP	LOC6545298|XP_001972056.1|DERE
OG0000007	LOC119554489|XP_037721348.1|DSUP	LOC6545299|XP_001972057.1|DERE
OG0000007	LOC119554495|XP_037721355.1|DSUP	LOC6545296|XP_001972054.1|DERE
OG0000007	LOC119554490|XP_037721351.1|DSUP	LOC6545101|XP_001972052.1|DERE
OG0000007	LOC119554494|XP_037721354.1|DSUP	LOC6545102|XP_001972053.1|DERE
OG0000007	LOC119546692|XP_037709098.1|DSUP	LOC6540938|XP_001968734.1|DERE
OG0000007	LOC119546891|XP_037709439.1|DSUP	LOC6540876|XP_001968735.1|DERE
OG0000007	LOC119553445|XP_037719763.1|DSUP	LOC6545660|XP_001971664.1|DERE
OG0000007	LOC119546800|XP_037709305.1|DSUP, LOC119547162|XP_037709816.1|DSUP, LOC119546829|XP_037709347.1|DSUP	LOC6540935|XP_001968733.1|DERE
OG0000007	LOC119554496|XP_037721356.1|DSUP	LOC6545301|XP_001972059.1|DERE
OG0000008	LOC119559922|XP_037729053.1|DSUP	LOC6553905|XP_001979522.1|DERE
OG0000008	LOC119554295|XP_037721083.1|DSUP	LOC6543716|XP_001971859.1|DERE
OG0000008	LOC119554293|XP_037721080.1|DSUP	LOC6543719|XP_001971862.1|DERE
OG0000008	LOC119546547|XP_037708827.1|DSUP	LOC6541660|XP_001969797.3|DERE
OG0000008	LOC119554296|XP_037721084.1|DSUP	LOC6543717|XP_001971860.3|DERE
OG0000008	LOC119556861|XP_037725260.1|DSUP	LOC6551209|XP_001977016.1|DERE
OG0000008	LOC119560392|XP_037729748.1|DSUP	LOC6553020|XP_001979111.1|DERE, LOC6553021|XP_001979112.1|DERE
OG0000008	LOC119560393|XP_037729749.1|DSUP	LOC6553018|XP_001979109.1|DERE
OG0000008	LOC119560395|XP_037729751.1|DSUP	LOC6553016|XP_001979107.1|DERE
OG0000008	LOC119560394|XP_037729750.1|DSUP	LOC6553017|XP_001979108.1|DERE
OG0000008	LOC119560107|XP_037729380.1|DSUP	LOC6553015|XP_001979106.1|DERE
OG0000009	LOC119560146|XP_037729428.1|DSUP	LOC6554105|XP_001979501.1|DERE
OG0000009	LOC119560480|XP_037729870.1|DSUP	LOC6554107|XP_001979503.1|DERE
OG0000009	LOC119560408|XP_037729769.1|DSUP	LOC6554108|XP_001979504.1|DERE
OG0000009	LOC119560481|XP_037729871.1|DSUP	LOC6554106|XP_001979502.1|DERE
OG0000009	LOC119550480|XP_037715097.1|DSUP	LOC6548094|XP_001976600.1|DERE
OG0000009	LOC119560195|XP_037729489.1|DSUP	LOC6553884|XP_001980458.1|DERE
OG0000009	LOC119549977|XP_037714304.1|DSUP, LOC119550208|XP_037714685.1|DSUP	LOC6546804|XP_001975914.1|DERE
OG0000009	LOC119551857|XP_037717362.1|DSUP, LOC119551891|XP_037717420.1|DSUP	LOC6546805|XP_001975915.1|DERE
OG0000010	LOC119547946|XP_037710924.1|DSUP, LOC119559220|XP_037728219.1|DSUP	LOC6556039|XP_015008608.2|DERE
OG0000010	LOC119559221|XP_037728220.1|DSUP, LOC119559233|XP_037728232.1|DSUP, LOC119559228|XP_037728227.1|DSUP, LOC119559234|XP_037728233.1|DSUP, LOC119559207|XP_037728206.1|DSUP, LOC119547994|XP_037710979.1|DSUP	LOC113564802|XP_026839451.1|DERE
OG0000010	LOC119559212|XP_037728211.1|DSUP	LOC113564785|XP_026839418.1|DERE
OG0000010	LOC119548250|XP_037711321.1|DSUP	LOC6548710|XP_026839403.1|DERE, LOC6556033|XP_026839405.1|DERE, LOC6549045|XP_026839450.1|DERE
OG0000010	LOC119547947|XP_037710925.1|DSUP	LOC6556049|XP_001982909.3|DERE
OG0000011	LOC119548026|XP_037711028.1|DSUP	LOC113564152|XP_026835545.1|DERE
OG0000011	LOC119558003|XP_037727039.1|DSUP	LOC6550533|XP_001977930.3|DERE
OG0000011	LOC119548095|XP_037711111.1|DSUP, LOC119548094|XP_037711110.1|DSUP, LOC119548461|XP_037711657.1|DSUP, LOC119548363|XP_037711507.1|DSUP	LOC6540864|XP_001968531.3|DERE
OG0000011	LOC119548364|XP_037711508.1|DSUP	LOC6540904|XP_026835063.1|DERE
OG0000011	LOC119548873|XP_037712431.1|DSUP, LOC119546938|XP_037709503.1|DSUP	LOC6543446|XP_001968684.2|DERE
OG0000011	LOC119555066|XP_037722201.1|DSUP	LOC6543815|XP_001973630.3|DERE
OG0000011	LOC119557843|XP_037726753.1|DSUP, LOC119560943|XP_037730609.1|DSUP, LOC119554642|XP_037721569.1|DSUP, LOC119560221|XP_037729507.1|DSUP, LOC119560941|XP_037730605.1|DSUP, LOC119553270|XP_037719489.1|DSUP, LOC119554912|XP_037721943.1|DSUP, LOC119555170|XP_037722349.1|DSUP, LOC119555608|XP_037723034.1|DSUP	LOC6555031|XP_001981173.1|DERE
OG0000011	LOC119547435|XP_037710223.1|DSUP	LOC113564056|XP_026834236.1|DERE
OG0000011	LOC119546050|XP_037708041.1|DSUP	LOC6547227|XP_026836974.1|DERE
OG0000011	LOC119548232|XP_037711301.1|DSUP	LOC113564269|XP_026836076.1|DERE
OG0000011	LOC119547347|XP_037710088.1|DSUP	LOC6547233|XP_026836236.1|DERE
OG0000011	LOC119556682|XP_037724981.1|DSUP	LOC6551039|XP_001978306.1|DERE
OG0000011	LOC119554627|XP_037721551.1|DSUP	LOC6545632|XP_001972694.2|DERE
OG0000011	LOC119554626|XP_037721550.1|DSUP	LOC6545633|XP_001972695.1|DERE
OG0000011	LOC119554762|XP_037721730.1|DSUP	LOC6552127|XP_001980788.1|DERE
OG0000011	LOC119560188|XP_037729480.1|DSUP	LOC6553432|XP_001979238.2|DERE
OG0000012	LOC119550822|XP_037715693.1|DSUP	LOC6547483|XP_015011854.1|DERE
OG0000012	LOC119550821|XP_037715691.1|DSUP	LOC6547482|XP_001974798.1|DERE
OG0000012	LOC119551596|XP_037716924.1|DSUP, LOC119550028|XP_037714380.1|DSUP	LOC6547337|XP_015012184.1|DERE
OG0000012	LOC119551494|XP_037716788.1|DSUP	LOC6547484|XP_026836781.1|DERE
OG0000012	LOC119551074|XP_037716130.1|DSUP	LOC6547486|XP_001974802.1|DERE
OG0000012	LOC119550378|XP_037714954.1|DSUP	LOC6547485|XP_015012185.1|DERE
OG0000012	LOC119549965|XP_037714285.1|DSUP	LOC6546830|XP_026836193.1|DERE
OG0000012	LOC119551851|XP_037717353.1|DSUP	LOC6546691|XP_001975936.3|DERE
