Orthogroup	DELE.longest_only	DNOV.longest_only
OG0000000	LOC108150093|XP_017133546.1|DELE	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC108148460|XP_017130981.1|DELE, LOC108143366|XP_017123177.1|DELE, LOC108139044|XP_017117150.1|DELE	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC108145787|XP_017126846.1|DELE, LOC108145637|XP_017126661.1|DELE	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC108143648|XP_017123649.1|DELE, LOC108144150|XP_017124283.1|DELE, LOC108144147|XP_017124279.1|DELE, LOC108144148|XP_017124281.1|DELE, LOC108144149|XP_017124282.1|DELE, LOC108144287|XP_017124462.1|DELE, LOC108147230|XP_017129111.1|DELE	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC108145639|XP_017126664.1|DELE, LOC108145640|XP_017126665.1|DELE	LOC115762365|XP_030560399.1|DNOV
OG0000002	LOC108144341|XP_017124554.1|DELE	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC108143685|XP_017123691.1|DELE	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC108143683|XP_017123690.1|DELE	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC108147831|XP_017130074.1|DELE, LOC108134677|XP_017110563.1|DELE, LOC108134701|XP_017110586.1|DELE, LOC108134705|XP_017110590.1|DELE, LOC108134691|XP_017110578.1|DELE, LOC108134735|XP_017110639.1|DELE	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000003	LOC108144467|XP_017124860.1|DELE, LOC108144671|XP_017125217.1|DELE	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC108144466|XP_017124858.1|DELE	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC108145352|XP_017126230.1|DELE	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC108145367|XP_017126250.1|DELE	LOC115771912|XP_030573666.1|DNOV
OG0000004	LOC108135195|XP_017111306.1|DELE, LOC108134559|XP_017110400.1|DELE	LOC115761954|XP_030559853.1|DNOV, LOC115761946|XP_030559842.1|DNOV, LOC115762001|XP_030559929.1|DNOV, LOC115762002|XP_030559930.1|DNOV, LOC115761845|XP_030559687.1|DNOV, LOC115770610|XP_030571806.1|DNOV, LOC115770902|XP_030572197.1|DNOV, LOC115761947|XP_030559843.1|DNOV, LOC115770614|XP_030571810.1|DNOV, LOC115770578|XP_030571761.1|DNOV, LOC115761878|XP_030559739.1|DNOV, LOC115760068|XP_030557108.1|DNOV, LOC115759838|XP_030556792.1|DNOV
OG0000007	LOC108135575|XP_017111853.1|DELE	LOC115771063|XP_030572475.1|DNOV
OG0000007	LOC108142600|XP_017122060.1|DELE	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC108142601|XP_017122061.1|DELE, LOC108142394|XP_017121723.1|DELE	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	LOC108138842|XP_017116842.1|DELE	LOC115767684|XP_030567836.1|DNOV
OG0000007	LOC108138843|XP_017116844.1|DELE, LOC108138844|XP_017116845.1|DELE	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC108149642|XP_017132905.1|DELE	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC108145869|XP_017126996.1|DELE	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC108145867|XP_017126995.1|DELE	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC108138029|XP_017115491.1|DELE	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC108145871|XP_017126998.1|DELE	LOC115762865|XP_030561099.1|DNOV
OG0000008	LOC108148320|XP_017130800.1|DELE, LOC108148319|XP_017130799.1|DELE	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	LOC108148323|XP_017130803.1|DELE	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV
OG0000008	LOC108148325|XP_017130805.1|DELE	LOC115765613|XP_030565123.1|DNOV
OG0000008	LOC108148321|XP_017130801.1|DELE	LOC115765587|XP_030565097.1|DNOV
OG0000008	LOC108148322|XP_017130802.1|DELE	LOC115765588|XP_030565098.1|DNOV
OG0000008	LOC108148324|XP_017130804.1|DELE	LOC115765592|XP_030565101.1|DNOV
OG0000009	LOC108137036|XP_017114024.1|DELE	LOC115763759|XP_030562333.1|DNOV
OG0000009	LOC108136709|XP_017113523.1|DELE	LOC115763738|XP_030562299.1|DNOV
OG0000009	LOC108136793|XP_017113657.1|DELE, LOC108137037|XP_017114025.1|DELE	LOC115763735|XP_030562294.1|DNOV, LOC115763896|XP_030562534.1|DNOV
OG0000009	LOC108147392|XP_017129317.1|DELE, LOC108147550|XP_017129624.1|DELE	LOC115765543|XP_030565028.1|DNOV
