Orthogroup	DPSE.longest_only	DHYD.longest_only
OG0000000	LOC6898781|XP_002138758.2|DPSE, LOC6898696|XP_002138701.1|DPSE, LOC6898697|XP_033233391.1|DPSE, LOC6898698|XP_015040315.2|DPSE	LOC111599673|XP_023171145.1|DHYD
OG0000000	LOC6898695|XP_002138700.2|DPSE	LOC111605384|XP_023179640.2|DHYD, LOC111605350|XP_023179593.2|DHYD
OG0000000	LOC6899999|XP_033240207.1|DPSE	LOC111600475|XP_023172354.2|DHYD
OG0000000	LOC4804691|XP_001361210.2|DPSE	LOC111593953|XP_030080879.1|DHYD, LOC115483380|XP_030080961.1|DHYD, LOC111593955|XP_023162814.2|DHYD
OG0000000	LOC117183739|XP_033234612.1|DPSE, LOC117183539|XP_033233554.1|DPSE, LOC4805597|XP_033233553.1|DPSE, LOC6896813|XP_033232366.1|DPSE, LOC4801605|XP_001358672.2|DPSE	LOC111593957|XP_023162816.2|DHYD
OG0000001	LOC117184985|XP_033240229.1|DPSE	LOC111593537|XP_030080394.1|DHYD
OG0000002	LOC6899110|XP_033234698.1|DPSE	LOC115483422|XP_030081192.1|DHYD
OG0000002	LOC6899111|XP_002139028.1|DPSE	LOC111597015|XP_023167289.2|DHYD
OG0000002	LOC6902531|XP_002133071.3|DPSE	LOC111594107|XP_023163033.2|DHYD, LOC111596089|XP_023165917.2|DHYD
OG0000003	LOC4803409|XP_001360156.1|DPSE	LOC111601324|XP_030080917.1|DHYD, LOC115483365|XP_030080916.1|DHYD, LOC111603516|XP_023176908.2|DHYD
OG0000003	LOC4804975|XP_001361450.3|DPSE	LOC115483813|XP_030082015.1|DHYD
OG0000003	LOC6902590|XP_002133118.2|DPSE	LOC111602383|XP_023175172.2|DHYD
OG0000004	LOC117183568|XP_033233728.1|DPSE, LOC117185607|XP_033241635.1|DPSE, LOC117185606|XP_033241634.1|DPSE, LOC26532116|XP_015035138.1|DPSE, LOC117185600|XP_033241628.1|DPSE, LOC26534267|XP_015035134.1|DPSE, LOC117185633|XP_033241719.1|DPSE, LOC117185634|XP_033241720.1|DPSE, LOC26533245|XP_033241636.1|DPSE, LOC117185608|XP_033241637.1|DPSE, LOC117185631|XP_033241718.1|DPSE, LOC117185630|XP_033241717.1|DPSE, LOC26532398|XP_015035141.1|DPSE, LOC117183574|XP_033233756.1|DPSE, LOC117183621|XP_033234074.1|DPSE	LOC115482864|XP_030078974.1|DHYD, LOC115482862|XP_030078972.1|DHYD, LOC115483277|XP_030080480.1|DHYD, LOC115483278|XP_030080481.1|DHYD, LOC115483276|XP_030080479.1|DHYD, LOC115482886|XP_030078995.1|DHYD, LOC115483206|XP_030080327.1|DHYD, LOC115483275|XP_030080478.1|DHYD, LOC115483267|XP_030080472.1|DHYD, LOC115483230|XP_030080434.1|DHYD, LOC115483309|XP_030080546.1|DHYD, LOC115482887|XP_030078996.1|DHYD, LOC115482860|XP_030078970.1|DHYD, LOC115483248|XP_030080453.1|DHYD, LOC115483246|XP_030080451.1|DHYD, LOC115483247|XP_030080452.1|DHYD, LOC115483245|XP_030080449.1|DHYD, LOC115483244|XP_030080448.1|DHYD, LOC115483209|XP_030080334.1|DHYD, LOC115482899|XP_030079007.1|DHYD, LOC115482861|XP_030078971.1|DHYD, LOC115483189|XP_030080234.1|DHYD, LOC115483208|XP_030080332.1|DHYD, LOC115482863|XP_030078973.1|DHYD, LOC115482865|XP_030078975.1|DHYD, LOC115482894|XP_030079003.1|DHYD
OG0000005	LOC117185615|XP_033241645.1|DPSE	LOC115482903|XP_030079010.1|DHYD
OG0000005	LOC117183560|XP_033233682.1|DPSE, LOC6901707|XP_002134375.1|DPSE, LOC6901701|XP_015042049.1|DPSE	LOC115483257|XP_030080462.1|DHYD
OG0000005	LOC117185613|XP_033241643.1|DPSE	LOC115483285|XP_030080488.1|DHYD
OG0000006	LOC117183556|XP_033233676.1|DPSE	LOC115483249|XP_030080454.1|DHYD
OG0000006	LOC117183555|XP_033233668.1|DPSE, LOC26533162|XP_015035142.1|DPSE, LOC117185635|XP_033241721.1|DPSE, LOC26532290|XP_015035132.1|DPSE, LOC26532855|XP_015035139.1|DPSE, LOC26533430|XP_015035135.1|DPSE, LOC117185609|XP_033241638.1|DPSE, LOC117185636|XP_033241722.1|DPSE, LOC117185610|XP_033241639.1|DPSE	LOC115483251|XP_030080456.1|DHYD
OG0000006	LOC117185611|XP_033241640.1|DPSE	LOC115482868|XP_030078978.1|DHYD
OG0000006	LOC26534208|XP_015035128.2|DPSE	LOC115482873|XP_030078983.1|DHYD
OG0000006	LOC117183581|XP_033233838.1|DPSE	LOC115482888|XP_030078997.1|DHYD, LOC115482872|XP_030078982.1|DHYD, LOC115483253|XP_030080458.1|DHYD, LOC115482869|XP_030078979.1|DHYD, LOC115483254|XP_030080459.1|DHYD, LOC115482902|XP_030079009.1|DHYD, LOC115483281|XP_030080484.1|DHYD, LOC115482889|XP_030078998.1|DHYD, LOC115483280|XP_030080483.1|DHYD
OG0000007	LOC6900428|XP_002134819.1|DPSE	LOC111601093|XP_023173297.2|DHYD
OG0000007	LOC5495512|XP_001353851.2|DPSE	LOC111592429|XP_023160382.1|DHYD
