Orthogroup	DFIC.longest_only	DVIR.longest_only
OG0000000	LOC108096481|XP_017053581.1|DFIC, LOC108101733|XP_017061674.1|DFIC	LOC6627198|XP_032293006.1|DVIR
OG0000000	LOC108095110|XP_017051537.1|DFIC, LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC, LOC108097696|XP_017055657.1|DFIC	LOC6625459|XP_002048889.2|DVIR, LOC6625457|XP_032291675.1|DVIR, LOC26530783|XP_032292393.1|DVIR
OG0000000	LOC108089293|XP_017042959.1|DFIC, LOC108089294|XP_017042961.1|DFIC	LOC6636429|XP_032291674.1|DVIR
OG0000001	LOC108094352|XP_017050381.1|DFIC	LOC116649975|XP_032289192.1|DVIR, LOC116650014|XP_032289242.1|DVIR, LOC116650813|XP_032291445.1|DVIR, LOC116650693|XP_032291016.1|DVIR, LOC116650639|XP_032290738.1|DVIR, LOC116650317|XP_032289578.1|DVIR, LOC116650237|XP_032289383.1|DVIR, LOC116650018|XP_032289244.1|DVIR, LOC116651796|XP_032294718.1|DVIR, LOC116651620|XP_032294251.1|DVIR, LOC116652104|XP_032295893.1|DVIR, LOC116652102|XP_032295892.1|DVIR, LOC116651616|XP_032294247.1|DVIR, LOC116650104|XP_032289333.1|DVIR, LOC116649993|XP_032289204.1|DVIR, LOC116650569|XP_032290453.1|DVIR, LOC116652064|XP_032295773.1|DVIR
OG0000001	LOC108098394|XP_017056755.1|DFIC	LOC116650307|XP_032289663.1|DVIR
OG0000002	LOC108090526|XP_017044733.1|DFIC	LOC6625292|XP_002049777.1|DVIR
OG0000002	LOC108090768|XP_017045096.1|DFIC	LOC6627081|XP_002049906.2|DVIR
OG0000002	LOC108090769|XP_017045098.1|DFIC	LOC6627080|XP_002049905.2|DVIR
OG0000002	LOC108092580|XP_017047713.1|DFIC, LOC108092286|XP_017047310.1|DFIC	LOC6626597|XP_002049033.2|DVIR
OG0000003	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC	LOC6625469|XP_002049673.1|DVIR, LOC6625468|XP_002049672.1|DVIR
OG0000003	LOC108087605|XP_017040533.1|DFIC	LOC6625465|XP_032292893.1|DVIR
OG0000003	LOC108090320|XP_017044421.1|DFIC	LOC6625464|XP_002049668.1|DVIR
OG0000003	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC	LOC6625463|XP_002049667.1|DVIR
OG0000005	LOC108094052|XP_017049981.1|DFIC	LOC6630839|XP_002053115.1|DVIR, LOC116649812|XP_032288841.1|DVIR, LOC6630083|XP_002053093.1|DVIR, LOC26530712|XP_032288873.1|DVIR, LOC116649821|XP_032288854.1|DVIR, LOC116649778|XP_032288855.1|DVIR, LOC6637055|XP_002060474.1|DVIR, LOC116649811|XP_032288840.1|DVIR, LOC6630110|XP_002053103.1|DVIR, LOC116649814|XP_032288843.1|DVIR, LOC6637086|XP_002060498.1|DVIR, LOC116649818|XP_032288848.1|DVIR, LOC116649815|XP_032288845.1|DVIR, LOC6636998|XP_002060428.1|DVIR, LOC26530621|XP_015023595.2|DVIR, LOC116649813|XP_032288842.1|DVIR, LOC116649820|XP_032288853.1|DVIR, LOC116649817|XP_032288847.1|DVIR, LOC6630835|XP_002053111.1|DVIR, LOC116649819|XP_032288852.1|DVIR, LOC116649816|XP_032288846.1|DVIR
OG0000006	LOC108102292|XP_017062541.1|DFIC, LOC108102287|XP_017062528.1|DFIC	LOC6630084|XP_002053094.1|DVIR
OG0000007	LOC108093252|XP_017048717.1|DFIC	LOC6623030|XP_002046517.1|DVIR
OG0000007	LOC108093241|XP_017048705.1|DFIC, LOC108093034|XP_017048427.1|DFIC, LOC108093033|XP_017048426.1|DFIC, LOC108093169|XP_017048611.1|DFIC, LOC108093170|XP_017048612.1|DFIC, LOC108093261|XP_017048727.1|DFIC	LOC6622991|XP_032290827.1|DVIR, LOC6623031|XP_002046519.1|DVIR
OG0000007	LOC108093260|XP_017048726.1|DFIC	LOC6625661|XP_002050782.1|DVIR
OG0000007	LOC108090582|XP_017044820.1|DFIC	LOC116650729|XP_032291101.1|DVIR
