Orthogroup	DSER.longest_only	DSUP.longest_only
OG0000000	LOC110188492|XP_020813881.1|DSER	LOC119560985|XP_037730690.1|DSUP
OG0000000	LOC110181445|XP_020804849.1|DSER	LOC119551998|XP_037717650.1|DSUP
OG0000000	LOC110190735|XP_020817016.1|DSER	LOC119555358|XP_037722624.1|DSUP
OG0000000	LOC110190738|XP_020817019.1|DSER	LOC119555354|XP_037722619.1|DSUP
OG0000000	LOC110190736|XP_020817017.1|DSER	LOC119555355|XP_037722621.1|DSUP, LOC119555357|XP_037722623.1|DSUP, LOC119552809|XP_037718575.1|DSUP
OG0000000	LOC110184046|XP_020808080.1|DSER	LOC119549854|XP_037714077.1|DSUP
OG0000000	LOC110186265|XP_020811031.1|DSER	LOC119563094|XP_037732252.1|DSUP
OG0000000	LOC110186269|XP_020811039.1|DSER, LOC110190695|XP_020816967.1|DSER, LOC110190751|XP_020817032.1|DSER	LOC119551506|XP_037716808.1|DSUP
OG0000000	LOC110186293|XP_020811066.1|DSER, LOC110186292|XP_020811065.1|DSER	LOC119554391|XP_037721205.1|DSUP, LOC119554400|XP_037721217.1|DSUP
OG0000000	LOC110184021|XP_020808046.1|DSER	LOC119546175|XP_037708225.1|DSUP
OG0000000	LOC110186869|XP_020811824.1|DSER, LOC110186289|XP_020811062.1|DSER, LOC110186287|XP_020811060.1|DSER	LOC119562016|XP_037731317.1|DSUP
OG0000000	LOC110186290|XP_020811063.1|DSER	LOC119554309|XP_037721101.1|DSUP
OG0000000	LOC110186288|XP_020811061.1|DSER	LOC119563229|XP_037732462.1|DSUP
OG0000000	LOC110185901|XP_020810577.1|DSER	LOC119547184|XP_037709847.1|DSUP
OG0000000	LOC110184825|XP_020809128.1|DSER	LOC119546339|XP_037708468.1|DSUP
OG0000000	LOC110181054|XP_020804388.1|DSER, LOC110180850|XP_020804187.1|DSER	LOC119549837|XP_037714044.1|DSUP, LOC119549843|XP_037714063.1|DSUP, LOC119547549|XP_037710377.1|DSUP, LOC119549844|XP_037714064.1|DSUP
OG0000000	LOC110177452|XP_020799845.1|DSER	LOC119563146|XP_037732330.1|DSUP
OG0000000	LOC110187957|XP_020813134.1|DSER	LOC119560562|XP_037730007.1|DSUP
OG0000000	LOC110190733|XP_020817014.1|DSER	LOC119552808|XP_037718574.1|DSUP
OG0000000	LOC110190479|XP_020816650.1|DSER	LOC119555360|XP_037722626.1|DSUP
OG0000000	LOC110185197|XP_020809581.1|DSER	LOC119555440|XP_037722739.1|DSUP, LOC119555832|XP_037723387.1|DSUP
OG0000002	LOC110191937|XP_020818616.1|DSER	LOC119550810|XP_037715678.1|DSUP
OG0000002	LOC110177829|XP_020800431.1|DSER	LOC119551092|XP_037716195.1|DSUP
OG0000002	LOC110177830|XP_020800433.1|DSER	LOC119551091|XP_037716194.1|DSUP
OG0000002	LOC110179248|XP_020802366.1|DSER	LOC119550446|XP_037715049.1|DSUP
OG0000002	LOC110189091|XP_020814726.1|DSER	LOC119553688|XP_037720169.1|DSUP, LOC119560617|XP_037730083.1|DSUP, LOC119555077|XP_037722217.1|DSUP, LOC119553745|XP_037720272.1|DSUP
OG0000002	LOC110184909|XP_020809214.1|DSER	LOC119546867|XP_037709399.1|DSUP
