Orthogroup	DMIR.longest_only	DFIC.longest_only
OG0000000	LOC117193785|XP_033254401.1|DMIR, LOC108158059|XP_017145696.1|DMIR, LOC117187926|XP_033246785.1|DMIR, LOC108158412|XP_017146170.2|DMIR, LOC108158411|XP_017146169.2|DMIR	LOC108096481|XP_017053581.1|DFIC
OG0000000	LOC108158045|XP_017145679.2|DMIR	LOC108101733|XP_017061674.1|DFIC
OG0000000	LOC108154013|XP_017139596.1|DMIR, LOC108154014|XP_017139597.1|DMIR, LOC108154666|XP_017140492.1|DMIR, LOC108154647|XP_017140467.1|DMIR	LOC108098759|XP_017057380.1|DFIC
OG0000000	LOC117185812|XP_033243800.1|DMIR	LOC108089295|XP_017042962.1|DFIC
OG0000000	LOC108151290|XP_017135310.1|DMIR	LOC108089296|XP_017042963.1|DFIC, LOC108089297|XP_017042964.1|DFIC, LOC108089299|XP_017042965.1|DFIC, LOC108089300|XP_017042966.1|DFIC
OG0000000	LOC108153842|XP_033245237.1|DMIR	LOC108086783|XP_017039312.1|DFIC, LOC108098802|XP_017057433.1|DFIC
OG0000000	LOC117187703|XP_033246307.1|DMIR, LOC108158063|XP_017145701.1|DMIR, LOC108159866|XP_033253985.1|DMIR, LOC117193681|XP_033254307.1|DMIR, LOC117185879|XP_033246561.1|DMIR, LOC108158064|XP_033254350.1|DMIR, LOC117193739|XP_033254355.1|DMIR	LOC108099246|XP_017058107.1|DFIC, LOC108099248|XP_017058109.1|DFIC, LOC108099245|XP_017058106.1|DFIC, LOC108099244|XP_017058105.1|DFIC, LOC108099249|XP_017058110.1|DFIC, LOC108099247|XP_017058108.1|DFIC
OG0000000	LOC108154033|XP_017139614.1|DMIR	LOC108086787|XP_017039316.1|DFIC
OG0000000	LOC108153951|XP_017139538.1|DMIR	LOC108099241|XP_017058101.1|DFIC
OG0000000	LOC108161265|XP_033248919.1|DMIR, LOC117188741|XP_033248920.1|DMIR, LOC117188742|XP_033248925.1|DMIR	LOC108090590|XP_017044830.1|DFIC
OG0000000	LOC108158438|XP_017146210.1|DMIR, LOC108158074|XP_017145713.1|DMIR, LOC117192846|XP_033253492.1|DMIR, LOC117192847|XP_033253493.1|DMIR, LOC117192906|XP_033253536.1|DMIR, LOC117192907|XP_033253537.1|DMIR	LOC108101784|XP_017061750.1|DFIC, LOC108101785|XP_017061751.1|DFIC, LOC108101813|XP_017061779.1|DFIC, LOC108101816|XP_017061781.1|DFIC, LOC108101815|XP_017061780.1|DFIC
OG0000000	LOC108154608|XP_017140414.2|DMIR	LOC108097696|XP_017055657.1|DFIC
OG0000001	LOC117190783|XP_033251735.1|DMIR	LOC108094352|XP_017050381.1|DFIC, LOC108098394|XP_017056755.1|DFIC
OG0000002	LOC108159521|XP_017148375.1|DMIR	LOC108090768|XP_017045096.1|DFIC
OG0000002	LOC117192466|XP_033253050.1|DMIR, LOC108159522|XP_017148377.1|DMIR	LOC108090769|XP_017045098.1|DFIC
OG0000002	LOC117188692|XP_033248809.1|DMIR	LOC108095490|XP_017052085.1|DFIC
OG0000002	LOC108161412|XP_017151153.2|DMIR	LOC108092580|XP_017047713.1|DFIC
OG0000003	LOC108160528|XP_017150077.1|DMIR	LOC108087667|XP_017040650.1|DFIC, LOC108087706|XP_017040711.1|DFIC, LOC108087707|XP_017040712.1|DFIC
OG0000003	LOC108160529|XP_017150078.1|DMIR	LOC108087705|XP_017040710.1|DFIC
OG0000003	LOC108160375|XP_017149841.1|DMIR	LOC108094289|XP_017050276.1|DFIC
OG0000003	LOC108160594|XP_033252769.1|DMIR, LOC117187951|XP_033246844.1|DMIR, LOC108158057|XP_033247543.1|DMIR	LOC108087668|XP_017040651.1|DFIC
OG0000003	LOC108160818|XP_017150534.1|DMIR	LOC108099209|XP_017058075.1|DFIC, LOC108087749|XP_017040761.1|DFIC
OG0000003	LOC108160275|XP_017149646.1|DMIR	LOC108087605|XP_017040533.1|DFIC
OG0000003	LOC117193381|XP_033253996.1|DMIR, LOC108160276|XP_017149647.1|DMIR	LOC108090320|XP_017044421.1|DFIC
OG0000003	LOC108160277|XP_033246842.1|DMIR, LOC108160733|XP_017150409.1|DMIR	LOC108090319|XP_017044419.1|DFIC, LOC108090317|XP_017044417.1|DFIC, LOC108090318|XP_017044418.1|DFIC
