Orthogroup	DSUZ.longest_only	DNOV.longest_only
OG0000000	LOC108012249|XP_016933037.1|DSUZ, LOC108012248|XP_016933036.1|DSUZ	LOC115769480|XP_030570157.1|DNOV
OG0000000	LOC108019552|XP_036669814.1|DSUZ, LOC108013696|XP_016935107.1|DSUZ	LOC115758064|XP_030554438.1|DNOV
OG0000000	LOC108019563|XP_016942889.1|DSUZ	LOC115760506|XP_030557727.1|DNOV
OG0000000	LOC108018332|XP_016941362.2|DSUZ, LOC108007476|XP_036670350.1|DSUZ, LOC108007475|XP_016926645.1|DSUZ	LOC115762880|XP_030561115.1|DNOV
OG0000000	LOC118877061|XP_036669823.1|DSUZ, LOC108017737|XP_016940334.1|DSUZ, LOC108008212|XP_016927490.1|DSUZ, LOC108005325|XP_016924081.1|DSUZ, LOC108008213|XP_016927491.1|DSUZ, LOC108020157|XP_036673587.1|DSUZ	LOC115762369|XP_030560404.1|DNOV, LOC115762370|XP_030560405.1|DNOV
OG0000000	LOC118878061|XP_036675143.1|DSUZ, LOC108007479|XP_036670397.1|DSUZ, LOC118877197|XP_036670391.1|DSUZ, LOC108007478|XP_016926649.1|DSUZ, LOC108007497|XP_016926669.2|DSUZ, LOC108007477|XP_016926648.2|DSUZ	LOC115762365|XP_030560399.1|DNOV
OG0000001	LOC118876749|XP_016938664.1|DSUZ	LOC115763936|XP_030562591.1|DNOV, LOC115763934|XP_030562589.1|DNOV, LOC115763935|XP_030562590.1|DNOV
OG0000001	LOC118878459|XP_036677349.1|DSUZ	LOC115768652|XP_030569188.1|DNOV
OG0000002	LOC108008721|XP_016928110.1|DSUZ	LOC115758620|XP_030555217.1|DNOV
OG0000002	LOC108009088|XP_016928634.1|DSUZ	LOC115759079|XP_030555811.1|DNOV
OG0000002	LOC108009087|XP_016928633.1|DSUZ	LOC115762794|XP_030561011.1|DNOV
OG0000002	LOC108009013|XP_016928477.1|DSUZ, LOC108009683|XP_016929720.1|DSUZ, LOC108009469|XP_016929341.1|DSUZ, LOC118876801|XP_036668620.1|DSUZ, LOC108021294|XP_016945474.2|DSUZ	LOC115766526|XP_030566353.1|DNOV, LOC115759172|XP_030555905.1|DNOV
OG0000003	LOC108008945|XP_016928345.1|DSUZ, LOC108008944|XP_016928343.1|DSUZ	LOC115771220|XP_030572684.1|DNOV, LOC115771209|XP_030572672.1|DNOV
OG0000003	LOC108008949|XP_016928349.1|DSUZ, LOC108008948|XP_016928348.1|DSUZ	LOC115771231|XP_030572696.1|DNOV
OG0000003	LOC108008947|XP_016928347.2|DSUZ	LOC115762126|XP_030560095.1|DNOV
OG0000003	LOC108019593|XP_016942923.1|DSUZ	LOC115762286|XP_030560313.1|DNOV
OG0000003	LOC108019592|XP_016942921.1|DSUZ, LOC108019594|XP_016942924.1|DSUZ	LOC115771912|XP_030573666.1|DNOV
OG0000003	LOC108007096|XP_016926191.1|DSUZ	LOC115758743|XP_030555359.1|DNOV
OG0000005	LOC118879271|XP_036678048.1|DSUZ, LOC118879262|XP_036678038.1|DSUZ, LOC118879260|XP_036678036.1|DSUZ, LOC118879641|XP_036678429.1|DSUZ, LOC118877314|XP_036671399.1|DSUZ, LOC118879261|XP_036678037.1|DSUZ, LOC118879270|XP_036678047.1|DSUZ, LOC118879258|XP_036678034.1|DSUZ, LOC108016328|XP_036678434.1|DSUZ, LOC118879259|XP_036678035.1|DSUZ, LOC118879512|XP_036678269.1|DSUZ, LOC118877313|XP_036671386.1|DSUZ, LOC118879647|XP_036678435.1|DSUZ, LOC118879752|XP_036678579.1|DSUZ, LOC108016497|XP_016938653.1|DSUZ	LOC115761952|XP_030559851.1|DNOV
OG0000006	LOC118879268|XP_036678045.1|DSUZ	LOC115761951|XP_030559850.1|DNOV
OG0000006	LOC118879646|XP_036678433.1|DSUZ	LOC115768961|XP_030569544.1|DNOV
OG0000006	LOC118879645|XP_036678432.1|DSUZ, LOC118877312|XP_036671383.1|DSUZ	LOC115770611|XP_030571807.1|DNOV
OG0000006	LOC118879255|XP_036678031.1|DSUZ	LOC115770816|XP_030572098.1|DNOV
OG0000007	LOC108004804|XP_016923359.1|DSUZ	LOC115771063|XP_030572475.1|DNOV
OG0000007	LOC118877416|XP_036672028.1|DSUZ	LOC115767673|XP_030567825.1|DNOV
OG0000007	LOC108013029|XP_016934109.1|DSUZ, LOC108012496|XP_016933394.1|DSUZ, LOC108012427|XP_016933279.1|DSUZ, LOC108012288|XP_016933078.2|DSUZ, LOC108013028|XP_016934108.1|DSUZ, LOC108013026|XP_016934106.1|DSUZ	LOC115767674|XP_030567827.1|DNOV, LOC115767675|XP_030567828.1|DNOV
OG0000007	LOC108019834|XP_016943342.1|DSUZ	LOC115767676|XP_030567829.1|DNOV, LOC115767677|XP_030567830.1|DNOV, LOC115767678|XP_030567831.1|DNOV
OG0000007	LOC118876800|XP_036668611.1|DSUZ	LOC115767684|XP_030567836.1|DNOV
OG0000007	LOC108012353|XP_016933194.1|DSUZ, LOC108012354|XP_016933195.2|DSUZ, LOC108009076|XP_016928638.2|DSUZ, LOC108021082|XP_016945089.1|DSUZ, LOC108006463|XP_036673918.1|DSUZ	LOC115767683|XP_030567835.1|DNOV, LOC115767686|XP_030567840.1|DNOV, LOC115767679|XP_030567832.1|DNOV, LOC115767690|XP_030567845.1|DNOV, LOC115767689|XP_030567844.1|DNOV, LOC115767688|XP_030567843.1|DNOV, LOC115767694|XP_030567848.1|DNOV, LOC115767691|XP_030567846.1|DNOV, LOC115767693|XP_030567847.1|DNOV
OG0000008	LOC108014183|XP_016935707.1|DSUZ	LOC115759663|XP_030556519.1|DNOV
OG0000008	LOC108020044|XP_016943629.1|DSUZ	LOC115762862|XP_030561098.1|DNOV
OG0000008	LOC118877368|XP_036671791.1|DSUZ	LOC115762903|XP_030561140.1|DNOV
OG0000008	LOC108007042|XP_016926141.1|DSUZ	LOC115759949|XP_030556951.1|DNOV
OG0000008	LOC108020009|XP_016943583.1|DSUZ	LOC115762865|XP_030561099.1|DNOV
OG0000008	LOC108014243|XP_036675108.1|DSUZ, LOC108014242|XP_016935768.1|DSUZ	LOC115765585|XP_030565095.1|DNOV, LOC115765584|XP_030565094.1|DNOV
OG0000008	LOC108014245|XP_016935771.2|DSUZ	LOC115765612|XP_030565122.1|DNOV, LOC115765593|XP_030565102.1|DNOV
