Orthogroup	DKIK.longest_only	DPER.longest_only
OG0000000	LOC108077905|XP_017026932.1|DKIK	LOC6592191|XP_002017761.2|DPER, LOC6603460|XP_002028440.1|DPER, LOC6603459|XP_026842774.1|DPER
OG0000000	LOC108084016|XP_017035518.1|DKIK	LOC113564914|XP_026840098.1|DPER, LOC6598749|XP_026840097.1|DPER, LOC6598747|XP_026840096.1|DPER, LOC113567337|XP_026850608.1|DPER, LOC6598748|XP_002023814.2|DPER
OG0000000	LOC108085530|XP_017037652.1|DKIK	LOC6598745|XP_026840088.1|DPER
OG0000000	LOC108077933|XP_017026960.1|DKIK	LOC6603462|XP_002028442.1|DPER
OG0000000	LOC108078602|XP_017028011.1|DKIK	LOC6599796|XP_002024966.2|DPER
OG0000000	LOC108072234|XP_017018785.1|DKIK	LOC6592293|XP_002018412.1|DPER
OG0000000	LOC108085325|XP_017037369.1|DKIK, LOC108085309|XP_017037356.1|DKIK, LOC108085307|XP_017037354.1|DKIK, LOC108080866|XP_017031258.1|DKIK	LOC6594745|XP_002020397.2|DPER
OG0000000	LOC108085312|XP_017037357.1|DKIK	LOC6594749|XP_026851250.1|DPER
OG0000000	LOC108085317|XP_017037360.1|DKIK, LOC108085315|XP_017037358.1|DKIK, LOC108085316|XP_017037359.1|DKIK	LOC113567467|XP_026851261.1|DPER, LOC6594748|XP_026851256.1|DPER
OG0000000	LOC108073703|XP_017020927.1|DKIK	LOC113564899|XP_026839990.1|DPER
OG0000000	LOC108080896|XP_017031287.1|DKIK, LOC108080463|XP_017030690.1|DKIK, LOC108070739|XP_017016824.1|DKIK	LOC6595061|XP_026851238.1|DPER, LOC6595060|XP_002020414.2|DPER
OG0000000	LOC108075384|XP_017023284.1|DKIK	LOC6588283|XP_026842223.1|DPER
OG0000000	LOC108076851|XP_017025370.1|DKIK	LOC113565649|XP_026844091.1|DPER
OG0000000	LOC108086044|XP_017038352.1|DKIK	LOC6592855|XP_026840797.1|DPER
OG0000000	LOC108070814|XP_017016902.1|DKIK	LOC113565213|XP_026842527.1|DPER, LOC6601308|XP_026842517.1|DPER, LOC6601309|XP_002026347.2|DPER
OG0000000	LOC108070634|XP_017016690.1|DKIK	LOC6587480|XP_002013644.2|DPER
OG0000002	LOC108085203|XP_017037209.1|DKIK	LOC6601614|XP_002026650.2|DPER
OG0000002	LOC108085202|XP_017037207.1|DKIK	LOC6601615|XP_026841465.1|DPER
OG0000002	LOC108074295|XP_017021772.1|DKIK, LOC108074303|XP_017021784.1|DKIK, LOC108084027|XP_017035529.1|DKIK, LOC108073319|XP_017020369.1|DKIK, LOC108073320|XP_017020370.1|DKIK	LOC6595741|XP_026845259.1|DPER
OG0000002	LOC108077339|XP_017026117.1|DKIK	LOC6596381|XP_002021534.2|DPER
OG0000002	LOC108082669|XP_017033655.1|DKIK	LOC6589514|XP_002015188.2|DPER, LOC6593573|XP_002019253.2|DPER
OG0000003	LOC108072418|XP_017019012.1|DKIK	LOC6591231|XP_002016677.1|DPER
OG0000003	LOC108072446|XP_017019063.1|DKIK, LOC108072408|XP_017018999.1|DKIK	LOC6590819|XP_026841177.1|DPER
OG0000003	LOC108070524|XP_017016527.1|DKIK	LOC6590049|XP_002015522.1|DPER
OG0000003	LOC108072417|XP_017019010.1|DKIK	LOC6591234|XP_002016680.1|DPER, LOC6591233|XP_002016679.1|DPER
OG0000003	LOC108072407|XP_017018998.1|DKIK, LOC108072452|XP_017019071.1|DKIK, LOC108072451|XP_017019070.1|DKIK	LOC6591232|XP_002016678.1|DPER
OG0000003	LOC108072419|XP_017019013.1|DKIK	LOC6591235|XP_002016681.1|DPER
OG0000003	LOC108070794|XP_017016883.1|DKIK	LOC6591236|XP_002016682.2|DPER
OG0000003	LOC108070791|XP_017016879.1|DKIK, LOC108070793|XP_017016882.1|DKIK, LOC108070792|XP_017016880.1|DKIK	LOC6591237|XP_026840952.1|DPER, LOC6591238|XP_002016684.1|DPER
OG0000003	LOC108073603|XP_017020784.1|DKIK	LOC6596552|XP_002021689.1|DPER
OG0000004	LOC108073963|XP_017021295.1|DKIK	LOC113567408|XP_026850942.1|DPER, LOC113567409|XP_026850943.1|DPER, LOC113567399|XP_026850927.1|DPER, LOC113565362|XP_026842912.1|DPER, LOC6587537|XP_002013115.1|DPER, LOC6587316|XP_002013131.1|DPER, LOC113567243|XP_026850214.1|DPER, LOC113567235|XP_026850206.1|DPER, LOC6587397|XP_002013126.1|DPER, LOC113567242|XP_026850212.1|DPER, LOC113567391|XP_026850908.1|DPER, LOC113567026|XP_026850037.1|DPER, LOC113567027|XP_026850038.1|DPER, LOC113567400|XP_026850928.1|DPER, LOC6587650|XP_002013120.1|DPER, LOC113564935|XP_026840262.1|DPER, LOC113567383|XP_026850888.1|DPER, LOC113567241|XP_026850211.1|DPER, LOC6604119|XP_002029056.2|DPER, LOC113565361|XP_026842911.1|DPER, LOC113567390|XP_026850907.1|DPER, LOC6587454|XP_002013136.2|DPER, LOC113566634|XP_026848945.1|DPER
OG0000005	LOC108071511|XP_017017769.1|DKIK	LOC113567239|XP_026850209.1|DPER
OG0000005	LOC108085749|XP_017037978.1|DKIK	LOC113566308|XP_026847198.1|DPER, LOC6599391|XP_002024443.1|DPER
OG0000006	LOC108072846|XP_017019650.1|DKIK	LOC6588523|XP_002013122.1|DPER, LOC113567419|XP_026850958.1|DPER, LOC113567247|XP_026850217.1|DPER, LOC113565363|XP_026842914.1|DPER, LOC113565364|XP_026842915.1|DPER, LOC113567237|XP_026850207.1|DPER, LOC113567385|XP_026850890.1|DPER, LOC113567411|XP_026850946.1|DPER, LOC6604168|XP_002029102.2|DPER, LOC113567418|XP_026850957.1|DPER, LOC113567028|XP_026850039.1|DPER, LOC113567401|XP_026850929.1|DPER, LOC6604120|XP_002029058.1|DPER, LOC6587306|XP_002013133.1|DPER, LOC113567394|XP_026850911.1|DPER
OG0000006	LOC108074091|XP_017021471.1|DKIK, LOC108070732|XP_017016820.1|DKIK	LOC113567402|XP_026850930.1|DPER
OG0000007	LOC108071918|XP_017018366.1|DKIK	LOC6595910|XP_002021056.1|DPER
OG0000007	LOC108071584|XP_017017854.1|DKIK	LOC6601482|XP_002026422.2|DPER
OG0000007	LOC108086265|XP_017038640.1|DKIK	LOC6596309|XP_002021479.1|DPER
OG0000007	LOC108078491|XP_017027862.1|DKIK	LOC6592462|XP_002017797.1|DPER
OG0000007	LOC108086266|XP_017038642.1|DKIK	LOC6596310|XP_002021480.2|DPER
OG0000007	LOC108078727|XP_017028217.1|DKIK	LOC6601214|XP_002026310.2|DPER
OG0000007	LOC108086244|XP_017038604.1|DKIK, LOC108086184|XP_017038535.1|DKIK	LOC6589529|XP_002015017.1|DPER
OG0000007	LOC108071626|XP_017017898.1|DKIK	LOC6601483|XP_026847920.1|DPER
OG0000007	LOC108071627|XP_017017899.1|DKIK	LOC6601458|XP_026847765.1|DPER
OG0000008	LOC108081759|XP_017032449.1|DKIK	LOC6594328|XP_026850351.1|DPER
OG0000008	LOC108072724|XP_017019474.1|DKIK	LOC6601898|XP_002026947.1|DPER
OG0000008	LOC108075890|XP_017023993.1|DKIK	LOC6595506|XP_002020611.1|DPER
OG0000008	LOC108072727|XP_017019476.1|DKIK	LOC113566715|XP_026849382.1|DPER
OG0000008	LOC108080420|XP_017030642.1|DKIK, LOC108080449|XP_017030674.1|DKIK	LOC6591821|XP_002016971.2|DPER, LOC6591446|XP_026851133.1|DPER
OG0000008	LOC108080456|XP_017030682.1|DKIK	LOC6591826|XP_002016976.2|DPER
OG0000008	LOC108080419|XP_017030641.1|DKIK	LOC6591825|XP_026846385.1|DPER
OG0000008	LOC108080455|XP_017030681.1|DKIK	LOC6591827|XP_002016977.1|DPER
OG0000009	LOC108076150|XP_017024404.1|DKIK	LOC6594636|XP_026850331.1|DPER
OG0000009	LOC108076246|XP_017024517.1|DKIK	LOC6594634|XP_002019930.1|DPER
OG0000009	LOC108081760|XP_017032451.1|DKIK, LOC108081761|XP_017032452.1|DKIK, LOC108075985|XP_017024164.1|DKIK	LOC6594633|XP_002019929.1|DPER, LOC6594635|XP_026850255.1|DPER, LOC6594558|XP_026850291.1|DPER
OG0000009	LOC108070751|XP_017016837.1|DKIK	LOC6601280|XP_026841960.1|DPER
OG0000009	LOC108080446|XP_017030671.1|DKIK	LOC6591389|XP_002017359.1|DPER
OG0000009	LOC108082335|XP_017033154.1|DKIK	LOC6590982|XP_002016547.1|DPER
OG0000009	LOC108082309|XP_017033129.1|DKIK, LOC108078551|XP_017027957.1|DKIK, LOC108078552|XP_017027958.1|DKIK, LOC108082375|XP_017033205.1|DKIK, LOC108082329|XP_017033149.1|DKIK, LOC108074693|XP_017022321.1|DKIK, LOC108082367|XP_017033197.1|DKIK, LOC108082310|XP_017033130.1|DKIK, LOC108082371|XP_017033201.1|DKIK	LOC6590981|XP_002016546.2|DPER
OG0000010	LOC108072854|XP_017019661.1|DKIK	LOC113567415|XP_026850950.1|DPER
